        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.439418984130e+00,        +2.767852895842e-05,        +4.406699120376e+04,        +2.444328151313e-13,        +1.728144046310e-08
 2.00e+00,        +2.599024922444e+00,        +8.055147085675e-05,        +1.613269687101e+04,        +1.818225321969e-13,        +1.285557444680e-08
 3.00e+00,        +2.605036942011e+00,        +6.207698612520e-05,        +2.098230846369e+04,        +2.203882128621e-13,        +1.558235369016e-08
 4.00e+00,        +2.607344922885e+00,        +6.233630315925e-05,        +2.091353506294e+04,        +4.906141802198e-13,        +3.468846964469e-08
 5.00e+00,        +2.701685082388e+00,        +6.357788539653e-05,        +2.124705049787e+04,        +1.904385979453e-13,        +1.346525447668e-08
 6.00e+00,        +2.701785908712e+00,        +6.352740159347e-05,        +2.126472861859e+04,        +1.175549696088e-12,        +8.311905546081e-08
 7.00e+00,        +2.799582538807e+00,        +9.582554480761e-05,        +1.460770479347e+04,        +7.709673583575e-13,        +5.451439813287e-08
 8.00e+00,        +2.880731342435e+00,        +1.035158683128e-04,        +1.391444322136e+04,        +1.866056353168e-13,        +1.319512083619e-08
