        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        -2.430777274177e+01,        +8.569301937612e-03,        -8.081488342087e+01,        -8.020832416024e-03,        -6.335457967647e-01,        -1.897091867047e-04,        -1.432009362605e+01,        +1.012483907722e-02,        -3.698195657307e+00,        +9.312731963232e-03,        -4.490568027058e+00,        -7.097850052393e-04,        -9.537064308145e+01,        -7.753531452440e-03,        -6.127749632201e+00,        +8.378536792771e-03,        +2.172105379076e+00,        +5.408355124948e-04,        -1.250296461285e+02,        -1.067402378544e-02,        -1.112168421173e+02,        -1.174773919773e-02,        -4.085109992816e-02,        -6.082542872443e-05,        -1.253648117798e+02,        -1.031581752425e-02,        -8.740228985173e+01,        -6.239703501634e-03,        +1.129417073181e-01,        -2.556778378771e-07,        -1.499826328194e+02,        -1.617991973001e-02,        -8.647469682575e+01,        -6.652110777650e-03,        -7.126129961586e-01,        -1.338878017004e-04
 2.00e+00,        +1.053127019770e+01,        -8.522200962708e-03,        -1.128932773745e+02,        +1.957377977749e-03,        +3.198095661296e-01,        +4.648050868422e-05,        +8.146328055660e+01,        -7.289036872374e-04,        -9.407819890994e+01,        +2.891383963462e-03,        +4.466801473392e+00,        +3.295535343257e-04,        +8.898833949765e+01,        -1.914929744210e-04,        -2.994860058464e+01,        +1.001818294552e-02,        -2.109413347999e+00,        +1.211590910728e-04,        +8.634615983426e+01,        -4.403748907648e-03,        -1.528181629767e+02,        +1.652857254969e-03,        -1.319332057459e-01,        +2.323044523829e-05,        +1.105601712896e+02,        -1.494112522878e-03,        -1.500852174168e+02,        +2.025179373989e-03,        +1.153450274294e-01,        +8.338109990749e-05,        +1.137942106073e+02,        -1.152036987420e-03,        -1.253466049041e+02,        +4.911664912006e-03,        +5.006011708500e-01,        +1.272212446129e-04
 3.00e+00,        +2.222201178598e+00,        +4.650344368041e-05,        +3.200323520944e+02,        +3.769580632319e-02,        +6.642984402179e-01,        +9.198859899087e-05,        -2.020731666980e+02,        -2.344158981470e-02,        +2.481460813047e+02,        +2.871605436228e-02,        +2.108734257186e+00,        +3.230955159945e-04,        -3.122186982327e+02,        -3.680070196535e-02,        +5.389816145628e+01,        +7.232492046470e-03,        -6.826778276571e-01,        -1.653897108807e-04,        -4.931337085771e-01,        -7.121301054959e-04,        +2.323006464347e+02,        +2.939101238645e-02,        +3.197018260404e-02,        -1.345745405737e-05,        -1.486337889832e+02,        -1.885789310947e-02,        +1.771410851547e+02,        +2.251538926920e-02,        -3.817598912833e-01,        -7.161735655342e-05,        -2.283504322150e+02,        -2.870940087858e-02,        +4.223446533785e+01,        +6.155779993498e-03,        -2.710438280578e-01,        -5.522448099760e-05
 4.00e+00,        -7.212273320700e+01,        -2.100450893614e-02,        +1.558919495375e+02,        +5.411491317504e-02,        +2.063915288724e+00,        +3.981717239479e-04,        +1.691898628146e+02,        +5.500365504562e-02,        +9.668477793468e+01,        +3.112631550702e-02,        -6.376482422022e+00,        -5.089374547533e-04,        +8.321431324122e+01,        +2.989161530192e-02,        -1.570244531620e+02,        -5.187384065524e-02,        -1.330844409035e+00,        -6.846804894496e-04,        -2.111386866716e+01,        -5.952796383459e-03,        +5.455115978405e+01,        +2.128573893225e-02,        +5.810723682979e-01,        +6.635674421419e-05,        +5.200134729109e+01,        +2.001186434089e-02,        +2.432182503220e+01,        +9.849908518969e-03,        +7.300604658748e-01,        +1.032416721406e-04,        +3.509822108871e+01,        +1.408195822934e-02,        -5.224618907644e+01,        -1.806107181285e-02,        -3.675280015009e-01,        -2.371701636581e-04
 5.00e+00,        -1.902564560641e+02,        -2.319197354663e-01,        -4.042690191950e+01,        -4.741989133835e-02,        -7.325279393881e-01,        -7.259339771665e-04,        -7.281825144957e+01,        -8.711694632307e-02,        +1.534319823497e+02,        +1.857830134238e-01,        +1.218520297168e+00,        +1.429597071405e-03,        +1.252146618590e+02,        +1.503320835552e-01,        +1.289782605014e+02,        +1.579829426320e-01,        +1.217991802060e+00,        +1.316732497924e-03,        -6.469852339293e+01,        -8.096090166203e-02,        -1.258431335076e+01,        -1.305254836381e-02,        -2.059436812676e-01,        -2.268934791076e-04,        -3.412554249499e+01,        -4.305715556119e-02,        +6.076301217789e+01,        +7.667771914516e-02,        -4.791418345270e-01,        -5.396746672700e-04,        +4.245900843449e+01,        +5.070046251208e-02,        +4.419391986954e+01,        +5.614331701502e-02,        +4.204869811140e-01,        +5.705069157241e-04
 6.00e+00,        +9.965875495949e-01,        -1.176051511523e-03,        -3.449881782428e+00,        +4.002720386759e-03,        -6.483486095254e+01,        +4.215617243004e-02,        -1.483395542102e+00,        +1.546798301505e-03,        +9.217003136184e-01,        -6.609256455133e-04,        -2.556991936637e+02,        +2.351324254249e-01,        -2.453600091089e-01,        +3.422974604588e-04,        +1.526712699555e-01,        -1.451792763963e-04,        -2.380247475850e+01,        +4.197368780494e-02,        +3.184624188038e-02,        -2.453111609941e-05,        +1.945524532563e-01,        -2.456191243839e-04,        -2.598248469205e+01,        +1.806430393349e-02,        -8.507826124462e-01,        +7.599468668505e-04,        +9.079275064247e-01,        -7.773922764558e-04,        -1.043556966030e+02,        +9.626767496097e-02,        +3.061954855311e-01,        -9.409274150798e-05,        +6.526768765202e-01,        -6.802352135385e-04,        -9.490727430757e+00,        +1.746441473236e-02
 7.00e+00,        +2.345972193240e+00,        +1.960733462800e-04,        -4.017410837824e+00,        -4.252448503346e-04,        +2.529782073524e+02,        +2.343636183274e-02,        -7.971263371514e-01,        +1.426341025742e-04,        +6.211594042261e-01,        -1.098282221860e-03,        -1.885145479115e+01,        -2.271212760966e-02,        -4.030012709938e-01,        -4.280620231662e-05,        +6.423203103136e-01,        -1.311296280655e-04,        -2.580052321347e+02,        -3.202726483408e-02,        -2.303546515324e-01,        -8.124049474702e-05,        +1.116376380526e+00,        +2.358491443739e-04,        +1.020955337121e+02,        +9.932622437818e-03,        -3.903413425230e-01,        -1.519236986984e-04,        +9.470561780680e-02,        +6.403808705072e-05,        -7.877774809910e+00,        -9.897236308460e-03,        -1.899889882023e+00,        -2.616020889216e-04,        +1.244166433592e+00,        +1.279929302935e-04,        -1.045684734712e+02,        -1.462072642935e-02
 8.00e+00,        +1.628218206612e+00,        +1.870599697110e-04,        -2.247010555770e-01,        -4.228474419439e-04,        +2.248963291473e+01,        -1.379584600390e-02,        +1.912915782493e+00,        +1.429400856756e-05,        -5.885750324287e+00,        -2.911455473610e-04,        -1.523932039591e+01,        +9.069562594013e-03,        +1.471534159694e+00,        +2.925028137165e-05,        -2.573360520588e-01,        -2.656940769518e-05,        -2.992612987183e+01,        +2.772267249211e-02,        +7.192336816544e-03,        +1.006418380009e-05,        -1.869870045101e-01,        -9.639115309164e-05,        +1.773376790483e+01,        -1.092819249096e-02,        +2.382917587807e-01,        +1.491271318373e-05,        +1.005072650062e-01,        -3.023212815258e-05,        -7.031456902697e+00,        +6.022213056104e-03,        +3.868221171166e-01,        +3.532095676741e-05,        -2.822774959971e-01,        -1.307396979888e-07,        -2.503283590987e+01,        +1.920188615423e-02
