        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        +6.092786514515e-13,        -4.932634888053e-09,        -3.098563012530e-12,        +1.578820298402e-08,        +1.479971231877e-11,        +1.660453319330e-08,        -1.505513841106e-12,        +4.592165845241e-09,        +2.410952886939e-12,        -9.590027129380e-09,        -4.628502787912e-12,        +1.118534155022e-08,        -1.601986065313e-12,        +8.168200738541e-09,        +3.788222004138e-13,        -2.549873104148e-09,        -1.438227122417e-11,        -2.514434194192e-08,        +3.807838577191e-13,        -2.340106764961e-09,        -4.197072413373e-13,        +1.881634653032e-09,        +7.399507048917e-12,        +1.492991128570e-08,        -1.904316060613e-13,        +1.111976997235e-10,        -4.256279732122e-13,        +1.937421857784e-09,        -7.489690530298e-13,        -6.936744882303e-10,        +1.084619753989e-13,        -6.350870918572e-10,        -3.781582340290e-13,        +1.568950306492e-09,        -7.765326441136e-12,        -1.808852023185e-08
 2.00e+00,        +1.514481506937e-12,        -2.221983437769e-08,        +9.779720942163e-13,        -1.667052737600e-08,        +1.649635502291e-11,        +2.967082296412e-08,        +6.234277007078e-13,        -2.159374163204e-10,        -4.925746480371e-13,        +4.490356397689e-09,        +2.250823576116e-11,        +1.608427796865e-08,        -9.933624328889e-13,        +1.366100803343e-08,        -3.054814041675e-13,        +3.430897817001e-09,        +1.495085648828e-11,        +2.175454956336e-08,        -5.189163222293e-14,        -1.377896584793e-09,        +1.271656358921e-13,        -1.369757695309e-09,        +1.227956188167e-11,        +1.363208859542e-08,        -8.392454538653e-14,        -1.363724735443e-10,        +1.495700388813e-13,        -1.331832466624e-09,        +1.491179521385e-11,        +1.646695270953e-08,        +1.705143639811e-14,        -2.752935687808e-10,        +2.351084610712e-14,        -1.691512520279e-10,        +1.078705868612e-11,        +1.275117527310e-08
 3.00e+00,        -1.137680938395e-12,        +6.508683450120e-09,        +3.248955750195e-13,        -3.881924763856e-09,        -3.513021736203e-11,        +4.840701327673e-07,        -5.885158091682e-13,        +7.439434567679e-09,        +1.027007352288e-12,        -6.351588504957e-09,        -3.616041669216e-11,        +4.927158320152e-07,        +7.623177440236e-13,        -5.737704328633e-09,        +5.484737444375e-13,        -3.459564646516e-09,        -3.491545288453e-11,        +4.731834801279e-07,        +3.515131858068e-13,        -2.887191726130e-09,        +1.178971338431e-13,        -8.727006586795e-10,        -1.300621560284e-10,        +1.199212995723e-06,        +3.030827576370e-13,        -2.549670865362e-09,        -1.804769735914e-13,        +1.375573994074e-09,        -1.288407258613e-10,        +1.195129168688e-06,        +5.080511990648e-13,        -3.995447606334e-09,        +2.376700965793e-13,        -1.863576386896e-09,        -1.305277908553e-10,        +1.199922122443e-06
 4.00e+00,        +2.221203277258e-13,        -1.977038853943e-09,        -2.657246238139e-12,        +8.172823993020e-09,        +1.448452748695e-10,        -3.951877369427e-07,        +1.072651526589e-12,        -1.859968015493e-09,        +3.011447924483e-12,        -8.789525062516e-09,        -2.697303210795e-11,        +7.156812355526e-08,        +6.604999335578e-13,        -3.181433122132e-09,        +1.034155714259e-12,        -3.854248287089e-09,        -8.986613671030e-11,        +2.324543447968e-07,        +5.734139285190e-13,        -1.444956791413e-09,        -9.070323722067e-14,        +8.955073152311e-10,        +2.137660711228e-11,        -5.238682517075e-08,        +7.655913126189e-13,        -2.613873187167e-09,        +1.226389968781e-13,        +2.607716438554e-10,        -6.072362105879e-12,        +1.284521242895e-08,        -3.126763894524e-13,        -1.573668432078e-10,        -2.201818416973e-13,        +6.444758439611e-10,        -1.605417164475e-11,        +3.274359729366e-08
 5.00e+00,        -9.497102901104e-12,        +7.588567682984e-09,        +2.162960363694e-12,        -2.523434278184e-09,        -1.154345967813e-10,        +9.959904790343e-08,        +4.049409806308e-12,        -2.591038899946e-09,        -6.056812366121e-12,        +4.761192401548e-09,        +5.230218430949e-10,        -4.183262667167e-07,        +7.270465540382e-12,        -5.910546490029e-09,        +2.733002822869e-12,        -1.975357534537e-09,        -3.215127380721e-10,        +2.656825605299e-07,        -1.260147534481e-12,        +9.892474226684e-10,        -6.000283571247e-13,        +3.267181711835e-10,        -3.826670425897e-11,        +3.167840145234e-08,        -8.788367375228e-13,        +6.682444321662e-10,        +1.479601362882e-12,        -1.258243501776e-09,        +7.146095055859e-11,        -5.580553850957e-08,        +2.685383561131e-12,        -2.099164908356e-09,        +1.413470395476e-12,        -1.110147469944e-09,        -7.782840492878e-11,        +6.258962395117e-08
 6.00e+00,        -8.031069453629e-10,        -8.355238327000e-07,        +3.165495204317e-11,        +8.413249501672e-08,        -2.445199179133e-12,        -4.079093459608e-09,        -2.662448198851e-10,        -2.226677310206e-07,        +2.816016588325e-10,        +3.247492985349e-07,        -3.951321413320e-12,        -6.517894657882e-09,        +4.244263944624e-11,        +5.331224057355e-08,        +7.010694876418e-10,        +7.509262387652e-07,        +2.059008464438e-12,        +2.033030230304e-09,        -5.545863683680e-10,        -5.910032522203e-07,        +5.429529212254e-11,        +1.260861643250e-07,        +1.227062389866e-12,        +1.292390897786e-09,        -3.250028101465e-10,        -3.212405775035e-07,        +3.483916776592e-10,        +4.192358607948e-07,        +9.385315078474e-13,        +8.317303003003e-10,        +1.013213612318e-11,        +3.202098942744e-08,        +5.353135892923e-10,        +5.889900118366e-07,        +1.714529550185e-12,        +1.987426867693e-09
 7.00e+00,        +6.995796614044e-11,        -1.826442882542e-07,        -2.049157266592e-11,        -3.544452094974e-07,        -4.006797580382e-14,        -2.369013119408e-09,        +4.437244578680e-11,        -6.023121250487e-07,        +1.087778807490e-11,        -4.508149607795e-07,        -1.701650739294e-12,        +1.043927061106e-08,        -3.142248243697e-11,        -3.708380080055e-07,        -4.494265383781e-11,        -2.232977100285e-08,        +3.767581259226e-13,        -2.777740125434e-10,        +5.182952428780e-11,        -1.488879214200e-07,        +2.699971410082e-11,        -4.953216396389e-07,        -3.872861724472e-14,        +4.407362509526e-10,        +5.474112315492e-11,        -4.749211461452e-07,        +2.302086578340e-13,        -3.445602767636e-07,        +8.452839904507e-14,        -3.825116465429e-10,        +2.377579364869e-11,        -5.135344547248e-07,        -4.259438179393e-11,        +3.515490251041e-08,        -5.616947456405e-14,        +8.054762947427e-10
 8.00e+00,        -3.881231463336e-11,        +5.025272248273e-07,        -7.412709297113e-11,        +4.530890050250e-07,        -2.046004913854e-13,        -1.278426740377e-08,        -2.373149563543e-11,        +6.036534749362e-07,        -1.190364954214e-10,        +3.025273305685e-07,        +2.538427189256e-12,        +4.093223703333e-09,        +2.808496003447e-11,        +7.257525100685e-07,        -9.756975807877e-11,        +2.896911709280e-07,        -1.363727992374e-13,        -2.887023540870e-09,        -6.274815809687e-11,        +6.182836881419e-07,        -1.127568481571e-10,        +4.224702636761e-07,        +3.936208661452e-13,        -2.383617490489e-09,        -5.741441080982e-11,        +6.322867938475e-07,        -1.261124796005e-10,        +3.751681414103e-07,        +8.198859278731e-14,        -1.614992244985e-09,        -4.386822389530e-11,        +6.969421053771e-07,        -1.215788137339e-10,        +3.778980580079e-07,        +2.520356703318e-13,        -3.940770676487e-09
