        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +1.429545515246e-01,        +6.634335738530e-01
 2.00e+00,        -2.892510425361e-01,        -5.316729711207e-01
 3.00e+00,        -2.104594602481e-01,        -2.965821334294e-02
 4.00e+00,        -4.642072817587e-01,        +1.800056003826e+00
 5.00e+00,        +1.998607864500e-03,        -7.458492889784e-03
 6.00e+00,        -3.166394408402e-03,        +1.194882654946e-02
 7.00e+00,        +3.452762811866e-04,        -1.682029768828e-03
 8.00e+00,        -3.386907288962e-04,        +1.653529743617e-03
