        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +2.859091030492e-03,        +1.326867147706e-02
 2.00e+00,        -5.785020850722e-03,        -1.063345942241e-02
 3.00e+00,        -4.209189204961e-03,        -5.931642668588e-04
 4.00e+00,        -9.284145635174e-03,        +3.600112007652e-02
 5.00e+00,        +3.997215729001e-05,        -1.491698577957e-04
 6.00e+00,        -6.332788816803e-05,        +2.389765309892e-04
 7.00e+00,        +6.905525623732e-06,        -3.364059537656e-05
 8.00e+00,        -6.773814577924e-06,        +3.307059487233e-05
