        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        +1.498716054569e+01,        -3.158270118073e-02,        +8.265095577129e+01,        +2.257856231123e-02,        +2.894588870609e+00,        -2.268147852759e-03,        +2.452563155979e+01,        -1.031913134520e-01,        +7.370671448355e-01,        +8.039929433958e-02,        +1.235031929196e+00,        -3.728028030055e-03,        +9.488689961798e+01,        -1.573633758862e-01,        -3.276756972849e+00,        +1.536905845286e-02,        +1.217812069883e+00,        -4.200712072566e-04,        +1.216837956799e+02,        -1.723457323539e-01,        +1.080602272372e+02,        +2.935123936134e-02,        +2.142811853483e+00,        -2.198310768434e-03,        +1.240027773659e+02,        -1.968056304498e-01,        +8.266246912750e+01,        +4.308116993887e-02,        +1.271339766055e+00,        -2.128168733587e-03,        +1.473048202536e+02,        -2.152624135730e-01,        +8.055277874578e+01,        +2.333903048283e-02,        +2.738285853212e+00,        -2.129920787006e-03
 2.00e+00,        +1.046337586118e+01,        -1.466016172960e+00,        -1.122631680010e+02,        +1.672670636255e+01,        +1.097478381010e-02,        +1.816805404313e-02,        +8.706633263434e+01,        -1.288575093471e+01,        -1.095039664088e+02,        +1.622312464047e+01,        +2.681886838145e+00,        -4.001558473056e-01,        +8.767359173145e+01,        -1.302968324779e+01,        -2.881058948374e+01,        +4.188521431214e+00,        -9.076179770102e-01,        +1.317295615947e-01,        +8.461654397875e+01,        -1.211606410917e+01,        -1.523478031014e+02,        +2.242050106903e+01,        +1.087675644444e-01,        -3.035305614135e-02,        +1.093146720113e+02,        -1.591623841746e+01,        -1.475134107195e+02,        +2.163386662874e+01,        +1.207493114063e+00,        -1.732254723162e-01,        +1.091347699143e+02,        -1.597270333276e+01,        -1.244775928752e+02,        +1.808028188786e+01,        +3.700896091505e-01,        -2.551389908286e-02
 3.00e+00,        +3.612324846314e-01,        +6.528647822894e-02,        +3.076700229724e+02,        +8.147834084673e+01,        +1.666070634766e-01,        +1.207364353593e-02,        -1.979147682473e+02,        -5.240337398731e+01,        +2.392647150311e+02,        +6.334859311714e+01,        -1.626872655064e+00,        -4.234917638547e-01,        -2.992911323175e+02,        -7.922785433411e+01,        +5.196874750782e+01,        +1.380379392414e+01,        +1.383627292025e+00,        +3.901848669113e-01,        -3.491271836944e-01,        -2.513278669940e-01,        +2.240274012181e+02,        +5.945142832360e+01,        -1.978129852902e-03,        +5.309140521373e-04,        -1.435853884420e+02,        -3.811907423390e+01,        +1.710511060755e+02,        +4.543588229781e+01,        +1.143157966681e-01,        +2.930449167075e-02,        -2.196142527074e+02,        -5.821934665122e+01,        +3.921781027132e+01,        +1.059230945693e+01,        +2.482698284776e-01,        +5.817898646468e-02
 4.00e+00,        -4.599537809304e+01,        +4.244925575269e+00,        -1.603208119144e+02,        -2.693000438412e+00,        -1.076207342586e-01,        -8.772613449297e-03,        -1.795491193420e+02,        -2.665398029106e+00,        +4.053788881834e-01,        -4.294009415076e+00,        -2.920967573958e+00,        -5.355364935894e-02,        -1.102274144237e+01,        -4.148178644786e+00,        +1.916296744496e+02,        +1.403897131564e+00,        -3.399821725382e+00,        +4.901798219203e-03,        -1.420010871986e+01,        +1.388436068298e+00,        -5.743352285665e+01,        -9.977311335137e-01,        +4.222354564121e-01,        -4.757154450202e-03,        -6.243296073250e+01,        -8.251894238160e-01,        +3.072555832270e+00,        -1.470729734258e+00,        -3.922191770518e-01,        -1.092636570392e-02,        -7.086431124929e+00,        -1.586880036519e+00,        +6.289469334289e+01,        +4.928360966876e-01,        +8.325639393958e-01,        +1.562685141885e-02
 5.00e+00,        +1.900682074058e+02,        -5.181727301843e+00,        -4.071238621427e+01,        +5.285431874190e+00,        +9.097041625341e-01,        +2.105849805554e-02,        -2.837452846680e+01,        +5.474049728246e+00,        -1.733266477958e+02,        +5.724232598021e+00,        -1.098639477532e+00,        +1.006797197193e-01,        -1.596218114799e+02,        +5.672070415882e+00,        -2.693894597028e+01,        -3.913359487703e+00,        +4.841981059930e-01,        +2.019495840034e-02,        +6.224313350505e+01,        -1.700229657341e+00,        -1.701383897415e+01,        +1.928318649452e+00,        +2.031964345401e-02,        +4.656386256249e-03,        -4.964875917732e+00,        +1.771936304791e+00,        -6.168655575593e+01,        +1.921282389990e+00,        -3.267029928055e-01,        +1.832445257898e-02,        -5.885500048993e+01,        +2.206028188169e+00,        -8.342191154894e+00,        -1.331567372728e+00,        -9.956974763299e-02,        -3.237275433563e-02
 6.00e+00,        -6.891418640450e-01,        +1.592061989359e-02,        -2.711563071567e+00,        -3.300487972919e-03,        -8.885234675467e+01,        +1.457666661287e+00,        -2.606211993534e+00,        +2.780184120071e-02,        +4.361613968730e-02,        -5.206921472678e-04,        -2.472843434015e+02,        +1.651386866435e+00,        +1.792330832861e+00,        -1.072205849716e-02,        -2.628504273509e+00,        +2.545378220256e-02,        +6.987384994490e+00,        -9.166678761923e-01,        -5.659971422516e-01,        +6.446952645193e-03,        +2.480476702938e-01,        -9.951453386914e-03,        -3.374358205659e+01,        +5.740940367886e-01,        +1.136308686512e-01,        +3.775653959846e-03,        +2.377675086530e-01,        -9.071087037144e-03,        -9.974137338519e+01,        +6.681501522886e-01,        +5.596091278811e-02,        +8.867937108006e-03,        -5.168226878476e-01,        -2.767101157728e-03,        +3.607604415610e+00,        -3.758052587409e-01
 7.00e+00,        +1.846232336306e+00,        +2.962935322553e-01,        -4.105019053773e+00,        -6.558545338592e-01,        +2.386051814536e+02,        +4.900566052234e+01,        +1.035732524122e+00,        +1.215794244631e-01,        +1.543896999054e+00,        +4.136835928628e-01,        -4.650137187150e+01,        -8.622241287512e+00,        -1.253534669936e+00,        -3.913408596425e-01,        +3.174523867138e+00,        +7.483631557584e-01,        -2.556544795206e+02,        -5.220642428077e+01,        -2.436519170638e-01,        -1.035907174576e-01,        +6.500451589128e-01,        +3.162734369388e-01,        +9.603672596579e+01,        +1.963261172743e+01,        -3.266792894930e-01,        -1.757306539069e-01,        +2.411269413204e-01,        +1.951384966523e-01,        -1.752937334321e+01,        -3.224957205178e+00,        +1.905846331409e-01,        -1.250605038333e-01,        -3.522949820797e-01,        +2.995529835645e-02,        -1.014323589682e+02,        -2.060482053945e+01
 8.00e+00,        +4.639748171225e-01,        +1.697631084918e-01,        -1.015279148301e+00,        -5.444183118065e-01,        +2.262090563235e+01,        +1.462075856673e+01,        +1.460237457983e+00,        +7.365928477783e-01,        +5.142286675247e-01,        +3.864247694236e-01,        -1.238246082906e+01,        -9.308775830331e+00,        -4.011701181669e-01,        -3.652500846014e-01,        +6.303356179351e-01,        +4.332185518778e-01,        -3.422815846280e+01,        -2.450070812718e+01,        -3.305664489395e-01,        -2.601083679715e-01,        +6.099193686145e-02,        +2.194766904011e-01,        +1.592578668178e+01,        +9.224338554326e+00,        -3.672224272393e-01,        -3.533481432487e-01,        -6.951215571984e-02,        +7.318543689120e-02,        -7.455277454717e+00,        -5.930958395368e+00,        -1.290304480957e-01,        -2.254493320789e-01,        +2.169826553465e-01,        +2.206280159260e-01,        -2.542197585853e+01,        -1.706315254898e+01
