        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        -1.835579680355e-03,        +3.428867216531e-03
 2.00e+00,        -8.744772502208e-02,        +2.113988379798e-01
 3.00e+00,        +1.066788014357e-01,        -1.078975441798e-01
 4.00e+00,        +1.480176644623e-02,        -3.079599350000e-02
 5.00e+00,        -2.455318387899e-02,        +4.959258073614e-02
 6.00e+00,        -4.321267101585e-03,        +1.111555399306e-02
 7.00e+00,        +1.271874448773e-01,        -1.719187587895e-01
 8.00e+00,        +1.538156796320e-01,        -1.044836564879e-01
