        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        -3.671159360710e-05,        +6.857734433061e-05
 2.00e+00,        -1.748954500442e-03,        +4.227976759597e-03
 3.00e+00,        +2.133576028714e-03,        -2.157950883595e-03
 4.00e+00,        +2.960353289246e-04,        -6.159198700001e-04
 5.00e+00,        -4.910636775798e-04,        +9.918516147228e-04
 6.00e+00,        -8.642534203169e-05,        +2.223110798611e-04
 7.00e+00,        +2.543748897546e-03,        -3.438375175791e-03
 8.00e+00,        +3.076313592641e-03,        -2.089673129757e-03
