        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.442294998375e+00,        +4.016480481065e-03,        +3.040346283944e+02,        +1.089553391582e-13,        +7.197670310873e-09
 2.00e+00,        +2.598989575428e+00,        +8.358052605489e-05,        +1.554781777196e+04,        +9.338223134343e-14,        +6.169243583830e-09
 3.00e+00,        +2.604409641631e+00,        +3.514790414781e-04,        +3.704928826475e+03,        +1.024967909232e-13,        +6.771405130601e-09
 4.00e+00,        +2.638645219226e+00,        +2.685745175193e-02,        +4.912569376187e+01,        +4.766112013160e-14,        +3.148750534482e-09
 5.00e+00,        +2.701605058298e+00,        +6.456851955538e-05,        +2.092045069078e+04,        +1.231552577707e-13,        +8.136490551575e-09
 6.00e+00,        +2.701803708322e+00,        +6.507587584726e-05,        +2.075887319171e+04,        +1.107310598970e-13,        +7.315662409918e-09
