        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40025000e+00,        +1.207946548250e+00,        +1.900614819670e+00,        +3.267205553339e+00,        -4.197995962112e+00,        +5.383897337366e-03,        +8.426238620857e-02,        +5.186239697522e-01,        +1.140319584903e+00,        +8.958906328750e+00,        -6.072878921711e+00,        -5.732896933933e-02,        +6.950606145438e-02,        +7.397095705177e-01,        +1.753334301511e+00,        +2.005072668260e+01,        -8.851373291308e+00,        -1.132349793906e-01,        +1.026186421970e-01,        -2.162027603588e+00,        -7.797429518506e-02,        +5.217489023494e+01,        -1.092248034931e+01,        -1.289794451493e-02,        +1.912953007113e-02
 2.40027500e+00,        +1.208761150998e+00,        +1.901747863623e+00,        +3.268219947607e+00,        -4.201499202783e+00,        +5.404472021175e-03,        +8.429754108709e-02,        +5.187972721591e-01,        +1.140802038524e+00,        +8.963159174687e+00,        -6.077789382747e+00,        -5.734628023069e-02,        +6.953005188105e-02,        +7.397728600300e-01,        +1.753853437478e+00,        +2.006113820177e+01,        -8.858920666157e+00,        -1.132700125503e-01,        +1.026652079544e-01,        -2.165470442925e+00,        -7.804682458502e-02,        +5.220768893316e+01,        -1.093596325445e+01,        -1.296780984237e-02,        +1.918875649127e-02
 2.40030000e+00,        +1.209575397442e+00,        +1.902879692773e+00,        +3.269236904689e+00,        -4.205003200993e+00,        +5.425038957818e-03,        +8.433266315811e-02,        +5.189705625910e-01,        +1.141283993935e+00,        +8.967416810019e+00,        -6.082704058672e+00,        -5.736357189943e-02,        +6.955403790962e-02,        +7.398362186987e-01,        +1.754372025811e+00,        +2.007156016480e+01,        -8.866476565067e+00,        -1.133050074535e-01,        +1.027117666541e-01,        -2.168913509851e+00,        -7.811949074771e-02,        +5.224052330825e+01,        -1.094946735561e+01,        -1.303769718065e-02,        +1.924800328009e-02
 2.40032500e+00,        +1.210389287383e+00,        +1.904010308683e+00,        +3.270256427532e+00,        -4.208507963910e+00,        +5.445598142244e-03,        +8.436775245965e-02,        +5.191438408015e-01,        +1.141765451694e+00,        +8.971679241114e+00,        -6.087622961298e+00,        -5.738084436448e-02,        +6.957801953690e-02,        +7.398996461203e-01,        +1.754890067102e+00,        +2.008199258698e+01,        -8.874041008631e+00,        -1.133399641358e-01,        +1.027583182904e-01,        -2.172356804160e+00,        -7.819229379715e-02,        +5.227339341190e+01,        -1.096299270232e+01,        -1.310760665608e-02,        +1.930727052766e-02
 2.40035000e+00,        +1.211202820622e+00,        +1.905139712910e+00,        +3.271278519083e+00,        -4.212013498710e+00,        +5.466149569419e-03,        +8.440280902965e-02,        +5.193171065446e-01,        +1.142246412359e+00,        +8.975946474346e+00,        -6.092546102468e+00,        -5.739809764477e-02,        +6.960199675972e-02,        +7.399631418918e-01,        +1.755407561939e+00,        +2.009243548362e+01,        -8.881614017494e+00,        -1.133748826330e-01,        +1.028048628579e-01,        -2.175800325646e+00,        -7.826523385822e-02,        +5.230629929590e+01,        -1.097653934418e+01,        -1.317753839503e-02,        +1.936655832429e-02
 2.40037500e+00,        +1.212015996961e+00,        +1.906267907011e+00,        +3.272303182294e+00,        -4.215519812579e+00,        +5.486693234326e-03,        +8.443783290596e-02,        +5.194903595749e-01,        +1.142726876490e+00,        +8.980218516099e+00,        -6.097473494043e+00,        -5.741533175915e-02,        +6.962596957488e-02,        +7.400267056113e-01,        +1.755924510912e+00,        +2.010288887007e+01,        -8.889195612350e+00,        -1.134097629807e-01,        +1.028514003508e-01,        -2.179244074100e+00,        -7.833831105689e-02,        +5.233924101214e+01,        -1.099010733097e+01,        -1.324749252395e-02,        +1.942586676052e-02
 2.40040000e+00,        +1.212828816202e+00,        +1.907394892539e+00,        +3.273330420118e+00,        -4.219026912710e+00,        +5.507229131959e-03,        +8.447282412639e-02,        +5.196635996476e-01,        +1.143206844641e+00,        +8.984495372762e+00,        -6.102405147912e+00,        -5.743254672647e-02,        +6.964993797921e-02,        +7.400903368773e-01,        +1.756440914609e+00,        +2.011335276169e+01,        -8.896785813937e+00,        -1.134446052143e-01,        +1.028979307636e-01,        -2.182688049314e+00,        -7.841152552004e-02,        +5.237221861261e+01,        -1.100369671258e+01,        -1.331746916932e-02,        +1.948519592711e-02
 2.40042500e+00,        +1.213641278149e+00,        +1.908520671046e+00,        +3.274360235511e+00,        -4.222534806306e+00,        +5.527757257331e-03,        +8.450778272863e-02,        +5.198368265181e-01,        +1.143686317369e+00,        +8.988777050736e+00,        -6.107341075986e+00,        -5.744974256554e-02,        +6.967390196953e-02,        +7.401540352891e-01,        +1.756956773617e+00,        +2.012382717388e+01,        -8.904384643048e+00,        -1.134794093694e-01,        +1.029444540906e-01,        -2.186132251080e+00,        -7.848487737549e-02,        +5.240523214939e+01,        -1.101730753902e+01,        -1.338746845774e-02,        +1.954454591506e-02
 2.40045000e+00,        +1.214453382605e+00,        +1.909645244079e+00,        +3.275392631433e+00,        -4.226043500578e+00,        +5.548277605465e-03,        +8.454270875033e-02,        +5.200100399427e-01,        +1.144165295228e+00,        +8.993063556427e+00,        -6.112281290201e+00,        -5.746691929512e-02,        +6.969786154266e-02,        +7.402178004467e-01,        +1.757472088522e+00,        +2.013431212204e+01,        -8.911992120522e+00,        -1.135141754815e-01,        +1.029909703264e-01,        -2.189576679187e+00,        -7.855836675209e-02,        +5.243828167465e+01,        -1.103093986046e+01,        -1.345749051581e-02,        +1.960391681557e-02
 2.40047500e+00,        +1.215265129376e+00,        +1.910768613184e+00,        +3.276427610846e+00,        -4.229553002745e+00,        +5.568790171404e-03,        +8.457760222904e-02,        +5.201832396780e-01,        +1.144643778773e+00,        +8.997354896251e+00,        -6.117225802519e+00,        -5.748407693396e-02,        +6.972181669542e-02,        +7.402816319510e-01,        +1.757986859910e+00,        +2.014480762160e+01,        -8.919608267247e+00,        -1.135489035857e-01,        +1.030374794652e-01,        -2.193021333427e+00,        -7.863199377963e-02,        +5.247136724069e+01,        -1.104459372717e+01,        -1.352753547027e-02,        +1.966330872010e-02
 2.40050000e+00,        +1.216076518266e+00,        +1.911890779905e+00,        +3.277465176714e+00,        -4.233063320037e+00,        +5.589294950201e-03,        +8.461246320227e-02,        +5.203564254810e-01,        +1.145121768557e+00,        +9.001651076632e+00,        -6.122174624924e+00,        -5.750121550077e-02,        +6.974576742464e-02,        +7.403455294032e-01,        +1.758501088365e+00,        +2.015531368804e+01,        -8.927233104161e+00,        -1.135835937174e-01,        +1.030839815016e-01,        -2.196466213589e+00,        -7.870575858886e-02,        +5.250448889987e+01,        -1.105826918957e+01,        -1.359760344787e-02,        +1.972272172033e-02
 2.40052500e+00,        +1.216887549081e+00,        +1.913011745783e+00,        +3.278505332005e+00,        -4.236574459691e+00,        +5.609791936925e-03,        +8.464729170741e-02,        +5.205295971094e-01,        +1.145599265131e+00,        +9.005952104002e+00,        -6.127127769425e+00,        -5.751833501421e-02,        +6.976971372716e-02,        +7.404094924056e-01,        +1.759014774472e+00,        +2.016583033682e+01,        -8.934866652253e+00,        -1.136182459117e-01,        +1.031304764299e-01,        -2.199911319462e+00,        -7.877966131154e-02,        +5.253764670466e+01,        -1.107196629821e+01,        -1.366769457545e-02,        +1.978215590816e-02
 2.40055000e+00,        +1.217698221629e+00,        +1.914131512355e+00,        +3.279548079690e+00,        -4.240086428952e+00,        +5.630281126657e-03,        +8.468208778181e-02,        +5.207027543214e-01,        +1.146076269047e+00,        +9.010257984800e+00,        -6.132085248057e+00,        -5.753543549293e-02,        +6.979365559980e-02,        +7.404735205611e-01,        +1.759527918813e+00,        +2.017635758346e+01,        -8.942508932560e+00,        -1.136528602039e-01,        +1.031769642447e-01,        -2.203356650833e+00,        -7.885370208037e-02,        +5.257084070765e+01,        -1.108568510377e+01,        -1.373780897993e-02,        +1.984161137574e-02
 2.40057500e+00,        +1.218508535715e+00,        +1.915250081158e+00,        +3.280593422742e+00,        -4.243599235075e+00,        +5.650762514497e-03,        +8.471685146273e-02,        +5.208758968755e-01,        +1.146552780855e+00,        +9.014568725475e+00,        -6.137047072878e+00,        -5.755251695554e-02,        +6.981759303940e-02,        +7.405376134732e-01,        +1.760040521971e+00,        +2.018689544348e+01,        -8.950159966169e+00,        -1.136874366289e-01,        +1.032234449404e-01,        -2.206802207492e+00,        -7.892788102908e-02,        +5.260407096149e+01,        -1.109942565707e+01,        -1.380794678829e-02,        +1.990108821543e-02
 2.40060000e+00,        +1.219318491150e+00,        +1.916367453725e+00,        +3.281641364138e+00,        -4.247112885325e+00,        +5.671236095556e-03,        +8.475158278737e-02,        +5.210490245309e-01,        +1.147028801105e+00,        +9.018884332484e+00,        -6.142013255972e+00,        -5.756957942061e-02,        +6.984152604278e-02,        +7.406017707462e-01,        +1.760552584527e+00,        +2.019744393243e+01,        -8.957819774218e+00,        -1.137219752217e-01,        +1.032699185114e-01,        -2.210247989224e+00,        -7.900219829231e-02,        +5.263733751896e+01,        -1.111318800906e+01,        -1.387810812757e-02,        +1.996058651984e-02
 2.40062500e+00,        +1.220128087740e+00,        +1.917483631586e+00,        +3.282691906855e+00,        -4.250627386974e+00,        +5.691701864956e-03,        +8.478628179284e-02,        +5.212221370472e-01,        +1.147504330345e+00,        +9.023204812291e+00,        -6.146983809448e+00,        -5.758662290669e-02,        +6.986545460680e-02,        +7.406659919849e-01,        +1.761064107062e+00,        +2.020800306590e+01,        -8.965488377895e+00,        -1.137564760173e-01,        +1.033163849523e-01,        -2.213693995818e+00,        -7.907665400576e-02,        +5.267064043294e+01,        -1.112697221081e+01,        -1.394829312489e-02,        +2.002010638182e-02
 2.40065000e+00,        +1.220937325296e+00,        +1.918598616269e+00,        +3.283745053877e+00,        -4.254142747304e+00,        +5.712159817838e-03,        +8.482094851618e-02,        +5.213952341845e-01,        +1.147979369124e+00,        +9.027530171370e+00,        -6.151958745438e+00,        -5.760364743229e-02,        +6.988937872828e-02,        +7.407302767952e-01,        +1.761575090155e+00,        +2.021857285948e+01,        -8.973165798439e+00,        -1.137909390505e-01,        +1.033628442574e-01,        -2.217140227058e+00,        -7.915124830606e-02,        +5.270397975638e+01,        -1.114077831354e+01,        -1.401850190745e-02,        +2.007964789442e-02
 2.40067500e+00,        +1.221746203628e+00,        +1.919712409300e+00,        +3.284800808189e+00,        -4.257658973606e+00,        +5.732609949353e-03,        +8.485558299436e-02,        +5.215683157033e-01,        +1.148453917987e+00,        +9.031860416202e+00,        -6.156938076103e+00,        -5.762065301589e-02,        +6.991329840407e-02,        +7.407946247832e-01,        +1.762085534386e+00,        +2.022915332880e+01,        -8.980852057139e+00,        -1.138253643560e-01,        +1.034092964213e-01,        -2.220586682731e+00,        -7.922598133088e-02,        +5.273735554235e+01,        -1.115460636861e+01,        -1.408873460250e-02,        +2.013921115095e-02
 2.40070000e+00,        +1.222554722546e+00,        +1.920825012203e+00,        +3.285859172777e+00,        -4.261176073181e+00,        +5.753052254666e-03,        +8.489018526428e-02,        +5.217413813648e-01,        +1.148927977482e+00,        +9.036195553277e+00,        -6.161921813624e+00,        -5.763763967593e-02,        +6.993721363100e-02,        +7.408590355561e-01,        +1.762595440332e+00,        +2.023974448951e+01,        -8.988547175334e+00,        -1.138597519686e-01,        +1.034557414385e-01,        -2.224033362621e+00,        -7.930085321881e-02,        +5.277076784402e+01,        -1.116845642751e+01,        -1.415899133737e-02,        +2.019879624497e-02
 2.40072500e+00,        +1.223362881861e+00,        +1.921936426498e+00,        +3.286920150632e+00,        -4.264694053336e+00,        +5.773486728957e-03,        +8.492475536276e-02,        +5.219144309305e-01,        +1.149401548152e+00,        +9.040535589093e+00,        -6.166909970212e+00,        -5.765460743083e-02,        +6.996112440592e-02,        +7.409235087214e-01,        +1.763104808572e+00,        +2.025034635727e+01,        -8.996251174414e+00,        -1.138941019230e-01,        +1.035021793034e-01,        -2.227480266513e+00,        -7.937586410950e-02,        +5.280421671465e+01,        -1.118232854185e+01,        -1.422927223948e-02,        +2.025840327023e-02
 2.40075000e+00,        +1.224170681386e+00,        +1.923046653702e+00,        +3.287983744749e+00,        -4.268212921391e+00,        +5.793913367418e-03,        +8.495929332653e-02,        +5.220874641624e-01,        +1.149874630542e+00,        +9.044880530155e+00,        -6.171902558100e+00,        -5.767155629896e-02,        +6.998503072567e-02,        +7.409880438877e-01,        +1.763613639680e+00,        +2.026095894779e+01,        -9.003964075823e+00,        -1.139284142536e-01,        +1.035486100107e-01,        -2.230927394190e+00,        -7.945101414356e-02,        +5.283770220762e+01,        -1.119622276340e+01,        -1.429957743630e-02,        +2.031803232075e-02
 2.40077500e+00,        +1.224978120933e+00,        +1.924155695332e+00,        +3.289049958124e+00,        -4.271732684673e+00,        +5.814332165252e-03,        +8.499379919229e-02,        +5.222604808232e-01,        +1.150347225196e+00,        +9.049230382980e+00,        -6.176899589547e+00,        -5.768848629869e-02,        +7.000893258711e-02,        +7.410526406640e-01,        +1.764121934234e+00,        +2.027158227678e+01,        -9.011685901052e+00,        -1.139626889950e-01,        +1.035950335547e-01,        -2.234374745437e+00,        -7.952630346257e-02,        +5.287122437638e+01,        -1.121013914406e+01,        -1.436990705538e-02,        +2.037768349079e-02
 2.40080000e+00,        +1.225785200315e+00,        +1.925263552901e+00,        +3.290118793755e+00,        -4.275253350518e+00,        +5.834743117680e-03,        +8.502827299662e-02,        +5.224334806757e-01,        +1.150819332656e+00,        +9.053585154090e+00,        -6.181901076840e+00,        -5.770539744832e-02,        +7.003282998706e-02,        +7.411172986600e-01,        +1.764629692809e+00,        +2.028221635998e+01,        -9.019416671647e+00,        -1.139969261816e-01,        +1.036414499300e-01,        -2.237822320034e+00,        -7.960173220916e-02,        +5.290478327451e+01,        -1.122407773585e+01,        -1.444026122435e-02,        +2.043735687483e-02
 2.40082500e+00,        +1.226591919347e+00,        +1.926370227920e+00,        +3.291190254647e+00,        -4.278774926274e+00,        +5.855146219932e-03,        +8.506271477606e-02,        +5.226064634835e-01,        +1.151290953463e+00,        +9.057944850017e+00,        -6.186907032288e+00,        -5.772228976614e-02,        +7.005672292239e-02,        +7.411820174862e-01,        +1.765136915977e+00,        +2.029286121317e+01,        -9.027156409202e+00,        -1.140311258477e-01,        +1.036878591312e-01,        -2.241270117765e+00,        -7.967730052694e-02,        +5.293837895567e+01,        -1.123803859096e+01,        -1.451064007090e-02,        +2.049705256760e-02
 2.40085000e+00,        +1.227398277842e+00,        +1.927475721896e+00,        +3.292264343803e+00,        -4.282297419295e+00,        +5.875541467250e-03,        +8.509712456705e-02,        +5.227794290105e-01,        +1.151762088158e+00,        +9.062309477300e+00,        -6.191917468228e+00,        -5.773916327040e-02,        +7.008061138994e-02,        +7.412467967535e-01,        +1.765643604313e+00,        +2.030351685214e+01,        -9.034905135367e+00,        -1.140652880278e-01,        +1.037342611528e-01,        -2.244718138410e+00,        -7.975300856051e-02,        +5.297201147362e+01,        -1.125202176168e+01,        -1.458104372280e-02,        +2.055677066406e-02
 2.40087500e+00,        +1.228204275615e+00,        +1.928580036335e+00,        +3.293341064232e+00,        -4.285820836947e+00,        +5.895928854891e-03,        +8.513150240599e-02,        +5.229523770212e-01,        +1.152232737281e+00,        +9.066679042488e+00,        -6.196932397022e+00,        -5.775601797934e-02,        +7.010449538657e-02,        +7.413116360739e-01,        +1.766149758389e+00,        +2.031418329270e+01,        -9.042662871841e+00,        -1.140994127559e-01,        +1.037806559892e-01,        -2.248166381751e+00,        -7.982885645546e-02,        +5.300568088225e+01,        -1.126602730048e+01,        -1.465147230791e-02,        +2.061651125941e-02
 2.40090000e+00,        +1.229009912484e+00,        +1.929683172741e+00,        +3.294420418946e+00,        -4.289345186603e+00,        +5.916308378126e-03,        +8.516584832917e-02,        +5.231253072803e-01,        +1.152702901371e+00,        +9.071053552138e+00,        -6.201951831057e+00,        -5.777285391112e-02,        +7.012837490911e-02,        +7.413765350597e-01,        +1.766655378776e+00,        +2.032486055070e+01,        -9.050429640376e+00,        -1.141335000663e-01,        +1.038270436352e-01,        -2.251614847568e+00,        -7.990484435844e-02,        +5.303938723551e+01,        -1.128005525993e+01,        -1.472192595414e-02,        +2.067627444910e-02
 2.40092500e+00,        +1.229815188263e+00,        +1.930785132614e+00,        +3.295502410960e+00,        -4.292870475648e+00,        +5.936680032234e-03,        +8.520016237284e-02,        +5.232982195534e-01,        +1.153172580966e+00,        +9.075433012815e+00,        -6.206975782748e+00,        -5.778967108391e-02,        +7.015224995444e-02,        +7.414414933241e-01,        +1.767160466046e+00,        +2.033554864199e+01,        -9.058205462775e+00,        -1.141675499931e-01,        +1.038734240851e-01,        -2.255063535640e+00,        -7.998097241708e-02,        +5.307313058748e+01,        -1.129410569277e+01,        -1.479240478950e-02,        +2.073606032883e-02
