        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.102719456515e+00,        +9.161607196040e-15,        +6.018155073228e+13,        +7.120792840642e-16,        +2.927462938338e-12
 2.00e+00,        +1.757269455014e+00,        -1.507568352645e-12,        +5.828158477628e+11,        +8.648477528899e-15,        +3.559307211280e-11
 3.00e+00,        +1.758054726147e+00,        +5.992273186105e-12,        +1.466934727061e+11,        +2.194252369528e-14,        +9.030526495760e-11
 4.00e+00,        +1.889404541619e+00,        -3.751633124508e-12,        +2.518109419171e+11,        +1.011566534620e-14,        +4.164274031122e-11
 5.00e+00,        +1.889907489475e+00,        +1.687483522657e-12,        +5.599780572966e+11,        +2.929059476054e-15,        +1.205795079255e-11
 6.00e+00,        +2.022191246418e+00,        -7.601877532999e-12,        +1.330060394712e+11,        +7.117846972948e-15,        +2.931040160618e-11
 7.00e+00,        +2.198678764664e+00,        -2.667252664803e-12,        +4.121616961298e+11,        +9.871451440600e-15,        +4.066661652915e-11
 8.00e+00,        +2.199174219575e+00,        -2.641880976839e-12,        +4.162137202348e+11,        +1.007202222367e-14,        +4.149294307248e-11
 9.00e+00,        +2.343918971631e+00,        -5.152215061032e-12,        +2.274671130635e+11,        +3.352611213606e-11,        +1.381665888111e-07
 1.00e+01,        +2.345730137802e+00,        -2.033457134050e-11,        +5.767837685198e+10,        +6.105828967275e-11,        +2.516324075068e-07
 1.10e+01,        +2.419426155868e+00,        -4.061451059026e-13,        +2.978524326288e+12,        +4.982502711657e-14,        +2.053790390358e-10
 1.20e+01,        +2.431671186330e+00,        -8.123359186927e-13,        +1.496715293744e+12,        +3.665560524398e-13,        +1.510997067718e-09
 1.30e+01,        +2.432924810743e+00,        -1.791537274519e-12,        +6.790047980989e+11,        +1.515576026795e-13,        +6.247445238686e-10
 1.40e+01,        +2.525124411617e+00,        +7.445975117837e-13,        +1.695630439033e+12,        +7.506692089970e-13,        +3.095181202950e-09
 1.50e+01,        +2.564934760477e+00,        +1.457109780572e-12,        +8.801446516508e+11,        +3.152018665303e-13,        +1.299799083088e-09
 1.60e+01,        +2.568215421143e+00,        -4.167378252704e-12,        +3.081332273446e+11,        +3.102184419346e-13,        +1.279261148208e-09
 1.70e+01,        +2.880446300145e+00,        -2.724667038286e-12,        +5.285868437629e+11,        +4.838489523189e-13,        +1.997195989843e-09
 1.80e+01,        +2.884032643603e+00,        -1.653283130624e-11,        +8.722137757839e+10,        +2.572020413262e-12,        +1.061672049973e-08
 1.90e+01,        +2.898919287333e+00,        -1.549064799594e-12,        +9.356998132332e+11,        +1.691877217382e-11,        +6.984028797252e-08
 2.00e+01,        +2.901360991133e+00,        -3.687876391253e-12,        +3.933647285487e+11,        +1.201726376601e-11,        +4.960737665893e-08
 2.10e+01,        +2.951061635865e+00,        -1.395409706459e-12,        +1.057417625162e+12,        +8.495140542654e-14,        +3.507380451803e-10
 2.20e+01,        +2.953338352414e+00,        -3.702298912075e-12,        +3.988519596272e+11,        +1.585233138934e-12,        +6.544986606809e-09
 2.30e+01,        +2.966817992398e+00,        -4.991592445503e-12,        +2.971815131934e+11,        +4.343265500434e-13,        +1.793294641654e-09
 2.40e+01,        +2.967422247244e+00,        -4.297771190892e-12,        +3.452280397724e+11,        +1.993257372349e-13,        +8.229994305082e-10
 2.50e+01,        +3.042255764262e+00,        -4.514092728574e-12,        +3.369731136674e+11,        +8.684951192757e-13,        +3.586858762781e-09
 2.60e+01,        +3.193742485622e+00,        +5.715312117543e-12,        +2.794022810949e+11,        +4.763185990504e-12,        +1.968235014019e-08
 2.70e+01,        +3.199057629126e+00,        +6.032993804023e-12,        +2.651301934864e+11,        +6.933614844600e-12,        +2.865150820273e-08
