        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +2.942295733137e-10,        +2.942030330781e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.105660250652e-12,        +7.156521443230e-03,        +4.165411062724e-12,        +1.415828728597e-02,        +2.105660250652e-12,        +7.156521443230e-03,        +4.165411062724e-12,        +1.415828728597e-02,        +1.057960475777e-12,        +3.595697277679e-03,        +2.870106808490e-12,        +9.755530996607e-03,        +2.120198146302e-11,        +7.205931485486e-02,        +4.194303352064e-11,        +1.425649255951e-01,        +8.600586899514e-11,        +2.923087167157e-01,        +6.666517557234e-11,        +2.265958133567e-01,        +4.856150869168e-11,        +1.650463212952e-01,        +5.408309398189e-11,        +1.838291516442e-01,        +4.899759986274e-11,        +1.665284672473e-01,        +5.424312380254e-11,        +1.843730951208e-01,        +8.577429394886e-11,        +2.915216610718e-01,        +6.658697382557e-11,        +2.263300045853e-01,        +5.246996258094e-13,        +1.783300094209e-03,        +3.646114503944e-12,        +1.239319141545e-02
 2.00e+00,        +2.942295733137e-10,        +2.942214842037e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.314895657104e-13,        +7.867651205257e-04,        +9.595986786665e-12,        +3.261484052613e-02,        +2.314895657104e-13,        +7.867651205257e-04,        +9.595986786665e-12,        +3.261484052613e-02,        +2.539250568024e-13,        +8.630167727283e-04,        +4.363849472756e-12,        +1.483185187705e-02,        +5.967832491526e-11,        +2.028291182397e-01,        +5.637973146968e-11,        +1.916234350536e-01,        +5.935740133488e-11,        +2.017383931410e-01,        +5.627475660345e-11,        +1.912666464713e-01,        +5.767909517727e-11,        +1.960343228849e-01,        +5.459133616298e-11,        +1.855450369667e-01,        +5.766716780113e-11,        +1.959937852326e-01,        +5.457635666181e-11,        +1.854941246372e-01,        +5.930981310421e-11,        +2.015766547062e-01,        +5.622920615656e-11,        +1.911118296094e-01,        +5.235635842394e-14,        +1.779439022199e-04,        +2.210260889764e-12,        +7.512234858533e-03
 3.00e+00,        +2.942295733137e-10,        +2.942128275497e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.616773510422e-15,        +5.494938840490e-06,        +2.859238296507e-16,        +9.718265244654e-07,        +1.616773510422e-15,        +5.494938840490e-06,        +2.859238296507e-16,        +9.718265244654e-07,        +3.162943095440e-15,        +1.074991565198e-05,        +7.355387611963e-16,        +2.500022746534e-06,        +5.372075103064e-11,        +1.825810724110e-01,        +6.364715353228e-11,        +2.163303145630e-01,        +5.475243200194e-11,        +1.860874533627e-01,        +6.279628340748e-11,        +2.134382920367e-01,        +6.135416343391e-11,        +2.085248017149e-01,        +5.641586165818e-11,        +1.917518761097e-01,        +6.454051584311e-11,        +2.193542787567e-01,        +5.343410593879e-11,        +1.816171863879e-01,        +5.985655408274e-11,        +2.034348668919e-01,        +5.791816044569e-11,        +1.968580395629e-01,        +3.772047351666e-16,        +1.282008232274e-06,        +2.411046567758e-16,        +8.194906346669e-07
 4.00e+00,        +2.942295733137e-10,        +2.942128131245e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.672463909581e-15,        +5.684214169044e-06,        +4.319381765748e-16,        +1.468114770351e-06,        +1.672463909581e-15,        +5.684214169044e-06,        +4.319381765748e-16,        +1.468114770351e-06,        +3.174029282796e-15,        +1.078759435039e-05,        +7.827374591481e-16,        +2.660446534722e-06,        +6.405239531493e-11,        +2.176953002839e-01,        +5.417023917903e-11,        +1.841192387365e-01,        +6.295870414579e-11,        +2.139781648620e-01,        +5.488966303895e-11,        +1.865644886639e-01,        +5.629026796300e-11,        +1.913141066312e-01,        +6.120753202547e-11,        +2.080382950540e-01,        +5.306157539150e-11,        +1.803407277994e-01,        +6.416630946452e-11,        +2.180948843902e-01,        +5.786141680197e-11,        +1.966539805986e-01,        +5.977762285331e-11,        +2.031781764311e-01,        +3.672033085524e-16,        +1.248016317384e-06,        +2.318876316588e-16,        +7.881629259996e-07
 5.00e+00,        +2.942295733137e-10,        +2.942091983831e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.709777757869e-14,        +2.280456611585e-04,        +2.199056323145e-13,        +7.474464888351e-04,        +6.709777757869e-14,        +2.280456611585e-04,        +2.199056323145e-13,        +7.474464888351e-04,        +4.814688946564e-14,        +1.636371521850e-04,        +2.949872564681e-13,        +1.002644574300e-03,        +7.664032778826e-11,        +2.604779897721e-01,        +6.622772107386e-11,        +2.251041824587e-01,        +5.992091935775e-11,        +2.036536255785e-01,        +5.379702926924e-11,        +1.828529820444e-01,        +4.955224461631e-11,        +1.684135420456e-01,        +6.005475830773e-11,        +2.041226400730e-01,        +4.882991992090e-11,        +1.659585723181e-01,        +5.977900722566e-11,        +2.031853781397e-01,        +5.912952978818e-11,        +2.009639246057e-01,        +5.369417957782e-11,        +1.825034019089e-01,        +4.138717525267e-14,        +1.406628667083e-04,        +1.416100400594e-13,        +4.813243122162e-04
 6.00e+00,        +2.942295733137e-10,        +2.942105911162e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.334125064494e-13,        +4.534299694856e-04,        +3.352248215981e-13,        +1.139404330504e-03,        +1.334125064494e-13,        +4.534299694856e-04,        +3.352248215981e-13,        +1.139404330504e-03,        +8.864687694731e-14,        +3.012847279386e-04,        +3.331982273830e-13,        +1.132516086926e-03,        +4.638739850264e-11,        +1.576571585929e-01,        +5.947032782087e-11,        +2.021352378758e-01,        +5.702754731400e-11,        +1.938199028457e-01,        +6.079258205209e-11,        +2.066294820368e-01,        +6.631175611756e-11,        +2.253742048114e-01,        +5.632170708579e-11,        +1.914333092908e-01,        +6.710888489630e-11,        +2.280834116724e-01,        +5.659874464463e-11,        +1.923749394265e-01,        +5.709314222816e-11,        +1.940428407150e-01,        +6.021586747672e-11,        +2.046692719261e-01,        +7.878487162501e-14,        +2.677666651170e-04,        +1.429389871442e-13,        +4.858390263991e-04
 7.00e+00,        +2.942295733137e-10,        +2.942117680904e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.829823532037e-12,        +9.617739985030e-03,        +2.728152647455e-12,        +9.272751614126e-03,        +2.829823532037e-12,        +9.617739985030e-03,        +2.728152647455e-12,        +9.272751614126e-03,        +1.775086110407e-12,        +6.032996922829e-03,        +1.505856876076e-12,        +5.118275471611e-03,        +7.859121880874e-11,        +2.671084960075e-01,        +7.150564462241e-11,        +2.430414156664e-01,        +4.158892780768e-11,        +1.413485644536e-01,        +4.702157184410e-11,        +1.598221993270e-01,        +6.127176105735e-11,        +2.082447402118e-01,        +6.020538385937e-11,        +2.046328202646e-01,        +6.793378791415e-11,        +2.308870150239e-01,        +6.487232714643e-11,        +2.204953512482e-01,        +3.841066470921e-11,        +1.305465806058e-01,        +4.514874748776e-11,        +1.534566335698e-01,        +1.828303374102e-12,        +6.213866789499e-03,        +1.224083606781e-12,        +4.160552838269e-03
 8.00e+00,        +2.942295733137e-10,        +2.941980305771e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.315905122524e-12,        +1.126978870676e-02,        +1.092660950071e-13,        +3.714032170535e-04,        +3.315905122524e-12,        +1.126978870676e-02,        +1.092660950071e-13,        +3.714032170535e-04,        +1.398776810682e-12,        +4.754032012923e-03,        +1.120326567783e-13,        +3.808069569960e-04,        +5.484165222440e-11,        +1.863906867238e-01,        +5.520972448086e-11,        +1.876617745284e-01,        +6.214485909665e-11,        +2.112121443020e-01,        +6.319787990704e-11,        +2.148140821442e-01,        +5.515572968913e-11,        +1.874581438839e-01,        +5.641935785922e-11,        +1.917734042901e-01,        +5.493169429974e-11,        +1.866967133218e-01,        +5.616395236219e-11,        +1.909052628667e-01,        +6.191364003620e-11,        +2.104262985495e-01,        +6.296744195552e-11,        +2.140308071811e-01,        +5.273160343598e-13,        +1.792192499282e-03,        +1.837526050250e-14,        +6.245881546675e-05
