        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +3.240285232972e-03,        +2.545295268354e-02
 2.00e+00,        -1.637350304991e-04,        -6.897135564981e-04
 3.00e+00,        -5.414993865102e-03,        +4.281671129818e-03
 4.00e+00,        +4.725908432317e-03,        +6.635391199269e-02
 5.00e+00,        +2.368339818954e-04,        -2.868168507880e-04
 6.00e+00,        -2.852200756331e-04,        +4.016369716944e-04
