        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +1.620142616486e-01,        +1.272647634177e+00
 2.00e+00,        -8.186751524953e-03,        -3.448567782490e-02
 3.00e+00,        -2.707496932551e-01,        +2.140835564909e-01
 4.00e+00,        +2.362954216158e-01,        +3.317695599635e+00
 5.00e+00,        +1.184169909477e-02,        -1.434084253940e-02
 6.00e+00,        -1.426100378165e-02,        +2.008184858472e-02
