        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43534000e+00,        +4.071574216744e-04,        +1.314785839246e-03,        -9.918726657628e-05
 2.43534500e+00,        +4.078413639105e-04,        +1.314858955649e-03,        -9.919521991803e-05
 2.43535000e+00,        +4.085282353233e-04,        +1.314932267473e-03,        -9.920319526940e-05
 2.43535500e+00,        +4.092180528624e-04,        +1.315005776080e-03,        -9.921119273509e-05
 2.43536000e+00,        +4.099108336010e-04,        +1.315079481807e-03,        -9.921921242669e-05
 2.43536500e+00,        +4.106065947360e-04,        +1.315153386246e-03,        -9.922725444316e-05
 2.43537000e+00,        +4.113053535902e-04,        +1.315227489336e-03,        -9.923531889535e-05
 2.43537500e+00,        +4.120071276127e-04,        +1.315301793146e-03,        -9.924340588740e-05
 2.43538000e+00,        +4.127119343801e-04,        +1.315376297236e-03,        -9.925151552060e-05
 2.43538500e+00,        +4.134197915980e-04,        +1.315451003623e-03,        -9.925964792069e-05
 2.43539000e+00,        +4.141307171014e-04,        +1.315525912504e-03,        -9.926780318339e-05
 2.43539500e+00,        +4.148447288570e-04,        +1.315601025012e-03,        -9.927598142042e-05
 2.43540000e+00,        +4.155618449628e-04,        +1.315676341908e-03,        -9.928418274956e-05
 2.43540500e+00,        +4.162820836508e-04,        +1.315751864171e-03,        -9.929240726859e-05
 2.43541000e+00,        +4.170054632873e-04,        +1.315827592795e-03,        -9.930065509983e-05
 2.43541500e+00,        +4.177320023743e-04,        +1.315903528548e-03,        -9.930892635287e-05
 2.43542000e+00,        +4.184617195507e-04,        +1.315979672258e-03,        -9.931722114427e-05
 2.43542500e+00,        +4.191946335936e-04,        +1.316056025208e-03,        -9.932553957753e-05
 2.43543000e+00,        +4.199307634194e-04,        +1.316132588050e-03,        -9.933388177887e-05
 2.43543500e+00,        +4.206701280851e-04,        +1.316209361528e-03,        -9.934224786409e-05
 2.43544000e+00,        +4.214127467898e-04,        +1.316286347100e-03,        -9.935063794277e-05
 2.43544500e+00,        +4.221586388753e-04,        +1.316363545139e-03,        -9.935905213486e-05
 2.43545000e+00,        +4.229078238282e-04,        +1.316440957079e-03,        -9.936749055819e-05
 2.43545500e+00,        +4.236603212809e-04,        +1.316518583611e-03,        -9.937595332961e-05
 2.43546000e+00,        +4.244161510124e-04,        +1.316596425666e-03,        -9.938444056943e-05
 2.43546500e+00,        +4.251753329507e-04,        +1.316674484388e-03,        -9.939295240185e-05
 2.43547000e+00,        +4.259378871726e-04,        +1.316752760595e-03,        -9.940148894169e-05
 2.43547500e+00,        +4.267038339068e-04,        +1.316831255621e-03,        -9.941005031318e-05
 2.43548000e+00,        +4.274731935342e-04,        +1.316909969756e-03,        -9.941863663746e-05
 2.43548500e+00,        +4.282459865892e-04,        +1.316988904386e-03,        -9.942724804300e-05
 2.43549000e+00,        +4.290222337618e-04,        +1.317068060566e-03,        -9.943588464693e-05
 2.43549500e+00,        +4.298019558984e-04,        +1.317147439439e-03,        -9.944454657984e-05
 2.43550000e+00,        +4.305851740035e-04,        +1.317227041855e-03,        -9.945323396070e-05
 2.43550500e+00,        +4.313719092411e-04,        +1.317306868207e-03,        -9.946194692424e-05
 2.43551000e+00,        +4.321621829360e-04,        +1.317386920683e-03,        -9.947068558982e-05
 2.43551500e+00,        +4.329560165758e-04,        +1.317467199149e-03,        -9.947945009377e-05
 2.43552000e+00,        +4.337534318114e-04,        +1.317547705430e-03,        -9.948824056391e-05
 2.43552500e+00,        +4.345544504599e-04,        +1.317628440429e-03,        -9.949705712186e-05
 2.43553000e+00,        +4.353590945046e-04,        +1.317709405126e-03,        -9.950589990845e-05
 2.43553500e+00,        +4.361673860977e-04,        +1.317790600414e-03,        -9.951476904596e-05
 2.43554000e+00,        +4.369793475612e-04,        +1.317872027530e-03,        -9.952366467215e-05
 2.43554500e+00,        +4.377950013890e-04,        +1.317953687279e-03,        -9.953258692252e-05
 2.43555000e+00,        +4.386143702478e-04,        +1.318035581019e-03,        -9.954153593081e-05
 2.43555500e+00,        +4.394374769792e-04,        +1.318117709781e-03,        -9.955051182851e-05
 2.43556000e+00,        +4.402643446016e-04,        +1.318200074442e-03,        -9.955951475348e-05
 2.43556500e+00,        +4.410949963109e-04,        +1.318282676584e-03,        -9.956854484415e-05
 2.43557000e+00,        +4.419294554831e-04,        +1.318365516400e-03,        -9.957760223584e-05
 2.43557500e+00,        +4.427677456753e-04,        +1.318448596024e-03,        -9.958668707094e-05
 2.43558000e+00,        +4.436098906278e-04,        +1.318531915871e-03,        -9.959579948675e-05
 2.43558500e+00,        +4.444559142660e-04,        +1.318615477408e-03,        -9.960493962173e-05
