        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43505000e+00,        -1.617329701547e-10,        -1.652206318851e-10,        +1.767645615914e-10,        +1.862645611354e-10,        -1.193348074801e-06,        -1.242049232900e-06,        -5.747604486190e-10,        -5.950909900643e-10,        +1.702371520400e-10,        +1.794271342500e-10,        -1.185696115097e-06,        -1.234092362353e-06,        -1.107132412615e-09,        -1.149285296431e-09,        +1.532027375379e-10,        +1.615551552033e-10,        -1.156257988806e-06,        -1.203467721067e-06,        +7.428550806422e-10,        +7.665927001257e-10,        +1.239385954118e-09,        +1.290478480518e-09,        -3.383416226317e-07,        -3.524293850341e-07
 2.43505500e+00,        -1.622443644358e-10,        -1.657364983304e-10,        +1.767978995166e-10,        +1.862897567183e-10,        -1.195005011868e-06,        -1.243686901440e-06,        -5.758443138093e-10,        -5.961725987339e-10,        +1.702633345715e-10,        +1.794453270719e-10,        -1.187341767991e-06,        -1.235718852869e-06,        -1.108942947751e-09,        -1.151084606221e-09,        +1.532179650169e-10,        +1.615629927493e-10,        -1.157861395921e-06,        -1.205052404267e-06,        +7.445098096981e-10,        +7.682519989557e-10,        +1.241057161774e-09,        +1.292128521601e-09,        -3.387851613487e-07,        -3.528667641116e-07
 2.43506000e+00,        -1.627571934997e-10,        -1.662537422580e-10,        +1.768313101790e-10,        +1.863150000577e-10,        -1.196666513650e-06,        -1.245328864025e-06,        -5.769311908254e-10,        -5.972570682260e-10,        +1.702895703398e-10,        +1.794635495089e-10,        -1.188991954499e-06,        -1.237349608110e-06,        -1.110758496097e-09,        -1.152888658225e-09,        +1.532332163229e-10,        +1.615708334605e-10,        -1.159469220236e-06,        -1.206641242549e-06,        +7.461691233688e-10,        +7.699156707803e-10,        +1.242732963721e-09,        +1.293782879458e-09,        -3.392299210859e-07,        -3.533052892937e-07
 2.43506500e+00,        -1.632714632779e-10,        -1.667723690884e-10,        +1.768647938777e-10,        +1.863402913396e-10,        -1.198332599016e-06,        -1.246975137542e-06,        -5.780210921167e-10,        -5.983444097947e-10,        +1.703158595713e-10,        +1.794818016746e-10,        -1.190646693360e-06,        -1.238984644849e-06,        -1.112579078391e-09,        -1.154697471096e-09,        +1.532484915495e-10,        +1.615786773478e-10,        -1.161081480009e-06,        -1.208234252257e-06,        +7.478330406172e-10,        +7.715837328190e-10,        +1.244413378945e-09,        +1.295441571066e-09,        -3.396759068896e-07,        -3.537449650879e-07
 2.43507000e+00,        -1.637871797453e-10,        -1.672923842655e-10,        +1.768983509131e-10,        +1.863656307510e-10,        -1.200003286934e-06,        -1.248625738969e-06,        -5.791140302044e-10,        -5.994346347501e-10,        +1.703422024803e-10,        +1.795000836853e-10,        -1.192306003415e-06,        -1.240623979948e-06,        -1.114404715444e-09,        -1.156511063603e-09,        +1.532637907956e-10,        +1.615865244199e-10,        -1.162698193597e-06,        -1.209831449818e-06,        +7.495015804962e-10,        +7.732562023612e-10,        +1.246098426537e-09,        +1.297104613490e-09,        -3.401231238340e-07,        -3.541857960249e-07
 2.43507500e+00,        -1.643043488947e-10,        -1.678137932775e-10,        +1.769319815871e-10,        +1.863910184799e-10,        -1.201678596480e-06,        -1.250280685372e-06,        -5.802100176723e-10,        -6.005277544725e-10,        +1.703685992919e-10,        +1.795183956532e-10,        -1.193969903609e-06,        -1.242267630356e-06,        -1.116235428233e-09,        -1.158329454574e-09,        +1.532791141592e-10,        +1.615943746866e-10,        -1.164319379459e-06,        -1.211432851745e-06,        +7.511747621745e-10,        +7.749330967944e-10,        +1.247788125694e-09,        +1.298772023885e-09,        -3.405715770211e-07,        -3.546277866598e-07
 2.43508000e+00,        -1.648229767577e-10,        -1.683366016144e-10,        +1.769656862035e-10,        +1.864164547151e-10,        -1.203358546835e-06,        -1.251939993908e-06,        -5.813090671832e-10,        -6.016237803862e-10,        +1.703950502212e-10,        +1.795367376974e-10,        -1.195638412992e-06,        -1.243915613112e-06,        -1.118071237811e-09,        -1.160152662974e-09,        +1.532944617357e-10,        +1.616022281616e-10,        -1.165945056155e-06,        -1.213038474641e-06,        +7.528526049264e-10,        +7.766144336037e-10,        +1.249482495721e-09,        +1.300443819496e-09,        -3.410212715815e-07,        -3.550709415712e-07
 2.43508500e+00,        -1.653430694009e-10,        -1.688608148224e-10,        +1.769994650677e-10,        +1.864419396470e-10,        -1.205043157286e-06,        -1.253603681822e-06,        -5.824111914654e-10,        -6.027227239864e-10,        +1.704215554977e-10,        +1.795551099366e-10,        -1.197311550719e-06,        -1.245567945344e-06,        -1.119912165364e-09,        -1.161980707838e-09,        +1.533098336296e-10,        +1.616100848560e-10,        -1.167575242349e-06,        -1.214648335191e-06,        +7.545351281243e-10,        +7.783002303569e-10,        +1.251181556025e-09,        +1.302120017659e-09,        -3.414722126736e-07,        -3.555152653619e-07
 2.43509000e+00,        -1.658646329217e-10,        -1.693864384584e-10,        +1.770333184867e-10,        +1.864674734662e-10,        -1.206732447226e-06,        -1.255271766451e-06,        -5.835164033128e-10,        -6.038245968273e-10,        +1.704481153433e-10,        +1.795735124865e-10,        -1.198989336053e-06,        -1.247224644273e-06,        -1.121758232203e-09,        -1.163813608332e-09,        +1.533252299331e-10,        +1.616179447786e-10,        -1.169209956808e-06,        -1.216262450175e-06,        +7.562223512595e-10,        +7.799905047145e-10,        +1.252885326126e-09,        +1.303800635801e-09,        -3.419244054851e-07,        -3.559607626591e-07
 2.43509500e+00,        -1.663876734489e-10,        -1.699134781214e-10,        +1.770672467689e-10,        +1.864930563646e-10,        -1.208426436157e-06,        -1.256944265225e-06,        -5.846247156022e-10,        -6.049294105233e-10,        +1.704747299808e-10,        +1.795919454632e-10,        -1.200671788360e-06,        -1.248885727206e-06,        -1.123609459739e-09,        -1.165651383688e-09,        +1.533406507501e-10,        +1.616258079397e-10,        -1.170849218402e-06,        -1.217880836454e-06,        +7.579142939242e-10,        +7.816852744359e-10,        +1.254593825649e-09,        +1.305485691440e-09,        -3.423778552318e-07,        -3.564074381141e-07
 2.43510000e+00,        -1.669121971498e-10,        -1.704419394343e-10,        +1.771012502249e-10,        +1.865186885356e-10,        -1.210125143689e-06,        -1.258621195664e-06,        -5.857361412694e-10,        -6.060371767502e-10,        +1.705013996393e-10,        +1.796104089874e-10,        -1.202358927119e-06,        -1.250551211546e-06,        -1.125465869501e-09,        -1.167494053278e-09,        +1.533560961839e-10,        +1.616336743535e-10,        -1.172493046109e-06,        -1.219503510985e-06,        +7.596109758204e-10,        +7.833845573768e-10,        +1.256307074328e-09,        +1.307175202189e-09,        -3.428325671590e-07,        -3.568552964032e-07
 2.43510500e+00,        -1.674382102324e-10,        -1.709718280462e-10,        +1.771353291672e-10,        +1.865443701726e-10,        -1.211828589540e-06,        -1.260302575383e-06,        -5.868506933280e-10,        -6.071479072408e-10,        +1.705281245487e-10,        +1.796289031836e-10,        -1.204050771912e-06,        -1.252221114785e-06,        -1.127327483176e-09,        -1.169341636533e-09,        +1.533715663306e-10,        +1.616415440314e-10,        -1.174141459009e-06,        -1.221130490809e-06,        +7.613124167632e-10,        +7.850883714715e-10,        +1.258025092008e-09,        +1.308869185753e-09,        -3.432885465409e-07,        -3.573043422270e-07
 2.43511000e+00,        -1.679657189266e-10,        -1.715031496435e-10,        +1.771694839093e-10,        +1.865701014709e-10,        -1.213536793539e-06,        -1.261988422087e-06,        -5.879683848673e-10,        -6.082616137998e-10,        +1.705549049362e-10,        +1.796474281642e-10,        -1.205747342435e-06,        -1.253895454511e-06,        -1.129194322521e-09,        -1.171194153024e-09,        +1.533870612902e-10,        +1.616494169833e-10,        -1.175794476291e-06,        -1.222761793061e-06,        +7.630186366721e-10,        +7.867967347731e-10,        +1.259747898645e-09,        +1.310567659929e-09,        -3.437457986813e-07,        -3.577545803115e-07
 2.43511500e+00,        -1.684947295043e-10,        -1.720359099333e-10,        +1.772037147670e-10,        +1.865958826264e-10,        -1.215249775625e-06,        -1.263678753577e-06,        -5.890892290449e-10,        -6.093783082873e-10,        +1.705817410290e-10,        +1.796659840538e-10,        -1.207448658489e-06,        -1.255574248401e-06,        -1.131066409451e-09,        -1.173051622413e-09,        +1.534025811682e-10,        +1.616572932177e-10,        -1.177452117250e-06,        -1.224397434966e-06,        +7.647296555879e-10,        +7.885096654067e-10,        +1.261475514305e-09,        +1.312270642613e-09,        -3.442043289134e-07,        -3.582060154075e-07
 2.43512000e+00,        -1.690252482714e-10,        -1.725701146624e-10,        +1.772380220577e-10,        +1.866217138361e-10,        -1.216967555851e-06,        -1.265373587750e-06,        -5.902132390931e-10,        -6.104980026274e-10,        +1.706086330642e-10,        +1.796845709745e-10,        -1.209154739991e-06,        -1.257257514230e-06,        -1.132943765972e-09,        -1.174914064459e-09,        +1.534181260706e-10,        +1.616651727514e-10,        -1.179114401288e-06,        -1.226037433840e-06,        +7.664454936482e-10,        +7.902271816124e-10,        +1.263207959168e-09,        +1.313978151790e-09,        -3.446641426003e-07,        -3.586586522908e-07
