        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43505000e+00,        -1.194643552812e+00,        +1.131946413271e+00,        -1.748405809283e+01,        +1.681853699463e+01,        -1.484129365649e-02,        +1.422772223856e-02,        -1.305530432232e+00,        +1.236757600325e+00,        -3.871989926047e+01,        +3.722237012064e+01,        -2.217959795135e-02,        +2.120522173079e-02,        -1.488236241932e+00,        +1.409788817727e+00,        -7.774511182199e+01,        +7.471852401739e+01,        -4.230614643696e-02,        +4.040104272978e-02,        +1.332824833284e+00,        -1.267779449483e+00,        -2.153093548241e+02,        +2.069047550309e+02,        -4.538561292792e-01,        +4.360751397449e-01
 2.43505500e+00,        -1.194670213681e+00,        +1.132029093194e+00,        -1.750911591524e+01,        +1.684381705400e+01,        -1.485730858485e-02,        +1.424406910146e-02,        -1.305544694652e+00,        +1.236833565825e+00,        -3.877306141396e+01,        +3.727608074859e+01,        -2.219806364596e-02,        +2.122430719522e-02,        -1.488265807895e+00,        +1.409888648048e+00,        -7.784991207481e+01,        +7.482447255348e+01,        -4.233716829230e-02,        +4.043333386826e-02,        +1.333119151279e+00,        -1.268124352471e+00,        -2.155971025177e+02,        +2.071957465630e+02,        -4.544558432876e-01,        +4.366818026518e-01
 2.43506000e+00,        -1.194696882368e+00,        +1.132111930608e+00,        -1.753423952929e+01,        +1.686916685681e+01,        -1.487336539840e-02,        +1.426046087214e-02,        -1.305558937118e+00,        +1.236909673743e+00,        -3.882636305064e+01,        +3.732993944510e+01,        -2.221657722453e-02,        +2.124344465135e-02,        -1.488295409239e+00,        +1.409988699541e+00,        -7.795498720989e+01,        +7.493071307174e+01,        -4.236827017940e-02,        +4.046571253702e-02,        +1.333413637440e+00,        -1.268469614450e+00,        -2.158856048496e+02,        +2.074875399229e+02,        -4.550571270893e-01,        +4.372901342962e-01
 2.43506500e+00,        -1.194723558896e+00,        +1.132194926153e+00,        -1.755942919375e+01,        +1.689458669134e+01,        -1.488946426190e-02,        +1.427689773625e-02,        -1.305573159540e+00,        +1.236985924655e+00,        -3.887980471914e+01,        +3.738394682218e+01,        -2.223513887534e-02,        +2.126263431404e-02,        -1.488325046089e+00,        +1.410088973108e+00,        -7.806033830840e+01,        +7.503724677902e+01,        -4.239945241289e-02,        +4.049817909768e-02,        +1.333708292366e+00,        -1.268815236838e+00,        -2.161748647880e+02,        +2.077801384248e+02,        -4.556599868587e-01,        +4.379001415753e-01
 2.43507000e+00,        -1.194750243285e+00,        +1.132278080475e+00,        -1.758468516875e+01,        +1.692007684743e+01,        -1.490560534097e-02,        +1.429337988043e-02,        -1.305587361828e+00,        +1.237062319144e+00,        -3.893338697092e+01,        +3.743810349519e+01,        -2.225374878768e-02,        +2.128187639930e-02,        -1.488354718573e+00,        +1.410189469656e+00,        -7.816596645711e+01,        +7.514407488874e+01,        -4.243071530903e-02,        +4.053073391384e-02,        +1.334003116662e+00,        -1.269161221062e+00,        -2.164648853163e+02,        +2.080735454008e+02,        -4.562644288021e-01,        +4.385118314242e-01
 2.43507500e+00,        -1.194776935558e+00,        +1.132361394222e+00,        -1.761000771577e+01,        +1.694563761656e+01,        -1.492178880210e-02,        +1.430990749237e-02,        -1.305601543893e+00,        +1.237138857792e+00,        -3.898711036036e+01,        +3.749241008289e+01,        -2.227240715182e-02,        +2.130117112436e-02,        -1.488384426819e+00,        +1.410290190096e+00,        -7.827187274853e+01,        +7.525119862109e+01,        -4.246205918573e-02,        +4.056337735111e-02,        +1.334298110931e+00,        -1.269507568555e+00,        -2.167556694340e+02,        +2.083677642019e+02,        -4.568704591587e-01,        +4.391252108163e-01
 2.43508000e+00,        -1.194803635736e+00,        +1.132444868047e+00,        -1.763539709770e+01,        +1.697126929179e+01,        -1.493801481265e-02,        +1.432648076078e-02,        -1.305615705643e+00,        +1.237215541188e+00,        -3.904097544476e+01,        +3.754686720750e+01,        -2.229111415902e-02,        +2.132051870764e-02,        -1.488414170956e+00,        +1.410391135345e+00,        -7.837805828095e+01,        +7.535861920300e+01,        -4.249348436260e-02,        +4.059610977714e-02,        +1.334593275784e+00,        -1.269854280760e+00,        -2.170472201562e+02,        +2.086627981973e+02,        -4.574780842005e-01,        +4.397402867638e-01
 2.43508500e+00,        -1.194830343840e+00,        +1.132528502603e+00,        -1.766085357877e+01,        +1.699697216780e+01,        -1.495428354086e-02,        +1.434309987542e-02,        -1.305629846988e+00,        +1.237292369921e+00,        -3.909498278434e+01,        +3.760147549460e+01,        -2.230987000157e-02,        +2.133991936879e-02,        -1.488443951112e+00,        +1.410492306324e+00,        -7.848452415836e+01,        +7.546633786811e+01,        -4.252499116090e-02,        +4.062893156156e-02,        +1.334888611833e+00,        -1.270201359126e+00,        -2.173395405135e+02,        +2.089586507748e+02,        -4.580873102323e-01,        +4.403570663172e-01
 2.43509000e+00,        -1.194857059894e+00,        +1.132612298550e+00,        -1.768637742466e+01,        +1.702274654095e+01,        -1.497059515588e-02,        +1.435976502712e-02,        -1.305643967835e+00,        +1.237369344584e+00,        -3.914913294228e+01,        +3.765623557336e+01,        -2.232867487276e-02,        +2.135937332865e-02,        -1.488473767418e+00,        +1.410593703960e+00,        -7.859127149067e+01,        +7.557435585703e+01,        -4.255657990361e-02,        +4.066184307612e-02,        +1.335184119693e+00,        -1.270548805110e+00,        -2.176326335532e+02,        +2.092553253414e+02,        -4.586981435925e-01,        +4.409755565668e-01
 2.43509500e+00,        -1.194883783917e+00,        +1.132696256551e+00,        -1.771196890239e+01,        +1.704859270917e+01,        -1.498694982770e-02,        +1.437647640773e-02,        -1.305658068091e+00,        +1.237446465776e+00,        -3.920342648473e+01,        +3.771114807630e+01,        -2.234752896688e-02,        +2.137888080927e-02,        -1.488503620004e+00,        +1.410695329185e+00,        -7.869830139354e+01,        +7.568267441710e+01,        -4.258825091539e-02,        +4.069484469457e-02,        +1.335479799982e+00,        -1.270896620179e+00,        -2.179265023381e+02,        +2.095528253224e+02,        -4.593105906523e-01,        +4.415957646415e-01
