        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.45300000e+00,        +9.110902856275e-09,        +9.120778475621e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +7.110887655926e-12,        +7.804811189518e-04,        +2.465870501962e-10,        +2.703574600077e-02,        +1.890940050048e-09,        +2.075469445650e-01,        +1.794223226683e-09,        +1.967182112228e-01,        +1.854025108797e-09,        +2.034952120601e-01,        +1.759968952558e-09,        +1.929625806900e-01,        +1.749275181876e-09,        +1.919980060671e-01,        +1.655953968421e-09,        +1.815584023718e-01,        +1.748485445589e-09,        +1.919113257128e-01,        +1.655027195009e-09,        +1.814567911536e-01,        +1.851916509338e-09,        +2.032637751222e-01,        +1.757615448040e-09,        +1.927045430100e-01
 2.45320000e+00,        +7.378367265247e-09,        +7.387711715362e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +5.805339365011e-12,        +7.868054213505e-04,        +1.994885916975e-10,        +2.700275800999e-02,        +1.538678499264e-09,        +2.085391583192e-01,        +1.461155435711e-09,        +1.977818696786e-01,        +1.503335251512e-09,        +2.037490406032e-01,        +1.427364526243e-09,        +1.932079351818e-01,        +1.411097780442e-09,        +1.912479725817e-01,        +1.335867968137e-09,        +1.808229692232e-01,        +1.410413343630e-09,        +1.911552099436e-01,        +1.335078869652e-09,        +1.807161569225e-01,        +1.501611519294e-09,        +2.035154208664e-01,        +1.425436650831e-09,        +1.929469781376e-01
 2.45340000e+00,        +6.059647080799e-09,        +6.068441135999e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.808761454336e-12,        +7.935712080616e-04,        +1.636430293785e-10,        +2.696623823336e-02,        +1.270073294573e-09,        +2.095952582119e-01,        +1.207102303357e-09,        +1.989147255951e-01,        +1.236063960876e-09,        +2.039828300880e-01,        +1.173833632573e-09,        +1.934324822911e-01,        +1.154276170737e-09,        +1.904857090432e-01,        +1.092786803006e-09,        +1.800770211848e-01,        +1.153676759625e-09,        +1.903867905576e-01,        +1.092107043311e-09,        +1.799650056474e-01,        +1.234635969581e-09,        +2.037471742362e-01,        +1.172232906519e-09,        +1.931687035020e-01
 2.45360000e+00,        +5.045015953890e-09,        +5.053280223681e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +4.039877757712e-12,        +8.007661015614e-04,        +1.360657976361e-10,        +2.692623239030e-02,        +1.063059064450e-09,        +2.107147081725e-01,        +1.011242237112e-09,        +2.001160023490e-01,        +1.030174498061e-09,        +2.041964797489e-01,        +9.784979842385e-10,        +1.936362008291e-01,        +9.570980064691e-10,        +1.897115916415e-01,        +9.061588779878e-10,        +1.793209238113e-01,        +9.565675555602e-10,        +1.896064480872e-01,        +9.055665420985e-10,        +1.792037057147e-01,        +1.028976073425e-09,        +2.039589334959e-01,        +9.771512711380e-10,        +1.933696980743e-01
 2.45380000e+00,        +4.254079313734e-09,        +4.261850919691e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +3.438902110768e-12,        +8.083775259353e-04,        +1.145704388845e-10,        +2.688278896739e-02,        +9.014262814799e-10,        +2.118969147025e-01,        +8.582722678272e-10,        +2.013848639946e-01,        +8.694908906221e-10,        +2.043899106007e-01,        +8.260280716844e-10,        +1.938190911062e-01,        +8.037062040153e-10,        +1.889260036644e-01,        +7.609749965339e-10,        +1.785550482346e-01,        +8.032321570828e-10,        +1.888145701679e-01,        +7.604532727286e-10,        +1.784326310466e-01,        +8.684729233424e-10,        +2.041506185695e-01,        +8.248810845399e-10,        +1.935499622309e-01
 2.45400000e+00,        +3.629088380113e-09,        +3.636409460902e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.962761366105e-12,        +8.163927289125e-04,        +9.758653554172e-11,        +2.683595909398e-02,        +7.735083564464e-10,        +2.131412287133e-01,        +7.371744446033e-10,        +2.027204176343e-01,        +7.423774429327e-10,        +2.045630652042e-01,        +7.053949783676e-10,        +1.939811745492e-01,        +6.827379828775e-10,        +1.881293347990e-01,        +6.464800393274e-10,        +1.777797704792e-01,        +6.823105344552e-10,        +1.880115508331e-01,        +6.460159968735e-10,        +1.776521604125e-01,        +7.415032158878e-10,        +2.043221708105e-01,        +7.044071216411e-10,        +1.937095173728e-01
 2.45420000e+00,        +3.128649345899e-09,        +3.135561626946e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.580506238277e-12,        +8.247988038861e-04,        +8.398851538310e-11,        +2.678579641406e-02,        +6.709293018904e-10,        +2.144469474567e-01,        +6.400362195206e-10,        +2.041217158739e-01,        +6.404842897446e-10,        +2.047159073880e-01,        +6.086830408496e-10,        +1.941224932780e-01,        +5.860647915474e-10,        +1.873219804308e-01,        +5.549802063228e-10,        +1.769954707806e-01,        +5.856762426318e-10,        +1.871977898065e-01,        +5.545638224374e-10,        +1.768626767440e-01,        +6.397260469918e-10,        +2.044735527266e-01,        +6.078236217400e-10,        +1.938484055030e-01
 2.45440000e+00,        +2.722905557145e-09,        +2.729447973253e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.269766998425e-12,        +8.335827118456e-04,        +7.296457751145e-11,        +2.673235695512e-02,        +5.876392789100e-10,        +2.158133165390e-01,        +5.611410930880e-10,        +2.055877593516e-01,        +5.577829064362e-10,        +2.048484219265e-01,        +5.301764619307e-10,        +1.942431096420e-01,        +5.078337063901e-10,        +1.865043409447e-01,        +4.809356463289e-10,        +1.762025329084e-01,        +5.074779610992e-10,        +1.863736917968e-01,        +4.805590740717e-10,        +1.760645664548e-01,        +5.571194044274e-10,        +2.046047476621e-01,        +5.294219855307e-10,        +1.939666887659e-01
 2.45460000e+00,        +2.390101012274e-09,        +2.396308842485e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +2.014212940753e-12,        +8.427313031579e-04,        +6.392321337982e-11,        +2.667569899443e-02,        +5.192244253663e-10,        +2.172395320113e-01,        +4.963174950804e-10,        +2.071174993311e-01,        +4.898765714226e-10,        +2.049606141777e-01,        +4.657061027141e-10,        +1.943431057205e-01,        +4.437863578957e-10,        +1.856768210283e-01,        +4.203157904048e-10,        +1.754013434967e-01,        +4.434585430326e-10,        +1.855396657945e-01,        +4.199728193511e-10,        +1.752582187677e-01,        +4.892913438650e-10,        +2.047157594396e-01,        +4.650383550281e-10,        +1.940644489489e-01
 2.45480000e+00,        +2.114192355421e-09,        +2.120097087384e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.801780982235e-12,        +8.522313391281e-04,        +5.642825586353e-11,        +2.661588292315e-02,        +4.624261785911e-10,        +2.187247425265e-01,        +4.424851246301e-10,        +2.087098403479e-01,        +4.335204484293e-10,        +2.050525096818e-01,        +4.121947514933e-10,        +1.944225827893e-01,        +3.907869534085e-10,        +1.848398289807e-01,        +3.701526084416e-10,        +1.745922913833e-01,        +3.904831342290e-10,        +1.846961243747e-01,        +3.698382694229e-10,        +1.744440250513e-01,        +4.330005733521e-10,        +2.048066119631e-01,        +4.115994370550e-10,        +1.941417869513e-01
