        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +7.945393217649e-07,        +5.468165236923e-05
 2.00e+00,        +7.114867634958e-04,        +1.366442978437e-03
 3.00e+00,        +8.883764019713e-03,        -1.281339815740e-03
 4.00e+00,        -5.394629418449e-05,        -3.235450473955e-04
 5.00e+00,        +6.132644292879e-04,        +1.782380098939e-03
 6.00e+00,        +4.085040708148e-08,        -4.738366117579e-07
 7.00e+00,        +2.012384979489e-04,        +8.568162326056e-04
 8.00e+00,        +7.965415937941e-08,        +6.413021720766e-07
