        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +5.978744400973e+07,        +4.053692683820e-08
 2.00e+00,        +7.616451900885e+04,        +3.216941226186e-05
 3.00e+00,        +2.247039797314e+03,        +1.091973303982e-03
 4.00e+00,        +1.798662890261e+06,        -1.458324751406e-06
 5.00e+00,        +5.447041881121e+04,        +4.815791478648e-05
 6.00e+00,        +9.022070885494e+11,        +3.065837059912e-12
 7.00e+00,        +2.650833146823e+05,        +1.049955146623e-05
 8.00e+00,        +4.917701340541e+11,        +5.660439598188e-12
