        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        -2.571065046047e-06,        +1.143998636063e-04
 2.00e+00,        +1.885911909473e-04,        +6.632451860731e-04
 3.00e+00,        +5.639370110568e-04,        -4.754335427977e-03
 4.00e+00,        +1.676072106867e-05,        +3.232401083534e-04
 5.00e+00,        +3.167366783832e-07,        +4.478319309106e-06
 6.00e+00,        +6.040467219562e-03,        -1.142989352078e-02
 7.00e+00,        +4.078765538656e-06,        +1.103512046773e-04
 8.00e+00,        +2.425377200634e-07,        +1.162118578941e-05
 9.00e+00,        -2.161792894636e-07,        -7.959605031829e-06
 1.00e+01,        -5.952024810692e-07,        -2.078018117728e-05
 1.10e+01,        +4.695907910855e-07,        +1.116066574168e-05
 1.20e+01,        +5.146646385039e-06,        +8.742489275004e-05
 1.30e+01,        +1.334253144842e-05,        +1.658833914019e-04
 1.40e+01,        -1.432240813811e-05,        -3.221547461670e-04
 1.50e+01,        +3.371686729641e-06,        +3.629069608296e-05
 1.60e+01,        -1.720641241787e-06,        -1.984505006720e-05
