        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41005000e+00,        +9.429810737863e-11,        +7.715391711448e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.146019906766e-13,        +2.275782586122e-03,        +9.143402995083e-13,        +1.185086038019e-02,        +2.146019906766e-13,        +2.275782586122e-03,        +9.143402995083e-13,        +1.185086038019e-02,        +1.302326143349e-13,        +1.381073469608e-03,        +5.549575591373e-13,        +7.192863044321e-03,        +5.356116190297e-11,        +5.679982705051e-01,        +3.907360146132e-11,        +5.064370406930e-01,        +1.511697042077e-11,        +1.603104329557e-01,        +1.219557788799e-11,        +1.580681622412e-01,        +4.473892937808e-12,        +4.744414349531e-02,        +5.469975976174e-12,        +7.089693149420e-02,        +5.850561397061e-12,        +6.204325367390e-02,        +6.110685049147e-12,        +7.920122889004e-02,        +1.486443861049e-11,        +1.576324172743e-01,        +1.224461049864e-11,        +1.587036790429e-01,        +8.624750452688e-14,        +9.146260399540e-04,        +5.901683825519e-13,        +7.649234214204e-03
 2.41005500e+00,        +9.430927465375e-11,        +7.716477617261e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.146577138705e-13,        +2.276103963884e-03,        +9.145435273023e-13,        +1.185182634699e-02,        +2.146577138705e-13,        +2.276103963884e-03,        +9.145435273023e-13,        +1.185182634699e-02,        +1.302641148889e-13,        +1.381243948352e-03,        +5.550817625858e-13,        +7.193460411836e-03,        +5.356316659641e-11,        +5.679522697323e-01,        +3.907592346853e-11,        +5.063958635884e-01,        +1.512033208455e-11,        +1.603270955064e-01,        +1.219822251703e-11,        +1.580801904971e-01,        +4.474791221421e-12,        +4.744805044731e-02,        +5.471196209177e-12,        +7.090276782426e-02,        +5.852134896753e-12,        +6.205259152124e-02,        +6.112220876283e-12,        +7.920998646597e-02,        +1.486766237617e-11,        +1.576479347419e-01,        +1.224728459807e-11,        +1.587159997804e-01,        +8.626564970080e-14,        +9.147101387166e-04,        +5.903032136279e-13,        +7.649905085028e-03
 2.41006000e+00,        +9.432044586402e-11,        +7.717563912342e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.147134578936e-13,        +2.276425391406e-03,        +9.147468263535e-13,        +1.185279236743e-02,        +2.147134578936e-13,        +2.276425391406e-03,        +9.147468263535e-13,        +1.185279236743e-02,        +1.302956269138e-13,        +1.381414450709e-03,        +5.552060095612e-13,        +7.194057812379e-03,        +5.356517198292e-11,        +5.679062635067e-01,        +3.907824632943e-11,        +5.063546835930e-01,        +1.512369494107e-11,        +1.603437600674e-01,        +1.220086806207e-11,        +1.580922192632e-01,        +4.475689702384e-12,        +4.745195658677e-02,        +5.472416827401e-12,        +7.090860392681e-02,        +5.853709129098e-12,        +6.206193233583e-02,        +6.113757338618e-12,        +7.921874581227e-02,        +1.487088722262e-11,        +1.576634534156e-01,        +1.224995963799e-11,        +1.587283212311e-01,        +8.628380111551e-14,        +9.147942455649e-04,        +5.904380919876e-13,        +7.650575993850e-03
 2.41006500e+00,        +9.433162101139e-11,        +7.718650596885e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.147692227567e-13,        +2.276746868696e-03,        +9.149501966969e-13,        +1.185375844148e-02,        +2.147692227567e-13,        +2.276746868696e-03,        +9.149501966969e-13,        +1.185375844148e-02,        +1.303271504154e-13,        +1.381584976682e-03,        +5.553303000849e-13,        +7.194655245945e-03,        +5.356717806288e-11,        +5.678602518282e-01,        +3.908057004444e-11,        +5.063135007072e-01,        +1.512705899093e-11,        +1.603604266390e-01,        +1.220351452355e-11,        +1.581042485390e-01,        +4.476588380650e-12,        +4.745586191198e-02,        +5.473637830974e-12,        +7.091443980096e-02,        +5.855284094650e-12,        +6.207127612005e-02,        +6.115294436563e-12,        +7.922750693017e-02,        +1.487411315032e-11,        +1.576789732950e-01,        +1.225263561888e-11,        +1.587406433946e-01,        +8.630195877418e-14,        +9.148783604997e-04,        +5.905730176547e-13,        +7.651246940664e-03
 2.41007000e+00,        +9.434280009782e-11,        +7.719737671084e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.148250084707e-13,        +2.277068395764e-03,        +9.151536383673e-13,        +1.185472456914e-02,        +2.148250084707e-13,        +2.277068395764e-03,        +9.151536383673e-13,        +1.185472456914e-02,        +1.303586853996e-13,        +1.381755526277e-03,        +5.554546341784e-13,        +7.195252712524e-03,        +5.356918483666e-11,        +5.678142346964e-01,        +3.908289461401e-11,        +5.062723149311e-01,        +1.513042423473e-11,        +1.603770952213e-01,        +1.220616190190e-11,        +1.581162783241e-01,        +4.477487256170e-12,        +4.745976642126e-02,        +5.474859220025e-12,        +7.092027544579e-02,        +5.856859793964e-12,        +6.208062287627e-02,        +6.116832170527e-12,        +7.923626982092e-02,        +1.487734015975e-11,        +1.576944943792e-01,        +1.225531254118e-11,        +1.587529662710e-01,        +8.632012267994e-14,        +9.149624835222e-04,        +5.907079906524e-13,        +7.651917925463e-03
 2.41007500e+00,        +9.435398312529e-11,        +7.720825135135e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.148808150464e-13,        +2.277389972622e-03,        +9.153571513999e-13,        +1.185569075039e-02,        +2.148808150464e-13,        +2.277389972622e-03,        +9.153571513999e-13,        +1.185569075039e-02,        +1.303902318723e-13,        +1.381926099497e-03,        +5.555790118631e-13,        +7.195850212109e-03,        +5.357119230461e-11,        +5.677682121112e-01,        +3.908522003855e-11,        +5.062311262650e-01,        +1.513379067307e-11,        +1.603937658146e-01,        +1.220881019756e-11,        +1.581283086182e-01,        +4.478386328897e-12,        +4.746367011290e-02,        +5.476080994683e-12,        +7.092611086040e-02,        +5.858436227596e-12,        +6.208997260685e-02,        +6.118370540923e-12,        +7.924503448575e-02,        +1.488056825136e-11,        +1.577100166678e-01,        +1.225799040537e-11,        +1.587652898599e-01,        +8.633829283596e-14,        +9.150466146332e-04,        +5.908430110045e-13,        +7.652588948243e-03
 2.41008000e+00,        +9.436517009576e-11,        +7.721912989233e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.149366424949e-13,        +2.277711599277e-03,        +9.155607358297e-13,        +1.185665698521e-02,        +2.149366424949e-13,        +2.277711599277e-03,        +9.155607358297e-13,        +1.185665698521e-02,        +1.304217898394e-13,        +1.382096696345e-03,        +5.557034331607e-13,        +7.196447744691e-03,        +5.357320046711e-11,        +5.677221840722e-01,        +3.908754631850e-11,        +5.061899347092e-01,        +1.513715830655e-11,        +1.604104384190e-01,        +1.221145941096e-11,        +1.581403394209e-01,        +4.479285598781e-12,        +4.746757298520e-02,        +5.477303155077e-12,        +7.093194604387e-02,        +5.860013396105e-12,        +6.209932531418e-02,        +6.119909548160e-12,        +7.925380092593e-02,        +1.488379742563e-11,        +1.577255401599e-01,        +1.226066921191e-11,        +1.587776141612e-01,        +8.635646924538e-14,        +9.151307538337e-04,        +5.909780787344e-13,        +7.653260008996e-03
 2.41008500e+00,        +9.437636101119e-11,        +7.723001233572e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.149924908268e-13,        +2.278033275741e-03,        +9.157643916916e-13,        +1.185762327359e-02,        +2.149924908268e-13,        +2.278033275741e-03,        +9.157643916916e-13,        +1.185762327359e-02,        +1.304533593068e-13,        +1.382267316827e-03,        +5.558278980925e-13,        +7.197045310265e-03,        +5.357520932452e-11,        +5.676761505794e-01,        +3.908987345429e-11,        +5.061487402638e-01,        +1.514052713576e-11,        +1.604271130349e-01,        +1.221410954254e-11,        +1.581523707318e-01,        +4.480185065775e-12,        +4.747147503646e-02,        +5.478525701335e-12,        +7.093778099529e-02,        +5.861591300045e-12,        +6.210868100063e-02,        +6.121449192650e-12,        +7.926256914268e-02,        +1.488702768304e-11,        +1.577410648550e-01,        +1.226334896126e-11,        +1.587899391748e-01,        +8.637465191136e-14,        +9.152149011246e-04,        +5.911131938657e-13,        +7.653931107716e-03
 2.41009000e+00,        +9.438755587356e-11,        +7.724089868349e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.150483600532e-13,        +2.278355002022e-03,        +9.159681190207e-13,        +1.185858961551e-02,        +2.150483600532e-13,        +2.278355002022e-03,        +9.159681190207e-13,        +1.185858961551e-02,        +1.304849402804e-13,        +1.382437960945e-03,        +5.559524066801e-13,        +7.197642908820e-03,        +5.357721887722e-11,        +5.676301116324e-01,        +3.909220144635e-11,        +5.061075429292e-01,        +1.514389716131e-11,        +1.604437896622e-01,        +1.221676059274e-11,        +1.581644025505e-01,        +4.481084729829e-12,        +4.747537626498e-02,        +5.479748633586e-12,        +7.094361571374e-02,        +5.863169939976e-12,        +6.211803966860e-02,        +6.122989474806e-12,        +7.927133913726e-02,        +1.489025902406e-11,        +1.577565907524e-01,        +1.226602965389e-11,        +1.588022649006e-01,        +8.639284083708e-14,        +9.152990565070e-04,        +5.912483564220e-13,        +7.654602244398e-03
 2.41009500e+00,        +9.439875468484e-11,        +7.725178893758e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.151042501849e-13,        +2.278676778131e-03,        +9.161719178523e-13,        +1.185955601096e-02,        +2.151042501849e-13,        +2.278676778131e-03,        +9.161719178523e-13,        +1.185955601096e-02,        +1.305165327663e-13,        +1.382608628705e-03,        +5.560769589451e-13,        +7.198240540350e-03,        +5.357922912556e-11,        +5.675840672309e-01,        +3.909453029511e-11,        +5.060663427057e-01,        +1.514726838380e-11,        +1.604604683014e-01,        +1.221941256198e-11,        +1.581764348766e-01,        +4.481984590894e-12,        +4.747927666903e-02,        +5.480971951959e-12,        +7.094945019832e-02,        +5.864749316457e-12,        +6.212740132046e-02,        +6.124530395040e-12,        +7.928011091093e-02,        +1.489349144916e-11,        +1.577721178513e-01,        +1.226871129027e-11,        +1.588145913382e-01,        +8.641103602568e-14,        +9.153832199818e-04,        +5.913835664268e-13,        +7.655273419035e-03
