        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41005000e+00,        +7.697048115920e-11,        +7.629837046830e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.119561279314e-13,        +2.753732661395e-03,        +8.984476153096e-13,        +1.177544959080e-02,        +2.119561279314e-13,        +2.753732661395e-03,        +8.984476153096e-13,        +1.177544959080e-02,        +1.285139655393e-13,        +1.669652620119e-03,        +5.458917348495e-13,        +7.154697164552e-03,        +3.680906522780e-11,        +4.782231405267e-01,        +3.878369654024e-11,        +5.083161842408e-01,        +1.476952871111e-11,        +1.918856227566e-01,        +1.205842385897e-11,        +1.580430064883e-01,        +5.265859703972e-12,        +6.841401566765e-02,        +5.789185916328e-12,        +7.587561675034e-02,        +4.865100425149e-12,        +6.320735367479e-02,        +5.603771020211e-12,        +7.344548757485e-02,        +1.483536612121e-11,        +1.927409819685e-01,        +1.203744029185e-11,        +1.577679866289e-01,        +8.509087648682e-14,        +1.105500124273e-03,        +5.815134905408e-13,        +7.621571561380e-03
 2.41005500e+00,        +7.698145424303e-11,        +7.630902663021e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.120107881512e-13,        +2.754050183072e-03,        +8.986464496268e-13,        +1.177641085611e-02,        +2.120107881512e-13,        +2.754050183072e-03,        +8.986464496268e-13,        +1.177641085611e-02,        +1.285448617578e-13,        +1.669815970896e-03,        +5.460134384246e-13,        +7.155292925837e-03,        +3.681102780365e-11,        +4.781804678233e-01,        +3.878597614113e-11,        +5.082750737876e-01,        +1.477276509072e-11,        +1.919003120424e-01,        +1.206104685314e-11,        +1.580553099123e-01,        +5.267157130595e-12,        +6.842111755861e-02,        +5.790576186116e-12,        +7.588324005464e-02,        +4.866197758117e-12,        +6.321259848838e-02,        +5.605068101673e-12,        +7.345222903754e-02,        +1.483864213512e-11,        +1.927560641849e-01,        +1.204005354451e-11,        +1.577802007993e-01,        +8.510867493059e-14,        +1.105573748476e-03,        +5.816459155835e-13,        +7.622242626710e-03
 2.41006000e+00,        +7.699243110070e-11,        +7.631968652225e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.120654682485e-13,        +2.754367737410e-03,        +8.988453522952e-13,        +1.177737217295e-02,        +2.120654682485e-13,        +2.754367737410e-03,        +8.988453522952e-13,        +1.177737217295e-02,        +1.285757689279e-13,        +1.669979335497e-03,        +5.461351837945e-13,        +7.155888718637e-03,        +3.681299101860e-11,        +4.781377921481e-01,        +3.878825655259e-11,        +5.082339605952e-01,        +1.477600257217e-11,        +1.919150020454e-01,        +1.206367075264e-11,        +1.580676140372e-01,        +5.268455067888e-12,        +6.842822070390e-02,        +5.791966973632e-12,        +7.589086430463e-02,        +4.867295441230e-12,        +6.321784325610e-02,        +5.606365626085e-12,        +7.345897083120e-02,        +1.484191928432e-11,        +1.927711473990e-01,        +1.204266769512e-11,        +1.577924156123e-01,        +8.512647931529e-14,        +1.105647374662e-03,        +5.817783861010e-13,        +7.622913727920e-03
 2.41006500e+00,        +7.700341173393e-11,        +7.633035014616e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.121201682329e-13,        +2.754685324409e-03,        +8.990443233460e-13,        +1.177833354130e-02,        +2.121201682329e-13,        +2.754685324409e-03,        +8.990443233460e-13,        +1.177833354130e-02,        +1.286066870546e-13,        +1.670142713923e-03,        +5.462569709784e-13,        +7.156484542942e-03,        +3.681495487293e-11,        +4.780951135014e-01,        +3.879053777498e-11,        +5.081928446641e-01,        +1.477924115596e-11,        +1.919296927651e-01,        +1.206629555789e-11,        +1.580799188630e-01,        +5.269753516148e-12,        +6.843532510425e-02,        +5.793358279147e-12,        +7.589848950062e-02,        +4.868393474601e-12,        +6.322308797722e-02,        +5.607663593630e-12,        +7.346571295549e-02,        +1.484519756936e-11,        +1.927862316108e-01,        +1.204528274408e-11,        +1.578046310676e-01,        +8.514428964365e-14,        +1.105721002828e-03,        +5.819109021143e-13,        +7.623584864998e-03
 2.41007000e+00,        +7.701439614449e-11,        +7.634101750368e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.121748881137e-13,        +2.755002944068e-03,        +8.992433628108e-13,        +1.177929496116e-02,        +2.121748881137e-13,        +2.755002944068e-03,        +8.992433628108e-13,        +1.177929496116e-02,        +1.286376161433e-13,        +1.670306106172e-03,        +5.463787999957e-13,        +7.157080398743e-03,        +3.681691936695e-11,        +4.780524318840e-01,        +3.879281980869e-11,        +5.081517259948e-01,        +1.478248084259e-11,        +1.919443842013e-01,        +1.206892126931e-11,        +1.580922243894e-01,        +5.271052475672e-12,        +6.844243076038e-02,        +5.794750102932e-12,        +7.590611564291e-02,        +4.869491858344e-12,        +6.322833265105e-02,        +5.608962004494e-12,        +7.347245541002e-02,        +1.484847699076e-11,        +1.928013168201e-01,        +1.204789869180e-11,        +1.578168471650e-01,        +8.516210591839e-14,        +1.105794632975e-03,        +5.820434636445e-13,        +7.624256037935e-03
 2.41007500e+00,        +7.702538433412e-11,        +7.635168859653e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.122296279006e-13,        +2.755320596389e-03,        +8.994424707209e-13,        +1.178025643249e-02,        +2.122296279006e-13,        +2.755320596389e-03,        +8.994424707209e-13,        +1.178025643249e-02,        +1.286685561990e-13,        +1.670469512243e-03,        +5.465006708656e-13,        +7.157676286028e-03,        +3.681888450093e-11,        +4.780097472960e-01,        +3.879510265409e-11,        +5.081106045879e-01,        +1.478572163254e-11,        +1.919590763534e-01,        +1.207154788732e-11,        +1.581045306163e-01,        +5.272351946755e-12,        +6.844953767299e-02,        +5.796142445256e-12,        +7.591374273181e-02,        +4.870590592573e-12,        +6.323357727688e-02,        +5.610260858864e-12,        +7.347919819443e-02,        +1.485175754908e-11,        +1.928164030270e-01,        +1.205051553871e-11,        +1.578290639044e-01,        +8.517992814224e-14,        +1.105868265100e-03,        +5.821760707127e-13,        +7.624927246720e-03
 2.41008000e+00,        +7.703637630456e-11,        +7.636236342645e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.122843876030e-13,        +2.755638281372e-03,        +8.996416471080e-13,        +1.178121795529e-02,        +2.122843876030e-13,        +2.755638281372e-03,        +8.996416471080e-13,        +1.178121795529e-02,        +1.286995072269e-13,        +1.670632932137e-03,        +5.466225836074e-13,        +7.158272204787e-03,        +3.682085027517e-11,        +4.779670597381e-01,        +3.879738631154e-11,        +5.080694804438e-01,        +1.478896352632e-11,        +1.919737692211e-01,        +1.207417541234e-11,        +1.581168375435e-01,        +5.273651929695e-12,        +6.845664584281e-02,        +5.797535306391e-12,        +7.592137076762e-02,        +4.871689677402e-12,        +6.323882185400e-02,        +5.611560156923e-12,        +7.348594130835e-02,        +1.485503924483e-11,        +1.928314902313e-01,        +1.205313328521e-11,        +1.578412812853e-01,        +8.519775631793e-14,        +1.105941899202e-03,        +5.823087233400e-13,        +7.625598491342e-03
 2.41008500e+00,        +7.704737205758e-11,        +7.637304199518e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.123391672306e-13,        +2.755955999017e-03,        +8.998408920034e-13,        +1.178217952953e-02,        +2.123391672306e-13,        +2.755955999017e-03,        +8.998408920034e-13,        +1.178217952953e-02,        +1.287304692322e-13,        +1.670796365851e-03,        +5.467445382405e-13,        +7.158868155010e-03,        +3.682281668996e-11,        +4.779243692107e-01,        +3.879967078142e-11,        +5.080283535631e-01,        +1.479220652442e-11,        +1.919884628040e-01,        +1.207680384479e-11,        +1.581291451708e-01,        +5.274952424790e-12,        +6.846375527056e-02,        +5.798928686608e-12,        +7.592899975065e-02,        +4.872789112945e-12,        +6.324406638170e-02,        +5.612859898858e-12,        +7.349268475142e-02,        +1.485832207855e-11,        +1.928465784329e-01,        +1.205575193171e-11,        +1.578534993076e-01,        +8.521559044818e-14,        +1.106015535280e-03,        +5.824414215475e-13,        +7.626269771791e-03
 2.41009000e+00,        +7.705837159491e-11,        +7.638372430444e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.123939667927e-13,        +2.756273749324e-03,        +9.000402054388e-13,        +1.178314115520e-02,        +2.123939667927e-13,        +2.756273749324e-03,        +9.000402054388e-13,        +1.178314115520e-02,        +1.287614422201e-13,        +1.670959813386e-03,        +5.468665347842e-13,        +7.159464136686e-03,        +3.682478374559e-11,        +4.778816757143e-01,        +3.880195606410e-11,        +5.079872239464e-01,        +1.479545062734e-11,        +1.920031571017e-01,        +1.207943318510e-11,        +1.581414534981e-01,        +5.276253432337e-12,        +6.847086595696e-02,        +5.800322586178e-12,        +7.593662968121e-02,        +4.873888899315e-12,        +6.324931085927e-02,        +5.614160084855e-12,        +7.349942852326e-02,        +1.486160605078e-11,        +1.928616676317e-01,        +1.205837147863e-11,        +1.578657179711e-01,        +8.523343053573e-14,        +1.106089173332e-03,        +5.825741653563e-13,        +7.626941088056e-03
 2.41009500e+00,        +7.706937491832e-11,        +7.639441035598e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.124487862990e-13,        +2.756591532293e-03,        +9.002395874456e-13,        +1.178410283227e-02,        +2.124487862990e-13,        +2.756591532293e-03,        +9.002395874456e-13,        +1.178410283227e-02,        +1.287924261957e-13,        +1.671123274741e-03,        +5.469885732577e-13,        +7.160060149805e-03,        +3.682675144235e-11,        +4.778389792493e-01,        +3.880424215996e-11,        +5.079460915941e-01,        +1.479869583557e-11,        +1.920178521138e-01,        +1.208206343369e-11,        +1.581537625251e-01,        +5.277554952634e-12,        +6.847797790273e-02,        +5.801717005372e-12,        +7.594426055960e-02,        +4.874989036627e-12,        +6.325455528598e-02,        +5.615460715098e-12,        +7.350617262351e-02,        +1.486489116206e-11,        +1.928767578278e-01,        +1.206099192638e-11,        +1.578779372755e-01,        +8.525127658332e-14,        +1.106162813357e-03,        +5.827069547875e-13,        +7.627612440128e-03
