        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40025000e+00,        +4.503005488947e-11,        +4.687829322769e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.352645025399e-16,        +5.224610609901e-06,        +3.837757759973e-14,        +8.186641397826e-04,        +3.017200473835e-11,        +6.700414825699e-01,        +3.204483569475e-11,        +6.835751365586e-01,        +3.960883830297e-12,        +8.796089278636e-02,        +3.719511785424e-12,        +7.934401040067e-02,        +3.379393667750e-12,        +7.504751384480e-02,        +3.199316907296e-12,        +6.824729927254e-02,        +3.396142559917e-12,        +7.541946302871e-02,        +3.213400522162e-12,        +6.854772861620e-02,        +3.957276437205e-12,        +8.788078200033e-02,        +3.718263468581e-12,        +7.931738151219e-02
 2.40027500e+00,        +4.504674044591e-11,        +4.689400610036e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.354795383446e-16,        +5.227449001053e-06,        +3.842291485963e-14,        +8.193566311524e-04,        +3.017597419677e-11,        +6.698814142392e-01,        +3.204771143399e-11,        +6.834074138474e-01,        +3.963911217304e-12,        +8.799551705775e-02,        +3.722325281371e-12,        +7.937742135754e-02,        +3.382620018786e-12,        +7.509133813684e-02,        +3.202323945871e-12,        +6.828855566354e-02,        +3.399379021066e-12,        +7.546337398480e-02,        +3.216420478556e-12,        +6.858915981015e-02,        +3.960303538141e-12,        +8.791542959467e-02,        +3.721074349019e-12,        +7.935074561672e-02
 2.40030000e+00,        +4.506345621381e-11,        +4.690974887678e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.356950458118e-16,        +5.230292250409e-06,        +3.846833820298e-14,        +8.200499709350e-04,        +3.017995011398e-11,        +6.697211587763e-01,        +3.205059320987e-11,        +6.832394966354e-01,        +3.966944562709e-12,        +8.803018889379e-02,        +3.725144285408e-12,        +7.941087672826e-02,        +3.385852096173e-12,        +7.513520667629e-02,        +3.205336311616e-12,        +6.832985441971e-02,        +3.402621227242e-12,        +7.550732928912e-02,        +3.219445776873e-12,        +6.863063337494e-02,        +3.963336590069e-12,        +8.795012462569e-02,        +3.723890732838e-12,        +7.938415408318e-02
 2.40032500e+00,        +4.508020226376e-11,        +4.692552162695e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.359110253807e-16,        +5.233140348403e-06,        +3.851384782979e-14,        +8.207441599897e-04,        +3.018393250493e-11,        +6.695607159951e-01,        +3.205348103621e-11,        +6.830713847154e-01,        +3.969983880037e-12,        +8.806490833401e-02,        +3.727968810131e-12,        +7.944437655415e-02,        +3.389089913738e-12,        +7.517911951479e-02,        +3.208354017384e-12,        +6.837119559140e-02,        +3.405869192292e-12,        +7.555132899281e-02,        +3.222476429992e-12,        +6.867214936064e-02,        +3.966375606518e-12,        +8.798486713327e-02,        +3.726712632637e-12,        +7.941760695307e-02
 2.40035000e+00,        +4.509697866654e-11,        +4.694132442104e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.361274774945e-16,        +5.235993285503e-06,        +3.855944394071e-14,        +8.214391991766e-04,        +3.018792138463e-11,        +6.694000857098e-01,        +3.205637492689e-11,        +6.829030778799e-01,        +3.973029182855e-12,        +8.809967541800e-02,        +3.730798868176e-12,        +7.947792087655e-02,        +3.392333485352e-12,        +7.522307670401e-02,        +3.211377076068e-12,        +6.841257922899e-02,        +3.409122930103e-12,        +7.559537314709e-02,        +3.225512450830e-12,        +6.871370781742e-02,        +3.969420601060e-12,        +8.801965715734e-02,        +3.729540061051e-12,        +7.945110426794e-02
 2.40037500e+00,        +4.511378549314e-11,        +4.695715732950e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.363444026001e-16,        +5.238851052214e-06,        +3.860512673704e-14,        +8.221350893571e-04,        +3.019191676814e-11,        +6.692392677340e-01,        +3.205927489582e-11,        +6.827345759213e-01,        +3.976080484773e-12,        +8.813449018542e-02,        +3.733634472220e-12,        +7.951150973687e-02,        +3.395582824927e-12,        +7.526707829568e-02,        +3.214405500600e-12,        +6.845400538292e-02,        +3.412382454605e-12,        +7.563946180318e-02,        +3.228553852346e-12,        +6.875530879545e-02,        +3.972471587311e-12,        +8.805449473787e-02,        +3.732373030759e-12,        +7.948464606939e-02
 2.40040000e+00,        +4.513062281480e-11,        +4.697302042293e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.365618011482e-16,        +5.241713639074e-06,        +3.865089642067e-14,        +8.228318313932e-04,        +3.019591867055e-11,        +6.690782618813e-01,        +3.206218095696e-11,        +6.825658786317e-01,        +3.979137799444e-12,        +8.816935267596e-02,        +3.736475634978e-12,        +7.954514317656e-02,        +3.398837946418e-12,        +7.531112434156e-02,        +3.217439303949e-12,        +6.849547410365e-02,        +3.415647779771e-12,        +7.568359501237e-02,        +3.231600647536e-12,        +6.879695234497e-02,        +3.975528578929e-12,        +8.808937991490e-02,        +3.735211554477e-12,        +7.951823239908e-02
 2.40042500e+00,        +4.514749070295e-11,        +4.698891377221e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.367796735934e-16,        +5.244581036659e-06,        +3.869675319417e-14,        +8.235294261484e-04,        +3.019992710700e-11,        +6.689170679651e-01,        +3.206509312430e-11,        +6.823969858028e-01,        +3.982201140564e-12,        +8.820426292936e-02,        +3.739322369206e-12,        +7.957882123715e-02,        +3.402098863821e-12,        +7.535521489346e-02,        +3.220478499128e-12,        +6.853698544172e-02,        +3.418918919616e-12,        +7.572777282597e-02,        +3.234652849437e-12,        +6.883863851626e-02,        +3.978591589614e-12,        +8.812431272851e-02,        +3.738055644962e-12,        +7.955186329873e-02
 2.40045000e+00,        +4.516438922925e-11,        +4.700483744839e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.369980203940e-16,        +5.247453235579e-06,        +3.874269726069e-14,        +8.242278744869e-04,        +3.020394209268e-11,        +6.687556857985e-01,        +3.206801141188e-11,        +6.822278972264e-01,        +3.985270521873e-12,        +8.823922098545e-02,        +3.742174687701e-12,        +7.961254396019e-02,        +3.405365591178e-12,        +7.539935000322e-02,        +3.223523099186e-12,        +6.857853944769e-02,        +3.422195888196e-12,        +7.577199529534e-02,        +3.237710471125e-12,        +6.888036735964e-02,        +3.981660633112e-12,        +8.815929321884e-02,        +3.740905315011e-12,        +7.958553881009e-02
 2.40047500e+00,        +4.518131846559e-11,        +4.702079152276e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.372168420121e-16,        +5.250330226480e-06,        +3.878872882407e-14,        +8.249271772741e-04,        +3.020796364283e-11,        +6.685941151946e-01,        +3.207093583378e-11,        +6.820586126938e-01,        +3.988345957154e-12,        +8.827422688408e-02,        +3.745032603300e-12,        +7.964631138730e-02,        +3.408638142571e-12,        +7.544352972272e-02,        +3.226573117215e-12,        +6.862013617217e-02,        +3.425478699613e-12,        +7.581626247189e-02,        +3.240773525718e-12,        +6.892213892547e-02,        +3.984735723209e-12,        +8.819432142609e-02,        +3.743760577461e-12,        +7.961925897500e-02
