        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.142051860631e-12,        +1.775642067948e-02,        +2.939378169735e-14,        +8.497622049144e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262376249931e-13,        +3.649478099206e-04,        +5.026426361106e-12,        +1.453119299665e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.264674809946e-13,        +3.656123142182e-04,        +5.009255704877e-12,        +1.448155333188e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.364981459753e-12,        +1.261898284420e-02,        +2.267979480780e-12,        +6.556635903920e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.358340619424e-12,        +1.259978444646e-02,        +2.248906905109e-12,        +6.501497867848e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.443358920931e-12,        +4.172691597705e-03,        +2.293559490242e-14,        +6.630586664887e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.037429616491e-14,        +1.745396205140e-04,        +2.337006729955e-14,        +6.756190857625e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.000325186873e-14,        +1.734669466318e-04,        +2.319127911843e-14,        +6.704503925824e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059667142e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.719175487058e-15,        +7.861025101239e-06,        +1.550327197162e-13,        +4.481932508677e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059667285e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.343872241341e-15,        +9.666997863737e-06,        +1.533517453498e-13,        +4.433336227188e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059667207e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.570888372771e-13,        +4.541374026198e-04,        +6.538636722280e-12,        +1.890293129161e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667205e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.895623268661e-12,        +8.371128420000e-03,        +3.821572926944e-12,        +1.104801100477e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667210e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.910725682959e-12,        +8.414788881948e-03,        +3.857892532859e-12,        +1.115300949975e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.316913942867e-11,        +3.807144338540e-02,        +3.358700150705e-13,        +9.709864743148e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667204e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167396898672e-15,        +6.265855773523e-06,        +7.796772556648e-16,        +2.254015052290e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059667206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.167177712570e-15,        +6.265222115468e-06,        +1.494493414937e-15,        +4.320519328144e-06
 1.70e+01,        +3.459059667205e-10,        +3.459059667181e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.098928143141e-14,        +2.052271086979e-04,        +1.191876731071e-13,        +3.445666874090e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059667224e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.544291412176e-14,        +2.181023786234e-04,        +1.196494057062e-13,        +3.459015374611e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059667274e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.078304598539e-14,        +1.179021176537e-04,        +1.382622382965e-14,        +3.997104750884e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059667275e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.165474495149e-14,        +9.151257277116e-05,        +1.348505181108e-14,        +3.898473315931e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059667241e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.457096651763e-12,        +2.444912047035e-02,        +2.033239989691e-12,        +5.878013637481e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059667665e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.958014749711e-12,        +2.300629510719e-02,        +1.912827982677e-12,        +5.529907450160e-03
