        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +2.769615786013e+03,        +8.627395000011e-04
 2.00e+00,        +9.232504951777e+03,        +2.655434352219e-04
 3.00e+00,        +3.882171380798e+05,        -6.713933664072e-06
 4.00e+00,        +9.081145755194e+04,        +2.870451622071e-05
 5.00e+00,        +1.318688422802e+08,        -2.064388437269e-08
 6.00e+00,        +3.860186031315e+03,        +7.101267324924e-04
 7.00e+00,        +3.256393619301e+06,        +8.446300098754e-07
 8.00e+00,        +4.120530869877e+10,        -6.775522994126e-11
