        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²),         Re{B_x[8]} (Wb/m²),         Im{B_x[8]} (Wb/m²),         Re{B_y[8]} (Wb/m²),         Im{B_y[8]} (Wb/m²),         Re{B_z[8]} (Wb/m²),         Im{B_z[8]} (Wb/m²),         Re{B_x[9]} (Wb/m²),         Im{B_x[9]} (Wb/m²),         Re{B_y[9]} (Wb/m²),         Im{B_y[9]} (Wb/m²),         Re{B_z[9]} (Wb/m²),         Im{B_z[9]} (Wb/m²),        Re{B_x[10]} (Wb/m²),        Im{B_x[10]} (Wb/m²),        Re{B_y[10]} (Wb/m²),        Im{B_y[10]} (Wb/m²),        Re{B_z[10]} (Wb/m²),        Im{B_z[10]} (Wb/m²),        Re{B_x[11]} (Wb/m²),        Im{B_x[11]} (Wb/m²),        Re{B_y[11]} (Wb/m²),        Im{B_y[11]} (Wb/m²),        Re{B_z[11]} (Wb/m²),        Im{B_z[11]} (Wb/m²),        Re{B_x[12]} (Wb/m²),        Im{B_x[12]} (Wb/m²),        Re{B_y[12]} (Wb/m²),        Im{B_y[12]} (Wb/m²),        Re{B_z[12]} (Wb/m²),        Im{B_z[12]} (Wb/m²)
 1.00e+00,        +1.019023571549e-13,        -6.027351142682e-10,        -4.982030249828e-14,        +7.833633256335e-10,        -1.779576033389e-11,        +5.245226446861e-07,        -7.081068621783e-13,        +8.251090438400e-09,        -2.980246777619e-13,        +5.100759199340e-09,        -1.504527754563e-11,        +4.813782204367e-07,        +6.273348116174e-13,        -8.089397941051e-09,        -1.574148282154e-13,        +8.424017286831e-10,        -1.474172087149e-11,        +4.823178176607e-07,        -9.565890291554e-14,        +2.771622689717e-09,        +8.746540839742e-14,        -9.605001640112e-10,        -7.833908443566e-11,        +1.254895421939e-06,        -5.396066160922e-14,        +1.845281674707e-09,        -7.627002133190e-14,        +1.775707774303e-09,        -7.776349953212e-11,        +1.250100302141e-06,        +5.700105293550e-14,        -5.191804236224e-10,        +1.795358333166e-13,        -9.072622183670e-10,        -7.862802883607e-11,        +1.258613564354e-06,        -4.546712513047e-14,        +1.757626668576e-09,        +9.389240822798e-15,        -2.904153545314e-10,        -1.190322239723e-10,        +1.851412516584e-06,        -9.920704057923e-14,        +1.980959419418e-09,        -2.040296661808e-15,        -9.813014790342e-11,        -1.232608805955e-10,        +1.901059716076e-06,        -2.627701708961e-11,        +4.082366509574e-10,        -2.321146599183e-12,        -2.090347000822e-09,        +1.005761570883e-10,        -7.547698474466e-07,        -1.037894357890e-12,        -1.332116158151e-10,        +3.975637451759e-12,        +2.669686582472e-09,        -6.913045576929e-10,        -5.588218908623e-08,        +2.375134525105e-12,        -1.310259320070e-10,        -3.658473084917e-13,        +1.176237936086e-10,        +1.109957507592e-10,        -7.279275545802e-07,        -3.344006478713e-08,        +5.476890594881e-06,        -3.441789002702e-08,        +3.959207116544e-06,        +1.574693763606e-23,        -2.270961493208e-21
 2.00e+00,        +4.653218635459e-12,        -5.563647183063e-08,        -3.717588882851e-11,        -6.022096656644e-07,        +3.945381426788e-12,        -5.342224132880e-09,        +2.528047110957e-11,        +3.992465296208e-07,        -3.182891981445e-11,        -4.593820981974e-07,        -3.364959644659e-12,        +1.172587351915e-09,        +3.711504254697e-11,        +5.905081391457e-07,        -8.404070762304e-12,        -8.924388284764e-08,        +4.717061383442e-13,        -2.496326578217e-09,        -5.980181224941e-13,        +3.685922229639e-09,        +4.309025154358e-11,        -1.022668740765e-06,        +8.572707622505e-13,        -4.196720630978e-09,        -2.827825255443e-11,        +6.544890313810e-07,        +3.354205575198e-11,        -7.838485424527e-07,        -2.926983243750e-13,        -3.299495161045e-09,        -4.387128766527e-11,        +1.017223954139e-06,        +6.297321000154e-12,        -1.650088584200e-07,        +2.898818768909e-13,        -8.043824390244e-09,        -4.975821368843e-13,        -1.638435842762e-09,        +2.567215270052e-11,        -3.418746258019e-07,        +4.454417701600e-14,        -5.964252844184e-10,        -7.190347214873e-13,        +1.110528904855e-09,        +1.362968730147e-11,        -1.741756510717e-07,        -9.840778986085e-15,        +9.337902993346e-11,        +1.010985950501e-10,        -1.911310913922e-07,        -1.257921346997e-10,        +2.470306655614e-07,        -1.308450867430e-11,        +8.158368035020e-09,        -1.092834454194e-11,        -1.144964355061e-07,        +9.734130344947e-12,        +1.428864695070e-07,        +1.097174966322e-12,        -9.011865047733e-09,        -8.815748603356e-11,        -4.726034209698e-08,        +2.379363072977e-11,        +1.393741823669e-07,        -5.244359114855e-13,        +1.309107761907e-08,        -3.346671560650e-10,        -9.724814598850e-08,        +1.378906623124e-09,        +5.398198106950e-08,        -7.175562426414e-25,        -2.892332505384e-23
 3.00e+00,        -6.803038177293e-13,        -8.296192531474e-10,        -2.329223094160e-12,        -9.378936837187e-10,        +7.617907421279e-11,        -4.255219765419e-07,        +1.561655232049e-12,        -2.179948764745e-09,        -3.309685988055e-12,        +7.798334338102e-09,        -2.012324350996e-11,        +4.144733548489e-08,        +3.771293190790e-12,        -8.857133287154e-09,        -6.650754853369e-13,        +2.689946169712e-10,        -4.473608392581e-11,        +3.193625837532e-07,        -5.571279657566e-13,        +2.560669863810e-09,        -4.805442080652e-12,        +2.038096665752e-09,        +1.257155913222e-11,        -6.718895859661e-08,        +2.426577233073e-12,        +7.520235191446e-10,        -3.622878561455e-12,        +1.450459818885e-09,        -4.139278458505e-12,        +1.015164250599e-08,        +3.864826251619e-12,        +8.862103201625e-10,        -8.289979054338e-13,        +3.401672270629e-10,        -9.946225923749e-12,        +6.333608092161e-08,        -2.023180069459e-13,        +6.695186768858e-10,        -1.654050936487e-12,        +7.636315760050e-10,        -3.172356391244e-13,        -4.161575420302e-10,        -1.756343612761e-13,        +6.519478978933e-10,        -8.832303657157e-13,        +5.607117779822e-10,        -5.143172261614e-13,        +5.189547551694e-10,        -1.723931966225e-12,        +9.250766393099e-11,        -9.990709073407e-13,        -3.696745815273e-10,        -2.448881403703e-11,        +4.180274212776e-08,        -3.196732868639e-12,        +5.125658376599e-10,        +4.089477876615e-12,        -5.030427443433e-10,        -1.933234090173e-10,        -9.839289958952e-08,        -2.034416993374e-12,        +1.462371832628e-10,        -9.185380340626e-13,        -1.230103375436e-10,        +5.689877149427e-12,        +3.371011139845e-07,        -4.905278757974e-09,        +8.927731129261e-07,        -5.201098632418e-09,        +6.462552723078e-07,        +2.350326792787e-24,        -3.708115513338e-22
 4.00e+00,        +1.134096321214e-12,        -4.853514464549e-09,        +4.683259193341e-12,        -7.633547445159e-10,        -1.330364869763e-11,        +1.866825311068e-07,        -1.533748920766e-12,        -4.376768988342e-09,        +4.219690462411e-12,        -3.882335414445e-09,        +6.245124320550e-11,        -3.995739520258e-07,        -3.393291803217e-12,        -4.216859038207e-09,        +1.249944717379e-12,        -2.591654217205e-09,        -4.441673168090e-11,        +2.248209369079e-07,        -1.463582740718e-13,        +6.213070719041e-10,        +8.548780854711e-12,        -4.037303869166e-09,        -3.180929825994e-12,        +2.673409039422e-08,        -5.466191022272e-12,        +2.758393937907e-09,        +6.420750788170e-12,        -2.597664454959e-09,        +1.070925420108e-11,        -6.894332971719e-08,        -8.402638704015e-12,        +3.028870683330e-09,        +1.344895268383e-12,        -2.966112370464e-10,        -9.566523526413e-12,        +3.710673590018e-08,        +1.310756313154e-13,        -3.057305103478e-10,        +2.990627783461e-12,        -1.414717653062e-09,        -3.916356940781e-12,        +1.197133420338e-09,        +7.644220924962e-14,        -2.478804677721e-10,        +1.620044413116e-12,        -9.369655539991e-10,        -4.254352292222e-12,        +1.021916096409e-09,        -5.230365803780e-11,        +1.135069192487e-09,        -7.008418742050e-12,        -4.794849255029e-09,        +2.532971863668e-10,        -1.590460353530e-06,        -8.548922396712e-13,        -1.671052503189e-10,        +6.608036531062e-12,        +5.490765840731e-09,        -1.410903512111e-09,        -1.110354402899e-07,        +5.052200547562e-12,        -3.555857523734e-10,        -2.244386886089e-12,        +3.586035183658e-10,        +2.676016542500e-10,        -1.501937054670e-06,        -6.900181694862e-08,        +1.157706808738e-05,        -7.120354255942e-08,        +8.369504311176e-06,        +3.258383165860e-23,        -4.799993662096e-21
 5.00e+00,        +1.138380550514e-11,        +6.527757734740e-07,        -2.000217322241e-10,        +1.707340601085e-07,        +3.893382177459e-13,        -1.033676037252e-08,        +6.685700835167e-11,        +7.686367425384e-07,        -2.337866380836e-10,        +5.067130208726e-08,        +2.237655750233e-12,        -6.446145147690e-09,        +9.618866117598e-11,        +8.454657018258e-07,        -1.745811762232e-10,        +9.569760785491e-08,        +3.131117675029e-12,        -1.270531807541e-08,        +2.010308212446e-12,        +9.734127334617e-07,        -2.441081101229e-10,        +1.966724387992e-07,        +1.386336995331e-12,        -1.316378770215e-08,        +1.641751225674e-11,        +9.570224604750e-07,        -2.541184131471e-10,        +1.767199356078e-07,        +5.439161486646e-12,        -1.917573115192e-08,        +3.227342586864e-11,        +9.891911001438e-07,        -2.466283001978e-10,        +1.864207353257e-07,        +4.556720297795e-12,        -6.681261870173e-09,        -4.622734672407e-12,        +1.262927258405e-06,        -3.084350635739e-10,        +2.420424002238e-07,        -5.085554930340e-13,        -2.011064130633e-08,        -6.471063128346e-12,        +1.252368168131e-06,        -3.135428305334e-10,        +2.460665677406e-07,        -4.633110703606e-13,        -8.529638484266e-09,        +1.545004767551e-10,        +2.133960331814e-07,        -1.682674836464e-10,        -2.306562540997e-07,        -4.358085291705e-13,        +1.455656667719e-08,        +1.375360011829e-10,        +1.047312497875e-07,        -1.574562173885e-10,        -1.278789317983e-07,        +1.292422287411e-11,        -5.334973939833e-11,        +1.487657058313e-10,        +6.464621014803e-08,        -1.889532091417e-10,        -1.376024080548e-07,        -1.177333690738e-11,        +1.347675807270e-08,        +8.731419194518e-10,        +1.181593867653e-07,        -5.675843189166e-10,        -2.613087835284e-08,        +3.848939167548e-25,        +1.127777930255e-23
 6.00e+00,        +2.592124809681e-10,        -1.336094683034e-07,        -5.181753299111e-10,        +8.631168446095e-07,        -5.816629151807e-12,        +4.097661328729e-09,        +3.403830370761e-10,        -2.660577961327e-07,        -5.551449871070e-10,        +8.435315797370e-07,        +2.360557166414e-12,        -4.516270752978e-09,        +3.293730282119e-10,        -2.050436253001e-07,        -4.607155106538e-10,        +6.659941565683e-07,        +6.400089174044e-12,        -1.145764867598e-08,        +3.812695232415e-10,        -1.912630996860e-07,        -6.700811457970e-10,        +9.945396650032e-07,        -4.765525010895e-12,        +1.825862424407e-09,        +3.730406809766e-10,        -2.079071095572e-07,        -6.671957650725e-10,        +9.704838927315e-07,        +6.555834142862e-12,        -1.451257229597e-08,        +3.803457848277e-10,        -1.994523320021e-07,        -6.815466955437e-10,        +9.668618469252e-07,        +1.133454580347e-11,        -1.585151697060e-08,        +4.968805168889e-10,        -2.496767262322e-07,        -8.686356703006e-10,        +1.223925962594e-06,        -8.338822105160e-12,        +4.699580332908e-09,        +4.922034054419e-10,        -2.466871848161e-07,        -8.856027536029e-10,        +1.241607768726e-06,        -4.502532657575e-12,        +3.223721015825e-09,        +2.463144787722e-10,        -3.681356412689e-07,        -2.920709996705e-10,        +4.990383531649e-07,        -4.925870140225e-12,        +9.095317425890e-09,        +7.407550330277e-12,        -2.162235230067e-07,        -1.110394743946e-11,        +2.713681090384e-07,        +5.701946861711e-12,        +3.847136342714e-09,        -1.494633776986e-10,        -7.801271698620e-08,        +1.447157424235e-11,        +2.707425422797e-07,        +1.040667992537e-11,        +9.941636791277e-09,        -1.109544971118e-09,        -8.968316006946e-08,        +2.321807839913e-09,        +1.797211041068e-07,        -1.200585307243e-24,        -1.007266177777e-22
 7.00e+00,        -3.134541269020e-10,        -8.611498606103e-07,        +1.495970432002e-11,        -3.139928133154e-08,        +9.837094438031e-14,        +4.740744656783e-10,        -1.243621117477e-10,        -3.804493277396e-07,        +1.391987986422e-10,        +1.783293443430e-07,        +7.124039659810e-13,        +1.735950014128e-09,        +1.137863733389e-11,        -2.866962999679e-09,        +2.901102465419e-10,        +7.469363697662e-07,        -6.614221000339e-13,        -1.508735350911e-09,        -2.191843026545e-10,        -6.271864433912e-07,        +3.001268282512e-11,        -2.396708442648e-08,        +1.312933813420e-13,        -5.339761640538e-11,        -1.299981134605e-10,        -4.446949795928e-07,        +1.488729000641e-10,        +3.157924123752e-07,        +1.548377296916e-13,        +4.506522207162e-10,        +3.093953413501e-12,        -9.297040360539e-08,        +2.191624833070e-10,        +6.034711735228e-07,        -1.281766281669e-12,        -3.838983878343e-09,        -1.048977809579e-10,        -3.015208265376e-07,        +1.634750764557e-11,        -1.635415275781e-08,        +1.849359327127e-13,        +2.407577129620e-11,        -5.407551604405e-11,        -1.520206257793e-07,        +8.508756196269e-12,        -9.516638373269e-09,        +5.794484498861e-14,        -1.241164962332e-10,        +6.136272373997e-11,        +3.594687163852e-07,        -1.077252596613e-10,        -4.821509719015e-07,        +1.300825286320e-12,        -1.404122076266e-09,        +1.734318119719e-10,        +2.166744328977e-07,        -2.135985126720e-10,        -2.711523289866e-07,        -1.357307473312e-12,        -2.720434434907e-09,        +2.289718761803e-10,        +8.965386588847e-08,        -2.379236277299e-10,        -2.764830869948e-07,        -1.568504457257e-11,        -1.825804361786e-09,        +1.370532175696e-09,        +5.163383412326e-08,        -2.056133746427e-09,        -1.960127610809e-07,        +1.086981854919e-24,        +1.094211075009e-22
 8.00e+00,        -1.806771425666e-11,        +6.676737090328e-09,        -6.762931241098e-10,        +5.622707193600e-07,        +1.915500927571e-12,        -2.265983390040e-09,        +4.657582641690e-10,        -3.875487372010e-07,        -5.481954904492e-10,        +4.577025389711e-07,        -8.376410346097e-13,        +9.979585564799e-10,        +6.692315319915e-10,        -5.583145283308e-07,        -1.133281182186e-10,        +9.520185081544e-08,        -3.523492010532e-12,        +3.338224367798e-09,        +8.532348527761e-13,        -2.105337406407e-09,        -5.171783890485e-10,        +3.279174486305e-07,        +1.188230181895e-12,        -1.900624054833e-09,        +3.233003075211e-10,        -2.037802566194e-07,        -3.885056134420e-10,        +2.442260507607e-07,        -1.073177279951e-12,        +5.819052124406e-10,        +5.125461689957e-10,        -3.260255084879e-07,        -8.554092940791e-11,        +5.345574010459e-08,        -5.845918382342e-12,        +3.988683516041e-09,        -2.711163497976e-12,        +1.181303572056e-09,        -1.425879710654e-10,        +7.632219716972e-08,        -6.823813798036e-13,        +4.430041265112e-10,        -1.559729167950e-12,        +7.180465644552e-10,        -7.179581080765e-11,        +3.651937499233e-08,        -1.554584150648e-13,        +9.218578554244e-11,        +4.626177676401e-10,        -5.071961385465e-07,        -5.849100088299e-10,        +6.558103989723e-07,        -3.357488308282e-12,        +2.944979814322e-09,        +9.475680769109e-11,        -2.894761518705e-07,        -1.277111614156e-10,        +3.613910046884e-07,        +2.582770769599e-12,        -1.263267932298e-08,        -1.686260478987e-10,        -1.200170749719e-07,        -8.879730723619e-11,        +3.633228727395e-07,        +2.024204392110e-11,        +1.113053664008e-08,        -1.628837327007e-09,        -1.421672842295e-07,        +2.553959063368e-09,        +2.196080952505e-07,        -1.366276136947e-24,        -1.213927343453e-22
