        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m),           Re{E_x[7]} (V/m),           Im{E_x[7]} (V/m),           Re{E_y[7]} (V/m),           Im{E_y[7]} (V/m),           Re{E_z[7]} (V/m),           Im{E_z[7]} (V/m),           Re{E_x[8]} (V/m),           Im{E_x[8]} (V/m),           Re{E_y[8]} (V/m),           Im{E_y[8]} (V/m),           Re{E_z[8]} (V/m),           Im{E_z[8]} (V/m),           Re{E_x[9]} (V/m),           Im{E_x[9]} (V/m),           Re{E_y[9]} (V/m),           Im{E_y[9]} (V/m),           Re{E_z[9]} (V/m),           Im{E_z[9]} (V/m),          Re{E_x[10]} (V/m),          Im{E_x[10]} (V/m),          Re{E_y[10]} (V/m),          Im{E_y[10]} (V/m),          Re{E_z[10]} (V/m),          Im{E_z[10]} (V/m),          Re{E_x[11]} (V/m),          Im{E_x[11]} (V/m),          Re{E_y[11]} (V/m),          Im{E_y[11]} (V/m),          Re{E_z[11]} (V/m),          Im{E_z[11]} (V/m),          Re{E_x[12]} (V/m),          Im{E_x[12]} (V/m),          Re{E_y[12]} (V/m),          Im{E_y[12]} (V/m),          Re{E_z[12]} (V/m),          Im{E_z[12]} (V/m)
 1.00e+00,        -2.010175845639e+00,        -9.759669864771e-05,        +3.395101804428e+02,        +2.386764313057e-02,        -4.045145764474e-01,        -3.783578576525e-05,        -2.119826637585e+02,        -1.451310589462e-02,        +2.532871614796e+02,        +1.724951365546e-02,        -4.843229717722e-01,        -7.208878506473e-05,        -3.237673063206e+02,        -2.260071076590e-02,        +5.764072653327e+01,        +4.080369622198e-03,        -1.427750661482e+00,        -1.409041594457e-04,        +1.684436563158e-01,        -7.663765056790e-05,        +2.509982938200e+02,        +1.931568067185e-02,        +1.581521461332e-01,        +1.474113659629e-05,        -1.606887605040e+02,        -1.228901623554e-02,        +1.911518489428e+02,        +1.463166289242e-02,        -2.641310865219e-02,        -8.367451727658e-06,        -2.461821407967e+02,        -1.888269498447e-02,        +4.346384239434e+01,        +3.531605884677e-03,        -3.720072794908e-01,        -4.514146355870e-05,        +1.134841239288e-01,        -3.597558248610e-05,        +1.221190214616e+02,        +9.365074450817e-03,        +9.295696592174e-03,        -2.223543150025e-06,        +4.827978690530e-02,        -2.721057354202e-05,        +6.211352928759e+01,        +4.813963800837e-03,        +3.087280556156e-03,        -1.678221356528e-06,        -1.376750066093e+01,        -9.154046791341e-03,        +9.631399834462e+00,        -2.614940965169e-02,        -1.069634924966e-01,        +4.849645678163e-04,        -1.372638105852e+00,        +2.319420697936e-02,        -7.507185800048e-01,        +1.459394041483e-02,        -9.974844557706e-04,        -7.824782457974e-05,        -1.109317903509e+01,        -1.036890253445e-03,        +8.721048400232e+00,        -1.143197005094e-02,        +5.877847257423e-02,        +1.922945500996e-05,        +2.636494686550e-15,        -1.548885593797e-16,        +8.357736813375e-16,        -6.256477199411e-17,        -2.151145677767e-02,        +1.367257807390e-02
 2.00e+00,        -1.537036271595e+01,        +3.079196093710e-03,        +3.827513956045e+00,        +1.520761756997e-03,        +7.611964487175e+01,        +3.118392877563e-02,        -1.143299078557e+01,        +2.609512637145e-03,        -1.001532885711e+01,        +5.667703833665e-04,        +6.586042439562e+01,        +3.209718720640e-02,        -1.711892905953e+00,        -1.104803961435e-05,        -1.493819675057e+01,        +8.989587711333e-06,        +7.884881793283e+01,        +3.153127404384e-02,        -4.003302845681e+01,        +3.556170879825e-04,        +1.335900081019e+00,        +7.431587614007e-04,        -1.869907198089e+02,        +7.337768219612e-03,        -3.093552741346e+01,        +6.350870974758e-04,        -2.631146753072e+01,        -1.915747948397e-04,        -1.850562561847e+02,        +7.167926542189e-03,        -6.848075216545e+00,        -7.072097189044e-05,        -4.041047323575e+01,        -7.597180538143e-04,        -1.841294961350e+02,        +7.628256117885e-03,        -1.491508699171e+01,        -3.677669250947e-04,        -1.727403861681e-01,        -1.351704648313e-05,        -4.278490684305e+02,        -1.730262339126e-02,        -8.158877303101e+00,        -2.745800343317e-04,        -3.771633732366e-01,        -8.301137670108e-05,        -4.470078802347e+02,        -1.971712727129e-02,        +1.987261918541e+01,        +4.220099495372e-03,        +1.395910560951e+01,        +3.278101808771e-03,        +1.257505031859e+01,        -2.604224586981e-03,        -6.722347589477e-01,        +4.964730499877e-04,        -3.923481565281e-01,        +4.761518548800e-04,        +4.414730849962e-01,        -3.713485832868e-04,        +9.010932934425e+00,        +1.829202361792e-03,        +4.248175123080e-02,        +2.987334829904e-04,        +2.810189521404e+00,        -2.264193298788e-03,        +2.031651062126e-15,        +1.026405608299e-18,        +3.383595744098e-15,        +6.712229361690e-19,        +3.206844880316e+00,        +7.578371742366e-05
 3.00e+00,        -8.061538687806e+01,        -5.897898674114e-03,        +1.631199505138e+02,        +2.640195209216e-02,        -3.302083023440e-01,        -4.987601267097e-04,        +1.705676607563e+02,        +2.887885129383e-02,        +1.145718703513e+02,        +1.280928630104e-02,        -1.908670543315e+00,        -8.704645145185e-04,        +1.085981948859e+02,        +1.183414471568e-02,        -1.450896050370e+02,        -2.705548094008e-02,        +4.910029379364e-01,        -3.507124411265e-04,        -2.582338482216e+01,        -2.048824260869e-03,        +6.035717412446e+01,        +1.091864169237e-02,        +2.044002518463e-02,        +7.418640624345e-04,        +5.618731093415e+01,        +1.058098314635e-02,        +3.525585659322e+01,        +4.266691130305e-03,        +2.381140068097e-01,        +8.090768654331e-04,        +4.186235877596e+01,        +5.458598055390e-03,        -4.911686039630e+01,        -9.663757544779e-03,        +4.251741103864e-01,        +8.170148402055e-04,        -2.078838425540e+00,        -2.016551317094e-04,        +4.897961670567e+00,        +1.085587145873e-03,        +8.336750867441e-01,        +1.935100965805e-03,        -8.644581294629e-01,        -1.131417164881e-04,        +1.305835846517e+00,        +3.230545960675e-04,        +1.004941605745e+00,        +2.054872701682e-03,        +3.959434744685e+02,        +2.773378278049e-02,        +2.896614635603e+02,        +1.908356246252e-02,        +5.899774657914e-01,        +3.960624164781e-05,        -6.351088547143e+00,        +1.222069153900e-02,        -3.023256634612e+00,        +9.226159841179e-03,        +8.220347092429e-01,        +1.000078837473e-04,        +1.861706813308e+02,        +1.212219295169e-02,        +2.121940968180e+00,        +6.736239669313e-03,        -1.696197965847e+00,        -1.480661337110e-04,        +3.757106259299e-14,        -2.466067060267e-17,        +6.051379635452e-14,        -8.461049595010e-18,        +5.745476651737e+01,        +4.381685788007e-03
 4.00e+00,        -1.907658612388e+02,        -3.030515219927e-02,        -6.767260009205e+01,        -3.446420705904e-03,        -2.882387642330e-01,        +5.857609661446e-04,        -8.596381209450e+01,        -6.425120363436e-03,        +1.427695888079e+02,        +2.412729028544e-02,        -8.638969650964e-01,        +5.448271273419e-04,        +1.256899966104e+02,        +2.035305623395e-02,        +1.448005783845e+02,        +1.644951671128e-02,        +1.023541759101e+00,        +7.667029199148e-04,        -6.251749095727e+01,        -1.143071582531e-02,        -2.509042701540e+01,        -1.038855753388e-03,        -7.099380124931e-01,        -1.500799610122e-03,        -3.415017857219e+01,        -4.243878242211e-03,        +5.471934328582e+01,        +1.013310025300e-02,        -7.174776365493e-01,        -1.489367023009e-03,        +4.525367320381e+01,        +7.667512556455e-03,        +5.117719170340e+01,        +6.606209585701e-03,        +1.227412044531e-01,        -1.375262084105e-03,        -4.646560255394e+00,        -1.299312614565e-03,        -1.603687693718e+00,        +4.141796140267e-04,        -1.505967239767e+00,        -3.516236920247e-03,        -1.170982258224e+00,        -5.406888579816e-04,        -2.786781856491e-01,        +3.966791153545e-04,        -1.599390990786e+00,        -3.681755542022e-03,        -1.030721889493e+01,        -6.473633896009e-03,        +1.249875825478e+01,        -4.717838667057e-02,        -4.848710499057e-02,        +1.205956584097e-03,        -2.858123790557e+00,        +5.042644957402e-02,        -1.633091316978e+00,        +3.174846315898e-02,        +3.461721910684e-03,        -1.376246143627e-04,        +1.314149904650e+01,        +5.648730023721e-03,        +1.826507183330e+01,        -2.339718453516e-02,        -7.826214419811e-02,        -3.144994611476e-06,        +3.038928142213e-15,        -3.396573813306e-16,        -2.822225370849e-15,        -1.358288474706e-16,        -4.525514192492e+00,        +3.184194194882e-02
 5.00e+00,        +3.304916872760e-01,        +3.341981898705e-04,        -7.342890493392e+00,        +4.635993437350e-04,        +1.801553264115e+00,        -4.678025162372e-03,        +3.663686422077e+00,        +6.907929902533e-04,        -5.735076273168e+00,        -5.345453859663e-04,        +8.395827148253e-02,        +1.348351324512e-02,        +2.281996816047e+00,        +2.358304848929e-03,        -1.326768956618e+00,        +6.253151705699e-04,        -5.702636906181e+00,        +2.539554701851e-02,        +2.364507875032e-01,        +4.288212699328e-04,        -7.058547567536e+00,        +8.454322458231e-04,        -4.591354580165e+00,        -1.031995148557e-02,        +4.179138811549e+00,        +9.564262680691e-04,        -3.676226717837e+00,        -3.367879652751e-04,        +1.143866725409e+01,        +5.303548272912e-03,        +2.930201002599e+00,        +1.577310987063e-03,        -4.158363395549e+00,        +8.422280789922e-04,        +2.238460741825e+01,        +1.808486386728e-02,        +1.098294869683e+00,        +1.161099037850e-03,        -7.507584354536e+00,        +7.215094127639e-04,        -1.201923542036e+01,        -1.659974583252e-02,        +1.300977080721e+00,        +1.531981134353e-03,        -6.971522420717e+00,        +6.528586827534e-04,        -6.024458752610e+00,        -8.317566391313e-03,        +2.987153070253e-01,        +1.942999138429e-04,        -3.318214325213e-01,        +3.921024512999e-04,        +3.294804667205e-01,        +4.622250686556e-03,        -5.327737555819e-02,        -4.596317340801e-04,        -3.864306527169e-03,        -3.638202835690e-04,        +9.171353784653e-02,        +3.503170090068e-04,        +2.244313214654e-01,        +7.449001960069e-05,        -2.417891148892e-01,        +1.523839735786e-04,        -1.928308885576e-01,        +3.046328077047e-03,        +1.798136027303e-17,        +3.421273526322e-18,        -5.624938097842e-18,        +1.497843729523e-18,        -9.570461969255e-03,        +6.318637125538e-05
 6.00e+00,        +1.352193476594e+00,        +4.639477639834e-04,        +2.837294720320e+00,        +3.804516686795e-03,        +2.466399735104e+00,        -2.397096788830e-02,        +1.817604660008e+00,        +2.376201904406e-04,        -2.651309887388e+00,        -7.811361362765e-04,        -1.432576567936e+00,        -2.608294433473e-02,        +8.875944028863e+00,        +5.833114176710e-03,        +6.927687522289e-01,        +6.578149883699e-04,        +3.529373936505e+00,        -6.460647749828e-03,        +1.764923930231e+00,        +6.675744564807e-04,        +2.804994241256e+00,        +3.618278345079e-03,        -2.542383554800e+01,        -3.782365008308e-02,        +2.954900390950e+00,        +6.207132874967e-04,        -3.180647883959e+00,        -1.682916291977e-03,        -2.111913304368e+01,        -3.664219348543e-02,        +6.089869648870e+00,        +3.390698131983e-03,        +3.108601503478e-01,        +1.066360237744e-03,        -8.048800366807e+00,        -1.931468511755e-02,        +4.869638460106e+00,        +2.897619534738e-03,        +1.895557251207e+00,        +3.108179586585e-03,        -6.101462033752e+01,        -5.050194418765e-02,        +6.461975543262e+00,        +3.984769651911e-03,        +1.464870333592e+00,        +2.673313356978e-03,        -3.086693396271e+01,        -2.570863933812e-02,        -5.789861772788e-01,        -7.657923156299e-04,        -5.165159333575e-01,        +1.465346548692e-04,        -7.760584635379e-01,        -1.030309338542e-02,        +1.957635517376e-01,        -1.086061581102e-04,        +5.347846132261e-02,        -1.062636628633e-05,        -1.874822291176e-01,        -9.365815655620e-04,        -9.200038200913e-02,        -3.150664160299e-04,        -2.531804384189e-02,        +3.218770082954e-04,        +3.550085622616e-01,        -5.410332627217e-03,        -4.698186682939e-17,        +6.038034596838e-19,        -1.207929086117e-16,        -2.569846960453e-19,        -1.296207694593e-01,        -1.018754245518e-03
 7.00e+00,        +1.459824872983e-02,        +4.427176866627e-06,        -1.227191818837e+00,        +2.814948817015e-04,        +1.310001592846e+01,        +1.564692338981e-02,        -7.330094918434e-01,        +3.078920833040e-04,        +5.570302263386e-02,        +2.318799056446e-05,        -2.592422015150e+02,        +8.254749019531e-02,        -1.192020631776e+00,        +4.049082605751e-04,        -1.051229629058e+00,        +1.636023942767e-04,        -1.044485919738e+02,        +1.368028937240e-02,        +4.066240389998e-02,        +7.363745151814e-05,        -2.850215342368e-01,        +3.846989543899e-05,        +4.943217535902e+00,        +6.832481194609e-03,        -2.387508242643e-01,        +1.960730585602e-04,        -2.192062323327e-01,        +9.430171286907e-05,        -1.087905663783e+02,        +3.430884215597e-02,        +3.085537796812e-01,        +5.660323901502e-07,        -1.036935126990e+00,        +1.774757250769e-04,        -4.224852923130e+01,        +5.372503696446e-03,        -1.859181195370e-01,        +9.077858237306e-05,        -2.033983061117e-02,        +3.265951321608e-05,        +5.459493888290e-01,        +1.806296572781e-03,        +2.992280319661e-01,        -8.037893961277e-05,        -1.012571049910e-01,        +5.394190254159e-05,        -3.981351036799e-01,        +9.374018775860e-04,        +1.786482699059e-01,        +1.445090364863e-04,        +1.035955749787e+00,        -6.421218538859e-04,        -2.125328857285e+01,        +1.641864313676e-02,        +1.782071619146e-01,        -1.338238015288e-04,        +9.180589894458e-02,        -1.737659745107e-04,        -6.496762010674e-01,        +1.066140412627e-03,        +4.985912685795e-01,        -1.121941250772e-04,        +1.923528030036e-01,        -2.525205783854e-04,        -5.109365373383e+00,        +7.318674248245e-03,        -2.313792330899e-16,        +9.664395080503e-19,        -3.893939257473e-16,        +7.858558680391e-19,        -3.274909978411e-01,        +7.474016261682e-04
 8.00e+00,        -3.272403296344e+01,        -1.555829280365e-02,        +7.522017044549e+00,        +5.555496739509e-03,        +1.369309626124e+02,        +1.210902057423e-01,        -2.602210265466e+01,        -1.332228817123e-02,        -2.026513882779e+01,        -9.484165023001e-03,        +1.488708497100e+02,        +1.343803371079e-01,        -3.327379050869e+00,        -1.093543671548e-03,        -3.269951752140e+01,        -1.643012355489e-02,        +1.385494451190e+02,        +1.219096246069e-01,        -6.259508124221e+01,        -3.575649228824e-02,        +1.741867856013e+00,        +1.897935364210e-03,        +1.247575080128e+02,        +1.539285025436e-01,        -4.637735561685e+01,        -2.551100689061e-02,        -3.771040069146e+01,        -2.038109010436e-02,        +1.230310101578e+02,        +1.514500462399e-01,        -8.476566281265e+00,        -4.135160576265e-03,        -6.311147202084e+01,        -3.621655180531e-02,        +1.272246243866e+02,        +1.556144144494e-01,        -2.093706898625e+01,        -1.217315688997e-02,        -9.889735593526e-02,        -6.967586172018e-05,        +9.378417877812e+01,        +1.646640103117e-01,        -1.106375626358e+01,        -6.536770493914e-03,        -5.023781526648e-01,        -4.516875407700e-04,        +9.015626822612e+01,        +1.643776551718e-01,        +2.690865056704e+01,        +2.017249871995e-02,        +1.950927150692e+01,        +1.523682096277e-02,        +5.943867099178e+00,        -8.211747210947e-03,        -7.687730904390e-01,        +6.577533500860e-04,        -5.506590203232e-01,        +6.673695541544e-04,        +5.869265694161e-02,        -1.088726753804e-03,        +1.272677214679e+01,        +9.600234978299e-03,        +3.465864468639e-01,        +8.468705173795e-04,        +1.849299476577e+00,        -6.082493188578e-03,        +2.675424428690e-15,        +3.862439893422e-19,        +4.368689302192e-15,        +1.898035425505e-18,        +4.133005262828e+00,        +1.858224655704e-03
