        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.31360000e+00,        +7.071067811865e+00,        +4.185989001906e+00,        +3.195943020513e+00
 2.31380000e+00,        +7.071067811865e+00,        +4.214761071115e+00,        +3.194084458589e+00
 2.31400000e+00,        +7.071067811865e+00,        +4.243543158697e+00,        +3.191877933796e+00
 2.31420000e+00,        +7.071067811865e+00,        +4.272330739371e+00,        +3.189320751716e+00
 2.31440000e+00,        +7.071067811865e+00,        +4.301119192677e+00,        +3.186410259256e+00
 2.31460000e+00,        +7.071067811865e+00,        +4.329903802360e+00,        +3.183143847153e+00
 2.31480000e+00,        +7.071067811865e+00,        +4.358679755801e+00,        +3.179518952539e+00
 2.31500000e+00,        +7.071067811865e+00,        +4.387442143499e+00,        +3.175533061567e+00
 2.31520000e+00,        +7.071067811865e+00,        +4.416185958609e+00,        +3.171183712096e+00
 2.31540000e+00,        +7.071067811865e+00,        +4.444906096535e+00,        +3.166468496439e+00
 2.31560000e+00,        +7.071067811865e+00,        +4.473597354582e+00,        +3.161385064166e+00
 2.31580000e+00,        +7.071067811865e+00,        +4.502254431675e+00,        +3.155931124969e+00
 2.31600000e+00,        +7.071067811865e+00,        +4.530871928140e+00,        +3.150104451587e+00
 2.31620000e+00,        +7.071067811865e+00,        +4.559444345555e+00,        +3.143902882788e+00
 2.31640000e+00,        +7.071067811865e+00,        +4.587966086673e+00,        +3.137324326403e+00
 2.31660000e+00,        +7.071067811865e+00,        +4.616431455421e+00,        +3.130366762426e+00
 2.31680000e+00,        +7.071067811865e+00,        +4.644834656974e+00,        +3.123028246161e+00
 2.31700000e+00,        +7.071067811865e+00,        +4.673169797921e+00,        +3.115306911425e+00
 2.31720000e+00,        +7.071067811865e+00,        +4.701430886499e+00,        +3.107200973808e+00
 2.31740000e+00,        +7.071067811865e+00,        +4.729611832935e+00,        +3.098708733976e+00
 2.31760000e+00,        +7.071067811865e+00,        +4.757706449860e+00,        +3.089828581032e+00
 2.31780000e+00,        +7.071067811865e+00,        +4.785708452838e+00,        +3.080558995919e+00
 2.31800000e+00,        +7.071067811865e+00,        +4.813611460976e+00,        +3.070898554870e+00
 2.31820000e+00,        +7.071067811865e+00,        +4.841408997647e+00,        +3.060845932904e+00
 2.31840000e+00,        +7.071067811865e+00,        +4.869094491318e+00,        +3.050399907361e+00
 2.31860000e+00,        +7.071067811865e+00,        +4.896661276478e+00,        +3.039559361474e+00
 2.31880000e+00,        +7.071067811865e+00,        +4.924102594688e+00,        +3.028323287985e+00
 2.31900000e+00,        +7.071067811865e+00,        +4.951411595743e+00,        +3.016690792785e+00
 2.31920000e+00,        +7.071067811865e+00,        +4.978581338952e+00,        +3.004661098592e+00
 2.31940000e+00,        +7.071067811865e+00,        +5.005604794542e+00,        +2.992233548649e+00
 2.31960000e+00,        +7.071067811865e+00,        +5.032474845186e+00,        +2.979407610454e+00
 2.31980000e+00,        +7.071067811865e+00,        +5.059184287663e+00,        +2.966182879505e+00
 2.32000000e+00,        +7.071067811865e+00,        +5.085725834645e+00,        +2.952559083060e+00
 2.32020000e+00,        +7.071067811865e+00,        +5.112092116624e+00,        +2.938536083917e+00
 2.32040000e+00,        +7.071067811865e+00,        +5.138275683977e+00,        +2.924113884194e+00
 2.32060000e+00,        +7.071067811865e+00,        +5.164269009166e+00,        +2.909292629117e+00
 2.32080000e+00,        +7.071067811865e+00,        +5.190064489090e+00,        +2.894072610808e+00
 2.32100000e+00,        +7.071067811865e+00,        +5.215654447579e+00,        +2.878454272062e+00
 2.32120000e+00,        +7.071067811865e+00,        +5.241031138039e+00,        +2.862438210124e+00
 2.32140000e+00,        +7.071067811865e+00,        +5.266186746249e+00,        +2.846025180439e+00
 2.32160000e+00,        +7.071067811865e+00,        +5.291113393308e+00,        +2.829216100386e+00
 2.32180000e+00,        +7.071067811865e+00,        +5.315803138744e+00,        +2.812012052984e+00
 2.32200000e+00,        +7.071067811865e+00,        +5.340247983780e+00,        +2.794414290567e+00
 2.32220000e+00,        +7.071067811865e+00,        +5.364439874755e+00,        +2.776424238419e+00
 2.32240000e+00,        +7.071067811865e+00,        +5.388370706711e+00,        +2.758043498362e+00
 2.32260000e+00,        +7.071067811865e+00,        +5.412032327143e+00,        +2.739273852295e+00
 2.32280000e+00,        +7.071067811865e+00,        +5.435416539913e+00,        +2.720117265672e+00
 2.32300000e+00,        +7.071067811865e+00,        +5.458515109323e+00,        +2.700575890922e+00
 2.32320000e+00,        +7.071067811865e+00,        +5.481319764362e+00,        +2.680652070783e+00
 2.32340000e+00,        +7.071067811865e+00,        +5.503822203114e+00,        +2.660348341577e+00
 2.32360000e+00,        +7.071067811865e+00,        +5.526014097334e+00,        +2.639667436377e+00
 2.32380000e+00,        +7.071067811865e+00,        +5.547887097182e+00,        +2.618612288096e+00
 2.32400000e+00,        +7.071067811865e+00,        +5.569432836139e+00,        +2.597186032466e+00
 2.32420000e+00,        +7.071067811865e+00,        +5.590642936067e+00,        +2.575392010913e+00
 2.32440000e+00,        +7.071067811865e+00,        +5.611509012448e+00,        +2.553233773312e+00
 2.32460000e+00,        +7.071067811865e+00,        +5.632022679774e+00,        +2.530715080613e+00
 2.32480000e+00,        +7.071067811865e+00,        +5.652175557104e+00,        +2.507839907346e+00
 2.32500000e+00,        +7.071067811865e+00,        +5.671959273772e+00,        +2.484612443971e+00
 2.32520000e+00,        +7.071067811865e+00,        +5.691365475253e+00,        +2.461037099087e+00
 2.32540000e+00,        +7.071067811865e+00,        +5.710385829182e+00,        +2.437118501483e+00
 2.32560000e+00,        +7.071067811865e+00,        +5.729012031515e+00,        +2.412861502021e+00
 2.32580000e+00,        +7.071067811865e+00,        +5.747235812841e+00,        +2.388271175343e+00
 2.32600000e+00,        +7.071067811865e+00,        +5.765048944828e+00,        +2.363352821406e+00
 2.32620000e+00,        +7.071067811865e+00,        +5.782443246807e+00,        +2.338111966814e+00
 2.32640000e+00,        +7.071067811865e+00,        +5.799410592487e+00,        +2.312554365960e+00
 2.32660000e+00,        +7.071067811865e+00,        +5.815942916789e+00,        +2.286686001961e+00
 2.32680000e+00,        +7.071067811865e+00,        +5.832032222801e+00,        +2.260513087376e+00
 2.32700000e+00,        +7.071067811865e+00,        +5.847670588849e+00,        +2.234042064704e+00
 2.32720000e+00,        +7.071067811865e+00,        +5.862850175663e+00,        +2.207279606656e+00
 2.32740000e+00,        +7.071067811865e+00,        +5.877563233647e+00,        +2.180232616183e+00
 2.32760000e+00,        +7.071067811865e+00,        +5.891802110238e+00,        +2.152908226266e+00
 2.32780000e+00,        +7.071067811865e+00,        +5.905559257339e+00,        +2.125313799457e+00
 2.32800000e+00,        +7.071067811865e+00,        +5.918827238834e+00,        +2.097456927154e+00
 2.32820000e+00,        +7.071067811865e+00,        +5.931598738156e+00,        +2.069345428622e+00
 2.32840000e+00,        +7.071067811865e+00,        +5.943866565917e+00,        +2.040987349738e+00
 2.32860000e+00,        +7.071067811865e+00,        +5.955623667575e+00,        +2.012390961464e+00
 2.32880000e+00,        +7.071067811865e+00,        +5.966863131132e+00,        +1.983564758035e+00
 2.32900000e+00,        +7.071067811865e+00,        +5.977578194862e+00,        +1.954517454871e+00
 2.32920000e+00,        +7.071067811865e+00,        +5.987762255040e+00,        +1.925257986183e+00
 2.32940000e+00,        +7.071067811865e+00,        +5.997408873679e+00,        +1.895795502302e+00
 2.32960000e+00,        +7.071067811865e+00,        +6.006511786242e+00,        +1.866139366699e+00
 2.32980000e+00,        +7.071067811865e+00,        +6.015064909339e+00,        +1.836299152710e+00
 2.33000000e+00,        +7.071067811865e+00,        +6.023062348383e+00,        +1.806284639954e+00
 2.33020000e+00,        +7.071067811865e+00,        +6.030498405190e+00,        +1.776105810448e+00
 2.33040000e+00,        +7.071067811865e+00,        +6.037367585525e+00,        +1.745772844419e+00
 2.33060000e+00,        +7.071067811865e+00,        +6.043664606553e+00,        +1.715296115800e+00
 2.33080000e+00,        +7.071067811865e+00,        +6.049384404223e+00,        +1.684686187430e+00
 2.33100000e+00,        +7.071067811865e+00,        +6.054522140522e+00,        +1.653953805941e+00
 2.33120000e+00,        +7.071067811865e+00,        +6.059073210630e+00,        +1.623109896335e+00
 2.33140000e+00,        +7.071067811865e+00,        +6.063033249929e+00,        +1.592165556270e+00
 2.33160000e+00,        +7.071067811865e+00,        +6.066398140873e+00,        +1.561132050037e+00
 2.33180000e+00,        +7.071067811865e+00,        +6.069164019691e+00,        +1.530020802235e+00
 2.33200000e+00,        +7.071067811865e+00,        +6.071327282919e+00,        +1.498843391165e+00
 2.33220000e+00,        +7.071067811865e+00,        +6.072884593744e+00,        +1.467611541926e+00
 2.33240000e+00,        +7.071067811865e+00,        +6.073832888138e+00,        +1.436337119225e+00
 2.33260000e+00,        +7.071067811865e+00,        +6.074169380782e+00,        +1.405032119922e+00
 2.33280000e+00,        +7.071067811865e+00,        +6.073891570755e+00,        +1.373708665294e+00
 2.33300000e+00,        +7.071067811865e+00,        +6.072997246983e+00,        +1.342378993038e+00
 2.33320000e+00,        +7.071067811865e+00,        +6.071484493427e+00,        +1.311055449023e+00
 2.33340000e+00,        +7.071067811865e+00,        +6.069351693999e+00,        +1.279750478798e+00
 2.33360000e+00,        +7.071067811865e+00,        +6.066597537204e+00,        +1.248476618859e+00
 2.33380000e+00,        +7.071067811865e+00,        +6.063221020478e+00,        +1.217246487697e+00
 2.33400000e+00,        +7.071067811865e+00,        +6.059221454220e+00,        +1.186072776629e+00
 2.33420000e+00,        +7.071067811865e+00,        +6.054598465514e+00,        +1.154968240430e+00
 2.33440000e+00,        +7.071067811865e+00,        +6.049352001515e+00,        +1.123945687772e+00
 2.33460000e+00,        +7.071067811865e+00,        +6.043482332494e+00,        +1.093017971496e+00
 2.33480000e+00,        +7.071067811865e+00,        +6.036990054543e+00,        +1.062197978710e+00
 2.33500000e+00,        +7.071067811865e+00,        +6.029876091918e+00,        +1.031498620748e+00
 2.33520000e+00,        +7.071067811865e+00,        +6.022141699009e+00,        +1.000932822993e+00
 2.33540000e+00,        +7.071067811865e+00,        +6.013788461953e+00,        +9.705135145851e-01
 2.33560000e+00,        +7.071067811865e+00,        +6.004818299848e+00,        +9.402536180232e-01
 2.33580000e+00,        +7.071067811865e+00,        +5.995233465593e+00,        +9.101660386853e-01
 2.33600000e+00,        +7.071067811865e+00,        +5.985036546332e+00,        +8.802636542798e-01
 2.33620000e+00,        +7.071067811865e+00,        +5.974230463501e+00,        +8.505593042434e-01
 2.33640000e+00,        +7.071067811865e+00,        +5.962818472475e+00,        +8.210657791062e-01
 2.33660000e+00,        +7.071067811865e+00,        +5.950804161811e+00,        +7.917958098395e-01
 2.33680000e+00,        +7.071067811865e+00,        +5.938191452091e+00,        +7.627620572042e-01
 2.33700000e+00,        +7.071067811865e+00,        +5.924984594350e+00,        +7.339771011185e-01
 2.33720000e+00,        +7.071067811865e+00,        +5.911188168108e+00,        +7.054534300629e-01
 2.33740000e+00,        +7.071067811865e+00,        +5.896807078986e+00,        +6.772034305388e-01
 2.33760000e+00,        +7.071067811865e+00,        +5.881846555928e+00,        +6.492393766018e-01
 2.33780000e+00,        +7.071067811865e+00,        +5.866312148016e+00,        +6.215734194844e-01
 2.33800000e+00,        +7.071067811865e+00,        +5.850209720886e+00,        +5.942175773294e-01
 2.33820000e+00,        +7.071067811865e+00,        +5.833545452759e+00,        +5.671837250479e-01
 2.33840000e+00,        +7.071067811865e+00,        +5.816325830073e+00,        +5.404835843235e-01
 2.33860000e+00,        +7.071067811865e+00,        +5.798557642740e+00,        +5.141287137769e-01
 2.33880000e+00,        +7.071067811865e+00,        +5.780247979030e+00,        +4.881304993091e-01
 2.33900000e+00,        +7.071067811865e+00,        +5.761404220081e+00,        +4.625001446396e-01
 2.33920000e+00,        +7.071067811865e+00,        +5.742034034057e+00,        +4.372486620563e-01
 2.33940000e+00,        +7.071067811865e+00,        +5.722145369959e+00,        +4.123868633919e-01
 2.33960000e+00,        +7.071067811865e+00,        +5.701746451091e+00,        +3.879253512425e-01
 2.33980000e+00,        +7.071067811865e+00,        +5.680845768205e+00,        +3.638745104432e-01
 2.34000000e+00,        +7.071067811865e+00,        +5.659452072331e+00,        +3.402444998145e-01
 2.34020000e+00,        +7.071067811865e+00,        +5.637574367301e+00,        +3.170452441933e-01
 2.34040000e+00,        +7.071067811865e+00,        +5.615221901989e+00,        +2.942864267604e-01
 2.34060000e+00,        +7.071067811865e+00,        +5.592404162269e+00,        +2.719774816780e-01
 2.34080000e+00,        +7.071067811865e+00,        +5.569130862721e+00,        +2.501275870471e-01
 2.34100000e+00,        +7.071067811865e+00,        +5.545411938080e+00,        +2.287456581964e-01
 2.34120000e+00,        +7.071067811865e+00,        +5.521257534466e+00,        +2.078403413118e-01
 2.34140000e+00,        +7.071067811865e+00,        +5.496678000390e+00,        +1.874200074161e-01
 2.34160000e+00,        +7.071067811865e+00,        +5.471683877564e+00,        +1.674927467063e-01
 2.34180000e+00,        +7.071067811865e+00,        +5.446285891532e+00,        +1.480663632564e-01
 2.34200000e+00,        +7.071067811865e+00,        +5.420494942133e+00,        +1.291483700922e-01
 2.34220000e+00,        +7.071067811865e+00,        +5.394322093813e+00,        +1.107459846427e-01
 2.34240000e+00,        +7.071067811865e+00,        +5.367778565813e+00,        +9.286612457388e-02
 2.34260000e+00,        +7.071067811865e+00,        +5.340875722233e+00,        +7.551540400838e-02
 2.34280000e+00,        +7.071067811865e+00,        +5.313625062013e+00,        +5.870013013324e-02
 2.34300000e+00,        +7.071067811865e+00,        +5.286038208822e+00,        +4.242630019868e-02
 2.34320000e+00,        +7.071067811865e+00,        +5.258126900892e+00,        +2.669959890867e-02
 2.34340000e+00,        +7.071067811865e+00,        +5.229902980810e+00,        +1.152539620332e-02
 2.34360000e+00,        +7.071067811865e+00,        +5.201378385275e+00,        -3.091254567114e-03
 2.34380000e+00,        +7.071067811865e+00,        +5.172565134858e+00,        -1.714561807858e-02
 2.34400000e+00,        +7.071067811865e+00,        +5.143475323753e+00,        -3.063327808090e-02
 2.34420000e+00,        +7.071067811865e+00,        +5.114121109567e+00,        -4.355013806206e-02
 2.34440000e+00,        +7.071067811865e+00,        +5.084514703140e+00,        -5.589242153073e-02
 2.34460000e+00,        +7.071067811865e+00,        +5.054668358426e+00,        -6.765667192314e-02
 2.34480000e+00,        +7.071067811865e+00,        +5.024594362441e+00,        -7.883975213863e-02
 2.34500000e+00,        +7.071067811865e+00,        +4.994305025308e+00,        -8.943884371132e-02
 2.34520000e+00,        +7.071067811865e+00,        +4.963812670390e+00,        -9.945144562297e-02
 2.34540000e+00,        +7.071067811865e+00,        +4.933129624550e+00,        -1.088753727658e-01
 2.34560000e+00,        +7.071067811865e+00,        +4.902268208536e+00,        -1.177087540628e-01
 2.34580000e+00,        +7.071067811865e+00,        +4.871240727509e+00,        -1.259500302537e-01
 2.34600000e+00,        +7.071067811865e+00,        +4.840059461731e+00,        -1.335979513566e-01
 2.34620000e+00,        +7.071067811865e+00,        +4.808736657414e+00,        -1.406515738146e-01
 2.34640000e+00,        +7.071067811865e+00,        +4.777284517759e+00,        -1.471102573370e-01
 2.34660000e+00,        +7.071067811865e+00,        +4.745715194171e+00,        -1.529736614465e-01
 2.34680000e+00,        +7.071067811865e+00,        +4.714040777690e+00,        -1.582417417431e-01
 2.34700000e+00,        +7.071067811865e+00,        +4.682273290623e+00,        -1.629147458952e-01
 2.34720000e+00,        +7.071067811865e+00,        +4.650424678398e+00,        -1.669932093714e-01
 2.34740000e+00,        +7.071067811865e+00,        +4.618506801647e+00,        -1.704779509222e-01
 2.34760000e+00,        +7.071067811865e+00,        +4.586531428523e+00,        -1.733700678274e-01
 2.34780000e+00,        +7.071067811865e+00,        +4.554510227260e+00,        -1.756709309174e-01
 2.34800000e+00,        +7.071067811865e+00,        +4.522454758982e+00,        -1.773821793843e-01
 2.34820000e+00,        +7.071067811865e+00,        +4.490376470768e+00,        -1.785057153940e-01
 2.34840000e+00,        +7.071067811865e+00,        +4.458286688972e+00,        -1.790436985118e-01
 2.34860000e+00,        +7.071067811865e+00,        +4.426196612815e+00,        -1.789985399547e-01
 2.34880000e+00,        +7.071067811865e+00,        +4.394117308234e+00,        -1.783728966842e-01
 2.34900000e+00,        +7.071067811865e+00,        +4.362059702015e+00,        -1.771696653499e-01
 2.34920000e+00,        +7.071067811865e+00,        +4.330034576182e+00,        -1.753919760993e-01
 2.34940000e+00,        +7.071067811865e+00,        +4.298052562679e+00,        -1.730431862650e-01
 2.34960000e+00,        +7.071067811865e+00,        +4.266124138315e+00,        -1.701268739415e-01
 2.34980000e+00,        +7.071067811865e+00,        +4.234259619992e+00,        -1.666468314664e-01
 2.35000000e+00,        +7.071067811865e+00,        +4.202469160206e+00,        -1.626070588143e-01
 2.35020000e+00,        +7.071067811865e+00,        +4.170762742830e+00,        -1.580117569199e-01
 2.35040000e+00,        +7.071067811865e+00,        +4.139150179167e+00,        -1.528653209381e-01
 2.35060000e+00,        +7.071067811865e+00,        +4.107641104276e+00,        -1.471723334562e-01
 2.35080000e+00,        +7.071067811865e+00,        +4.076244973578e+00,        -1.409375576664e-01
 2.35100000e+00,        +7.071067811865e+00,        +4.044971059719e+00,        -1.341659305126e-01
 2.35120000e+00,        +7.071067811865e+00,        +4.013828449709e+00,        -1.268625558197e-01
 2.35140000e+00,        +7.071067811865e+00,        +3.982826042321e+00,        -1.190326974174e-01
 2.35160000e+00,        +7.071067811865e+00,        +3.951972545744e+00,        -1.106817722692e-01
 2.35180000e+00,        +7.071067811865e+00,        +3.921276475503e+00,        -1.018153436132e-01
 2.35200000e+00,        +7.071067811865e+00,        +3.890746152616e+00,        -9.243911412871e-02
 2.35220000e+00,        +7.071067811865e+00,        +3.860389702004e+00,        -8.255891913434e-02
 2.35240000e+00,        +7.071067811865e+00,        +3.830215051142e+00,        -7.218071982694e-02
 2.35260000e+00,        +7.071067811865e+00,        +3.800229928942e+00,        -6.131059657084e-02
 2.35280000e+00,        +7.071067811865e+00,        +3.770441864866e+00,        -4.995474224433e-02
 2.35300000e+00,        +7.071067811865e+00,        +3.740858188268e+00,        -3.811945565114e-02
 2.35320000e+00,        +7.071067811865e+00,        +3.711486027943e+00,        -2.581113500430e-02
 2.35340000e+00,        +7.071067811865e+00,        +3.682332311898e+00,        -1.303627148886e-02
 2.35360000e+00,        +7.071067811865e+00,        +3.653403767321e+00,        +1.985570900449e-04
 2.35380000e+00,        +7.071067811865e+00,        +3.624706920750e+00,        +1.388669256749e-02
 2.35400000e+00,        +7.071067811865e+00,        +3.596248098439e+00,        +2.802140258226e-02
 2.35420000e+00,        +7.071067811865e+00,        +3.568033426896e+00,        +4.259588663825e-02
 2.35440000e+00,        +7.071067811865e+00,        +3.540068833614e+00,        +5.760328205860e-02
 2.35460000e+00,        +7.071067811865e+00,        +3.512360047962e+00,        +7.303666982834e-02
 2.35480000e+00,        +7.071067811865e+00,        +3.484912602245e+00,        +8.888908032171e-02
 2.35500000e+00,        +7.071067811865e+00,        +3.457731832919e+00,        +1.051534989099e-01
 2.35520000e+00,        +7.071067811865e+00,        +3.430822881958e+00,        +1.218228714463e-01
 2.35540000e+00,        +7.071067811865e+00,        +3.404190698362e+00,        +1.388901096258e-01
 2.35560000e+00,        +7.071067811865e+00,        +3.377840039803e+00,        +1.563480962158e-01
 2.35580000e+00,        +7.071067811865e+00,        +3.351775474400e+00,        +1.741896901568e-01
 2.35600000e+00,        +7.071067811865e+00,        +3.326001382612e+00,        +1.924077315298e-01
 2.35620000e+00,        +7.071067811865e+00,        +3.300521959254e+00,        +2.109950463893e-01
 2.35640000e+00,        +7.071067811865e+00,        +3.275341215614e+00,        +2.299444514607e-01
 2.35660000e+00,        +7.071067811865e+00,        +3.250462981679e+00,        +2.492487587004e-01
 2.35680000e+00,        +7.071067811865e+00,        +3.225890908453e+00,        +2.689007797180e-01
 2.35700000e+00,        +7.071067811865e+00,        +3.201628470361e+00,        +2.888933300600e-01
 2.35720000e+00,        +7.071067811865e+00,        +3.177678967745e+00,        +3.092192333556e-01
 2.35740000e+00,        +7.071067811865e+00,        +3.154045529426e+00,        +3.298713253220e-01
 2.35760000e+00,        +7.071067811865e+00,        +3.130731115346e+00,        +3.508424576328e-01
 2.35780000e+00,        +7.071067811865e+00,        +3.107738519267e+00,        +3.721255016467e-01
 2.35800000e+00,        +7.071067811865e+00,        +3.085070371533e+00,        +3.937133519994e-01
 2.35820000e+00,        +7.071067811865e+00,        +3.062729141889e+00,        +4.155989300580e-01
 2.35840000e+00,        +7.071067811865e+00,        +3.040717142335e+00,        +4.377751872397e-01
 2.35860000e+00,        +7.071067811865e+00,        +3.019036530041e+00,        +4.602351081963e-01
 2.35880000e+00,        +7.071067811865e+00,        +2.997689310283e+00,        +4.829717138637e-01
 2.35900000e+00,        +7.071067811865e+00,        +2.976677339419e+00,        +5.059780643811e-01
 2.35920000e+00,        +7.071067811865e+00,        +2.956002327896e+00,        +5.292472618790e-01
 2.35940000e+00,        +7.071067811865e+00,        +2.935665843269e+00,        +5.527724531389e-01
 2.35960000e+00,        +7.071067811865e+00,        +2.915669313253e+00,        +5.765468321256e-01
 2.35980000e+00,        +7.071067811865e+00,        +2.896014028777e+00,        +6.005636423960e-01
 2.36000000e+00,        +7.071067811865e+00,        +2.876701147053e+00,        +6.248161793842e-01
 2.36020000e+00,        +7.071067811865e+00,        +2.857731694653e+00,        +6.492977925668e-01
