        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43505000e+00,        -1.194644730159e+00,        +1.131945006296e+00,        -1.748405639906e+01,        +1.681853913541e+01,        -1.484124829591e-02,        +1.422780395709e-02,        -1.305531533336e+00,        +1.236756209881e+00,        -3.871989760125e+01,        +3.722237225783e+01,        -2.217955725233e-02,        +2.120529916692e-02,        -1.488237181590e+00,        +1.409787485504e+00,        -7.774511024510e+01,        +7.471852615524e+01,        -4.230612410821e-02,        +4.040111006330e-02,        +1.332826273108e+00,        -1.267779825735e+00,        -2.153093544035e+02,        +2.069047567265e+02,        -4.538562991739e-01,        +4.360750277927e-01
 2.43505500e+00,        -1.194671391708e+00,        +1.132027686405e+00,        -1.750911422056e+01,        +1.684381919447e+01,        -1.485726322360e-02,        +1.424415082582e-02,        -1.305545796416e+00,        +1.236832175549e+00,        -3.877305975384e+01,        +3.727608288548e+01,        -2.219802294286e-02,        +2.122438463938e-02,        -1.488266748149e+00,        +1.409887315959e+00,        -7.784991049703e+01,        +7.482447469102e+01,        -4.233714597036e-02,        +4.043340121629e-02,        +1.333120591352e+00,        -1.268124729093e+00,        -2.155971020966e+02,        +2.071957482585e+02,        -4.544560132522e-01,        +4.366816907254e-01
 2.43506000e+00,        -1.194698061076e+00,        +1.132110524005e+00,        -1.753423783370e+01,        +1.686916899698e+01,        -1.487332003648e-02,        +1.426054260232e-02,        -1.305560039541e+00,        +1.236908283633e+00,        -3.882636138962e+01,        +3.732994158169e+01,        -2.221653651733e-02,        +2.124352210351e-02,        -1.488296350087e+00,        +1.409987367586e+00,        -7.795498563122e+01,        +7.493071520899e+01,        -4.236824786426e-02,        +4.046577989952e-02,        +1.333415077762e+00,        -1.268469991441e+00,        -2.158856044279e+02,        +2.074875416184e+02,        -4.550572971238e-01,        +4.372900223957e-01
 2.43506500e+00,        -1.194724738284e+00,        +1.132193519736e+00,        -1.755942749725e+01,        +1.689458883121e+01,        -1.488941889931e-02,        +1.427697947221e-02,        -1.305574262622e+00,        +1.236984534713e+00,        -3.887980305722e+01,        +3.738394895847e+01,        -2.223509816404e-02,        +2.126271177417e-02,        -1.488325987532e+00,        +1.410087641287e+00,        -7.806033672884e+01,        +7.503724891598e+01,        -4.239943010456e-02,        +4.049824647463e-02,        +1.333709732938e+00,        -1.268815614200e+00,        -2.161748643658e+02,        +2.077801401202e+02,        -4.556601569631e-01,        +4.379000297007e-01
 2.43507000e+00,        -1.194751423354e+00,        +1.132276674244e+00,        -1.758468347133e+01,        +1.692007898700e+01,        -1.490555997770e-02,        +1.429346162214e-02,        -1.305588465570e+00,        +1.237060929368e+00,        -3.893338530809e+01,        +3.743810563117e+01,        -2.225370807226e-02,        +2.128195386737e-02,        -1.488355660612e+00,        +1.410188137968e+00,        -7.816596487664e+01,        +7.514407702541e+01,        -4.243069300748e-02,        +4.053080130520e-02,        +1.334004557482e+00,        -1.269161598794e+00,        -2.164648848936e+02,        +2.080735470961e+02,        -4.562645989765e-01,        +4.385117195754e-01
 2.43507500e+00,        -1.194778116308e+00,        +1.132359988176e+00,        -1.761000601744e+01,        +1.694563975582e+01,        -1.492174343814e-02,        +1.430998923979e-02,        -1.305602648294e+00,        +1.237137468183e+00,        -3.898710869662e+01,        +3.749241221857e+01,        -2.227236643227e-02,        +2.130124860033e-02,        -1.488385369453e+00,        +1.410288858542e+00,        -7.827187116717e+01,        +7.525120075748e+01,        -4.246203689097e-02,        +4.056344475686e-02,        +1.334299552001e+00,        -1.269507946658e+00,        -2.167556690107e+02,        +2.083677658971e+02,        -4.568706294030e-01,        +4.391250989934e-01
 2.43508000e+00,        -1.194804817167e+00,        +1.132443462185e+00,        -1.763539539845e+01,        +1.697127143075e+01,        -1.493796944799e-02,        +1.432656251389e-02,        -1.305616810704e+00,        +1.237214151745e+00,        -3.904097378012e+01,        +3.754686934288e+01,        -2.229107343533e-02,        +2.132059619149e-02,        -1.488415114185e+00,        +1.410389803923e+00,        -7.837805669870e+01,        +7.535862133909e+01,        -4.249346207462e-02,        +4.059617719724e-02,        +1.334594717104e+00,        -1.269854659233e+00,        -2.170472197323e+02,        +2.086627998925e+02,        -4.574782545148e-01,        +4.397401749668e-01
 2.43508500e+00,        -1.194831525952e+00,        +1.132527096926e+00,        -1.766085187862e+01,        +1.699697430646e+01,        -1.495423817550e-02,        +1.434318163419e-02,        -1.305630952708e+00,        +1.237290980643e+00,        -3.909498111879e+01,        +3.760147762969e+01,        -2.230982927373e-02,        +2.133999686049e-02,        -1.488444894938e+00,        +1.410490975035e+00,        -7.848452257521e+01,        +7.546634000392e+01,        -4.252496887970e-02,        +4.062899899600e-02,        +1.334890053402e+00,        -1.270201737969e+00,        -2.173395400892e+02,        +2.089586524700e+02,        -4.580874806165e-01,        +4.403569545462e-01
 2.43509000e+00,        -1.194858242687e+00,        +1.132610893058e+00,        -1.768637572359e+01,        +1.702274867930e+01,        -1.497054978981e-02,        +1.435984679151e-02,        -1.305645074215e+00,        +1.237367955472e+00,        -3.914913127583e+01,        +3.765623770814e+01,        -2.232863414076e-02,        +2.135945082815e-02,        -1.488474711839e+00,        +1.410592372804e+00,        -7.859126990662e+01,        +7.557435799253e+01,        -4.255655762918e-02,        +4.066191052485e-02,        +1.335185561512e+00,        -1.270549184324e+00,        -2.176326331283e+02,        +2.092553270364e+02,        -4.586983140467e-01,        +4.409754448216e-01
 2.43509500e+00,        -1.194884967392e+00,        +1.132694851243e+00,        -1.771196720040e+01,        +1.704859484723e+01,        -1.498690446093e-02,        +1.437655817773e-02,        -1.305659175132e+00,        +1.237445076829e+00,        -3.920342481737e+01,        +3.771115021079e+01,        -2.234748823071e-02,        +2.137895831657e-02,        -1.488504565020e+00,        +1.410693998160e+00,        -7.869829980860e+01,        +7.568267655232e+01,        -4.258822864772e-02,        +4.069491215757e-02,        +1.335481242052e+00,        -1.270896999763e+00,        -2.179265019126e+02,        +2.095528270174e+02,        -4.593107611765e-01,        +4.415956529222e-01
 2.43510000e+00,        -1.194911700090e+00,        +1.132778972147e+00,        -1.773762657753e+01,        +1.707451310987e+01,        -1.500330235978e-02,        +1.439331598578e-02,        -1.305673255365e+00,        +1.237522345312e+00,        -3.925786231256e+01,        +3.776621577377e+01,        -2.236639173893e-02,        +2.139851954903e-02,        -1.488534454612e+00,        +1.410795852041e+00,        -7.880561340277e+01,        +7.579129693767e+01,        -4.261998226172e-02,        +4.072800427001e-02,        +1.335777095642e+00,        -1.271245185761e+00,        -2.182211495214e+02,        +2.098511558575e+02,        -4.599248284116e-01,        +4.422175860170e-01
