        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43534000e+00,        +4.071574556092e-04,        +1.314757582411e-03,        -9.918730001848e-05
 2.43534500e+00,        +4.078413978507e-04,        +1.314830711562e-03,        -9.919525335977e-05
 2.43535000e+00,        +4.085282692688e-04,        +1.314904036710e-03,        -9.920322871165e-05
 2.43535500e+00,        +4.092180868133e-04,        +1.314977558377e-03,        -9.921122617776e-05
 2.43536000e+00,        +4.099108675572e-04,        +1.315051277656e-03,        -9.921924587325e-05
 2.43536500e+00,        +4.106066286975e-04,        +1.315125194854e-03,        -9.922728788951e-05
 2.43537000e+00,        +4.113053875572e-04,        +1.315199311646e-03,        -9.923535234114e-05
 2.43537500e+00,        +4.120071615850e-04,        +1.315273628317e-03,        -9.924343933687e-05
 2.43538000e+00,        +4.127119683577e-04,        +1.315348146214e-03,        -9.925154897737e-05
 2.43538500e+00,        +4.134198255810e-04,        +1.315422865325e-03,        -9.925968137700e-05
 2.43539000e+00,        +4.141307510898e-04,        +1.315497787480e-03,        -9.926783664146e-05
 2.43539500e+00,        +4.148447628507e-04,        +1.315572913176e-03,        -9.927601488171e-05
 2.43540000e+00,        +4.155618789618e-04,        +1.315648243512e-03,        -9.928421620635e-05
 2.43540500e+00,        +4.162821176552e-04,        +1.315723778942e-03,        -9.929244072917e-05
 2.43541000e+00,        +4.170054972971e-04,        +1.315799520699e-03,        -9.930068856399e-05
 2.43541500e+00,        +4.177320363894e-04,        +1.315875469699e-03,        -9.930895982058e-05
 2.43542000e+00,        +4.184617535712e-04,        +1.315951627158e-03,        -9.931725461184e-05
 2.43542500e+00,        +4.191946676195e-04,        +1.316027993204e-03,        -9.932557305118e-05
 2.43543000e+00,        +4.199307974506e-04,        +1.316104569196e-03,        -9.933391525703e-05
 2.43543500e+00,        +4.206701621217e-04,        +1.316181356188e-03,        -9.934228133985e-05
 2.43544000e+00,        +4.214127808317e-04,        +1.316258354772e-03,        -9.935067142089e-05
 2.43544500e+00,        +4.221586729226e-04,        +1.316335566150e-03,        -9.935908561561e-05
 2.43545000e+00,        +4.229078578809e-04,        +1.316412991644e-03,        -9.936752403996e-05
 2.43545500e+00,        +4.236603553390e-04,        +1.316490631554e-03,        -9.937598681522e-05
 2.43546000e+00,        +4.244161850758e-04,        +1.316568486881e-03,        -9.938447405842e-05
 2.43546500e+00,        +4.251753670194e-04,        +1.316646559007e-03,        -9.939298589073e-05
 2.43547000e+00,        +4.259379212467e-04,        +1.316724848704e-03,        -9.940152243371e-05
 2.43547500e+00,        +4.267038679863e-04,        +1.316803356628e-03,        -9.941008380775e-05
 2.43548000e+00,        +4.274732276190e-04,        +1.316882084484e-03,        -9.941867013901e-05
 2.43548500e+00,        +4.282460206795e-04,        +1.316961032391e-03,        -9.942728153756e-05
 2.43549000e+00,        +4.290222678574e-04,        +1.317040202029e-03,        -9.943591814933e-05
 2.43549500e+00,        +4.298019899994e-04,        +1.317119593942e-03,        -9.944458008173e-05
 2.43550000e+00,        +4.305852081099e-04,        +1.317199209778e-03,        -9.945326746737e-05
 2.43550500e+00,        +4.313719433528e-04,        +1.317279050152e-03,        -9.946198043281e-05
 2.43551000e+00,        +4.321622170531e-04,        +1.317359115618e-03,        -9.947071910028e-05
 2.43551500e+00,        +4.329560506982e-04,        +1.317439407808e-03,        -9.947948360390e-05
 2.43552000e+00,        +4.337534659393e-04,        +1.317519927432e-03,        -9.948827407584e-05
 2.43552500e+00,        +4.345544845931e-04,        +1.317600675765e-03,        -9.949709064129e-05
 2.43553000e+00,        +4.353591286432e-04,        +1.317681654077e-03,        -9.950593342433e-05
 2.43553500e+00,        +4.361674202417e-04,        +1.317762862621e-03,        -9.951480257014e-05
 2.43554000e+00,        +4.369793817106e-04,        +1.317844303159e-03,        -9.952369820052e-05
 2.43554500e+00,        +4.377950355437e-04,        +1.317925976579e-03,        -9.953262045167e-05
 2.43555000e+00,        +4.386144044079e-04,        +1.318007883911e-03,        -9.954156946225e-05
 2.43555500e+00,        +4.394375111447e-04,        +1.318090025847e-03,        -9.955054536025e-05
 2.43556000e+00,        +4.402643787725e-04,        +1.318172404331e-03,        -9.955954829182e-05
 2.43556500e+00,        +4.410950304872e-04,        +1.318255019859e-03,        -9.956857838117e-05
 2.43557000e+00,        +4.419294896648e-04,        +1.318337873448e-03,        -9.957763577846e-05
 2.43557500e+00,        +4.427677798624e-04,        +1.318420966448e-03,        -9.958672061568e-05
 2.43558000e+00,        +4.436099248203e-04,        +1.318504300025e-03,        -9.959583303281e-05
 2.43558500e+00,        +4.444559484639e-04,        +1.318587874854e-03,        -9.960497317502e-05
 2.43559000e+00,        +4.453058749044e-04,        +1.318671692684e-03,        -9.961414117956e-05
 2.43559500e+00,        +4.461597284421e-04,        +1.318755754300e-03,        -9.962333719433e-05
 2.43560000e+00,        +4.470175335666e-04,        +1.318840060947e-03,        -9.963256135344e-05
 2.43560500e+00,        +4.478793149600e-04,        +1.318924613463e-03,        -9.964181380772e-05
 2.43561000e+00,        +4.487450974976e-04,        +1.319009413317e-03,        -9.965109470761e-05
 2.43561500e+00,        +4.496149062503e-04,        +1.319094461637e-03,        -9.966040419233e-05
 2.43562000e+00,        +4.504887664864e-04,        +1.319179759478e-03,        -9.966974240972e-05
 2.43562500e+00,        +4.513667036732e-04,        +1.319265308244e-03,        -9.967910951304e-05
 2.43563000e+00,        +4.522487434793e-04,        +1.319351108737e-03,        -9.968850564909e-05
 2.43563500e+00,        +4.531349117760e-04,        +1.319437162461e-03,        -9.969793096835e-05
 2.43564000e+00,        +4.540252346400e-04,        +1.319523470368e-03,        -9.970738562420e-05
 2.43564500e+00,        +4.549197383544e-04,        +1.319610033819e-03,        -9.971686976727e-05
 2.43565000e+00,        +4.558184494114e-04,        +1.319696854231e-03,        -9.972638355179e-05
 2.43565500e+00,        +4.567213945138e-04,        +1.319783932292e-03,        -9.973592713878e-05
 2.43566000e+00,        +4.576286005777e-04,        +1.319871270025e-03,        -9.974550067213e-05
 2.43566500e+00,        +4.585400947338e-04,        +1.319958867548e-03,        -9.975510431888e-05
 2.43567000e+00,        +4.594559043298e-04,        +1.320046727068e-03,        -9.976473823531e-05
 2.43567500e+00,        +4.603760569325e-04,        +1.320134849204e-03,        -9.977440257712e-05
 2.43568000e+00,        +4.613005803299e-04,        +1.320223236084e-03,        -9.978409750228e-05
 2.43568500e+00,        +4.622295025334e-04,        +1.320311887874e-03,        -9.979382318314e-05
 2.43569000e+00,        +4.631628517798e-04,        +1.320400806345e-03,        -9.980357977594e-05
 2.43569500e+00,        +4.641006565333e-04,        +1.320489992886e-03,        -9.981336744262e-05
 2.43570000e+00,        +4.650429454885e-04,        +1.320579448990e-03,        -9.982318635145e-05
 2.43570500e+00,        +4.659897475717e-04,        +1.320669175386e-03,        -9.983303666377e-05
 2.43571000e+00,        +4.669410919436e-04,        +1.320759173721e-03,        -9.984291855062e-05
 2.43571500e+00,        +4.678970080017e-04,        +1.320849445238e-03,        -9.985283218197e-05
 2.43572000e+00,        +4.688575253825e-04,        +1.320939991219e-03,        -9.986277772321e-05
 2.43572500e+00,        +4.698226739636e-04,        +1.321030813109e-03,        -9.987275534764e-05
 2.43573000e+00,        +4.707924838663e-04,        +1.321121912298e-03,        -9.988276522782e-05
 2.43573500e+00,        +4.717669854582e-04,        +1.321213289803e-03,        -9.989280753450e-05
 2.43574000e+00,        +4.727462093549e-04,        +1.321304947281e-03,        -9.990288244437e-05
 2.43574500e+00,        +4.737301864235e-04,        +1.321396886031e-03,        -9.991299013305e-05
 2.43575000e+00,        +4.747189477839e-04,        +1.321489107667e-03,        -9.992313077539e-05
 2.43575500e+00,        +4.757125248125e-04,        +1.321581613188e-03,        -9.993330455350e-05
 2.43576000e+00,        +4.767109491438e-04,        +1.321674404101e-03,        -9.994351164854e-05
 2.43576500e+00,        +4.777142526731e-04,        +1.321767481460e-03,        -9.995375222750e-05
 2.43577000e+00,        +4.787224675599e-04,        +1.321860847662e-03,        -9.996402648531e-05
 2.43577500e+00,        +4.797356262292e-04,        +1.321954503224e-03,        -9.997433460467e-05
 2.43578000e+00,        +4.807537613753e-04,        +1.322048449720e-03,        -9.998467676830e-05
 2.43578500e+00,        +4.817769059641e-04,        +1.322142689044e-03,        -9.999505315958e-05
 2.43579000e+00,        +4.828050932355e-04,        +1.322237222126e-03,        -1.000054639674e-04
 2.43579500e+00,        +4.838383567066e-04,        +1.322332050816e-03,        -1.000159093846e-04
 2.43580000e+00,        +4.848767301741e-04,        +1.322427176530e-03,        -1.000263895970e-04
 2.43580500e+00,        +4.859202477175e-04,        +1.322522600484e-03,        -1.000369047974e-04
 2.43581000e+00,        +4.869689437016e-04,        +1.322618324080e-03,        -1.000474551802e-04
 2.43581500e+00,        +4.880228527794e-04,        +1.322714349574e-03,        -1.000580409367e-04
 2.43582000e+00,        +4.890820098957e-04,        +1.322810677557e-03,        -1.000686622624e-04
 2.43582500e+00,        +4.901464502885e-04,        +1.322907309964e-03,        -1.000793193579e-04
 2.43583000e+00,        +4.912162094942e-04,        +1.323004248571e-03,        -1.000900124206e-04
 2.43583500e+00,        +4.922913233483e-04,        +1.323101494585e-03,        -1.001007416558e-04
 2.43584000e+00,        +4.933718279901e-04,        +1.323199049512e-03,        -1.001115072509e-04
 2.43584500e+00,        +4.944577598647e-04,        +1.323296915039e-03,        -1.001223094198e-04
 2.43585000e+00,        +4.955491557275e-04,        +1.323395092639e-03,        -1.001331483686e-04
