        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +9.409697101955e-04,        +1.339323119092e-02
 2.00e+00,        +3.701150519448e-04,        +3.444392918432e-02
 3.00e+00,        -5.263326437879e-05,        +2.299531704890e-04
 4.00e+00,        -5.143014117278e-05,        +2.202029084669e-04
 5.00e+00,        +5.324159449462e-06,        -2.867336449355e-05
 6.00e+00,        +7.906502682141e-06,        -4.322239638786e-05
 7.00e+00,        +1.994721649677e-04,        -1.482119904109e-03
 8.00e+00,        +3.172650277962e-04,        -4.032392681204e-03
