        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.120849136097e+03,        +2.178402771389e-03
 2.00e+00,        +1.827556928111e+02,        +1.433852694485e-02
 3.00e+00,        +4.017369857560e+06,        -6.724874858405e-07
 4.00e+00,        +4.372356312674e+06,        -6.179338924168e-07
 5.00e+00,        +2.665459576175e+08,        +1.027797790634e-08
 6.00e+00,        +1.174300629227e+08,        +2.333142105080e-08
 7.00e+00,        +1.035859374279e+05,        +2.702662495766e-05
 8.00e+00,        +1.457005102994e+04,        +1.977128171287e-04
