        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +1.086354478025e+03,        +2.247392353986e-03
 2.00e+00,        +1.107022702546e+06,        -2.347602529810e-06
 3.00e+00,        +7.379917949952e+03,        -3.528185047219e-04
 4.00e+00,        +2.521686092344e+02,        +1.037607964574e-02
 5.00e+00,        +6.250511182668e+06,        +4.322230013872e-07
 6.00e+00,        +2.416171513004e+06,        -1.118232866920e-06
 7.00e+00,        +2.387288690838e+09,        +1.147524910381e-09
 8.00e+00,        +1.173330380137e+08,        -2.334887220862e-08
