        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.10e+01,        +3.459059667205e-10,        +3.459059667462e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.013849329689e-12,        +8.712915126220e-03,        +3.975038200639e-12,        +1.149167283245e-02,        +3.013849329689e-12,        +8.712915126220e-03,        +3.975038200639e-12,        +1.149167283245e-02,        +1.326366143529e-12,        +3.834470263997e-03,        +2.594092889214e-12,        +7.499416426999e-03,        +3.411351996113e-10,        +9.862079074426e-01,        +3.363216292164e-10,        +9.722920722645e-01,        +4.305516359535e-13,        +1.244707167198e-03,        +3.015206440038e-12,        +8.716838476075e-03
 1.20e+01,        +3.459059667205e-10,        +3.459059667437e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.014343807727e-12,        +8.714344642002e-03,        +3.974429189946e-12,        +1.148991220753e-02,        +3.014343807727e-12,        +8.714344642002e-03,        +3.974429189946e-12,        +1.148991220753e-02,        +1.326588767590e-12,        +3.835113861051e-03,        +2.594059946102e-12,        +7.499321189866e-03,        +3.411343551508e-10,        +9.862054661418e-01,        +3.363217217069e-10,        +9.722923396580e-01,        +4.306789943614e-13,        +1.245075355145e-03,        +3.015755900750e-12,        +8.718426944583e-03
 1.30e+01,        +3.459059667205e-10,        +3.459059666831e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.541599618576e-13,        +4.456701435918e-04,        +6.474582392348e-12,        +1.871775284605e-02,        +1.541599618576e-13,        +4.456701435918e-04,        +6.474582392348e-12,        +1.871775284605e-02,        +1.573867849752e-13,        +4.549987572270e-04,        +2.775446323197e-12,        +8.023701787541e-03,        +3.455740377860e-10,        +9.990404070283e-01,        +3.357699701807e-10,        +9.706972487360e-01,        +2.038218768419e-14,        +5.892407083183e-05,        +8.859677869213e-13,        +2.561296630459e-03
 1.40e+01,        +3.459059667205e-10,        +3.459059740189e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.385075190964e-11,        +4.004195718554e-02,        +3.605986945711e-13,        +1.042476053193e-03,        +1.385075190964e-11,        +4.004195718554e-02,        +3.605986945711e-13,        +1.042476053193e-03,        +6.814619408390e-12,        +1.970078594769e-02,        +4.424525838677e-13,        +1.279112293804e-03,        +3.200105365154e-10,        +9.251373705676e-01,        +3.449667603786e-10,        +9.972847718432e-01,        +5.230058887032e-12,        +1.511988629921e-02,        +1.361623618155e-13,        +3.936398097826e-04
 1.50e+01,        +3.459059667205e-10,        +3.459059667432e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.017732764871e-16,        +2.317893744617e-06,        +2.261783920136e-16,        +6.538724791106e-07,        +8.017732764871e-16,        +2.317893744617e-06,        +2.261783920136e-16,        +6.538724791106e-07,        +1.484841758326e-15,        +4.292616783698e-06,        +6.512380834850e-16,        +1.882702659386e-06,        +3.459035741266e-10,        +9.999930831090e-01,        +3.459049190781e-10,        +9.999969712429e-01,        +1.059788392916e-16,        +3.063804891728e-07,        +1.702486843444e-16,        +4.921819821361e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059678477e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.016153063995e-16,        +2.317437059556e-06,        +2.262589411700e-16,        +6.541053413384e-07,        +8.016153063995e-16,        +2.317437059556e-06,        +2.262589411700e-16,        +6.541053413384e-07,        +1.484817031131e-15,        +4.292545298390e-06,        +6.513764698452e-16,        +1.883102722680e-06,        +3.459035741226e-10,        +9.999930830973e-01,        +3.459049199689e-10,        +9.999969706251e-01,        +1.061655678724e-16,        +3.069203138614e-07,        +1.702434447648e-16,        +4.921668331543e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059669544e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.619671866878e-14,        +1.913720057980e-04,        +1.232075771620e-13,        +3.561880653486e-04,        +6.619671866878e-14,        +1.913720057980e-04,        +1.232075771620e-13,        +3.561880653486e-04,        +6.925184649504e-14,        +2.002042553692e-04,        +1.937412055825e-13,        +5.600978996931e-04,        +3.457610081664e-10,        +9.995809307500e-01,        +3.454955309490e-10,        +9.988134462985e-01,        +9.509988885283e-15,        +2.749298884736e-05,        +9.348722272147e-14,        +2.702677364736e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059669129e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.616468367528e-14,        +1.912793939422e-04,        +1.231995686776e-13,        +3.561649131904e-04,        +6.616468367528e-14,        +1.912793939422e-04,        +1.231995686776e-13,        +3.561649131904e-04,        +6.921684787998e-14,        +2.001030758047e-04,        +1.937266423861e-13,        +5.600557981554e-04,        +3.457610825441e-10,        +9.995811457729e-01,        +3.454955614374e-10,        +9.988135345590e-01,        +9.502644797769e-15,        +2.747175739078e-05,        +9.347926450651e-14,        +2.702447296321e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059671430e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.147041651628e-17,        +1.198892777406e-07,        +3.570964088719e-15,        +1.032351109237e-05,        +4.147041651628e-17,        +1.198892777406e-07,        +3.570964088719e-15,        +1.032351109237e-05,        +1.487399790073e-16,        +4.300011948838e-07,        +7.952493831174e-15,        +2.299033432946e-05,        +3.459057609649e-10,        +9.999994051690e-01,        +3.458930956278e-10,        +9.999627889760e-01,        +1.554518024009e-17,        +4.494048017581e-08,        +1.348057327105e-15,        +3.897178583647e-06
 2.00e+01,        +3.459059667205e-10,        +3.459059667812e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.180199104216e-17,        +1.208478461314e-07,        +3.573650269312e-15,        +1.033127674138e-05,        +4.180199104216e-17,        +1.208478461314e-07,        +3.573650269312e-15,        +1.033127674138e-05,        +1.490458102027e-16,        +4.308853403594e-07,        +7.959572069778e-15,        +2.301079725176e-05,        +3.459057601456e-10,        +9.999994028003e-01,        +3.458930837585e-10,        +9.999627557085e-01,        +1.572712592577e-17,        +4.546647771035e-08,        +1.349800331092e-15,        +3.902217540946e-06
 2.10e+01,        +3.459059667205e-10,        +3.459059668046e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.063935096414e-17,        +1.174867012253e-07,        +9.682073285702e-18,        +2.799047780281e-08,        +4.063935096414e-17,        +1.174867012253e-07,        +9.682073285702e-18,        +2.799047780281e-08,        +4.454818324659e-17,        +1.287869754574e-07,        +1.565278023273e-17,        +4.525154734197e-08,        +3.459058760812e-10,        +9.999997379657e-01,        +3.459059348233e-10,        +9.999999075434e-01,        +5.451698668024e-18,        +1.576063783956e-08,        +6.646450021857e-18,        +1.921461512577e-08
 2.20e+01,        +3.459059667205e-10,        +3.459059667560e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.877300900010e-17,        +2.277295466943e-07,        +1.806287225754e-17,        +5.221902480301e-08,        +7.877300900010e-17,        +2.277295466943e-07,        +1.806287225754e-17,        +5.221902480301e-08,        +5.999447664379e-17,        +1.734415778155e-07,        +2.179688913539e-17,        +6.301391485035e-08,        +3.459058174985e-10,        +9.999995686053e-01,        +3.459059136580e-10,        +9.999998464961e-01,        +1.045452426604e-17,        +3.022360199554e-08,        +1.323815568491e-17,        +3.827096655506e-08
 2.30e+01,        +3.459059667205e-10,        +3.459059667162e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477670632437e-12,        +2.450859900687e-02,        +2.038966724369e-12,        +5.894569393310e-03,        +8.477670632437e-12,        +2.450859900687e-02,        +2.038966724369e-12,        +5.894569393310e-03,        +3.447532016056e-12,        +9.966674032085e-03,        +1.393505191756e-12,        +4.028566506050e-03,        +3.328600489364e-10,        +9.622847853484e-01,        +3.411010751564e-10,        +9.861092550515e-01,        +1.120715135631e-12,        +3.239941612619e-03,        +1.372419643684e-12,        +3.967609049107e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059667817e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.477842092447e-12,        +2.450909469075e-02,        +2.038982276636e-12,        +5.894614353164e-03,        +8.477842092447e-12,        +2.450909469075e-02,        +2.038982276636e-12,        +5.894614353164e-03,        +3.447540870383e-12,        +9.966699629581e-03,        +1.393501868160e-12,        +4.028556896909e-03,        +3.328600126626e-10,        +9.622846804823e-01,        +3.411010925463e-10,        +9.861093051383e-01,        +1.120571095098e-12,        +3.239525197331e-03,        +1.372390090613e-12,        +3.967523611638e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059670955e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.645162199939e-12,        +2.210185118349e-02,        +2.824163855353e-13,        +8.164542170425e-04,        +7.645162199939e-12,        +2.210185118349e-02,        +2.824163855353e-13,        +8.164542170425e-04,        +4.853350693745e-12,        +1.403083832222e-02,        +4.423918444492e-13,        +1.278936724231e-03,        +3.276915075592e-10,        +9.473427436538e-01,        +3.449668845314e-10,        +9.972851507248e-01,        +5.715946267590e-12,        +1.652456684047e-02,        +2.142743340719e-13,        +6.194583339255e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059667547e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.334841475228e-13,        +2.120472666248e-03,        +8.632882540066e-12,        +2.495731028019e-02,        +7.334841475228e-13,        +2.120472666248e-03,        +8.632882540066e-12,        +2.495731028019e-02,        +8.845311386631e-13,        +2.557143338836e-03,        +4.062853818217e-12,        +1.174554419033e-02,        +3.440109951067e-10,        +9.945217145813e-01,        +3.299494605457e-10,        +9.538703932785e-01,        +2.769563275524e-13,        +8.006694136509e-04,        +3.260769850738e-12,        +9.426752250997e-03
 2.70e+01,        +3.459059667205e-10,        +3.459059668158e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.335556124964e-13,        +2.120679268563e-03,        +8.634519270759e-12,        +2.496204199726e-02,        +7.335556124964e-13,        +2.120679268563e-03,        +8.634519270759e-12,        +2.496204199726e-02,        +8.846524332469e-13,        +2.557493996516e-03,        +4.063187282723e-12,        +1.174650822050e-02,        +3.440107326711e-10,        +9.945209558906e-01,        +3.299480788243e-10,        +9.538663986100e-01,        +2.770260036156e-13,        +8.008708442993e-04,        +3.260181438012e-12,        +9.425051172210e-03
