        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059667062e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199860408091e-12,        +1.792354282544e-02,        +3.021096876292e-14,        +8.733867487338e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059659731e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261847556856e-13,        +3.647949669152e-04,        +5.074749868054e-12,        +1.467089431018e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059666128e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261992105920e-13,        +3.648367554584e-04,        +5.074422224457e-12,        +1.466994707882e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059665022e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.280401458544e-12,        +1.237446552058e-02,        +2.208892289086e-12,        +6.385817253813e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059666335e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.281858128181e-12,        +1.237867669291e-02,        +2.209665568018e-12,        +6.388052769149e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059666318e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.477127810715e-12,        +4.270316076707e-03,        +2.363845696572e-14,        +6.833781213981e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059663464e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.893155210493e-14,        +1.703687064541e-04,        +2.258333830539e-14,        +6.528750730704e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059676718e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.898023901129e-14,        +1.705094583088e-04,        +2.258381069856e-14,        +6.528887272619e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059665419e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.347010947452e-15,        +6.785112641173e-06,        +1.575146963991e-13,        +4.553685441561e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059665219e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.345811625850e-15,        +6.781645451480e-06,        +1.574944818540e-13,        +4.553101047594e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059671264e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.002642747914e-12,        +8.680517356730e-03,        +3.996867774904e-12,        +1.155478122597e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059667111e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.022167620828e-12,        +8.736962965633e-03,        +3.977728338007e-12,        +1.149944991070e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059667107e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.741123394336e-13,        +5.033516509829e-04,        +6.481948133157e-12,        +1.873904689993e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059686578e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.387499325199e-11,        +4.011203791465e-02,        +3.614767851861e-13,        +1.045014593384e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059667435e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.139562798762e-16,        +2.353114309051e-06,        +2.292601537458e-16,        +6.627817262135e-07
 1.60e+01,        +3.459059667205e-10,        +3.459059656363e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.107302752954e-16,        +2.343788061773e-06,        +2.296724548029e-16,        +6.639736738290e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059660860e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.664819693827e-14,        +1.926772110067e-04,        +1.233534689491e-13,        +3.566098334321e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059670110e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.655891002828e-14,        +1.924190862023e-04,        +1.234765046410e-13,        +3.569655236305e-04
 1.90e+01,        +3.459059667205e-10,        +3.459059671123e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.222990388245e-17,        +1.799041065190e-07,        +3.594132928073e-15,        +1.039049126003e-05
 2.00e+01,        +3.459059667205e-10,        +3.459059664808e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.047668527711e-16,        +3.028766857201e-07,        +3.616781628838e-15,        +1.045596774648e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059657482e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.293558335896e-16,        +9.521542421259e-07,        +8.561799257902e-17,        +2.475181149126e-07
 2.20e+01,        +3.459059667205e-10,        +3.459059669809e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.210657568319e-14,        +6.390920599832e-05,        +5.241437178193e-15,        +1.515278046210e-05
 2.30e+01,        +3.459059667205e-10,        +3.459059669016e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.511768820093e-12,        +2.460717547255e-02,        +2.044983687199e-12,        +5.911964183552e-03
 2.40e+01,        +3.459059667205e-10,        +3.459059667494e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.491824634934e-12,        +2.454951764910e-02,        +2.037200998709e-12,        +5.889464752093e-03
 2.50e+01,        +3.459059667205e-10,        +3.459059671823e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.652006895144e-12,        +2.212163891734e-02,        +2.828079764396e-13,        +8.175862901219e-04
 2.60e+01,        +3.459059667205e-10,        +3.459059680863e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.361469602901e-13,        +2.128170749032e-03,        +8.654541527400e-12,        +2.501992543026e-02
 2.70e+01,        +3.459059667205e-10,        +3.459059672331e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.375623566777e-13,        +2.132262602089e-03,        +8.670313130278e-12,        +2.506552055067e-02
