        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +4.948864585608e+04,        +4.928770770801e-05
 2.00e+00,        +3.815089580305e+09,        +6.812262654044e-10
 3.00e+00,        +1.482022416377e+07,        +1.757933036548e-07
 4.00e+00,        +7.735794509950e+03,        -3.369062401398e-04
 5.00e+00,        +7.382788478921e+07,        -3.659342762065e-08
 6.00e+00,        +2.071941577128e+08,        -1.303977029297e-08
 7.00e+00,        +6.113669016764e+09,        -4.579055153727e-10
 8.00e+00,        +4.712650522210e+09,        +6.112697952536e-10
