        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +3.459059667205e-10,        +3.459059666973e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.207777987076e-12,        +1.794643222241e-02,        +3.024902238795e-14,        +8.744868634895e-05
 2.00e+00,        +3.459059667205e-10,        +3.459059666006e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.262276145729e-13,        +3.649188702052e-04,        +5.068015097280e-12,        +1.465142433675e-02
 3.00e+00,        +3.459059667205e-10,        +3.459059663915e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261634838198e-13,        +3.647334708214e-04,        +5.069304162663e-12,        +1.465515098090e-02
 4.00e+00,        +3.459059667205e-10,        +3.459059669148e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.303293840518e-12,        +1.244064646041e-02,        +2.225485534713e-12,        +6.433787640504e-03
 5.00e+00,        +3.459059667205e-10,        +3.459059662675e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.310889235537e-12,        +1.246260443672e-02,        +2.222407587830e-12,        +6.424889434000e-03
 6.00e+00,        +3.459059667205e-10,        +3.459059651981e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.479838648501e-12,        +4.278152997855e-03,        +2.374520298663e-14,        +6.864641080427e-05
 7.00e+00,        +3.459059667205e-10,        +3.459059643910e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.916713625110e-14,        +1.710497705838e-04,        +2.286640633778e-14,        +6.610584578396e-05
 8.00e+00,        +3.459059667205e-10,        +3.459059665976e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.974927050810e-14,        +1.727326969077e-04,        +2.288869131480e-14,        +6.617027031921e-05
 9.00e+00,        +3.459059667205e-10,        +3.459059652010e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333701172890e-15,        +6.746634627368e-06,        +1.548130701969e-13,        +4.475582550503e-04
 1.00e+01,        +3.459059667205e-10,        +3.459059682747e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.413901312712e-15,        +6.978489950891e-06,        +1.571489964896e-13,        +4.543113184009e-04
 1.10e+01,        +3.459059667205e-10,        +3.459059662308e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.585143757591e-13,        +4.582585760574e-04,        +6.489638548561e-12,        +1.876127960230e-02
 1.20e+01,        +3.459059667205e-10,        +3.459059665395e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.094523342447e-12,        +8.946140397015e-03,        +4.063628947645e-12,        +1.174778506511e-02
 1.30e+01,        +3.459059667205e-10,        +3.459059662660e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.110485591584e-12,        +8.992286606312e-03,        +4.083961438553e-12,        +1.180656547396e-02
 1.40e+01,        +3.459059667205e-10,        +3.459059626530e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.350455242706e-11,        +3.904110864319e-02,        +3.502444203621e-13,        +1.012542303913e-03
 1.50e+01,        +3.459059667205e-10,        +3.459059647728e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.778675293405e-15,        +1.381495479454e-05,        +1.095878571569e-15,        +3.168140139729e-06
 1.60e+01,        +3.459059667205e-10,        +3.459059660891e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.982378230616e-15,        +5.730974372633e-06,        +2.788177601994e-16,        +8.060507407601e-07
 1.70e+01,        +3.459059667205e-10,        +3.459059661557e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.758145396622e-14,        +1.953752188982e-04,        +1.237551583393e-13,        +3.577711009576e-04
 1.80e+01,        +3.459059667205e-10,        +3.459059678893e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.664669606644e-15,        +7.703450830605e-06,        +9.366009276174e-15,        +2.707674959564e-05
 1.90e+01,        +3.459059667205e-10,        +3.459059659742e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.845673959184e-14,        +1.979056338371e-04,        +1.288799786969e-13,        +3.725867471927e-04
 2.00e+01,        +3.459059667205e-10,        +3.459059681072e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.147492488511e-15,        +1.199023112505e-05,        +7.061245994522e-15,        +2.041377323774e-05
 2.10e+01,        +3.459059667205e-10,        +3.459059682083e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.312059825547e-12,        +2.402982493871e-02,        +1.992008788928e-12,        +5.758815897992e-03
 2.20e+01,        +3.459059667205e-10,        +3.459059652971e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.290714618268e-12,        +2.396811681762e-02,        +2.002251212665e-12,        +5.788426374622e-03
 2.30e+01,        +3.459059667205e-10,        +3.459059679628e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.465394884921e-14,        +7.127355761726e-05,        +7.146289167304e-15,        +2.065962957908e-05
 2.40e+01,        +3.459059667205e-10,        +3.459059689083e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.125877273611e-13,        +6.145824235894e-04,        +5.617774376488e-14,        +1.624075581644e-04
 2.50e+01,        +3.459059667205e-10,        +3.459059700258e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.115669032097e-12,        +2.346206718850e-02,        +3.074576567476e-13,        +8.888475001595e-04
