        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40170000e+00,        +7.071067811865e+00,        +1.035339549387e+01,        -3.241530991664e+00
 2.40172500e+00,        +7.071067811865e+00,        +1.035327177745e+01,        -3.241535033326e+00
 2.40175000e+00,        +7.071067811865e+00,        +1.035314804874e+01,        -3.241539069409e+00
 2.40177500e+00,        +7.071067811865e+00,        +1.035302430773e+01,        -3.241543099909e+00
 2.40180000e+00,        +7.071067811865e+00,        +1.035290055440e+01,        -3.241547124825e+00
 2.40182500e+00,        +7.071067811865e+00,        +1.035277678875e+01,        -3.241551144152e+00
 2.40185000e+00,        +7.071067811865e+00,        +1.035265301076e+01,        -3.241555157886e+00
 2.40187500e+00,        +7.071067811865e+00,        +1.035252922041e+01,        -3.241559166026e+00
 2.40190000e+00,        +7.071067811865e+00,        +1.035240541770e+01,        -3.241563168567e+00
 2.40192500e+00,        +7.071067811865e+00,        +1.035228160262e+01,        -3.241567165505e+00
 2.40195000e+00,        +7.071067811865e+00,        +1.035215777515e+01,        -3.241571156839e+00
 2.40197500e+00,        +7.071067811865e+00,        +1.035203393527e+01,        -3.241575142564e+00
 2.40200000e+00,        +7.071067811865e+00,        +1.035191008298e+01,        -3.241579122677e+00
 2.40202500e+00,        +7.071067811865e+00,        +1.035178621826e+01,        -3.241583097175e+00
 2.40205000e+00,        +7.071067811865e+00,        +1.035166234111e+01,        -3.241587066055e+00
 2.40207500e+00,        +7.071067811865e+00,        +1.035153845150e+01,        -3.241591029312e+00
 2.40210000e+00,        +7.071067811865e+00,        +1.035141454943e+01,        -3.241594986944e+00
 2.40212500e+00,        +7.071067811865e+00,        +1.035129063487e+01,        -3.241598938948e+00
 2.40215000e+00,        +7.071067811865e+00,        +1.035116670783e+01,        -3.241602885319e+00
 2.40217500e+00,        +7.071067811865e+00,        +1.035104276829e+01,        -3.241606826055e+00
 2.40220000e+00,        +7.071067811865e+00,        +1.035091881623e+01,        -3.241610761152e+00
 2.40222500e+00,        +7.071067811865e+00,        +1.035079485164e+01,        -3.241614690608e+00
 2.40225000e+00,        +7.071067811865e+00,        +1.035067087451e+01,        -3.241618614417e+00
 2.40227500e+00,        +7.071067811865e+00,        +1.035054688483e+01,        -3.241622532578e+00
 2.40230000e+00,        +7.071067811865e+00,        +1.035042288257e+01,        -3.241626445086e+00
 2.40232500e+00,        +7.071067811865e+00,        +1.035029886774e+01,        -3.241630351939e+00
 2.40235000e+00,        +7.071067811865e+00,        +1.035017484032e+01,        -3.241634253132e+00
 2.40237500e+00,        +7.071067811865e+00,        +1.035005080029e+01,        -3.241638148663e+00
 2.40240000e+00,        +7.071067811865e+00,        +1.034992674764e+01,        -3.241642038528e+00
 2.40242500e+00,        +7.071067811865e+00,        +1.034980268236e+01,        -3.241645922723e+00
 2.40245000e+00,        +7.071067811865e+00,        +1.034967860443e+01,        -3.241649801245e+00
 2.40247500e+00,        +7.071067811865e+00,        +1.034955451385e+01,        -3.241653674091e+00
 2.40250000e+00,        +7.071067811865e+00,        +1.034943041059e+01,        -3.241657541258e+00
 2.40252500e+00,        +7.071067811865e+00,        +1.034930629466e+01,        -3.241661402741e+00
 2.40255000e+00,        +7.071067811865e+00,        +1.034918216602e+01,        -3.241665258537e+00
 2.40257500e+00,        +7.071067811865e+00,        +1.034905802467e+01,        -3.241669108643e+00
 2.40260000e+00,        +7.071067811865e+00,        +1.034893387060e+01,        -3.241672953055e+00
 2.40262500e+00,        +7.071067811865e+00,        +1.034880970380e+01,        -3.241676791770e+00
 2.40265000e+00,        +7.071067811865e+00,        +1.034868552424e+01,        -3.241680624785e+00
 2.40267500e+00,        +7.071067811865e+00,        +1.034856133192e+01,        -3.241684452095e+00
 2.40270000e+00,        +7.071067811865e+00,        +1.034843712683e+01,        -3.241688273698e+00
 2.40272500e+00,        +7.071067811865e+00,        +1.034831290894e+01,        -3.241692089589e+00
 2.40275000e+00,        +7.071067811865e+00,        +1.034818867825e+01,        -3.241695899766e+00
 2.40277500e+00,        +7.071067811865e+00,        +1.034806443475e+01,        -3.241699704225e+00
 2.40280000e+00,        +7.071067811865e+00,        +1.034794017841e+01,        -3.241703502962e+00
 2.40282500e+00,        +7.071067811865e+00,        +1.034781590923e+01,        -3.241707295973e+00
 2.40285000e+00,        +7.071067811865e+00,        +1.034769162720e+01,        -3.241711083256e+00
 2.40287500e+00,        +7.071067811865e+00,        +1.034756733229e+01,        -3.241714864806e+00
 2.40290000e+00,        +7.071067811865e+00,        +1.034744302450e+01,        -3.241718640621e+00
 2.40292500e+00,        +7.071067811865e+00,        +1.034731870382e+01,        -3.241722410695e+00
 2.40295000e+00,        +7.071067811865e+00,        +1.034719437022e+01,        -3.241726175027e+00
 2.40297500e+00,        +7.071067811865e+00,        +1.034707002370e+01,        -3.241729933612e+00
 2.40300000e+00,        +7.071067811865e+00,        +1.034694566424e+01,        -3.241733686447e+00
 2.40302500e+00,        +7.071067811865e+00,        +1.034682129183e+01,        -3.241737433528e+00
 2.40305000e+00,        +7.071067811865e+00,        +1.034669690645e+01,        -3.241741174852e+00
 2.40307500e+00,        +7.071067811865e+00,        +1.034657250810e+01,        -3.241744910415e+00
 2.40310000e+00,        +7.071067811865e+00,        +1.034644809675e+01,        -3.241748640213e+00
 2.40312500e+00,        +7.071067811865e+00,        +1.034632367239e+01,        -3.241752364243e+00
 2.40315000e+00,        +7.071067811865e+00,        +1.034619923502e+01,        -3.241756082501e+00
 2.40317500e+00,        +7.071067811865e+00,        +1.034607478461e+01,        -3.241759794983e+00
 2.40320000e+00,        +7.071067811865e+00,        +1.034595032115e+01,        -3.241763501686e+00
 2.40322500e+00,        +7.071067811865e+00,        +1.034582584463e+01,        -3.241767202607e+00
 2.40325000e+00,        +7.071067811865e+00,        +1.034570135504e+01,        -3.241770897741e+00
 2.40327500e+00,        +7.071067811865e+00,        +1.034557685236e+01,        -3.241774587085e+00
 2.40330000e+00,        +7.071067811865e+00,        +1.034545233657e+01,        -3.241778270635e+00
 2.40332500e+00,        +7.071067811865e+00,        +1.034532780767e+01,        -3.241781948387e+00
 2.40335000e+00,        +7.071067811865e+00,        +1.034520326563e+01,        -3.241785620339e+00
 2.40337500e+00,        +7.071067811865e+00,        +1.034507871045e+01,        -3.241789286486e+00
