        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +3.292540468113e-10,        +3.292465795552e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.603234051501e-13,        +1.094362874624e-03,        +1.513920235569e-11,        +4.598135043999e-02,        +3.603234051501e-13,        +1.094362874624e-03,        +1.513920235569e-11,        +4.598135043999e-02,        +4.040385906258e-12,        +1.227133256337e-02,        +6.857120450035e-12,        +2.082670216134e-02,        +6.511340280834e-11,        +1.977603720864e-01,        +6.103949558217e-11,        +1.853914341787e-01,        +6.493571631837e-11,        +1.972207082867e-01,        +6.083118920873e-11,        +1.847587582866e-01,        +6.490504633103e-11,        +1.971275583690e-01,        +6.079571423722e-11,        +1.846510123791e-01,        +6.492113553698e-11,        +1.971764239976e-01,        +6.081193684488e-11,        +1.847002842886e-01,        +6.491387688023e-11,        +1.971543782344e-01,        +6.080293384435e-11,        +1.846729400393e-01,        +6.415962491898e-14,        +1.948635879812e-04,        +2.968987032092e-12,        +9.017518226320e-03
 2.00e+00,        +3.292540468113e-10,        +3.292363078544e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.215542826944e-11,        +3.691808312506e-02,        +3.256663985897e-13,        +9.891570000647e-04,        +1.215542826944e-11,        +3.691808312506e-02,        +3.256663985897e-13,        +9.891570000647e-04,        +7.571383359268e-11,        +2.299556659240e-01,        +4.818626973043e-12,        +1.463577029048e-02,        +4.707142337797e-11,        +1.429638415498e-01,        +6.473469602111e-11,        +1.966207689637e-01,        +4.697464651156e-11,        +1.426699139054e-01,        +6.463394820014e-11,        +1.963147643750e-01,        +4.690508396872e-11,        +1.424586407456e-01,        +6.457008163511e-11,        +1.961207804082e-01,        +4.705583553130e-11,        +1.429164986339e-01,        +6.470189435929e-11,        +1.965211394239e-01,        +4.692658208345e-11,        +1.425239341412e-01,        +6.458595103095e-11,        +1.961689810333e-01,        +6.451213476169e-12,        +1.959342197506e-02,        +8.654432361917e-13,        +2.628638505369e-03
 3.00e+00,        +3.292540468113e-10,        +3.292383415484e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.583552765610e-15,        +4.809516484143e-06,        +3.395988676679e-16,        +1.031468163977e-06,        +1.583552765610e-15,        +4.809516484143e-06,        +3.395988676679e-16,        +1.031468163977e-06,        +8.900366462426e-15,        +2.703191213175e-05,        +1.379769191998e-15,        +4.190791344377e-06,        +5.940373703742e-11,        +1.804191553991e-01,        +7.216900905080e-11,        +2.191998924286e-01,        +6.367219570799e-11,        +1.933831833644e-01,        +6.779046880072e-11,        +2.059008938081e-01,        +7.085128558053e-11,        +2.151872885594e-01,        +6.098779701385e-11,        +1.852390481832e-01,        +7.110451331512e-11,        +2.159563838433e-01,        +6.073942906910e-11,        +1.844846769165e-01,        +6.421135206952e-11,        +1.950206920504e-01,        +6.754967527284e-11,        +2.051695284187e-01,        +4.791814707388e-16,        +1.455354840372e-06,        +2.429730652795e-16,        +7.379853273978e-07
 4.00e+00,        +3.292540468113e-10,        +3.292374682162e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.169455440946e-16,        +1.266333848081e-06,        +4.122153610090e-16,        +1.252030527517e-06,        +4.169455440946e-16,        +1.266333848081e-06,        +4.122153610090e-16,        +1.252030527517e-06,        +2.879892421479e-15,        +8.746718375582e-06,        +1.048949288566e-15,        +3.185996096524e-06,        +7.304151634269e-11,        +2.218393883084e-01,        +6.041941926085e-11,        +1.835131936477e-01,        +6.785879351718e-11,        +2.060985861051e-01,        +6.365396930726e-11,        +1.933375616455e-01,        +6.060654924665e-11,        +1.840722986812e-01,        +7.047380872008e-11,        +2.140516056751e-01,        +6.032178341177e-11,        +1.832074168745e-01,        +7.066922465579e-11,        +2.146451466738e-01,        +6.742201382117e-11,        +2.047720125968e-01,        +6.401939864481e-11,        +1.944474879838e-01,        +9.363385173531e-17,        +2.843817794865e-07,        +1.864627981266e-16,        +5.663474425826e-07
 5.00e+00,        +3.292540468113e-10,        +3.292388718219e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.715395429103e-12,        +8.247113301722e-03,        +6.427533972808e-12,        +1.952240310277e-02,        +2.715395429103e-12,        +8.247113301722e-03,        +6.427533972808e-12,        +1.952240310277e-02,        +9.718140937613e-12,        +2.951563095953e-02,        +4.997599485519e-12,        +1.517925103395e-02,        +7.149407510944e-11,        +2.171395486307e-01,        +6.585518270465e-11,        +2.000225014143e-01,        +6.927401864421e-11,        +2.103968631976e-01,        +6.504593951728e-11,        +1.975645802616e-01,        +4.416569956908e-11,        +1.341386688996e-01,        +5.660872508052e-11,        +1.719381577493e-01,        +8.733977920481e-11,        +2.652656210323e-01,        +7.139223847302e-11,        +2.168402475624e-01,        +4.288093556179e-11,        +1.302366242027e-01,        +5.620479044224e-11,        +1.707112836684e-01,        +1.666002355244e-12,        +5.059929775742e-03,        +2.706862145865e-12,        +8.221575207343e-03
 6.00e+00,        +3.292540468113e-10,        +3.292389022962e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.715254361516e-12,        +8.246684855698e-03,        +6.432349170065e-12,        +1.953702653364e-02,        +2.715254361516e-12,        +8.246684855698e-03,        +6.432349170065e-12,        +1.953702653364e-02,        +9.723481578904e-12,        +2.953185138671e-02,        +5.000550566697e-12,        +1.518821297186e-02,        +5.453125378625e-11,        +1.656206030400e-01,        +6.016231744804e-11,        +1.827314968810e-01,        +5.672652388575e-11,        +1.722880081054e-01,        +6.092835287826e-11,        +1.850581825335e-01,        +8.188285725002e-11,        +2.486920298871e-01,        +6.941687147930e-11,        +2.108404292299e-01,        +3.888825343705e-11,        +1.181101760591e-01,        +5.481569222371e-11,        +1.664921485323e-01,        +8.311838711667e-11,        +2.524445422058e-01,        +6.977409790161e-11,        +2.119254359524e-01,        +1.668035395104e-12,        +5.066104460244e-03,        +2.708670628483e-12,        +8.227067365346e-03
 7.00e+00,        +3.292540468113e-10,        +3.292319718287e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.498844094381e-13,        +1.366374730380e-03,        +1.258192384907e-14,        +3.821598424716e-05,        +4.498844094381e-13,        +1.366374730380e-03,        +1.258192384907e-14,        +3.821598424716e-05,        +1.589978192647e-11,        +4.829031588360e-02,        +1.501296514826e-12,        +4.559996122148e-03,        +6.203743348981e-11,        +1.884181351471e-01,        +6.546845273749e-11,        +1.988520506494e-01,        +6.215118016567e-11,        +1.887636029612e-01,        +6.556452537508e-11,        +1.991438589968e-01,        +6.194064396015e-11,        +1.881241690422e-01,        +6.536573688099e-11,        +1.985400643744e-01,        +6.210236419905e-11,        +1.886153406480e-01,        +6.550725258360e-11,        +1.989699002188e-01,        +6.197982925549e-11,        +1.882431813845e-01,        +6.540708767670e-11,        +1.986656621269e-01,        +2.692929405211e-12,        +8.178880202965e-03,        +4.050381361881e-13,        +1.230251527330e-03
 8.00e+00,        +3.292540468113e-10,        +3.292323480451e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.151423975951e-11,        +3.497068561807e-02,        +3.748360336742e-13,        +1.138515203320e-03,        +1.151423975951e-11,        +3.497068561807e-02,        +3.748360336742e-13,        +1.138515203320e-03,        +5.421596155443e-11,        +1.646630074239e-01,        +3.582975239822e-12,        +1.088281653093e-02,        +5.229813909969e-11,        +1.588382575892e-01,        +6.508433653656e-11,        +1.976851209276e-01,        +5.209969230018e-11,        +1.582355412325e-01,        +6.488998174088e-11,        +1.970947937715e-01,        +5.213295980343e-11,        +1.583365802435e-01,        +6.493420546801e-11,        +1.972291175323e-01,        +5.227204644988e-11,        +1.587590098166e-01,        +6.506139867897e-11,        +1.976154501989e-01,        +5.206326817437e-11,        +1.581249150271e-01,        +6.486231692251e-11,        +1.970107655206e-01,        +2.657739669785e-12,        +8.072003049087e-03,        +4.422974247016e-13,        +1.343420314947e-03
