        m,               Re{V[1]} (V),               Im{V[1]} (V)
 1.00e+00,        +9.407674437082e-02,        +8.701002936961e-02
 2.00e+00,        +3.713702963638e-05,        +2.038677151840e-05
 3.00e+00,        +7.865365901829e-03,        -1.729534040040e-03
 4.00e+00,        +2.010993563672e-01,        +2.869488881370e-01
 5.00e+00,        -2.678404325147e-03,        -1.408322377624e-03
 6.00e+00,        -3.082436652707e-03,        -1.762721846609e-03
 7.00e+00,        +6.991450409026e-04,        +3.423842727648e-04
 8.00e+00,        +2.260363427533e-06,        -1.084214317467e-06
