        m,                   Q_ext[1],             κ_ext[1] (GHz)
 1.00e+00,        +2.769617177363e+03,        +8.627390663028e-04
 2.00e+00,        +9.232505658597e+03,        +2.655434148971e-04
 3.00e+00,        +3.882170675903e+05,        -6.713934883141e-06
 4.00e+00,        +9.081142172370e+04,        +2.870452754602e-05
 5.00e+00,        +1.318847925616e+08,        -2.064138776632e-08
 6.00e+00,        +3.860188070538e+03,        +7.101263573996e-04
 7.00e+00,        +3.256405049817e+06,        +8.446270450229e-07
 8.00e+00,        +4.119582756807e+10,        -6.777082369338e-11
