        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 1.00e+00,        +2.935514708646e-10,        +2.935292617410e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.111668107730e-12,        +7.193519083760e-03,        +4.174687194366e-12,        +1.422238849239e-02,        +2.111668107730e-12,        +7.193519083760e-03,        +4.174687194366e-12,        +1.422238849239e-02,        +1.060664090434e-12,        +3.613213339761e-03,        +2.875928722225e-12,        +9.797758169551e-03,        +2.116412951759e-11,        +7.209682668345e-02,        +4.184006723397e-11,        +1.425413840712e-01,        +8.564728359347e-11,        +2.917624065764e-01,        +6.644019993624e-11,        +2.263494942281e-01,        +4.869996870700e-11,        +1.658992495032e-01,        +5.404262693969e-11,        +1.841132520115e-01,        +4.863454558666e-11,        +1.656763818741e-01,        +5.402051172715e-11,        +1.840379095656e-01,        +8.570835019927e-11,        +2.919704334877e-01,        +6.648096390920e-11,        +2.264883695577e-01,        +5.248610623884e-13,        +1.787969451635e-03,        +3.654276078196e-12,        +1.244944390389e-02
 2.00e+00,        +2.935514708646e-10,        +2.935447069213e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.333801687016e-13,        +7.950229920982e-04,        +9.625016193624e-12,        +3.278892777381e-02,        +2.333801687016e-13,        +7.950229920982e-04,        +9.625016193624e-12,        +3.278892777381e-02,        +2.557272927965e-13,        +8.711497579738e-04,        +4.373245830106e-12,        +1.489805718513e-02,        +5.949285507653e-11,        +2.026658388095e-01,        +5.618414910737e-11,        +1.913989514464e-01,        +5.917780828071e-11,        +2.015926137465e-01,        +5.608415219146e-11,        +1.910582983413e-01,        +5.758920377604e-11,        +1.961809409656e-01,        +5.450461462363e-11,        +1.856773886175e-01,        +5.757104042631e-11,        +1.961190664682e-01,        +5.448084968947e-11,        +1.855964301345e-01,        +5.917888406163e-11,        +2.015962784562e-01,        +5.608388394192e-11,        +1.910573845127e-01,        +5.257178183821e-14,        +1.790888040294e-04,        +2.208795343698e-12,        +7.524561988748e-03
 3.00e+00,        +2.935514708646e-10,        +2.935374650352e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.637413174902e-15,        +5.577942328409e-06,        +2.926025179818e-16,        +9.968148970243e-07,        +1.637413174902e-15,        +5.577942328409e-06,        +2.926025179818e-16,        +9.968148970243e-07,        +3.206076110248e-15,        +1.092168300437e-05,        +7.452227207739e-16,        +2.538765266929e-06,        +5.509677853803e-11,        +1.876903507782e-01,        +6.205786714849e-11,        +2.114137871329e-01,        +6.190320208970e-11,        +2.108768247946e-01,        +5.574750212038e-11,        +1.899161393715e-01,        +6.428076876083e-11,        +2.189761426557e-01,        +5.351204804614e-11,        +1.823005729089e-01,        +5.889969454690e-11,        +2.006452032873e-01,        +5.839936892437e-11,        +1.989503074756e-01,        +5.336579242268e-11,        +1.817936468365e-01,        +6.381939627499e-11,        +2.174148239215e-01,        +3.910171228270e-16,        +1.332022359402e-06,        +2.446955925685e-16,        +8.336094083907e-07
 4.00e+00,        +2.935514708646e-10,        +2.935374591394e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.683384635447e-15,        +5.734546757640e-06,        +4.217132718842e-16,        +1.436659134138e-06,        +1.683384635447e-15,        +5.734546757640e-06,        +4.217132718842e-16,        +1.436659134138e-06,        +3.205280619187e-15,        +1.091897311823e-05,        +7.843779938504e-16,        +2.672156378781e-06,        +6.238749986684e-11,        +2.125266130778e-01,        +5.545274370146e-11,        +1.889119837177e-01,        +5.554993670725e-11,        +1.892340601927e-01,        +6.170390937631e-11,        +2.102079562766e-01,        +5.303462640852e-11,        +1.806655107274e-01,        +6.378782381639e-11,        +2.173072697550e-01,        +5.846720894668e-11,        +1.991719161702e-01,        +5.895857254114e-11,        +2.008553617450e-01,        +6.410693806717e-11,        +2.183839783816e-01,        +5.363297408763e-11,        +1.827125377622e-01,        +3.722028335453e-16,        +1.267930398881e-06,        +2.295251646336e-16,        +7.819280214069e-07
 5.00e+00,        +2.935514708646e-10,        +2.935344561921e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.446590507156e-14,        +2.196068201658e-04,        +2.214753751331e-13,        +7.545123594899e-04,        +6.446590507156e-14,        +2.196068201658e-04,        +2.214753751331e-13,        +7.545123594899e-04,        +4.698399456442e-14,        +1.600536847117e-04,        +2.966977733857e-13,        +1.010776646921e-03,        +7.634610234534e-11,        +2.600773967185e-01,        +6.591395280183e-11,        +2.245526935982e-01,        +5.936051813993e-11,        +2.022150254097e-01,        +5.376083089341e-11,        +1.831499837901e-01,        +4.878172327390e-11,        +1.661777511461e-01,        +5.960116944096e-11,        +2.030465868101e-01,        +4.912164761386e-11,        +1.673357229967e-01,        +5.972939223599e-11,        +2.034834104685e-01,        +5.978944424302e-11,        +2.036761868947e-01,        +5.386929618752e-11,        +1.835194984818e-01,        +4.058534887693e-14,        +1.382563294859e-04,        +1.416414838917e-13,        +4.825378448893e-04
 6.00e+00,        +2.935514708646e-10,        +2.935356041348e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.400399037557e-13,        +4.770540012736e-04,        +3.430227072907e-13,        +1.168589780792e-03,        +1.400399037557e-13,        +4.770540012736e-04,        +3.430227072907e-13,        +1.168589780792e-03,        +9.280758221594e-14,        +3.161543764118e-04,        +3.378202742207e-13,        +1.150866434811e-03,        +4.618136839388e-11,        +1.573194924143e-01,        +5.923549738459e-11,        +2.018000424827e-01,        +5.752029790711e-11,        +1.959462091527e-01,        +6.072758349623e-11,        +2.068831945454e-01,        +6.677460627347e-11,        +2.274715438380e-01,        +5.653634336957e-11,        +1.926047217891e-01,        +6.627476342604e-11,        +2.257688003772e-01,        +5.611782386830e-11,        +1.911789339277e-01,        +5.648467420206e-11,        +1.924182973286e-01,        +6.009171926523e-11,        +2.047169693174e-01,        +8.291317603108e-14,        +2.824485116252e-04,        +1.457937693685e-13,        +4.966817221312e-04
 7.00e+00,        +2.935514708646e-10,        +2.935365819299e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.843058368896e-12,        +9.685042151290e-03,        +2.738629502634e-12,        +9.329772407337e-03,        +2.843058368896e-12,        +9.685042151290e-03,        +2.738629502634e-12,        +9.329772407337e-03,        +1.781055680055e-12,        +6.067268798924e-03,        +1.510806489649e-12,        +5.146910411357e-03,        +7.893577181917e-11,        +2.688992549984e-01,        +7.186081607960e-11,        +2.448104273993e-01,        +3.822401660168e-11,        +1.302123150298e-01,        +4.495189247767e-11,        +1.531389790742e-01,        +6.705904138440e-11,        +2.284404884326e-01,        +6.396431095986e-11,        +2.179091632781e-01,        +6.099846555880e-11,        +2.077947876710e-01,        +5.996820520050e-11,        +2.042955082676e-01,        +4.187909918238e-11,        +1.426635644476e-01,        +4.731485037762e-11,        +1.611889396086e-01,        +1.830962269179e-12,        +6.237278470405e-03,        +1.227070842348e-12,        +4.180299553401e-03
 8.00e+00,        +2.935514708646e-10,        +2.935250384739e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.330138099084e-12,        +1.134430731781e-02,        +1.104379491608e-13,        +3.762471158678e-04,        +3.330138099084e-12,        +1.134430731781e-02,        +1.104379491608e-13,        +3.762471158678e-04,        +1.404213563165e-12,        +4.783534414014e-03,        +1.128005196387e-13,        +3.842960730885e-04,        +5.440694632535e-11,        +1.853403975974e-01,        +5.480692945370e-11,        +1.867197760663e-01,        +6.147820334546e-11,        +2.094290420838e-01,        +6.251623603965e-11,        +2.129843381154e-01,        +5.496706383014e-11,        +1.872484701516e-01,        +5.621143853248e-11,        +1.915047480267e-01,        +5.534352714828e-11,        +1.885309141367e-01,        +5.660982096042e-11,        +1.928619829325e-01,        +6.209207750837e-11,        +2.115202397913e-01,        +6.313912942260e-11,        +2.151064513981e-01,        +5.293010447039e-13,        +1.803094507226e-03,        +1.824559621524e-14,        +6.216027194855e-05
