        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²),         Re{B_x[7]} (Wb/m²),         Im{B_x[7]} (Wb/m²),         Re{B_y[7]} (Wb/m²),         Im{B_y[7]} (Wb/m²),         Re{B_z[7]} (Wb/m²),         Im{B_z[7]} (Wb/m²),         Re{B_x[8]} (Wb/m²),         Im{B_x[8]} (Wb/m²),         Re{B_y[8]} (Wb/m²),         Im{B_y[8]} (Wb/m²),         Re{B_z[8]} (Wb/m²),         Im{B_z[8]} (Wb/m²),         Re{B_x[9]} (Wb/m²),         Im{B_x[9]} (Wb/m²),         Re{B_y[9]} (Wb/m²),         Im{B_y[9]} (Wb/m²),         Re{B_z[9]} (Wb/m²),         Im{B_z[9]} (Wb/m²),        Re{B_x[10]} (Wb/m²),        Im{B_x[10]} (Wb/m²),        Re{B_y[10]} (Wb/m²),        Im{B_y[10]} (Wb/m²),        Re{B_z[10]} (Wb/m²),        Im{B_z[10]} (Wb/m²),        Re{B_x[11]} (Wb/m²),        Im{B_x[11]} (Wb/m²),        Re{B_y[11]} (Wb/m²),        Im{B_y[11]} (Wb/m²),        Re{B_z[11]} (Wb/m²),        Im{B_z[11]} (Wb/m²),        Re{B_x[12]} (Wb/m²),        Im{B_x[12]} (Wb/m²),        Re{B_y[12]} (Wb/m²),        Im{B_y[12]} (Wb/m²),        Re{B_z[12]} (Wb/m²),        Im{B_z[12]} (Wb/m²)
 1.00e+00,        -6.518362572426e-13,        +1.110579352784e-09,        +2.450830501996e-13,        -3.595768514038e-10,        -2.940667920741e-10,        +5.016542231382e-07,        -3.612395761458e-12,        +6.093070959598e-09,        +2.955541883236e-12,        -4.389859934896e-09,        -2.871149601385e-10,        +4.901010615753e-07,        +4.377182206099e-12,        -6.920072633590e-09,        -9.327659938037e-13,        +1.375729602646e-09,        -2.831413701714e-10,        +4.835272956091e-07,        -4.780120387785e-12,        +7.594864199996e-09,        -1.315698089866e-12,        +2.010506941219e-09,        -7.715752754796e-10,        +1.253303361913e-06,        -5.033270276780e-13,        +9.403773167126e-10,        -1.778073935898e-12,        +2.839464036517e-09,        -7.678208499174e-10,        +1.247623821441e-06,        +3.353166786331e-13,        -4.745036402174e-10,        -2.064978039996e-12,        +3.419087047617e-09,        -7.731921099443e-10,        +1.255811439109e-06,        -1.046495697197e-12,        +1.732209615732e-09,        -3.191095581273e-13,        +4.914958316065e-10,        -1.142658614504e-09,        +1.851198945586e-06,        -1.368904034098e-12,        +2.176246005317e-09,        +1.788744660756e-13,        -2.826117825745e-10,        -1.174043618163e-09,        +1.900439379654e-06,        -2.928610450164e-11,        +2.269359754405e-08,        -2.178398302228e-11,        +1.289358797446e-08,        +8.700739964729e-10,        -1.006577560785e-06,        +3.422742492157e-13,        +2.890934659072e-09,        +6.634279311138e-13,        -1.885032993100e-10,        -6.473522285574e-11,        -2.738971506802e-08,        +5.052149602036e-12,        -6.910371947038e-09,        +1.267589191102e-11,        -5.151472090461e-09,        +8.097417347253e-10,        -9.720146079820e-07,        +6.108777876501e-10,        -7.707942771471e-07,        +4.457344690908e-10,        -5.612932201379e-07,        -5.660879845186e-25,        +7.137671953349e-22
 2.00e+00,        +1.084832959167e-12,        +3.245494087056e-08,        -9.681929148254e-11,        -6.040277645242e-07,        +1.250487291785e-11,        +1.358194784308e-09,        +6.276404719865e-11,        +3.979115598259e-07,        -7.560763078513e-11,        -4.618429867288e-07,        -1.959141045645e-12,        +4.119344219437e-09,        +9.543472301223e-11,        +5.914758888122e-07,        -1.753521911981e-11,        -9.188520305519e-08,        -9.811539698107e-12,        +3.408947135634e-09,        -6.382588274114e-13,        -1.156698830628e-08,        -5.764848437264e-11,        -1.028822636146e-06,        +2.114647904232e-12,        -1.456234226432e-10,        +3.622183863376e-11,        +6.565258875547e-07,        -4.390650178011e-11,        -7.851685458659e-07,        -3.973516881503e-13,        +8.799031921760e-10,        +5.606153684389e-11,        +1.037613389275e-06,        -9.903024156227e-12,        -1.529084315703e-07,        -1.864480746929e-12,        +1.544002695302e-09,        -4.426698596303e-13,        -1.427356306057e-10,        -8.015740293850e-12,        -3.399987440952e-07,        -4.535685261508e-14,        +1.956849281518e-10,        -4.704381069995e-13,        +1.811564671825e-09,        -3.669030081913e-12,        -1.731636323581e-07,        -1.087535337989e-13,        +5.466874729267e-11,        +8.156472836168e-11,        -1.852945378384e-07,        -1.026477417267e-10,        +2.345799305137e-07,        -3.864929160725e-12,        +7.165213236100e-09,        +4.738476169064e-11,        -1.722033047315e-07,        -5.605270819630e-11,        +2.121130323830e-07,        +8.774169803876e-12,        -2.083748887037e-08,        -7.785053549625e-12,        -1.434058165389e-07,        +4.972878584210e-12,        +1.701792482796e-07,        -3.558419938809e-11,        +3.456181548607e-08,        +1.753277542586e-12,        +4.611446308206e-10,        +6.427660958063e-12,        +4.527744360024e-10,        -6.771150550395e-27,        -5.417609974496e-25
 3.00e+00,        +1.610717106911e-12,        -3.709475920685e-09,        -1.907172552480e-11,        +5.827175020882e-09,        +6.482951589073e-11,        -4.176206794885e-07,        +1.183742549910e-11,        +7.775932297229e-12,        -1.413335359268e-11,        +1.504800663267e-09,        -1.286921703717e-11,        +8.112736552309e-08,        +2.020274940874e-11,        -1.299467222568e-08,        -3.547048981808e-12,        +4.138052262892e-09,        -4.502104625416e-11,        +2.962265299051e-07,        +2.019169464622e-13,        -1.548762348268e-09,        -3.357656578790e-11,        +9.838433565781e-09,        +1.122201782955e-11,        -6.786511972745e-08,        +2.185545279390e-11,        -7.452567082007e-09,        -2.578344997967e-11,        +8.420428347363e-09,        -2.676176500012e-12,        +1.591710731903e-08,        +3.440002843055e-11,        -1.181358823267e-08,        -5.326970979416e-12,        +3.646076225938e-09,        -8.582757697799e-12,        +5.149779905152e-08,        +3.243939635991e-13,        -3.514240692532e-10,        -1.134214451469e-11,        +4.067166229682e-09,        +1.904494023532e-13,        -1.277723934948e-09,        +3.991827871628e-13,        -4.229324797921e-10,        -5.786209245245e-12,        +2.222934524048e-09,        +2.842122640534e-14,        -3.315533197624e-10,        -4.315965474171e-12,        -5.206416300505e-09,        +1.291206480872e-11,        -5.261604524090e-09,        -6.468807760056e-11,        +2.774103803281e-07,        -7.393338760583e-12,        -7.502475960613e-10,        +7.109073668483e-12,        -1.839013590501e-09,        -7.492778875853e-12,        -1.852834858956e-07,        -3.765862389746e-12,        +9.381692405021e-09,        -1.633826366215e-12,        +2.809061640585e-09,        -1.567318054891e-10,        +8.409541314934e-07,        -6.941311385800e-12,        +1.296279245242e-08,        -5.862338372690e-12,        +9.423059570099e-09,        +7.199222244011e-27,        -1.199989409996e-23
 4.00e+00,        +7.125051814520e-14,        -1.961011377441e-09,        +1.156977458751e-12,        -1.257754391309e-09,        +8.698365215470e-12,        -1.468544151344e-07,        -8.888866326831e-13,        -1.383267911491e-09,        +1.512272866697e-12,        -6.726698239962e-09,        -3.103872919429e-11,        +3.937191758594e-07,        -1.795041646643e-12,        +5.845937898279e-09,        +7.570094889148e-14,        +1.197007883860e-09,        +1.925952150167e-11,        -2.551173901207e-07,        +1.216255919135e-13,        -6.041713849021e-10,        +1.758010800430e-12,        +8.233088764526e-10,        +1.258218316342e-12,        -2.082444962716e-08,        -1.201669038807e-12,        -8.766644081766e-11,        +1.328932610540e-12,        +7.225607616431e-10,        -6.482074280562e-12,        +6.621427206723e-08,        -1.903381602173e-12,        +9.878766263976e-10,        +4.487536180132e-13,        -1.581170195973e-09,        +4.165896510989e-12,        -5.179103317726e-08,        +6.166628179417e-14,        -1.156665999275e-10,        +5.453270220565e-13,        +1.125527760964e-10,        +5.618656831498e-13,        -5.838906315579e-09,        +8.855358606796e-14,        -1.742376264392e-10,        +2.419398385897e-13,        +1.561233844624e-10,        +6.647305699079e-13,        -5.954630088166e-09,        +3.217992166709e-11,        -4.713367513365e-08,        +2.813593405257e-11,        -2.731643622878e-08,        -5.376247523493e-10,        +2.136538725234e-06,        -4.120617814577e-12,        -6.088137031600e-09,        -1.412874404455e-12,        +2.717127848624e-10,        +1.619166013004e-10,        +5.927363598007e-08,        -6.445208566510e-13,        +1.340536743086e-08,        -1.836921314969e-11,        +1.038547857018e-08,        -4.396095570825e-10,        +1.917567838825e-06,        -2.850075406372e-10,        +1.659549994838e-06,        -2.093906664814e-10,        +1.208482648114e-06,        +2.648350123255e-25,        -1.536634605738e-21
 5.00e+00,        +2.522774132766e-10,        +5.825378611531e-07,        -7.901294439930e-10,        -4.164493882293e-07,        -7.265755922161e-12,        -1.247148394877e-08,        +4.343584513370e-10,        +7.236740931566e-07,        -7.860159387451e-10,        -4.772141754989e-07,        +9.606071010735e-12,        +8.669034400372e-09,        +4.386491333508e-10,        +7.835734635850e-07,        -5.997064814711e-10,        -3.491458733844e-07,        +1.509000008632e-12,        -8.579262639164e-09,        +3.590461525328e-10,        +8.666324702679e-07,        -8.785071495814e-10,        -4.813606178740e-07,        -4.280637084166e-12,        -1.271473606899e-08,        +3.941673392513e-10,        +8.694136658180e-07,        -8.683443552100e-10,        -4.834725540283e-07,        +3.830164351999e-12,        -8.022734857528e-09,        +3.980775745834e-10,        +8.781156390734e-07,        -8.379716763294e-10,        -4.725983627634e-07,        +1.448748662400e-11,        +2.948351693963e-09,        +4.679231152403e-10,        +1.130386396385e-06,        -1.056200821550e-09,        -5.933896959960e-07,        -8.920675730819e-12,        -1.864851022209e-08,        +4.619965831630e-10,        +1.121216112488e-06,        -1.071206198298e-09,        -6.024917124187e-07,        -4.519894005035e-12,        -7.846713491857e-09,        +4.779303469094e-10,        +4.106098750310e-07,        -6.055760117113e-10,        -4.771652093287e-07,        -6.169526490038e-12,        +1.183153213905e-08,        +4.680471937613e-10,        +3.419906626750e-07,        -5.747814345654e-10,        -4.165920542623e-07,        -5.089158310259e-13,        -2.501048345278e-09,        +4.777963302721e-10,        +3.011189463629e-07,        -5.676887721220e-10,        -3.435914448914e-07,        -3.993081660239e-12,        -4.673267556113e-09,        -2.125593815942e-11,        +3.557480257051e-08,        -2.607055604234e-11,        +2.562414829369e-08,        +3.018562055405e-26,        -3.259550117398e-23
 6.00e+00,        +1.377647847850e-10,        +3.222700514500e-07,        -6.363333731228e-10,        +7.746597044926e-07,        -4.975338529809e-12,        -2.083077059092e-09,        +2.341059178410e-10,        +2.682641636425e-07,        -6.433372402587e-10,        +6.554627185705e-07,        +8.678218423169e-12,        -4.417199998461e-09,        +2.400200253801e-10,        +3.834217773208e-07,        -5.433155415266e-10,        +5.707044429912e-07,        +5.196833633987e-12,        -1.530753481335e-08,        +1.972535360429e-10,        +4.795022853145e-07,        -8.016741781974e-10,        +8.960267826988e-07,        -2.323923549554e-12,        -6.902704767072e-09,        +2.074918343855e-10,        +4.544715151703e-07,        -8.011398730495e-10,        +8.642558946374e-07,        +6.443332901718e-12,        -1.617415128387e-08,        +2.149026114794e-10,        +4.772869635177e-07,        -8.001147443607e-10,        +8.551818224808e-07,        +1.636034120981e-11,        -2.246020144290e-08,        +2.608942802494e-10,        +6.141483633120e-07,        -1.021343951623e-09,        +1.095346690805e-06,        -5.467254338797e-12,        -8.636821815851e-09,        +2.574174271133e-10,        +6.102901774798e-07,        -1.041655391982e-09,        +1.113871824843e-06,        -3.135606901409e-12,        -2.326594412903e-09,        +2.921526515977e-10,        -1.203449902797e-07,        -3.524094281645e-10,        +2.476813133849e-07,        -1.126149276495e-11,        +2.142151196563e-08,        +2.366226573587e-10,        -1.405810748113e-07,        -2.707861714984e-10,        +1.851665179552e-07,        -1.272282391410e-12,        +1.550858512338e-09,        +1.548125373033e-10,        -8.330059161285e-08,        -1.820644537651e-10,        +1.377337702105e-07,        -2.902555880281e-11,        +2.624838045481e-08,        -4.025726900756e-11,        +7.321292146480e-08,        -2.455766351226e-11,        +5.333073699711e-08,        +3.238221363085e-26,        -6.766395153311e-23
 7.00e+00,        +5.939479488542e-12,        +2.071102464916e-09,        -3.710308940755e-10,        +5.594342785992e-07,        -1.869605777893e-12,        +9.447150945252e-09,        +2.425976330957e-10,        -3.629128812203e-07,        -2.891430107144e-10,        +4.352330879962e-07,        +1.027426619936e-12,        -7.612912502426e-10,        +3.665497374470e-10,        -5.591201156661e-07,        -6.219755822526e-11,        +9.346898343550e-08,        -1.242282277234e-12,        +2.562748948749e-09,        -3.337101373708e-12,        +1.845170349320e-09,        -3.397980487879e-10,        +3.228279886458e-07,        +6.985938300560e-13,        -1.044362943988e-09,        +2.136193309284e-10,        -2.029752627017e-07,        -2.567354426239e-10,        +2.409419952692e-07,        -1.627480007191e-13,        +6.701093360348e-10,        +3.342275749225e-10,        -3.147207918191e-07,        -5.410750727025e-11,        +5.323868672742e-08,        +9.272207994866e-13,        -3.522155155701e-09,        -1.039495208242e-13,        +1.721160345323e-09,        -9.981328907299e-11,        +7.534152645236e-08,        -1.111717122074e-13,        +2.646213939101e-10,        +4.486357841196e-13,        +9.758045700292e-10,        -5.104414290908e-11,        +3.746964251225e-08,        -1.141255804804e-13,        +4.053806496980e-10,        +1.871015722239e-10,        -5.094595116596e-07,        -2.363213080110e-10,        +6.422450410679e-07,        +1.634841991482e-12,        +4.068220122346e-09,        +1.018211802661e-10,        -4.475123456051e-07,        -1.196177097033e-10,        +5.514012861932e-07,        +8.748265210117e-12,        -2.813127571706e-08,        -3.206715985700e-11,        -3.754978979172e-07,        +3.122518729701e-11,        +4.459901194427e-07,        -3.551575874790e-11,        +4.577876321462e-08,        -2.003018088479e-12,        -6.162367694706e-10,        +1.181862997584e-11,        -1.364930326299e-10,        -1.141399204212e-26,        +2.624863117553e-25
 8.00e+00,        -2.523890455747e-12,        -8.636530219822e-09,        -2.504250387031e-11,        -1.278694443626e-08,        -2.220288829598e-12,        +2.013067080170e-08,        +1.431338605058e-11,        +2.582639401031e-08,        -1.882318903805e-11,        -2.473506863097e-08,        -8.091806022309e-13,        +1.096057710187e-10,        +2.544812278406e-11,        +5.741660722768e-09,        -5.834871547197e-12,        -7.630405211970e-09,        -2.045192397808e-13,        +1.218036608264e-09,        -5.649472212366e-14,        -9.862805234497e-09,        +2.840541792963e-11,        +1.455817809416e-07,        -2.540544119009e-15,        +5.128264017493e-10,        -1.922186302583e-11,        -9.807537076120e-08,        +2.208007029302e-11,        +1.136518850643e-07,        -2.399989970048e-13,        +1.142209878840e-09,        -3.085980059558e-11,        -1.558881308509e-07,        +3.695220734581e-12,        +2.216997804178e-08,        +1.188608613067e-13,        -1.014027170207e-08,        -1.207409243414e-12,        +9.329950860578e-10,        +1.236176122169e-11,        +5.834065332506e-08,        -6.133025279528e-14,        +1.477647873431e-10,        -1.366863023987e-12,        +8.111750504713e-10,        +6.626945607085e-12,        +2.942652788860e-08,        -7.653349210492e-14,        +7.512003259194e-10,        +7.501536303345e-11,        +2.185091578361e-07,        -9.525442685442e-11,        -2.772232696670e-07,        +4.502581225373e-13,        +1.482675547168e-08,        +9.336877812718e-11,        +1.947290835128e-07,        -1.178083943646e-10,        -2.408455030763e-07,        +3.096565911404e-11,        -8.648131737992e-08,        +1.298579422721e-10,        +1.659385350794e-07,        -1.504915168732e-10,        -1.941437292773e-07,        -3.307548152311e-12,        +7.126774805654e-08,        +2.980069355019e-14,        -1.676964103410e-09,        -6.181296893905e-12,        -1.366361675713e-09,        +6.162949558646e-27,        +1.691092415523e-24
