        m,           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m),           Re{E_x[5]} (V/m),           Im{E_x[5]} (V/m),           Re{E_y[5]} (V/m),           Im{E_y[5]} (V/m),           Re{E_z[5]} (V/m),           Im{E_z[5]} (V/m),           Re{E_x[6]} (V/m),           Im{E_x[6]} (V/m),           Re{E_y[6]} (V/m),           Im{E_y[6]} (V/m),           Re{E_z[6]} (V/m),           Im{E_z[6]} (V/m)
 1.00e+00,        +9.682203577823e+00,        +1.163312631139e+00,        -1.238016343347e+02,        +5.865909918452e+00,        +1.841161577027e+00,        -9.254625293618e-03,        +8.146027992197e+01,        +1.300703308125e+00,        -1.041306062544e+02,        +4.468146909929e-01,        -1.236896268290e+00,        -1.239670666503e-01,        +8.230927048396e+01,        +6.327601003950e+00,        -2.955731219716e+01,        -4.040088203183e-01,        -1.948215840109e+00,        -1.521705772858e-01,        +7.695290774767e+01,        +9.093346395388e+00,        -1.616448761424e+02,        +7.436794399852e+00,        -4.312271814969e-01,        -2.165138666962e-02,        +1.013729713398e+02,        +8.910322949081e+00,        -1.536198058996e+02,        +5.489604331315e+00,        -1.092549731559e+00,        -1.635908284589e-02,        +1.031461426333e+02,        +1.046933202595e+01,        -1.305393948559e+02,        +5.174283401103e+00,        +4.261008395022e-01,        +4.709741946273e-02
 2.00e+00,        +1.555143848406e+00,        -1.515416331726e+01,        +5.339360815577e+01,        -6.696144657665e+01,        -1.962029080762e-01,        +4.229828093846e-02,        -1.471957869691e+00,        -1.970879292228e+01,        +2.124319860399e+01,        -5.329179082064e-01,        -1.200732024199e+00,        +1.564854883843e+00,        +2.323029637189e+01,        -8.240538133978e+01,        -7.966193455455e+00,        +6.131021282549e+00,        -8.690483048936e-01,        +1.960058325037e+00,        +5.223552478288e+01,        -1.157368127892e+02,        +6.135926446624e+01,        -8.529566567980e+01,        -6.139835263625e-02,        +2.863008584439e-01,        +4.369392689229e+01,        -1.147759886797e+02,        +4.669563255880e+01,        -6.161457528377e+01,        -3.931050540043e-03,        +2.443253850144e-01,        +4.999938237261e+01,        -1.343820024186e+02,        +3.587446243291e+01,        -5.909094508838e+01,        +2.335829038642e-01,        -6.003008802257e-01
 3.00e+00,        -1.039324794481e+01,        -4.975364685124e-01,        -2.835380848532e+02,        +1.505968408856e+02,        +2.701023214277e-01,        -1.620422026944e-01,        +1.850970468203e+02,        -9.300624977270e+01,        -2.046802607783e+02,        +1.129782267446e+02,        +2.921411680028e-01,        -5.392627032016e-01,        +2.827175091367e+02,        -1.432661937058e+02,        -5.960468570866e+01,        +2.404583454625e+01,        +3.450370520785e-01,        -2.553027093561e-01,        +4.837347571978e+00,        +4.602046499705e-02,        -2.026451653053e+02,        +1.074276159112e+02,        -3.766920270294e-02,        +5.440476463427e-02,        +1.367916244197e+02,        -6.823751547002e+01,        -1.545905239365e+02,        +8.187139787531e+01,        +5.173378771828e-01,        -2.358878208887e-01,        +2.088812793564e+02,        -1.050458739205e+02,        -3.996128941993e+01,        +1.871826074729e+01,        +2.417483486125e-01,        -1.306057376960e-01
 4.00e+00,        +6.108500167811e+01,        +2.113261891444e+01,        +1.586049526768e+02,        -1.660970838714e+00,        -1.587234568203e-01,        +6.110363817179e-02,        +1.702772844283e+02,        -5.816051481380e-01,        -8.309478499714e+00,        -1.820800636260e+01,        -6.534786592486e-01,        -8.015001162466e-02,        -1.337085988842e+01,        -1.633163609175e+01,        -1.894539990521e+02,        -5.309864451595e+00,        -1.753211226631e+00,        -7.991244606548e-02,        +1.850388928184e+01,        +6.823265913862e+00,        +6.333847204541e+01,        -7.501607094533e-01,        -6.817098023652e-03,        -7.100080821611e-02,        +5.520319795157e+01,        +5.763549556632e-01,        -4.508116500328e+00,        -6.466565896331e+00,        -3.473767758016e-01,        -3.378227796447e-02,        -3.616036866281e+00,        -6.142495369357e+00,        -6.107501573019e+01,        -1.570055922895e+00,        -5.088636981024e-01,        -1.167377495114e-02
 5.00e+00,        +1.622776795422e+02,        -8.731457031375e+01,        -8.682901746991e+01,        +1.105017324745e+01,        +6.864713613956e-01,        -2.538997765360e-01,        -3.440804581858e+01,        +5.444783281549e+00,        -1.642558264614e+02,        +7.709581935891e+01,        -2.124240654458e+00,        +3.073740636099e-01,        -1.266920551691e+02,        +6.691951164341e+01,        -2.274033306802e+01,        +1.817608141385e+01,        -3.565357098539e-01,        +2.958084091669e-01,        +6.176987202271e+01,        -2.832941676436e+01,        -4.712385976108e+01,        +4.806709254417e+00,        -5.292030156948e-01,        +2.986394953748e-01,        +7.824623844572e-03,        -1.897739877750e+00,        -7.674054039004e+01,        +2.722227224451e+01,        -1.027807385535e-02,        +1.343898149731e-01,        -3.968763497209e+01,        +2.473022492124e+01,        -1.444827731174e+01,        +5.074810037767e+00,        -3.713330121458e-02,        +3.175624513335e-02
 6.00e+00,        -1.475663956674e+00,        -7.396255036917e-03,        +1.467464522972e+00,        +9.023776878797e-03,        -2.382222295898e+01,        -2.625703067173e-02,        +2.620814081601e+00,        +5.076335595858e-03,        +5.884976493317e-01,        +6.741991475142e-03,        +2.492585503715e+02,        +4.445143060339e-01,        +8.743905147634e-01,        +5.911667788188e-03,        -9.590340118187e-02,        +3.603471592453e-03,        +1.086982405524e+02,        +1.767111081572e-01,        +3.227848343142e-01,        -2.417871045281e-03,        -5.481073592810e-01,        +3.626820416604e-03,        -1.081812333741e+01,        -1.269460556158e-02,        +4.551837434713e-01,        +4.475401041018e-04,        -4.836516501524e-01,        +4.369273600804e-03,        +9.939705721161e+01,        +1.783723750463e-01,        +4.120270445239e-01,        +1.434917462503e-03,        -1.068133951859e+00,        +9.045613687169e-04,        +4.385629003065e+01,        +7.206362886812e-02
 7.00e+00,        +1.349034005268e+00,        -1.658397239620e-03,        -2.314251676946e+00,        +2.118908604351e-03,        +2.597293865039e+02,        +1.663019938831e-01,        +1.141829562517e+00,        +6.185307698226e-04,        +2.416994942465e-01,        +3.097751026485e-03,        +6.733418376317e+01,        +2.556771884394e-02,        -6.088886546868e-01,        +2.025700300589e-03,        +2.948712613184e-01,        +1.967763564057e-03,        -2.345656894366e+02,        -1.573525567878e-01,        -7.434560370587e-01,        -2.054542960108e-03,        -5.578182263112e-01,        +2.215491758221e-03,        +1.041110284889e+02,        +6.759263763393e-02,        -8.771715609778e-01,        -6.896322474718e-04,        -9.469829263511e-01,        +2.141960664245e-03,        +2.791578632424e+01,        +1.091411507891e-02,        -1.935031570158e+00,        -8.432430094947e-04,        +9.697577710031e-01,        +2.049190295321e-03,        -9.581014084786e+01,        -6.534972472220e-02
 8.00e+00,        +1.020038575847e+00,        +1.787375694076e-03,        +4.020837097217e-01,        -5.243142900949e-03,        +3.328211177575e+01,        -7.724416704604e-02,        +3.484255372182e-01,        -4.374352124906e-04,        +1.925038373260e-02,        -3.507569393508e-03,        +8.215159832650e+00,        -3.250643870532e-02,        +2.674797155493e-01,        -2.248091997306e-03,        -7.894503214847e-01,        -1.270728014040e-03,        -1.749329242532e+01,        +2.221353298022e-02,        +3.222618909983e-01,        +1.431833241805e-03,        -4.933611291903e-02,        -3.260384758767e-03,        +2.578063069576e+01,        -5.879735127922e-02,        +4.439681395713e-01,        -2.089248175385e-04,        +6.432241130486e-01,        -4.102895565360e-03,        +5.977277315311e+00,        -2.532688859935e-02,        +2.410241753538e-01,        -5.866087512568e-04,        -2.118362415556e-01,        -1.905360184156e-03,        -1.645346151825e+01,        +2.035862095163e-02
