        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        -9.432371493937e-04,        -1.205679912290e-03
 2.00e+00,        +1.136067182991e-02,        +1.583327220801e-02
 3.00e+00,        +1.317181910306e-03,        +1.580805655441e-02
 4.00e+00,        -1.534537487967e-03,        -9.253485007820e-03
 5.00e+00,        +7.017129596395e-03,        +4.118714579923e-02
 6.00e+00,        +3.862374974303e-06,        -1.429470762824e-05
 7.00e+00,        +2.099985056766e-06,        -7.717892940600e-06
 8.00e+00,        -2.507598114178e-06,        +1.000692663265e-05
