        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.43028500e+00,        +1.957530101569e-10,        +1.935071260699e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.269811443924e-13,        +4.224615211432e-03,        +3.080033296607e-12,        +1.591689856163e-02,        +8.269811443924e-13,        +4.224615211432e-03,        +3.080033296607e-12,        +1.591689856163e-02,        +4.691639855135e-13,        +2.396714028242e-03,        +1.872776665698e-12,        +9.678075964098e-03,        +5.688493987462e-11,        +2.905954796252e-01,        +6.402561794493e-11,        +3.308695614745e-01,        +5.040845748922e-11,        +2.575105100495e-01,        +4.047980605044e-11,        +2.091902601862e-01,        +1.721330757190e-11,        +8.793380780250e-02,        +2.008823790294e-11,        +1.038113598757e-01,        +1.986321285327e-11,        +1.014707913679e-01,        +2.133087572673e-11,        +1.102330242816e-01,        +4.981633640231e-11,        +2.544856723398e-01,        +4.061696732858e-11,        +2.098990778971e-01,        +2.706108356585e-13,        +1.382409575422e-03,        +2.012811153932e-12,        +1.040174175914e-02
 2.43029000e+00,        +1.958244469157e-10,        +1.935777642540e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.273621015465e-13,        +4.225019473194e-03,        +3.081332019394e-12,        +1.591779939844e-02,        +8.273621015465e-13,        +4.225019473194e-03,        +3.081332019394e-12,        +1.591779939844e-02,        +4.693721499809e-13,        +2.396902722686e-03,        +1.873568599526e-12,        +9.678635388448e-03,        +5.689677986269e-11,        +2.905499326505e-01,        +6.404077082266e-11,        +3.308271023247e-01,        +5.042952714382e-11,        +2.575241648226e-01,        +4.049697139395e-11,        +2.092025990176e-01,        +1.722241952961e-11,        +8.794826080637e-02,        +2.009782024019e-11,        +1.038229794503e-01,        +1.987048841531e-11,        +1.014709283150e-01,        +2.133959726943e-11,        +1.102378537724e-01,        +4.983777678143e-11,        +2.545023237210e-01,        +4.063403451133e-11,        +2.099106509878e-01,        +2.707209313444e-13,        +1.382467488653e-03,        +2.013669397557e-12,        +1.040237966027e-02
 2.43029500e+00,        +1.958959310699e-10,        +1.936484495431e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.277433223105e-13,        +4.225423763472e-03,        +3.082631592899e-12,        +1.591870009893e-02,        +8.277433223105e-13,        +4.225423763472e-03,        +3.082631592899e-12,        +1.591870009893e-02,        +4.695804563585e-13,        +2.397091423971e-03,        +1.874361055032e-12,        +9.679194744160e-03,        +5.690862761137e-11,        +2.905043882257e-01,        +6.405593374244e-11,        +3.307846455450e-01,        +5.045061104614e-11,        +2.575378200588e-01,        +4.051414790147e-11,        +2.092149356066e-01,        +1.723153538643e-11,        +8.796270189135e-02,        +2.010740803144e-11,        +1.038345934547e-01,        +1.987777149645e-11,        +1.014710789953e-01,        +2.134832596178e-11,        +1.102426898441e-01,        +4.985923065090e-11,        +2.545189702439e-01,        +4.065111304616e-11,        +2.099222231940e-01,        +2.708310999798e-13,        +1.382525397545e-03,        +2.014528211869e-12,        +1.040301751252e-02
 2.43030000e+00,        +1.959674626559e-10,        +1.937191819732e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.281248068889e-13,        +4.225828082200e-03,        +3.083932017778e-12,        +1.591960066301e-02,        +8.281248068889e-13,        +4.225828082200e-03,        +3.083932017778e-12,        +1.591960066301e-02,        +4.697889047557e-13,        +2.397280132062e-03,        +1.875154032620e-12,        +9.679754031168e-03,        +5.692048312557e-11,        +2.904588463520e-01,        +6.407110671162e-11,        +3.307421911398e-01,        +5.047170920665e-11,        +2.575514757532e-01,        +4.053133558233e-11,        +2.092272699558e-01,        +1.724065515189e-11,        +8.797713109221e-02,        +2.011700128393e-11,        +1.038462019043e-01,        +1.988506209511e-11,        +1.014712433667e-01,        +2.135706180582e-11,        +1.102475324760e-01,        +4.988069802344e-11,        +2.545356119195e-01,        +4.066820294180e-11,        +2.099337945141e-01,        +2.709413416191e-13,        +1.382583302080e-03,        +2.015387597310e-12,        +1.040365531581e-02
 2.43030500e+00,        +1.960390417101e-10,        +1.937899615807e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.285065554835e-13,        +4.226232429296e-03,        +3.085233294694e-12,        +1.592050109061e-02,        +8.285065554835e-13,        +4.226232429296e-03,        +3.085233294694e-12,        +1.592050109061e-02,        +4.699974952804e-13,        +2.397468846922e-03,        +1.875947532694e-12,        +9.680313249417e-03,        +5.693234641039e-11,        +2.904133070318e-01,        +6.408628973769e-11,        +3.306997391142e-01,        +5.049282163595e-11,        +2.575651319017e-01,        +4.054853444577e-11,        +2.092396020673e-01,        +1.724977883430e-11,        +8.799154843763e-02,        +2.012660000434e-11,        +1.038578048118e-01,        +1.989236021091e-11,        +1.014714213933e-01,        +2.136580480412e-11,        +1.102523816499e-01,        +4.990217891150e-11,        +2.545522487571e-01,        +4.068530420707e-11,        +2.099453649467e-01,        +2.710516563160e-13,        +1.382641202240e-03,        +2.016247554320e-12,        +1.040429307006e-02
 2.43031000e+00,        +1.961106682693e-10,        +1.938607884021e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.288885683019e-13,        +4.226636804703e-03,        +3.086535424304e-12,        +1.592140138161e-02,        +8.288885683019e-13,        +4.226636804703e-03,        +3.086535424304e-12,        +1.592140138161e-02,        +4.702062280434e-13,        +2.397657568520e-03,        +1.876741555659e-12,        +9.680872398839e-03,        +5.694421747078e-11,        +2.903677702663e-01,        +6.410148282804e-11,        +3.306572894725e-01,        +5.051394834467e-11,        +2.575787884997e-01,        +4.056574450117e-11,        +2.092519319432e-01,        +1.725890644271e-11,        +8.800595395966e-02,        +2.013620419969e-11,        +1.038694021915e-01,        +1.989966584291e-11,        +1.014716130363e-01,        +2.137455495907e-11,        +1.102572373467e-01,        +4.992367332776e-11,        +2.545688807669e-01,        +4.070241685078e-11,        +2.099569344904e-01,        +2.711620441257e-13,        +1.382699098008e-03,        +2.017108083347e-12,        +1.040493077519e-02
 2.43031500e+00,        +1.961823423705e-10,        +1.939316624742e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.292708455499e-13,        +4.227041208346e-03,        +3.087838407280e-12,        +1.592230153594e-02,        +8.292708455499e-13,        +4.227041208346e-03,        +3.087838407280e-12,        +1.592230153594e-02,        +4.704151031550e-13,        +2.397846296822e-03,        +1.877536101925e-12,        +9.681431479376e-03,        +5.695609631199e-11,        +2.903222360574e-01,        +6.411668599028e-11,        +3.306148422196e-01,        +5.053508934379e-11,        +2.575924455441e-01,        +4.058296575778e-11,        +2.092642595851e-01,        +1.726803798422e-11,        +8.802034768045e-02,        +2.014581387615e-11,        +1.038809940529e-01,        +1.990697899218e-11,        +1.014718182669e-01,        +2.138331227398e-11,        +1.102620995518e-01,        +4.994518128450e-11,        +2.545855079566e-01,        +4.071954088196e-11,        +2.099685031441e-01,        +2.712725051035e-13,        +1.382756989369e-03,        +2.017969184835e-12,        +1.040556843112e-02
 2.43032000e+00,        +1.962540640501e-10,        +1.940025838332e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.296533874322e-13,        +4.227445640161e-03,        +3.089142244273e-12,        +1.592320155348e-02,        +8.296533874322e-13,        +4.227445640161e-03,        +3.089142244273e-12,        +1.592320155348e-02,        +4.706241207245e-13,        +2.398035031797e-03,        +1.878331171896e-12,        +9.681990490962e-03,        +5.696798293879e-11,        +2.902767044063e-01,        +6.413189923172e-11,        +3.305723973597e-01,        +5.055624464353e-11,        +2.576061030290e-01,        +4.060019822509e-11,        +2.092765849963e-01,        +1.727717346993e-11,        +8.803472964273e-02,        +2.015542904168e-11,        +1.038925804154e-01,        +1.991429965547e-11,        +1.014720370346e-01,        +2.139207675011e-11,        +1.102669682405e-01,        +4.996670279486e-11,        +2.546021303392e-01,        +4.073667630925e-11,        +2.099800709060e-01,        +2.713830393034e-13,        +1.382814876303e-03,        +2.018830859229e-12,        +1.040620603777e-02
 2.43032500e+00,        +1.963258333451e-10,        +1.940735525161e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.300361941554e-13,        +4.227850100075e-03,        +3.090446935958e-12,        +1.592410143418e-02,        +8.300361941554e-13,        +4.227850100075e-03,        +3.090446935958e-12,        +1.592410143418e-02,        +4.708332808622e-13,        +2.398223773407e-03,        +1.879126765980e-12,        +9.682549433543e-03,        +5.697987735647e-11,        +2.902311753151e-01,        +6.414712255998e-11,        +3.305299548976e-01,        +5.057741425490e-11,        +2.576197609512e-01,        +4.061744191233e-11,        +2.092889081780e-01,        +1.728631290675e-11,        +8.804909986737e-02,        +2.016504970235e-11,        +1.039041612879e-01,        +1.992162783413e-11,        +1.014722693122e-01,        +2.140084839090e-11,        +1.102718433988e-01,        +4.998823787104e-11,        +2.546187479218e-01,        +4.075382314165e-11,        +2.099916377749e-01,        +2.714936467805e-13,        +1.382872758794e-03,        +2.019693106975e-12,        +1.040684359507e-02
 2.43033000e+00,        +1.963976502923e-10,        +1.941445685593e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.304192659277e-13,        +4.228254588034e-03,        +3.091752482986e-12,        +1.592500117788e-02,        +8.304192659277e-13,        +4.228254588034e-03,        +3.091752482986e-12,        +1.592500117788e-02,        +4.710425836794e-13,        +2.398412521628e-03,        +1.879922884583e-12,        +9.683108307039e-03,        +5.699177956990e-11,        +2.901856487848e-01,        +6.416235598241e-11,        +3.304875148377e-01,        +5.059859818847e-11,        +2.576334193059e-01,        +4.063469682894e-11,        +2.093012291329e-01,        +1.729545630430e-11,        +8.806345838944e-02,        +2.017467586548e-11,        +1.039157366862e-01,        +1.992896352656e-11,        +1.014725150575e-01,        +2.140962719842e-11,        +1.102767250060e-01,        +5.000978652591e-11,        +2.546353607157e-01,        +4.077098138800e-11,        +2.100032037493e-01,        +2.716043275907e-13,        +1.382930636830e-03,        +2.020555928522e-12,        +1.040748110295e-02
 2.43033500e+00,        +1.964695149284e-10,        +1.942156319994e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.308026029526e-13,        +4.228659103959e-03,        +3.093058886024e-12,        +1.592590078452e-02,        +8.308026029526e-13,        +4.228659103959e-03,        +3.093058886024e-12,        +1.592590078452e-02,        +4.712520292849e-13,        +2.398601276420e-03,        +1.880719528112e-12,        +9.683667111400e-03,        +5.700368958416e-11,        +2.901401248175e-01,        +6.417759950652e-11,        +3.304450771848e-01,        +5.061979645476e-11,        +2.576470780884e-01,        +4.065196298428e-11,        +2.093135478632e-01,        +1.730460367174e-11,        +8.807780524143e-02,        +2.018430753814e-11,        +1.039273066249e-01,        +1.993630673160e-11,        +1.014727742310e-01,        +2.141841317492e-11,        +1.102816130423e-01,        +5.003134877215e-11,        +2.546519687310e-01,        +4.078815105707e-11,        +2.100147688277e-01,        +2.717150817876e-13,        +1.382988510389e-03,        +2.021419324311e-12,        +1.040811856132e-02
 2.43034000e+00,        +1.965414272906e-10,        +1.942867428733e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.311862054384e-13,        +4.229063647784e-03,        +3.094366145744e-12,        +1.592680025401e-02,        +8.311862054384e-13,        +4.229063647784e-03,        +3.094366145744e-12,        +1.592680025401e-02,        +4.714616177901e-13,        +2.398790037751e-03,        +1.881516696978e-12,        +9.684225846562e-03,        +5.701560740436e-11,        +2.900946034143e-01,        +6.419285313987e-11,        +3.304026419432e-01,        +5.064100906455e-11,        +2.576607372942e-01,        +4.066924038783e-11,        +2.093258643713e-01,        +1.731375501816e-11,        +8.809214045523e-02,        +2.019394472743e-11,        +1.039388711179e-01,        +1.994365744834e-11,        +1.014730467936e-01,        +2.142720632281e-11,        +1.102865074885e-01,        +5.005292462257e-11,        +2.546685719777e-01,        +4.080533215784e-11,        +2.100263330085e-01,        +2.718259094272e-13,        +1.383046379455e-03,        +2.022283294795e-12,        +1.040875597011e-02
 2.43034500e+00,        +1.966133874159e-10,        +1.943579012178e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.315700735942e-13,        +4.229468219451e-03,        +3.095674262806e-12,        +1.592769958622e-02,        +8.315700735942e-13,        +4.229468219451e-03,        +3.095674262806e-12,        +1.592769958622e-02,        +4.716713493065e-13,        +2.398978805593e-03,        +1.882314391588e-12,        +9.684784512459e-03,        +5.702753303549e-11,        +2.900490845766e-01,        +6.420811688992e-11,        +3.303602091173e-01,        +5.066223602850e-11,        +2.576743969185e-01,        +4.068652904903e-11,        +2.093381786595e-01,        +1.732291035282e-11,        +8.810646406381e-02,        +2.020358744053e-11,        +1.039504301803e-01,        +1.995101567562e-11,        +1.014733327056e-01,        +2.143600664436e-11,        +1.102914083248e-01,        +5.007451409000e-11,        +2.546851704664e-01,        +4.082252469918e-11,        +2.100378962902e-01,        +2.719368105647e-13,        +1.383104244013e-03,        +2.023147840422e-12,        +1.040939332924e-02
 2.43035000e+00,        +1.966853953416e-10,        +1.944291070702e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.319542076280e-13,        +4.229872818889e-03,        +3.096983237888e-12,        +1.592859878110e-02,        +8.319542076280e-13,        +4.229872818889e-03,        +3.096983237888e-12,        +1.592859878110e-02,        +4.718812239455e-13,        +2.399167579911e-03,        +1.883112612358e-12,        +9.685343109032e-03,        +5.703946648291e-11,        +2.900035683069e-01,        +6.422339076435e-11,        +3.303177787118e-01,        +5.068347735779e-11,        +2.576880569590e-01,        +4.070382897713e-11,        +2.093504907289e-01,        +1.733206968202e-11,        +8.812077608464e-02,        +2.021323568322e-11,        +1.039619838192e-01,        +1.995838141553e-11,        +1.014736319434e-01,        +2.144481414342e-11,        +1.102963155392e-01,        +5.009611718654e-11,        +2.547017642033e-01,        +4.083972869019e-11,        +2.100494586721e-01,        +2.720477852561e-13,        +1.383162104047e-03,        +2.024012961644e-12,        +1.041003063864e-02
 2.43035500e+00,        +1.967574511045e-10,        +1.945003604669e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.323386077447e-13,        +4.230277446025e-03,        +3.098293071654e-12,        +1.592949783855e-02,        +8.323386077447e-13,        +4.230277446025e-03,        +3.098293071654e-12,        +1.592949783855e-02,        +4.720912418167e-13,        +2.399356360670e-03,        +1.883911359692e-12,        +9.685901636223e-03,        +5.705140775164e-11,        +2.899580546067e-01,        +6.423867477063e-11,        +3.302753507316e-01,        +5.070473306287e-11,        +2.577017174102e-01,        +4.072114018157e-11,        +2.093628005821e-01,        +1.734123301562e-11,        +8.813507655379e-02,        +2.022288946292e-11,        +1.039735320509e-01,        +1.996575466617e-11,        +1.014739444636e-01,        +2.145362882187e-11,        +1.103012291102e-01,        +5.011773392507e-11,        +2.547183531995e-01,        +4.085694413966e-11,        +2.100610201523e-01,        +2.721588335555e-13,        +1.383219959538e-03,        +2.024878658904e-12,        +1.041066789822e-02
 2.43036000e+00,        +1.968295547422e-10,        +1.945716614454e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.327232741557e-13,        +4.230682100798e-03,        +3.099603764779e-12,        +1.593039675847e-02,        +8.327232741557e-13,        +4.230682100798e-03,        +3.099603764779e-12,        +1.593039675847e-02,        +4.723014030328e-13,        +2.399545147839e-03,        +1.884710634008e-12,        +9.686460093971e-03,        +5.706335684668e-11,        +2.899125434767e-01,        +6.425396891635e-11,        +3.302329251806e-01,        +5.072600315434e-11,        +2.577153782662e-01,        +4.073846267214e-11,        +2.093751082224e-01,        +1.735040036491e-11,        +8.814936551391e-02,        +2.023254878779e-11,        +1.039850748947e-01,        +1.997313542443e-11,        +1.014742702162e-01,        +2.146245068113e-11,        +1.103061490131e-01,        +5.013936431910e-11,        +2.547349374680e-01,        +4.087417105654e-11,        +2.100725807289e-01,        +2.722699555194e-13,        +1.383277810469e-03,        +2.025744932661e-12,        +1.041130510791e-02
 2.43036500e+00,        +1.969017062912e-10,        +1.946430100420e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.331082070677e-13,        +4.231086783147e-03,        +3.100915317916e-12,        +1.593129554073e-02,        +8.331082070677e-13,        +4.231086783147e-03,        +3.100915317916e-12,        +1.593129554073e-02,        +4.725117077044e-13,        +2.399733941389e-03,        +1.885510435708e-12,        +9.687018482198e-03,        +5.707531377316e-11,        +2.898670349192e-01,        +6.426927320894e-11,        +3.301905020636e-01,        +5.074728764316e-11,        +2.577290395245e-01,        +4.075579645786e-11,        +2.093874136506e-01,        +1.735957173599e-11,        +8.816364298195e-02,        +2.024221366350e-11,        +1.039966123578e-01,        +1.998052369241e-11,        +1.014746091781e-01,        +2.147127972499e-11,        +1.103110752364e-01,        +5.016100838049e-11,        +2.547515170148e-01,        +4.089140944973e-11,        +2.100841404009e-01,        +2.723811512030e-13,        +1.383335656828e-03,        +2.026611783358e-12,        +1.041194226764e-02
 2.43037000e+00,        +1.969739057900e-10,        +1.947144062951e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.334934066968e-13,        +4.231491493016e-03,        +3.102227731758e-12,        +1.593219418524e-02,        +8.334934066968e-13,        +4.231491493016e-03,        +3.102227731758e-12,        +1.593219418524e-02,        +4.727221559468e-13,        +2.399922741293e-03,        +1.886310765216e-12,        +9.687576800851e-03,        +5.708727853635e-11,        +2.898215289349e-01,        +6.428458765621e-11,        +3.301480813844e-01,        +5.076858654041e-11,        +2.577427011806e-01,        +4.077314154858e-11,        +2.093997168694e-01,        +1.736874713849e-11,        +8.817790899166e-02,        +2.025188409750e-11,        +1.040081444555e-01,        +1.998791946896e-11,        +1.014749613092e-01,        +2.148011595586e-11,        +1.103160077602e-01,        +5.018266612253e-11,        +2.547680918508e-01,        +4.090865932847e-11,        +2.100956991671e-01,        +2.724924206639e-13,        +1.383393498600e-03,        +2.027479211461e-12,        +1.041257937735e-02
 2.43037500e+00,        +1.970461532755e-10,        +1.947858502411e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.338788732476e-13,        +4.231896230331e-03,        +3.103541006967e-12,        +1.593309269193e-02,        +8.338788732476e-13,        +4.231896230331e-03,        +3.103541006967e-12,        +1.593309269193e-02,        +4.729327478696e-13,        +2.400111547514e-03,        +1.887111622939e-12,        +9.688135049867e-03,        +5.709925114144e-11,        +2.897760255264e-01,        +6.429991226568e-11,        +3.301056631480e-01,        +5.078989985688e-11,        +2.577563632307e-01,        +4.079049795349e-11,        +2.094120178802e-01,        +1.737792657996e-11,        +8.819216356719e-02,        +2.026156009612e-11,        +1.040196711981e-01,        +1.999532275465e-11,        +1.014753265784e-01,        +2.148895937680e-11,        +1.103209465688e-01,        +5.020433755746e-11,        +2.547846619836e-01,        +4.092592070165e-11,        +2.101072570261e-01,        +2.726037639567e-13,        +1.383451335767e-03,        +2.028347217415e-12,        +1.041321643695e-02
 2.43038000e+00,        +1.971184487849e-10,        +1.948573419173e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.342646069281e-13,        +4.232300995014e-03,        +3.104855144229e-12,        +1.593399106073e-02,        +8.342646069281e-13,        +4.232300995014e-03,        +3.104855144229e-12,        +1.593399106073e-02,        +4.731434835840e-13,        +2.400300360014e-03,        +1.887913009295e-12,        +9.688693229200e-03,        +5.711123159360e-11,        +2.897305246954e-01,        +6.431524704502e-11,        +3.300632473592e-01,        +5.081122760316e-11,        +2.577700256692e-01,        +4.080786568226e-11,        +2.094243166859e-01,        +1.738711007078e-11,        +8.820640674659e-02,        +2.027124166707e-11,        +1.040311926028e-01,        +2.000273354727e-11,        +1.014757049407e-01,        +2.149780998961e-11,        +1.103258916399e-01,        +5.022602269849e-11,        +2.548012274249e-01,        +4.094319357819e-11,        +2.101188139760e-01,        +2.727151811364e-13,        +1.383509168307e-03,        +2.029215801671e-12,        +1.041385344634e-02
 2.43038500e+00,        +1.971907923561e-10,        +1.949288813613e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.346506079536e-13,        +4.232705787024e-03,        +3.106170144207e-12,        +1.593488929149e-02,        +8.346506079536e-13,        +4.232705787024e-03,        +3.106170144207e-12,        +1.593488929149e-02,        +4.733543632047e-13,        +2.400489178774e-03,        +1.888714924695e-12,        +9.689251338766e-03,        +5.712321989792e-11,        +2.896850264426e-01,        +6.433059200178e-11,        +3.300208340217e-01,        +5.083256979037e-11,        +2.577836884927e-01,        +4.082524474436e-11,        +2.094366132881e-01,        +1.739629761888e-11,        +8.822063855525e-02,        +2.028092881697e-11,        +1.040427086809e-01,        +2.001015184731e-11,        +1.014760963644e-01,        +2.150666779742e-11,        +1.103308429578e-01,        +5.024772155826e-11,        +2.548177881831e-01,        +4.096047796722e-11,        +2.101303700158e-01,        +2.728266722609e-13,        +1.383566996212e-03,        +2.030084964690e-12,        +1.041449040549e-02
 2.43039000e+00,        +1.972631840262e-10,        +1.950004686100e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.350368765283e-13,        +4.233110606272e-03,        +3.107486007583e-12,        +1.593578738417e-02,        +8.350368765283e-13,        +4.233110606272e-03,        +3.107486007583e-12,        +1.593578738417e-02,        +4.735653868412e-13,        +2.400678003749e-03,        +1.889517369553e-12,        +9.689809378521e-03,        +5.713521605964e-11,        +2.896395307705e-01,        +6.434594714362e-11,        +3.299784231407e-01,        +5.085392642909e-11,        +2.577973516961e-01,        +4.084263514927e-11,        +2.094489076893e-01,        +1.740548923375e-11,        +8.823485902691e-02,        +2.029062155306e-11,        +1.040542194472e-01,        +2.001757765334e-11,        +1.014765008086e-01,        +2.151553280238e-11,        +1.103358005021e-01,        +5.026943414962e-11,        +2.548343442684e-01,        +4.097777387762e-11,        +2.101419251436e-01,        +2.729382373843e-13,        +1.383624819459e-03,        +2.030954706918e-12,        +1.041512731428e-02
 2.43039500e+00,        +1.973356238335e-10,        +1.950721037015e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.354234128710e-13,        +4.233515452719e-03,        +3.108802735035e-12,        +1.593668533863e-02,        +8.354234128710e-13,        +4.233515452719e-03,        +3.108802735035e-12,        +1.593668533863e-02,        +4.737765546102e-13,        +2.400866834921e-03,        +1.890320344291e-12,        +9.690367348392e-03,        +5.714722008405e-11,        +2.895940376801e-01,        +6.436131247828e-11,        +3.299360147198e-01,        +5.087529753068e-11,        +2.578110152762e-01,        +4.086003690659e-11,        +2.094611998911e-01,        +1.741468492298e-11,        +8.824906818485e-02,        +2.030031988187e-11,        +1.040657249123e-01,        +2.002501096643e-11,        +1.014769182443e-01,        +2.152440500793e-11,        +1.103407642585e-01,        +5.029116048528e-11,        +2.548508956889e-01,        +4.099508131867e-11,        +2.101534793586e-01,        +2.730498765651e-13,        +1.383682638040e-03,        +2.031825028824e-12,        +1.041576417268e-02
 2.43040000e+00,        +1.974081118150e-10,        +1.951437866726e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.358102171883e-13,        +4.233920326292e-03,        +3.110120327233e-12,        +1.593758315478e-02,        +8.358102171883e-13,        +4.233920326292e-03,        +3.110120327233e-12,        +1.593758315478e-02,        +4.739878666220e-13,        +2.401055672253e-03,        +1.891123849318e-12,        +9.690925248317e-03,        +5.715923197619e-11,        +2.895485471730e-01,        +6.437668801328e-11,        +3.298936087638e-01,        +5.089668310568e-11,        +2.578246792279e-01,        +4.087745002583e-11,        +2.094734898960e-01,        +1.742388469644e-11,        +8.826326606464e-02,        +2.031002381083e-11,        +1.040772250920e-01,        +2.003245178477e-11,        +1.014773486286e-01,        +2.153328441606e-11,        +1.103457342056e-01,        +5.031290057821e-11,        +2.548674424553e-01,        +4.101240029923e-11,        +2.101650326589e-01,        +2.731615898583e-13,        +1.383740451934e-03,        +2.032695930853e-12,        +1.041640098059e-02
 2.43040500e+00,        +1.974806480092e-10,        +1.952155175617e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.361972896951e-13,        +4.234325226926e-03,        +3.111438784872e-12,        +1.593848083254e-02,        +8.361972896951e-13,        +4.234325226926e-03,        +3.111438784872e-12,        +1.593848083254e-02,        +4.741993229918e-13,        +2.401244515714e-03,        +1.891927885060e-12,        +9.691483078244e-03,        +5.717125174156e-11,        +2.895030592512e-01,        +6.439207375652e-11,        +3.298512052771e-01,        +5.091808316545e-11,        +2.578383435479e-01,        +4.089487451657e-11,        +2.094857777054e-01,        +1.743308856156e-11,        +8.827745268868e-02,        +2.031973334636e-11,        +1.040887199961e-01,        +2.003990010954e-11,        +1.014777919334e-01,        +2.154217103024e-11,        +1.103507103293e-01,        +5.033465444107e-11,        +2.548839845752e-01,        +4.102973082860e-11,        +2.101765850434e-01,        +2.732733773214e-13,        +1.383798261127e-03,        +2.033567413473e-12,        +1.041703773795e-02
 2.43041000e+00,        +1.975532324533e-10,        +1.952872964057e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.365846306016e-13,        +4.234730154564e-03,        +3.112758108617e-12,        +1.593937837180e-02,        +8.365846306016e-13,        +4.234730154564e-03,        +3.112758108617e-12,        +1.593937837180e-02,        +4.744109238316e-13,        +2.401433365276e-03,        +1.892732451926e-12,        +9.692040838101e-03,        +5.718327938523e-11,        +2.894575739162e-01,        +6.440746971552e-11,        +3.298088042640e-01,        +5.093949772074e-11,        +2.578520082317e-01,        +4.091231038827e-11,        +2.094980633214e-01,        +1.744229652723e-11,        +8.829162808742e-02,        +2.032944849549e-11,        +1.041002096381e-01,        +2.004735594007e-11,        +1.014782481213e-01,        +2.155106485302e-11,        +1.103556926112e-01,        +5.035642208659e-11,        +2.549005220580e-01,        +4.104707291573e-11,        +2.101881365107e-01,        +2.733852390102e-13,        +1.383856065604e-03,        +2.034439477134e-12,        +1.041767444467e-02
 2.43041500e+00,        +1.976258651851e-10,        +1.953591232422e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.369722401191e-13,        +4.235135109137e-03,        +3.114078299151e-12,        +1.594027577248e-02,        +8.369722401191e-13,        +4.235135109137e-03,        +3.114078299151e-12,        +1.594027577248e-02,        +4.746226692544e-13,        +2.401622220906e-03,        +1.893537550336e-12,        +9.692598527832e-03,        +5.719531491234e-11,        +2.894120911692e-01,        +6.442287589795e-11,        +3.297664057290e-01,        +5.096092678223e-11,        +2.578656732735e-01,        +4.092975765069e-11,        +2.095103467471e-01,        +1.745150860424e-11,        +8.830579230046e-02,        +2.033916926613e-11,        +1.041116940360e-01,        +2.005481927382e-11,        +1.014787171458e-01,        +2.155996588608e-11,        +1.103606810282e-01,        +5.037820352816e-11,        +2.549170549157e-01,        +4.106442656960e-11,        +2.101996870588e-01,        +2.734971749811e-13,        +1.383913865348e-03,        +2.035312122295e-12,        +1.041831110069e-02
