        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41005000e+00,        +7.643300282902e-11,        +7.614177822512e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.089074093561e-13,        +2.733209498826e-03,        +9.038132513043e-13,        +1.187013584884e-02,        +2.089074093561e-13,        +2.733209498826e-03,        +9.038132513043e-13,        +1.187013584884e-02,        +1.271344032426e-13,        +1.663344347821e-03,        +5.474120470046e-13,        +7.189378285679e-03,        +3.635193941389e-11,        +4.756052761032e-01,        +3.868672236438e-11,        +5.080879809505e-01,        +1.473512181864e-11,        +1.927848085676e-01,        +1.205549323566e-11,        +1.583295467571e-01,        +5.304292653572e-12,        +6.939793619567e-02,        +5.786154702568e-12,        +7.599185148343e-02,        +4.802570575302e-12,        +6.283372885460e-02,        +5.552615373599e-12,        +7.292468737967e-02,        +1.481879162663e-11,        +1.938794902482e-01,        +1.202938910743e-11,        +1.579867109468e-01,        +8.424492838713e-14,        +1.102206184095e-03,        +5.801781431735e-13,        +7.619708348000e-03
 2.41005500e+00,        +7.644401037281e-11,        +7.615246948124e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.089614614576e-13,        +2.733523011660e-03,        +9.040144671855e-13,        +1.187111164410e-02,        +2.089614614576e-13,        +2.733523011660e-03,        +9.040144671855e-13,        +1.187111164410e-02,        +1.271650505974e-13,        +1.663505747242e-03,        +5.475345792011e-13,        +7.189977986675e-03,        +3.635393269006e-11,        +4.755628663745e-01,        +3.868902631989e-11,        +5.080469035796e-01,        +1.473835739550e-11,        +1.927993746485e-01,        +1.205812458333e-11,        +1.583418721083e-01,        +5.305606093556e-12,        +6.940512497554e-02,        +5.787549352305e-12,        +7.599949669039e-02,        +4.803652380455e-12,        +6.283883272251e-02,        +5.553901484401e-12,        +7.293133790979e-02,        +1.482207272152e-11,        +1.938944941432e-01,        +1.203200829231e-11,        +1.579989247135e-01,        +8.426257966881e-14,        +1.102278376787e-03,        +5.803104026223e-13,        +7.620375367673e-03
 2.41006000e+00,        +7.645502171386e-11,        +7.616316449078e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.090155332623e-13,        +2.733836556146e-03,        +9.042157525737e-13,        +1.187208749294e-02,        +2.090155332623e-13,        +2.733836556146e-03,        +9.042157525737e-13,        +1.187208749294e-02,        +1.271957088400e-13,        +1.663667159969e-03,        +5.476571536342e-13,        +7.190577719503e-03,        +3.635592662017e-11,        +4.755204537936e-01,        +3.869133109799e-11,        +5.080058235064e-01,        +1.474159407675e-11,        +1.928139414036e-01,        +1.206075684214e-11,        +1.583541981583e-01,        +5.306920050762e-12,        +6.941231500298e-02,        +5.788944522355e-12,        +7.600714283682e-02,        +4.804734531474e-12,        +6.284393652331e-02,        +5.555188035221e-12,        +7.293798875562e-02,        +1.482535495574e-11,        +1.939094989892e-01,        +1.203462837929e-11,        +1.580111391084e-01,        +8.428023685114e-14,        +1.102350571118e-03,        +5.804427075772e-13,        +7.621042421989e-03
 2.41006500e+00,        +7.646603685393e-11,        +7.617386325548e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.090696247796e-13,        +2.734150132287e-03,        +9.044171075012e-13,        +1.187306339535e-02,        +2.090696247796e-13,        +2.734150132287e-03,        +9.044171075012e-13,        +1.187306339535e-02,        +1.272263779757e-13,        +1.663828585999e-03,        +5.477797703235e-13,        +7.191177484150e-03,        +3.635792120454e-11,        +4.754780383609e-01,        +3.869363669906e-11,        +5.079647407312e-01,        +1.474483186289e-11,        +1.928285088327e-01,        +1.206339001252e-11,        +1.583665249071e-01,        +5.308234525484e-12,        +6.941950627864e-02,        +5.790340212988e-12,        +7.601478992299e-02,        +4.805817028475e-12,        +6.284904025634e-02,        +5.556475026245e-12,        +7.294463991684e-02,        +1.482863832985e-11,        +1.939245047861e-01,        +1.203724936878e-11,        +1.580233541314e-01,        +8.429789993684e-14,        +1.102422767089e-03,        +5.805750580593e-13,        +7.621709510939e-03
 2.41007000e+00,        +7.647705579479e-11,        +7.618456577709e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.091237360190e-13,        +2.734463740081e-03,        +9.046185320001e-13,        +1.187403935132e-02,        +2.091237360190e-13,        +2.734463740081e-03,        +9.046185320001e-13,        +1.187403935132e-02,        +1.272570580094e-13,        +1.663990025333e-03,        +5.479024292886e-13,        +7.191777280607e-03,        +3.635991644344e-11,        +4.754356200768e-01,        +3.869594312350e-11,        +5.079236552548e-01,        +1.474807075442e-11,        +1.928430769353e-01,        +1.206602409489e-11,        +1.583788523544e-01,        +5.309549518019e-12,        +6.942669880319e-02,        +5.791736424474e-12,        +7.602243794919e-02,        +4.806899871575e-12,        +6.285414392094e-02,        +5.557762457660e-12,        +7.295129139308e-02,        +1.483192284437e-11,        +1.939395115337e-01,        +1.203987126119e-11,        +1.580355697821e-01,        +8.431556892860e-14,        +1.102494964697e-03,        +5.807074540897e-13,        +7.622376634511e-03
 2.41007500e+00,        +7.648807853820e-11,        +7.619527205735e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.091778669899e-13,        +2.734777379529e-03,        +9.048200261024e-13,        +1.187501536081e-02,        +2.091778669899e-13,        +2.734777379529e-03,        +9.048200261024e-13,        +1.187501536081e-02,        +1.272877489464e-13,        +1.664151477970e-03,        +5.480251305490e-13,        +7.192377108864e-03,        +3.636191233720e-11,        +4.753931989420e-01,        +3.869825037166e-11,        +5.078825670775e-01,        +1.475131075183e-11,        +1.928576457110e-01,        +1.206865908968e-11,        +1.583911805000e-01,        +5.310865028664e-12,        +6.943389257729e-02,        +5.793133157085e-12,        +7.603008691569e-02,        +4.807983060891e-12,        +6.285924751646e-02,        +5.559050329651e-12,        +7.295794318402e-02,        +1.483520849985e-11,        +1.939545192319e-01,        +1.204249405693e-11,        +1.580477860604e-01,        +8.433324382916e-14,        +1.102567163941e-03,        +5.808398956895e-13,        +7.623043792695e-03
 2.41008000e+00,        +7.649910508593e-11,        +7.620598209803e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.092320177018e-13,        +2.735091050631e-03,        +9.050215898405e-13,        +1.187599142383e-02,        +2.092320177018e-13,        +2.735091050631e-03,        +9.050215898405e-13,        +1.187599142383e-02,        +1.273184507919e-13,        +1.664312943908e-03,        +5.481478741242e-13,        +7.192976968909e-03,        +3.636390888610e-11,        +4.753507749568e-01,        +3.870055844394e-11,        +5.078414762000e-01,        +1.475455185564e-11,        +1.928722151594e-01,        +1.207129499732e-11,        +1.584035093438e-01,        +5.312181057715e-12,        +6.944108760159e-02,        +5.794530411090e-12,        +7.603773682277e-02,        +4.809066596540e-12,        +6.286435104225e-02,        +5.560338642406e-12,        +7.296459528930e-02,        +1.483849529681e-11,        +1.939695278806e-01,        +1.204511775644e-11,        +1.580600029659e-01,        +8.435092464122e-14,        +1.102639364820e-03,        +5.809723828801e-13,        +7.623710985480e-03
 2.41008500e+00,        +7.651013543974e-11,        +7.621669590087e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.092861881641e-13,        +2.735404753386e-03,        +9.052232232464e-13,        +1.187696754034e-02,        +2.092861881641e-13,        +2.735404753386e-03,        +9.052232232464e-13,        +1.187696754034e-02,        +1.273491635510e-13,        +1.664474423147e-03,        +5.482706600340e-13,        +7.193576860733e-03,        +3.636590609044e-11,        +4.753083481218e-01,        +3.870286734071e-11,        +5.078003826228e-01,        +1.475779406633e-11,        +1.928867852802e-01,        +1.207393181822e-11,        +1.584158388855e-01,        +5.313497605468e-12,        +6.944828387675e-02,        +5.795928186761e-12,        +7.604538767069e-02,        +4.810150478638e-12,        +6.286945449766e-02,        +5.561627396112e-12,        +7.297124770858e-02,        +1.484178323579e-11,        +1.939845374798e-01,        +1.204774236011e-11,        +1.580722204985e-01,        +8.436861136750e-14,        +1.102711567331e-03,        +5.811049156824e-13,        +7.624378212855e-03
 2.41009000e+00,        +7.652116960141e-11,        +7.622741346762e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.093403783863e-13,        +2.735718487795e-03,        +9.054249263524e-13,        +1.187794371033e-02,        +2.093403783863e-13,        +2.735718487795e-03,        +9.054249263524e-13,        +1.187794371033e-02,        +1.273798872288e-13,        +1.664635915686e-03,        +5.483934882978e-13,        +7.194176784324e-03,        +3.636790395052e-11,        +4.752659184374e-01,        +3.870517706235e-11,        +5.077592863464e-01,        +1.476103738440e-11,        +1.929013560730e-01,        +1.207656955282e-11,        +1.584281691251e-01,        +5.314814672221e-12,        +6.945548140345e-02,        +5.797326484369e-12,        +7.605303945976e-02,        +4.811234707302e-12,        +6.287455788200e-02,        +5.562916590953e-12,        +7.297790044150e-02,        +1.484507231734e-11,        +1.939995480292e-01,        +1.205036786836e-11,        +1.580844386578e-01,        +8.438630401071e-14,        +1.102783771475e-03,        +5.812374941176e-13,        +7.625045474808e-03
 2.41009500e+00,        +7.653220757270e-11,        +7.623813480004e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.093945883779e-13,        +2.736032253859e-03,        +9.056266991907e-13,        +1.187891993378e-02,        +2.093945883779e-13,        +2.736032253859e-03,        +9.056266991907e-13,        +1.187891993378e-02,        +1.274106218306e-13,        +1.664797421524e-03,        +5.485163589354e-13,        +7.194776739673e-03,        +3.636990246664e-11,        +4.752234859042e-01,        +3.870748760925e-11,        +5.077181873713e-01,        +1.476428181037e-11,        +1.929159275373e-01,        +1.207920820153e-11,        +1.584405000623e-01,        +5.316132258270e-12,        +6.946268018233e-02,        +5.798725304184e-12,        +7.606069219025e-02,        +4.812319282649e-12,        +6.287966119464e-02,        +5.564206227118e-12,        +7.298455348773e-02,        +1.484836254199e-11,        +1.940145595288e-01,        +1.205299428162e-11,        +1.580966574436e-01,        +8.440400257359e-14,        +1.102855977249e-03,        +5.813701182071e-13,        +7.625712771331e-03
