        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.439535307246e+00,        +2.818285213658e-05,        +4.328049012899e+04,        +8.644677447330e-15,        +4.744190319766e-08
 2.00e+00,        +2.598081066210e+00,        +8.050829987174e-05,        +1.613548585424e+04,        +1.190015512934e-14,        +6.530797751769e-08
 3.00e+00,        +2.604468654992e+00,        +6.216519578110e-05,        +2.094796471731e+04,        +6.137864672523e-15,        +3.368456421653e-08
 4.00e+00,        +2.607894868414e+00,        +6.476303647933e-05,        +2.013413060126e+04,        +7.242020121336e-15,        +3.974416326261e-08
 5.00e+00,        +2.701424684069e+00,        +6.355862143125e-05,        +2.125144177127e+04,        +1.783742383633e-14,        +9.789171803522e-08
 6.00e+00,        +2.701634075586e+00,        +6.362345587269e-05,        +2.123143139019e+04,        +7.523994960815e-15,        +4.129165739888e-08
 7.00e+00,        +2.799218832554e+00,        +9.623817027617e-05,        +1.454318398913e+04,        +1.064614582631e-14,        +5.842603748078e-08
 8.00e+00,        +2.880546615125e+00,        +1.032613466480e-04,        +1.394784549341e+04,        +6.355616174879e-15,        +3.487962914330e-08
