        m,               Re{I[1]} (A),               Im{I[1]} (A)
 1.00e+00,        +7.653655136496e-04,        +7.883697078021e-03
 2.00e+00,        +3.741868107803e-04,        -4.438075264962e-03
 3.00e+00,        -3.021416215276e-04,        -1.159501817873e-03
 4.00e+00,        -4.667946438802e-04,        +9.865376033677e-04
 5.00e+00,        +1.012037374843e-05,        +1.485340015024e-04
 6.00e+00,        +5.127599289257e-03,        +4.783272727201e-03
 7.00e+00,        -4.066774375522e-05,        -2.643743429876e-04
 8.00e+00,        +5.086611252189e-04,        -6.143094156400e-03
