        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14]
 1.00e+00,        +3.568936291196e-10,        +3.568936291844e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.426470706020e-12,        +2.641254966998e-02,        +5.263733722744e-14,        +1.474874666374e-04,        +9.426470706020e-12,        +2.641254966998e-02,        +5.263733722744e-14,        +1.474874666374e-04,        +6.751225190241e-11,        +1.891663128561e-01,        +9.571719366155e-13,        +2.681952991997e-03,        +2.721781392908e-10,        +7.626309832488e-01,        +3.367866712501e-10,        +9.436612024141e-01,        +4.669256018492e-12,        +1.308304670501e-02,        +1.894397450533e-11,        +5.308016998965e-02,        +3.107511201961e-12,        +8.707107520036e-03,        +1.531741551274e-13,        +4.291871375722e-04
 2.00e+00,        +3.568936291196e-10,        +3.568936292454e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.335137247310e-12,        +6.542950214802e-03,        +2.872693321181e-12,        +8.049158308751e-03,        +2.335137247310e-12,        +6.542950214802e-03,        +2.872693321181e-12,        +8.049158308751e-03,        +6.286667249421e-12,        +1.761496069551e-02,        +2.879351174434e-12,        +8.067813316035e-03,        +3.474928753308e-10,        +9.736595079828e-01,        +3.279359848409e-10,        +9.188619744608e-01,        +3.003543776660e-13,        +8.415795440419e-04,        +2.114276109193e-11,        +5.924107173511e-02,        +4.785949144094e-13,        +1.341001562819e-03,        +2.062838816962e-12,        +5.779982179351e-03
 3.00e+00,        +3.568936291196e-10,        +3.568936290855e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.335975498086e-12,        +6.545298956019e-03,        +2.873647855453e-12,        +8.051832874733e-03,        +2.335975498086e-12,        +6.545298956019e-03,        +2.873647855453e-12,        +8.051832874733e-03,        +6.289004011413e-12,        +1.762150819819e-02,        +2.880365877647e-12,        +8.070656472707e-03,        +3.474894324263e-10,        +9.736498611181e-01,        +3.279326069152e-10,        +9.188525100757e-01,        +3.004818500669e-13,        +8.419367160129e-04,        +2.114343809662e-11,        +5.924296869854e-02,        +4.787353337949e-13,        +1.341395011662e-03,        +2.063570340548e-12,        +5.782031878339e-03
 4.00e+00,        +3.568936291196e-10,        +3.568936290084e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.557552253472e-12,        +9.968102435023e-03,        +4.023155853287e-14,        +1.127270291842e-04,        +3.557552253472e-12,        +9.968102435023e-03,        +4.023155853287e-14,        +1.127270291842e-04,        +3.363242999408e-11,        +9.423656588390e-02,        +1.121203478810e-12,        +3.141562044481e-03,        +3.128057023906e-10,        +8.764675994980e-01,        +3.185248460002e-10,        +8.924923845943e-01,        +4.778530354740e-12,        +1.338922851195e-02,        +3.697221725801e-11,        +1.035945005820e-01,        +2.119414126730e-12,        +5.938503671130e-03,        +2.351307128129e-13,        +6.588257500313e-04
 5.00e+00,        +3.568936291196e-10,        +3.568936290660e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.338165900574e-13,        +9.353391678098e-04,        +8.854464601331e-12,        +2.480981413006e-02,        +3.338165900574e-13,        +9.353391678098e-04,        +8.854464601331e-12,        +2.480981413006e-02,        +5.673310867382e-12,        +1.589636352259e-02,        +5.906098553222e-12,        +1.654862421803e-02,        +3.445832118925e-10,        +9.655067610551e-01,        +3.176198414992e-10,        +8.899566022806e-01,        +6.170758336787e-12,        +1.729018910203e-02,        +2.045450700969e-11,        +5.731261458272e-02,        +1.325314329052e-13,        +3.713471524615e-04,        +4.058717402608e-12,        +1.137234478864e-02
 6.00e+00,        +3.568936291196e-10,        +3.568936291310e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.338892150053e-13,        +9.355426596684e-04,        +8.856185289196e-12,        +2.481463541605e-02,        +3.338892150053e-13,        +9.355426596684e-04,        +8.856185289196e-12,        +2.481463541605e-02,        +5.675349718578e-12,        +1.590207629253e-02,        +5.907303397580e-12,        +1.655200013506e-02,        +3.445801198116e-10,        +9.654980971825e-01,        +3.176104192051e-10,        +8.899302012715e-01,        +6.171686065115e-12,        +1.729278855534e-02,        +2.045982985918e-11,        +5.732752895870e-02,        +1.325843093736e-13,        +3.714953099630e-04,        +4.059891379982e-12,        +1.137563421871e-02
 7.00e+00,        +3.568936291196e-10,        +3.568936292515e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.614709594018e-14,        +7.326299436803e-05,        +3.097242458270e-14,        +8.678334955897e-05,        +2.614709594018e-14,        +7.326299436803e-05,        +3.097242458270e-14,        +8.678334955897e-05,        +1.400828730167e-13,        +3.925059501965e-04,        +6.328398126601e-14,        +1.773188874196e-04,        +3.564330252535e-10,        +9.987094085504e-01,        +3.436562543580e-10,        +9.629094671113e-01,        +2.887478918577e-13,        +8.090586894754e-04,        +1.312333665999e-11,        +3.677100285459e-02,        +5.626005345805e-15,        +1.576381556511e-05,        +1.978182767807e-14,        +5.542779712700e-05
 8.00e+00,        +3.568936291196e-10,        +3.568936290844e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.620162870830e-14,        +7.341579274735e-05,        +3.101557749413e-14,        +8.690426212903e-05,        +2.620162870830e-14,        +7.341579274735e-05,        +3.101557749413e-14,        +8.690426212903e-05,        +1.403341438000e-13,        +3.932099997026e-04,        +6.334645173854e-14,        +1.774939269750e-04,        +3.564324863488e-10,        +9.987078985636e-01,        +3.436492017627e-10,        +9.628897065052e-01,        +2.889767125663e-13,        +8.096998348755e-04,        +1.313027236524e-11,        +3.679043640798e-02,        +5.630285766559e-15,        +1.577580911278e-05,        +1.979292728529e-14,        +5.545889775637e-05
 9.00e+00,        +3.568936291196e-10,        +3.568936292887e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.388639873746e-12,        +3.890906870969e-03,        +7.791729100442e-12,        +2.183207673382e-02,        +1.388639873746e-12,        +3.890906870969e-03,        +7.791729100442e-12,        +2.183207673382e-02,        +9.958899374977e-12,        +2.790439100732e-02,        +7.303299473887e-12,        +2.046351874771e-02,        +3.358745641146e-10,        +9.411055191518e-01,        +2.975248208390e-10,        +8.336512518644e-01,        +9.129655617079e-12,        +2.558088705478e-02,        +3.786032448342e-11,        +1.060829372575e-01,        +5.418701392242e-13,        +1.518295915119e-03,        +6.413455392009e-12,        +1.797021539665e-02
 1.00e+01,        +3.568936291196e-10,        +3.568936290564e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.389635967887e-12,        +3.893697882236e-03,        +7.798445462561e-12,        +2.185089569455e-02,        +1.389635967887e-12,        +3.893697882236e-03,        +7.798445462561e-12,        +2.185089569455e-02,        +9.962048759887e-12,        +2.791321544310e-02,        +7.304372371937e-12,        +2.046652497342e-02,        +3.358694573100e-10,        +9.410912101135e-01,        +2.975055535463e-10,        +8.335972663140e-01,        +9.131265262818e-12,        +2.558539721021e-02,        +3.787281198814e-11,        +1.061179267567e-01,        +5.412218190543e-13,        +1.516479350975e-03,        +6.412445687452e-12,        +1.796738626130e-02
