        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.191385591531e+00,        -1.049658086941e-11,        +5.675112716956e+10,        +2.202612323903e-11,        +8.419767007898e-06
 2.00e+00,        +1.583624388998e+00,        -8.777145873289e-11,        +9.021294688844e+09,        +1.494175104847e-11,        +5.716084504596e-06
 3.00e+00,        +1.583765517318e+00,        +8.717817361719e-11,        +9.083497919290e+09,        +1.451618419705e-11,        +5.553282314182e-06
 4.00e+00,        +1.705484090339e+00,        +2.556189829811e-10,        +3.335988725190e+09,        +6.704955081607e-11,        +2.565761949197e-05
 5.00e+00,        +2.052172966758e+00,        +8.582163757400e-11,        +1.195603477612e+10,        +2.841438469033e-11,        +1.088326987971e-05
 6.00e+00,        +2.052295835972e+00,        +3.628872110041e-11,        +2.827732383147e+10,        +1.994761758329e-11,        +7.640333777357e-06
 7.00e+00,        +2.091741723468e+00,        -1.873727572431e-10,        +5.581765872064e+09,        +5.751624951335e-11,        +2.203241505698e-05
 8.00e+00,        +2.092277307638e+00,        -2.039861926382e-11,        +5.128477767485e+10,        +4.828065091931e-11,        +1.849461737084e-05
 9.00e+00,        +2.347204647110e+00,        -1.003680410197e-10,        +1.169298824238e+10,        +2.440807371624e-11,        +9.357362768946e-06
 1.00e+01,        +2.347422062452e+00,        -4.545887922963e-11,        +2.581918100746e+10,        +1.448344295140e-11,        +5.552544999641e-06
 1.10e+01,        +2.434406598791e+00,        +9.558836201068e-11,        +1.273380225157e+10,        +9.194082498364e-12,        +3.525789648792e-06
 1.20e+01,        +2.519539850983e+00,        -1.630639118039e-10,        +7.725620657298e+09,        +2.177278814445e-10,        +8.352019889424e-05
 1.30e+01,        +2.626165771326e+00,        +1.497517596221e-10,        +8.768397039049e+09,        +1.470892505773e-11,        +5.644516990214e-06
 1.40e+01,        +2.626982003157e+00,        -1.646440566791e-10,        +7.977761408894e+09,        +1.557025779070e-11,        +5.975069594060e-06
 1.50e+01,        +2.634736465200e+00,        -8.796478273402e-11,        +1.497608692542e+10,        +1.624572670268e-11,        +6.234459767425e-06
 1.60e+01,        +2.634912514731e+00,        +4.175093617400e-11,        +3.155513092868e+10,        +2.975159683102e-11,        +1.141747971153e-05
 1.70e+01,        +2.751630904212e+00,        -7.806694269904e-10,        +1.762353442494e+09,        +1.053724496093e-10,        +4.045571659921e-05
 1.80e+01,        +2.761822861734e+00,        +1.628195476385e-10,        +8.481238591405e+09,        +1.674015017341e-11,        +6.427312327736e-06
 1.90e+01,        +2.762205551415e+00,        -6.399600646716e-11,        +2.158107750702e+10,        +8.116498054958e-12,        +3.116300949410e-06
 2.00e+01,        +2.795887407822e+00,        +6.838089027314e-10,        +2.044348499014e+09,        +1.889035836750e-10,        +7.253845579474e-05
 2.10e+01,        +2.978717432816e+00,        +1.921087392853e-11,        +7.752685910848e+10,        +1.879552436324e-11,        +7.222809490253e-06
 2.20e+01,        +2.979035489576e+00,        -2.137363036592e-11,        +6.968950614789e+10,        +1.644651057758e-11,        +6.320130749807e-06
 2.30e+01,        +3.007028311198e+00,        +2.084098083637e-10,        +7.214219750038e+09,        +1.278780603329e-11,        +4.914730104074e-06
 2.40e+01,        +3.007384070246e+00,        +2.569668057664e-10,        +5.851697578752e+09,        +1.795927987351e-11,        +6.902290075151e-06
 2.50e+01,        +3.104015199424e+00,        +3.473283784066e-10,        +4.468415759265e+09,        +4.943004443372e-11,        +1.900536314965e-05
