        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.459059668074e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.981411235427e-13,        +2.596489248387e-03,        +5.261272518657e-12,        +1.521012362758e-02,        +8.981411235427e-13,        +2.596489248387e-03,        +5.261272518657e-12,        +1.521012362758e-02,        +4.544566207477e-13,        +1.313815500370e-03,        +2.518709104150e-12,        +7.281484986792e-03,        +3.444245079792e-10,        +9.957171633803e-01,        +3.366805856493e-10,        +9.733298004561e-01,        +1.288609969440e-13,        +3.725318709179e-04,        +1.445399535373e-12,        +4.178590929534e-03
 2.00e+00,        +3.459059667205e-10,        +3.459059666102e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.046574532056e-12,        +5.916563254053e-03,        +4.736933775682e-12,        +1.369428177866e-02,        +2.046574532056e-12,        +5.916563254053e-03,        +4.736933775682e-12,        +1.369428177866e-02,        +9.302921074653e-13,        +2.689436427724e-03,        +2.625439678812e-12,        +7.590038716419e-03,        +3.426367296645e-10,        +9.905487694041e-01,        +3.362432166748e-10,        +9.720653851966e-01,        +2.923704164563e-13,        +8.452309141361e-04,        +2.300376480967e-12,        +6.650294308335e-03
 3.00e+00,        +3.459059667205e-10,        +3.459059665631e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.480110984749e-12,        +4.278940310807e-03,        +2.146513522009e-12,        +6.205482788680e-03,        +1.480110984749e-12,        +4.278940310807e-03,        +2.146513522009e-12,        +6.205482788680e-03,        +6.663437404179e-13,        +1.926372495784e-03,        +1.399449157570e-12,        +4.045750269862e-03,        +3.435296880638e-10,        +9.931302756088e-01,        +3.407327490447e-10,        +9.850444397656e-01,        +2.298239314689e-13,        +6.644115845929e-04,        +1.627254838800e-12,        +4.704327175873e-03
 4.00e+00,        +3.459059667205e-10,        +3.459059664631e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.386718749514e-11,        +4.008947179088e-02,        +3.611180393654e-13,        +1.043977480521e-03,        +1.386718749514e-11,        +4.008947179088e-02,        +3.611180393654e-13,        +1.043977480521e-03,        +6.822894437484e-12,        +1.972470871830e-02,        +4.431040582840e-13,        +1.280995707633e-03,        +3.199789157156e-10,        +9.250459561288e-01,        +3.449653544459e-10,        +9.972807291335e-01,        +5.236969072272e-12,        +1.513986336207e-02,        +1.363899195183e-13,        +3.942976783920e-04
 5.00e+00,        +3.459059667205e-10,        +3.459059668043e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.137852821915e-14,        +6.180445056163e-05,        +4.956584559077e-14,        +1.432928320049e-04,        +2.137852821915e-14,        +6.180445056163e-05,        +4.956584559077e-14,        +1.432928320049e-04,        +1.133986327911e-14,        +3.278308086623e-05,        +2.291501657145e-14,        +6.624637551977e-05,        +3.458704183168e-10,        +9.998972310190e-01,        +3.458245794789e-10,        +9.997647125715e-01,        +2.830012230130e-15,        +8.181449591521e-06,        +8.906463280246e-15,        +2.574822100506e-05
 6.00e+00,        +3.459059667205e-10,        +3.459059652689e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.515660314901e-13,        +7.272671063618e-04,        +2.534017951493e-13,        +7.325742270802e-04,        +2.515660314901e-13,        +7.272671063618e-04,        +2.534017951493e-13,        +7.325742270802e-04,        +1.670772599895e-13,        +4.830135240902e-04,        +1.860206994252e-13,        +5.377782348464e-04,        +3.453396118191e-10,        +9.983626911478e-01,        +3.452761799227e-10,        +9.981793163186e-01,        +1.477116098551e-13,        +4.270282217319e-04,        +1.903628517034e-13,        +5.503312195134e-04
 7.00e+00,        +3.459059667205e-10,        +3.459059655902e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.079856378518e-12,        +6.012779710733e-03,        +7.694919494878e-13,        +2.224569756046e-03,        +2.079856378518e-12,        +6.012779710733e-03,        +7.694919494878e-13,        +2.224569756046e-03,        +8.729772216538e-13,        +2.523741437392e-03,        +5.512636666479e-13,        +1.593680715241e-03,        +3.426780944029e-10,        +9.906683531706e-01,        +3.441065855218e-10,        +9.947980658113e-01,        +2.750387174306e-13,        +7.951256812313e-04,        +4.786244523510e-13,        +1.383683717436e-03
 8.00e+00,        +3.459059667205e-10,        +3.459059666374e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.366051124005e-13,        +3.949197919181e-04,        +9.536650448324e-14,        +2.757006634211e-04,        +1.366051124005e-13,        +3.949197919181e-04,        +9.536650448324e-14,        +2.757006634211e-04,        +9.872075386443e-14,        +2.853976611054e-04,        +1.480760370777e-13,        +4.280817660278e-04,        +3.456152940452e-10,        +9.991596771861e-01,        +3.455912855824e-10,        +9.990902699423e-01,        +5.534680904112e-14,        +1.600053608958e-04,        +7.123851344363e-14,        +2.059476282995e-04
