        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.352903971663e+00,        +9.089163559683e-05,        +1.294345710674e+04,        +8.805190285323e-15,        +6.247866009749e-09
 2.00e+00,        +2.357352678475e+00,        +9.095506323668e-05,        +1.295888648934e+04,        +8.969674936379e-15,        +6.364579658531e-09
 3.00e+00,        +2.440235914307e+00,        +2.820481680353e-05,        +4.325920518236e+04,        +1.251273932886e-14,        +8.878642515912e-09
 4.00e+00,        +2.586237790074e+00,        +6.699448000201e-05,        +1.930187226518e+04,        +1.108855121100e-14,        +7.868122329637e-09
 5.00e+00,        +2.599048328151e+00,        +8.051166599937e-05,        +1.614081821024e+04,        +1.057154468909e-14,        +7.501272444468e-09
 6.00e+00,        +2.612449801692e+00,        +6.457836095279e-05,        +2.022697513491e+04,        +1.071691357896e-14,        +7.604425682406e-09
 7.00e+00,        +2.701525282715e+00,        +6.362647426351e-05,        +2.122956925348e+04,        +7.914096582307e-15,        +5.615641919884e-09
 8.00e+00,        +2.701767562703e+00,        +6.379389725685e-05,        +2.117575253772e+04,        +1.063521885448e-14,        +7.546481234629e-09
 9.00e+00,        +2.739468645213e+00,        +7.374928887161e-05,        +1.857284787502e+04,        +8.671886814178e-15,        +6.153359086720e-09
 1.00e+01,        +2.739726010157e+00,        +7.366705287242e-05,        +1.859532792694e+04,        +1.177642325586e-14,        +8.356262401051e-09
 1.10e+01,        +2.799387855420e+00,        +9.627722083286e-05,        +1.453816298839e+04,        +1.053790576916e-14,        +7.477457100784e-09
 1.20e+01,        +2.879911027379e+00,        +1.032909108614e-04,        +1.394077661439e+04,        +1.195957382504e-14,        +8.486266125256e-09
 1.30e+01,        +2.978235562020e+00,        +1.127856181428e-04,        +1.320308215354e+04,        +1.223258739339e-14,        +8.680024222740e-09
 1.40e+01,        +2.980765831805e+00,        +1.136849210596e-04,        +1.310976779590e+04,        +1.162548165590e-14,        +8.249233728608e-09
 1.50e+01,        +3.034868878831e+00,        +8.057544305431e-05,        +1.883246783921e+04,        +7.052221735060e-15,        +5.004141187311e-09
 1.60e+01,        +3.035154901018e+00,        +8.058353839750e-05,        +1.883235064162e+04,        +1.368996774131e-14,        +9.714177289590e-09
