        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 2.41844000e+00,        +1.799497890012e-09,        +1.737405841182e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.325633322290e-11,        +7.366684504872e-03,        +1.728745875321e-11,        +9.950155768696e-03
 2.41846000e+00,        +1.789734943421e-09,        +1.727652788450e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.318718591160e-11,        +7.368234028216e-03,        +1.719286668813e-11,        +9.951575225690e-03
 2.41848000e+00,        +1.780061104395e-09,        +1.717988803650e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.311864301874e-11,        +7.369771176030e-03,        +1.709915160488e-11,        +9.953005263218e-03
 2.41850000e+00,        +1.770475290167e-09,        +1.708412804288e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.305069737850e-11,        +7.371295974017e-03,        +1.700630274316e-11,        +9.954445846150e-03
 2.41852000e+00,        +1.760976434346e-09,        +1.698923724239e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.298334193179e-11,        +7.372808447948e-03,        +1.691430950635e-11,        +9.955896939357e-03
 2.41854000e+00,        +1.751563486623e-09,        +1.689520513458e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.291656972430e-11,        +7.374308623662e-03,        +1.682316145863e-11,        +9.957358507712e-03
 2.41856000e+00,        +1.742235412477e-09,        +1.680202137686e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.285037390467e-11,        +7.375796527062e-03,        +1.673284832198e-11,        +9.958830516088e-03
 2.41858000e+00,        +1.732991192892e-09,        +1.670967578169e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.278474772264e-11,        +7.377272184119e-03,        +1.664335997339e-11,        +9.960312929363e-03
 2.41860000e+00,        +1.723829824082e-09,        +1.661815831381e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.271968452726e-11,        +7.378735620864e-03,        +1.655468644204e-11,        +9.961805712418e-03
 2.41862000e+00,        +1.714750317221e-09,        +1.652745908750e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.265517776516e-11,        +7.380186863395e-03,        +1.646681790662e-11,        +9.963308830138e-03
 2.41864000e+00,        +1.705751698169e-09,        +1.643756836391e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.259122097877e-11,        +7.381625937873e-03,        +1.637974469260e-11,        +9.964822247411e-03
 2.41866000e+00,        +1.696833007218e-09,        +1.634847654849e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.252780780473e-11,        +7.383052870518e-03,        +1.629345726966e-11,        +9.966345929131e-03
 2.41868000e+00,        +1.687993298836e-09,        +1.626017418843e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.246493197216e-11,        +7.384467687613e-03,        +1.620794624909e-11,        +9.967879840198e-03
 2.41870000e+00,        +1.679231641413e-09,        +1.617265197011e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.240258730108e-11,        +7.385870415499e-03,        +1.612320238133e-11,        +9.969423945516e-03
 2.41872000e+00,        +1.670547117021e-09,        +1.608590071671e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.234076770085e-11,        +7.387261080580e-03,        +1.603921655346e-11,        +9.970978209999e-03
