        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 2.41005000e+00,        +7.767026751020e-11,        +7.717770689509e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.155970656436e-13,        +2.775799190022e-03,        +9.113002557929e-13,        +1.180781721115e-02,        +2.155970656436e-13,        +2.775799190022e-03,        +9.113002557929e-13,        +1.180781721115e-02,        +1.307585110676e-13,        +1.683507927283e-03,        +5.543087002695e-13,        +7.182238531950e-03,        +7.723715004615e-11,        +9.944236388268e-01,        +7.512059411904e-11,        +9.733457644855e-01,        +8.676188734314e-14,        +1.117054055875e-03,        +5.915038199883e-13,        +7.664179771399e-03
 2.41005500e+00,        +7.768155623655e-11,        +7.718867502462e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.156536717550e-13,        +2.776124503716e-03,        +9.115039851506e-13,        +1.180877874714e-02,        +2.156536717550e-13,        +2.776124503716e-03,        +9.115039851506e-13,        +1.180877874714e-02,        +1.307904849947e-13,        +1.683674881543e-03,        +5.544336216001e-13,        +7.182836360687e-03,        +7.724833170778e-11,        +9.944230709352e-01,        +7.513109730047e-11,        +9.733435283934e-01,        +8.678037202223e-14,        +1.117129679508e-03,        +5.916401173921e-13,        +7.664856498748e-03
 2.41006000e+00,        +7.769284900766e-11,        +7.719964715391e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.157102995213e-13,        +2.776449857052e-03,        +9.117077869582e-13,        +1.180974033651e-02,        +2.157102995213e-13,        +2.776449857052e-03,        +9.117077869582e-13,        +1.180974033651e-02,        +1.308224708305e-13,        +1.683841852905e-03,        +5.545585874044e-13,        +7.183434223459e-03,        +7.725951737409e-11,        +9.944225029831e-01,        +7.514160431608e-11,        +9.733412921728e-01,        +8.679886322052e-14,        +1.117205306913e-03,        +5.917764634748e-13,        +7.665533267205e-03
 2.41006500e+00,        +7.770414582565e-11,        +7.721062328507e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.157669489543e-13,        +2.776775250042e-03,        +9.119116612525e-13,        +1.181070197926e-02,        +2.157669489543e-13,        +2.776775250042e-03,        +9.119116612525e-13,        +1.181070197926e-02,        +1.308544685817e-13,        +1.684008841372e-03,        +5.546835977051e-13,        +7.184032120259e-03,        +7.727070704717e-11,        +9.944219349705e-01,        +7.515211516785e-11,        +9.733390558237e-01,        +8.681736094149e-14,        +1.117280938089e-03,        +5.919128582615e-13,        +7.666210076767e-03
 2.41007000e+00,        +7.771544669262e-11,        +7.722160342019e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.158236200659e-13,        +2.777100682694e-03,        +9.121156080706e-13,        +1.181166367535e-02,        +2.158236200659e-13,        +2.777100682694e-03,        +9.121156080706e-13,        +1.181166367535e-02,        +1.308864782545e-13,        +1.684175846949e-03,        +5.548086525252e-13,        +7.184630051080e-03,        +7.728190072911e-11,        +9.944213668973e-01,        +7.516262985781e-11,        +9.733368193461e-01,        +8.683586518862e-14,        +1.117356573039e-03,        +5.920493017774e-13,        +7.666886927430e-03
 2.41007500e+00,        +7.772675161068e-11,        +7.723258756135e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.158803128681e-13,        +2.777426155018e-03,        +9.123196274494e-13,        +1.181262542479e-02,        +2.158803128681e-13,        +2.777426155018e-03,        +9.123196274494e-13,        +1.181262542479e-02,        +1.309184998556e-13,        +1.684342869638e-03,        +5.549337518875e-13,        +7.185228015916e-03,        +7.729309842199e-11,        +9.944207987636e-01,        +7.517314838797e-11,        +9.733345827401e-01,        +8.685437596539e-14,        +1.117432211762e-03,        +5.921857940481e-13,        +7.667563819193e-03
 2.41008000e+00,        +7.773806058195e-11,        +7.724357571066e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.159370273727e-13,        +2.777751667023e-03,        +9.125237194258e-13,        +1.181358722755e-02,        +2.159370273727e-13,        +2.777751667023e-03,        +9.125237194258e-13,        +1.181358722755e-02,        +1.309505333912e-13,        +1.684509909443e-03,        +5.550588958148e-13,        +7.185826014761e-03,        +7.730430012792e-11,        +9.944202305693e-01,        +7.518367076032e-11,        +9.733323460056e-01,        +8.687289327529e-14,        +1.117507854260e-03,        +5.923223350986e-13,        +7.668240752051e-03
 2.41008500e+00,        +7.774937360855e-11,        +7.725456787021e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.159937635916e-13,        +2.778077218720e-03,        +9.127278840370e-13,        +1.181454908363e-02,        +2.159937635916e-13,        +2.778077218720e-03,        +9.127278840370e-13,        +1.181454908363e-02,        +1.309825788679e-13,        +1.684676966369e-03,        +5.551840843300e-13,        +7.186424047608e-03,        +7.731550584897e-11,        +9.944196623144e-01,        +7.519419697689e-11,        +9.733301091428e-01,        +8.689141712182e-14,        +1.117583500535e-03,        +5.924589249544e-13,        +7.668917726001e-03
 2.41009000e+00,        +7.776069069258e-11,        +7.726556404211e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.160505215369e-13,        +2.778402810117e-03,        +9.129321213199e-13,        +1.181551099300e-02,        +2.160505215369e-13,        +2.778402810117e-03,        +9.129321213199e-13,        +1.181551099300e-02,        +1.310146362922e-13,        +1.684844040418e-03,        +5.553093174561e-13,        +7.187022114451e-03,        +7.732671558724e-11,        +9.944190939989e-01,        +7.520472703969e-11,        +9.733278721515e-01,        +8.690994750845e-14,        +1.117659150586e-03,        +5.925955636409e-13,        +7.669594741040e-03
 2.41009500e+00,        +7.777201183616e-11,        +7.727656422844e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.161073012204e-13,        +2.778728441224e-03,        +9.131364313116e-13,        +1.181647295566e-02,        +2.161073012204e-13,        +2.778728441224e-03,        +9.131364313116e-13,        +1.181647295566e-02,        +1.310467056704e-13,        +1.685011131595e-03,        +5.554345952159e-13,        +7.187620215283e-03,        +7.733792934483e-11,        +9.944185256228e-01,        +7.521526095073e-11,        +9.733256350319e-01,        +8.692848443869e-14,        +1.117734804415e-03,        +5.927322511833e-13,        +7.670271797166e-03
