        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40025000e+00,        +2.259382891925e+00,        -4.607803738267e-03,        +3.576309072516e+00,        +5.427102750411e-02,        -2.023641627668e-02,        -1.555827772605e-03,        +2.801594820482e+00,        +9.409068703241e-02,        +1.015851308453e+01,        +5.284441275964e-02,        -1.121881979616e-02,        +1.274849601033e-03,        +3.600906079171e+00,        +1.087606956206e-01,        +2.211424202061e+01,        +1.607858257524e-01,        +1.289212439472e-02,        +3.117760369883e-03,        -2.117763011682e+00,        -2.150008995420e-02,        +5.868355012236e+01,        +6.469206728226e-01,        +2.814735217318e-02,        +1.272351307587e-03
 2.40027500e+00,        +2.260736741515e+00,        -4.620378612684e-03,        +3.577975079689e+00,        +5.425897390782e-02,        -2.022525702261e-02,        -1.556071691756e-03,        +2.802874048619e+00,        +9.412243303437e-02,        +1.016452592142e+01,        +5.276137696356e-02,        -1.120200171855e-02,        +1.276303057315e-03,        +3.601964758582e+00,        +1.087769256174e-01,        +2.212814080341e+01,        +1.606655415334e-01,        +1.292156019167e-02,        +3.119947067006e-03,        -2.121161914526e+00,        -2.153175985952e-02,        +5.872594069903e+01,        +6.468393524903e-01,        +2.808902760218e-02,        +1.272406449202e-03
 2.40030000e+00,        +2.262088776605e+00,        -4.633001362996e-03,        +3.579648538968e+00,        +5.424693618188e-02,        -2.021412967162e-02,        -1.556315766351e-03,        +2.804151501779e+00,        +9.415406492279e-02,        +1.017055168037e+01,        +5.267835868774e-02,        -1.118522414644e-02,        +1.277753895729e-03,        +3.603021722487e+00,        +1.087930512193e-01,        +2.214206246136e+01,        +1.605452004041e-01,        +1.295094584865e-02,        +3.122129733693e-03,        -2.124561027246e+00,        -2.156338384181e-02,        +5.876838853276e+01,        +6.467576475421e-01,        +2.803061563716e-02,        +1.272461210678e-03
 2.40032500e+00,        +2.263439000123e+00,        -4.645671899427e-03,        +3.581329454949e+00,        +5.423491401833e-02,        -2.020303415012e-02,        -1.556559994501e-03,        +2.805427182814e+00,        +9.418558288844e-02,        +1.017659037636e+01,        +5.259535733505e-02,        -1.116848699711e-02,        +1.279202122183e-03,        +3.604076973530e+00,        +1.088090725967e-01,        +2.215600702830e+01,        +1.604248014370e-01,        +1.298028147064e-02,        +3.124308377989e-03,        -2.127960349130e+00,        -2.159496183829e-02,        +5.881089372588e+01,        +6.466755562441e-01,        +2.797211609085e-02,        +1.272515594631e-03
 2.40035000e+00,        +2.264787414992e+00,        -4.658390132475e-03,        +3.583017832264e+00,        +5.422290710924e-02,        -2.019197038472e-02,        -1.556804374342e-03,        +2.806701094574e+00,        +9.421698712147e-02,        +1.018264202446e+01,        +5.251237230836e-02,        -1.115179018812e-02,        +1.280647742550e-03,        +3.605130514343e+00,        +1.088249899192e-01,        +2.216997453820e+01,        +1.603043437041e-01,        +1.300956716232e-02,        +3.126483007896e-03,        -2.131359879465e+00,        -2.162649378674e-02,        +5.885345638100e+01,        +6.465930768592e-01,        +2.791352877553e-02,        +1.272569603681e-03
 2.40037500e+00,        +2.266134024126e+00,        -4.671155973223e-03,        +3.584713675575e+00,        +5.421091514670e-02,        -2.018093830216e-02,        -1.557048904019e-03,        +2.807973239897e+00,        +9.424827781126e-02,        +1.018870663980e+01,        +5.242940300976e-02,        -1.113513363719e-02,        +1.282090762681e-03,        +3.606182347553e+00,        +1.088408033558e-01,        +2.218396502513e+01,        +1.601838262752e-01,        +1.303880302817e-02,        +3.128653631393e-03,        -2.134759617537e+00,        -2.165797962448e-02,        +5.889607660101e+01,        +6.465102076423e-01,        +2.785485350307e-02,        +1.272623240460e-03
 2.40040000e+00,        +2.267478830431e+00,        -4.683969333031e-03,        +3.586416989584e+00,        +5.419893782296e-02,        -2.016993782936e-02,        -1.557293581679e-03,        +2.809243621617e+00,        +9.427945514659e-02,        +1.019478423757e+01,        +5.234644884151e-02,        -1.111851726223e-02,        +1.283531188417e-03,        +3.607232475780e+00,        +1.088565130749e-01,        +2.219797852327e+01,        +1.600632482196e-01,        +1.306798917243e-02,        +3.130820256434e-03,        -2.138159562631e+00,        -2.168941928900e-02,        +5.893875448907e+01,        +6.464269468464e-01,        +2.779609008495e-02,        +1.272676507600e-03
 2.40042500e+00,        +2.268821836806e+00,        -4.696830123383e-03,        +3.588127779024e+00,        +5.418697482964e-02,        -2.015896889344e-02,        -1.557538405458e-03,        +2.810512242556e+00,        +9.431051931579e-02,        +1.020087483302e+01,        +5.226350920461e-02,        -1.110194098141e-02,        +1.284969025595e-03,        +3.608280901635e+00,        +1.088721192444e-01,        +2.221201506691e+01,        +1.599426086041e-01,        +1.309712569904e-02,        +3.132982890968e-03,        -2.141559714032e+00,        -2.172081271738e-02,        +5.898149014862e+01,        +6.463432927162e-01,        +2.773723833219e-02,        +1.272729407740e-03
 2.40045000e+00,        +2.270163046140e+00,        -4.709738256544e-03,        +3.589846048663e+00,        +5.417502585917e-02,        -2.014803142163e-02,        -1.557783373542e-03,        +2.811779105534e+00,        +9.434147050624e-02,        +1.020697844144e+01,        +5.218058350071e-02,        -1.108540471305e-02,        +1.286404279996e-03,        +3.609327627723e+00,        +1.088876220316e-01,        +2.222607469044e+01,        +1.598219064955e-01,        +1.312621271179e-02,        +3.135141542879e-03,        -2.144960071022e+00,        -2.175215984757e-02,        +5.902428368338e+01,        +6.462592434946e-01,        +2.767829805539e-02,        +1.272781943531e-03
 2.40047500e+00,        +2.271502461318e+00,        -4.722693644439e-03,        +3.591571803305e+00,        +5.416309060274e-02,        -2.013712534137e-02,        -1.558028484054e-03,        +2.813044213358e+00,        +9.437230890526e-02,        +1.021309507822e+01,        +5.209767112968e-02,        -1.106890837570e-02,        +1.287836957452e-03,        +3.610372656643e+00,        +1.089030216033e-01,        +2.224015742837e+01,        +1.597011409576e-01,        +1.315525031413e-02,        +3.137296220096e-03,        -2.148360632887e+00,        -2.178346061638e-02,        +5.906713519735e+01,        +6.461747974158e-01,        +2.761926906474e-02,        +1.272834117617e-03
 2.40050000e+00,        +2.272840085216e+00,        -4.735696200004e-03,        +3.593305047784e+00,        +5.415116875239e-02,        -2.012625058018e-02,        -1.558273735172e-03,        +2.814307568833e+00,        +9.440303469906e-02,        +1.021922475878e+01,        +5.201477149165e-02,        -1.105245188804e-02,        +1.289267063729e-03,        +3.611415990984e+00,        +1.089183181257e-01,        +2.225426331532e+01,        +1.595803110530e-01,        +1.318423860940e-02,        +3.139446930475e-03,        -2.151761398906e+00,        -2.181471496106e-02,        +5.911004479481e+01,        +6.460899527089e-01,        +2.756015116999e-02,        +1.272885932663e-03
 2.40052500e+00,        +2.274175920701e+00,        -4.748745836482e-03,        +3.595045786974e+00,        +5.413926000037e-02,        -2.011540706589e-02,        -1.558519125077e-03,        +2.815569174752e+00,        +9.443364807309e-02,        +1.022536749861e+01,        +5.193188398710e-02,        -1.103603516908e-02,        +1.290694604577e-03,        +3.612457633329e+00,        +1.089335117640e-01,        +2.226839238601e+01,        +1.594594158447e-01,        +1.321317770054e-02,        +3.141593681847e-03,        -2.155162368362e+00,        -2.184592281915e-02,        +5.915301258030e+01,        +6.460047076015e-01,        +2.750094418046e-02,        +1.272937391330e-03
 2.40055000e+00,        +2.275509970634e+00,        -4.761842466586e-03,        +3.596794025781e+00,        +5.412736403738e-02,        -2.010459472634e-02,        -1.558764651930e-03,        +2.816829033904e+00,        +9.446414921315e-02,        +1.023152331328e+01,        +5.184900801429e-02,        -1.101965813790e-02,        +1.292119585761e-03,        +3.613497586254e+00,        +1.089486026839e-01,        +2.228254467529e+01,        +1.593384543919e-01,        +1.324206769041e-02,        +3.143736482057e-03,        -2.158563540535e+00,        -2.187708412759e-02,        +5.919603865868e+01,        +6.459190603129e-01,        +2.744164790505e-02,        +1.272988496285e-03
 2.40057500e+00,        +2.276842237868e+00,        -4.774986004964e-03,        +3.598549769144e+00,        +5.411548055640e-02,        -2.009381348959e-02,        -1.559010313933e-03,        +2.818087149069e+00,        +9.449453830293e-02,        +1.023769221838e+01,        +5.176614297323e-02,        -1.100332071383e-02,        +1.293542012992e-03,        +3.614535852329e+00,        +1.089635910490e-01,        +2.229672021810e+01,        +1.592174257544e-01,        +1.327090868157e-02,        +3.145875338880e-03,        -2.161964914704e+00,        -2.190819882369e-02,        +5.923912313505e+01,        +6.458330090583e-01,        +2.738226215221e-02,        +1.273039250211e-03
 2.40060000e+00,        +2.278172725248e+00,        -4.788176364960e-03,        +3.600313022041e+00,        +5.410360924785e-02,        -2.008306328390e-02,        -1.559256109253e-03,        +2.819343523019e+00,        +9.452481552693e-02,        +1.024387422961e+01,        +5.168328826116e-02,        -1.098702281642e-02,        +1.294961892003e-03,        +3.615572434115e+00,        +1.089784770238e-01,        +2.231091904950e+01,        +1.590963289883e-01,        +1.329970077632e-02,        +3.148010260116e-03,        -2.165366490149e+00,        -2.193926684438e-02,        +5.928226611482e+01,        +6.457465520455e-01,        +2.732278672998e-02,        +1.273089655785e-03
 2.40062500e+00,        +2.279501435613e+00,        -4.801413461235e-03,        +3.602083789481e+00,        +5.409174980366e-02,        -2.007234403767e-02,        -1.559502036097e-03,        +2.820598158519e+00,        +9.455498106823e-02,        +1.025006936269e+01,        +5.160044327636e-02,        -1.097076436540e-02,        +1.296379228479e-03,        +3.616607334165e+00,        +1.089932607713e-01,        +2.232514120466e+01,        +1.589751631500e-01,        +1.332844407672e-02,        +3.150141253506e-03,        -2.168768266147e+00,        -2.197028812734e-02,        +5.932546770369e+01,        +6.456596874791e-01,        +2.726322144594e-02,        +1.273139715700e-03
 2.40065000e+00,        +2.280828371793e+00,        -4.814697208344e-03,        +3.603862076509e+00,        +5.407990191491e-02,        -2.006165567941e-02,        -1.559748092646e-03,        +2.821851058329e+00,        +9.458503510971e-02,        +1.025627763344e+01,        +5.151760741588e-02,        -1.095454528066e-02,        +1.297794028122e-03,        +3.617640555029e+00,        +1.090079424544e-01,        +2.233938671887e+01,        +1.588539272932e-01,        +1.335713868467e-02,        +3.152268326800e-03,        -2.172170241975e+00,        -2.200126260897e-02,        +5.936872800762e+01,        +6.455724135572e-01,        +2.720356610723e-02,        +1.273189432647e-03
 2.40067500e+00,        +2.282153536611e+00,        -4.828027522036e-03,        +3.605647888204e+00,        +5.406806527401e-02,        -2.005099813781e-02,        -1.559994277124e-03,        +2.823102225199e+00,        +9.461497783280e-02,        +1.026249905771e+01,        +5.143478007772e-02,        -1.093836548231e-02,        +1.299206296576e-03,        +3.618672099246e+00,        +1.090225222348e-01,        +2.235365562752e+01,        +1.587326204720e-01,        +1.338578470180e-02,        +3.154391487683e-03,        -2.175572416909e+00,        -2.203219022636e-02,        +5.941204713287e+01,        +6.454847284744e-01,        +2.714382052059e-02,        +1.273238809329e-03
 2.40070000e+00,        +2.283476932882e+00,        -4.841404316999e-03,        +3.607441229683e+00,        +5.405623957090e-02,        -2.004037134180e-02,        -1.560240587717e-03,        +2.824351661872e+00,        +9.464480941964e-02,        +1.026873365143e+01,        +5.135196065683e-02,        -1.092222489071e-02,        +1.300616039517e-03,        +3.619701969348e+00,        +1.090370002746e-01,        +2.236794796611e+01,        +1.586112417358e-01,        +1.341438222945e-02,        +3.156510743869e-03,        -2.178974790225e+00,        -2.206307091674e-02,        +5.945542518599e+01,        +6.453966304153e-01,        +2.708398449228e-02,        +1.273287848455e-03
 2.40072500e+00,        +2.284798563415e+00,        -4.854827509574e-03,        +3.609242106093e+00,        +5.404442449799e-02,        -2.002977522036e-02,        -1.560487022652e-03,        +2.825599371085e+00,        +9.467453005061e-02,        +1.027498143059e+01,        +5.126914855070e-02,        -1.090612342633e-02,        +1.302023262568e-03,        +3.620730167863e+00,        +1.090513767343e-01,        +2.238226377028e+01,        +1.584897901368e-01,        +1.344293136882e-02,        +3.158626103008e-03,        -2.182377361198e+00,        -2.209390461678e-02,        +5.949886227380e+01,        +6.453081175670e-01,        +2.702405782813e-02,        +1.273336552732e-03
 2.40075000e+00,        +2.286118431011e+00,        -4.868297014843e-03,        +3.611050522620e+00,        +5.403261974443e-02,        -2.001920970267e-02,        -1.560733580132e-03,        +2.826845355566e+00,        +9.470413990693e-02,        +1.028124241123e+01,        +5.118634315242e-02,        -1.089006100987e-02,        +1.303427971370e-03,        +3.621756697309e+00,        +1.090656517755e-01,        +2.239660307574e+01,        +1.583682647198e-01,        +1.347143222082e-02,        +3.160737572770e-03,        -2.185780129100e+00,        -2.212469126352e-02,        +5.954235850342e+01,        +6.452191881008e-01,        +2.696404033354e-02,        +1.273384924887e-03
 2.40077500e+00,        +2.287436538462e+00,        -4.881812750606e-03,        +3.612866484482e+00,        +5.402082500333e-02,        -2.000867471805e-02,        -1.560980258396e-03,        +2.828089618039e+00,        +9.473363916697e-02,        +1.028751660947e+01,        +5.110354385904e-02,        -1.087403756219e-02,        +1.304830171510e-03,        +3.622781560200e+00,        +1.090798255567e-01,        +2.241096591834e+01,        +1.582466645340e-01,        +1.349988488619e-02,        +3.162845160749e-03,        -2.189183093203e+00,        -2.215543079374e-02,        +5.958591398227e+01,        +6.451298401902e-01,        +2.690393181343e-02,        +1.273432967647e-03
 2.40080000e+00,        +2.288752888556e+00,        -4.895374632602e-03,        +3.614689996934e+00,        +5.400903996427e-02,        -1.999817019601e-02,        -1.561227055661e-03,        +2.829332161218e+00,        +9.476302801075e-02,        +1.029380404149e+01,        +5.102075006395e-02,        -1.085805300441e-02,        +1.306229868591e-03,        +3.623804759038e+00,        +1.090938982383e-01,        +2.242535233405e+01,        +1.581249886238e-01,        +1.352828946537e-02,        +3.164948874566e-03,        -2.192586252781e+00,        -2.218612314456e-02,        +5.962952881804e+01,        +6.450400720026e-01,        +2.684373207231e-02,        +1.273480683738e-03
 2.40082500e+00,        +2.290067484069e+00,        -4.908982578636e-03,        +3.616521065268e+00,        +5.399726431863e-02,        -1.998769606627e-02,        -1.561473970165e-03,        +2.830572987808e+00,        +9.479230661603e-02,        +1.030010472353e+01,        +5.093796116113e-02,        -1.084210725785e-02,        +1.307627068182e-03,        +3.624826296323e+00,        +1.091078699782e-01,        +2.243976235894e+01,        +1.580032360320e-01,        +1.355664605855e-02,        +3.167048721784e-03,        -2.195989607104e+00,        -2.221676825199e-02,        +5.967320311873e+01,        +6.449498816938e-01,        +2.678344091425e-02,        +1.273528075907e-03
 2.40085000e+00,        +2.291380327775e+00,        -4.922636505343e-03,        +3.618359694805e+00,        +5.398549775605e-02,        -1.997725225852e-02,        -1.561721000125e-03,        +2.831812100512e+00,        +9.482147516155e-02,        +1.030641867188e+01,        +5.085517654293e-02,        -1.082620024388e-02,        +1.309021775870e-03,        +3.625846174546e+00,        +1.091217409358e-01,        +2.245419602918e+01,        +1.578814057998e-01,        +1.358495476584e-02,        +3.169144709997e-03,        -2.199393155441e+00,        -2.224736605332e-02,        +5.971693699260e+01,        +6.448592674193e-01,        +2.672305814281e-02,        +1.273575146897e-03
 2.40087500e+00,        +2.292691422437e+00,        -4.936336331039e-03,        +3.620205890907e+00,        +5.397373996810e-02,        -1.996683870277e-02,        -1.561968143800e-03,        +2.833049502022e+00,        +9.485053382400e-02,        +1.031274590291e+01,        +5.077239560343e-02,        -1.081033188420e-02,        +1.310413997181e-03,        +3.626864396191e+00,        +1.091355112679e-01,        +2.246865338109e+01,        +1.577594969693e-01,        +1.361321568699e-02,        +3.171236846712e-03,        -2.202796897061e+00,        -2.227791648490e-02,        +5.976073054825e+01,        +6.447682273310e-01,        +2.666258356115e-02,        +1.273621899455e-03
 2.40090000e+00,        +2.294000770810e+00,        -4.950081973654e-03,        +3.622059658970e+00,        +5.396199064482e-02,        -1.995645532920e-02,        -1.562215399449e-03,        +2.834285195025e+00,        +9.487948278024e-02,        +1.031908643306e+01,        +5.068961773423e-02,        -1.079450210073e-02,        +1.311803737639e-03,        +3.627880963735e+00,        +1.091491811320e-01,        +2.248313445108e+01,        +1.576375085781e-01,        +1.364142892149e-02,        +3.173325139440e-03,        -2.206200831233e+00,        -2.230841948373e-02,        +5.980458389452e+01,        +6.446767595704e-01,        +2.660201697198e-02,        +1.273668336348e-03
 2.40092500e+00,        +2.295308375646e+00,        -4.963873352588e-03,        +3.623921004423e+00,        +5.395024947771e-02,        -1.994610206800e-02,        -1.562462765356e-03,        +2.835519182198e+00,        +9.490832220544e-02,        +1.032544027881e+01,        +5.060684232785e-02,        -1.077871081541e-02,        +1.313191002723e-03,        +3.628895879648e+00,        +1.091627506837e-01,        +2.249763927567e+01,        +1.575154396636e-01,        +1.366959456876e-02,        +3.175409595632e-03,        -2.209604957224e+00,        -2.233887498692e-02,        +5.984849714059e+01,        +6.445848622730e-01,        +2.654135817753e-02,        +1.273714460354e-03
 2.40095000e+00,        +2.296614239686e+00,        -4.977710385283e-03,        +3.625789932733e+00,        +5.393851615544e-02,        -1.993577884963e-02,        -1.562710239706e-03,        +2.836751466214e+00,        +9.493705227629e-02,        +1.033180745671e+01,        +5.052406877440e-02,        -1.076295795052e-02,        +1.314575798009e-03,        +3.629909146393e+00,        +1.091762200803e-01,        +2.251216789152e+01,        +1.573932892611e-01,        +1.369771272788e-02,        +3.177490222838e-03,        -2.213009274300e+00,        -2.236928292986e-02,        +5.989247039592e+01,        +6.444925335739e-01,        +2.648060697957e-02,        +1.273760274219e-03
 2.40097500e+00,        +2.297918365665e+00,        -4.991592990541e-03,        +3.627666449399e+00,        +5.392679036724e-02,        -1.992548560462e-02,        -1.562957820770e-03,        +2.837982049739e+00,        +9.496567316817e-02,        +1.033818798340e+01,        +5.044129646287e-02,        -1.074724342843e-02,        +1.315958128981e-03,        +3.630920766428e+00,        +1.091895894775e-01,        +2.252672033539e+01,        +1.572710564018e-01,        +1.372578349778e-02,        +3.179567028511e-03,        -2.216413781725e+00,        -2.239964324932e-02,        +5.993650377025e+01,        +6.443997715940e-01,        +2.641976317944e-02,        +1.273805780736e-03
