        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.441846203171e+00,        +1.298644149042e-03,        +9.401522927972e+02,        +1.076743883428e-13,        +9.708806936362e-09
 2.00e+00,        +2.599008008088e+00,        +9.198114896321e-05,        +1.412793838200e+04,        +1.336286336096e-13,        +1.204983384408e-08
 3.00e+00,        +2.601395864104e+00,        +5.382997807793e-04,        +2.416307801605e+03,        +4.792260717437e-13,        +4.321379488401e-08
 4.00e+00,        +2.621106674119e+00,        +7.789069403705e-03,        +1.682561877114e+02,        +3.194574912505e-13,        +2.880704275028e-08
 5.00e+00,        +2.701653008442e+00,        +6.400759196341e-05,        +2.110416066538e+04,        +1.069144690566e-13,        +9.641334612124e-09
 6.00e+00,        +2.701892349185e+00,        +6.406881234327e-05,        +2.108586261494e+04,        +8.226417240804e-14,        +7.418420562136e-09
 7.00e+00,        +2.799476957296e+00,        +1.102855461561e-04,        +1.269194856915e+04,        +2.197982999491e-13,        +1.982183394266e-08
 8.00e+00,        +2.880742604779e+00,        +2.058500503956e-04,        +6.997187046097e+03,        +1.215124400180e-13,        +1.095863163402e-08
