        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43505000e+00,        +3.175719245869e-10,        +2.931595484056e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.392070653868e-15,        +1.068126742715e-05,        +8.130766686425e-13,        +2.773495432997e-03,        +1.021509111206e-10,        +3.216622856490e-01,        +7.499300690093e-11,        +2.558095320749e-01,        +5.297492694031e-11,        +1.668123748950e-01,        +4.947373235269e-11,        +1.687604330876e-01,        +5.293409002145e-11,        +1.666837838084e-01,        +4.947391841898e-11,        +1.687610677805e-01,        +5.293415361135e-11,        +1.666839840461e-01,        +4.947354559418e-11,        +1.687597960334e-01,        +5.296126514484e-11,        +1.667693553633e-01,        +4.945870329386e-11,        +1.687091672874e-01
 2.43505500e+00,        +3.183026618374e-10,        +2.938902316112e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.401216674266e-15,        +1.068547983430e-05,        +8.152778553314e-13,        +2.774089668995e-03,        +1.022998468364e-10,        +3.213917415765e-01,        +7.513372403930e-11,        +2.556523353205e-01,        +5.311793348933e-11,        +1.668786970951e-01,        +4.960747966264e-11,        +1.687959459920e-01,        +5.307710062985e-11,        +1.667504139723e-01,        +4.960771686846e-11,        +1.687967531159e-01,        +5.307716446024e-11,        +1.667506145059e-01,        +4.960734305502e-11,        +1.687954811667e-01,        +5.310423566796e-11,        +1.668356631434e-01,        +4.959241138248e-11,        +1.687446741955e-01
 2.43506000e+00,        +3.190363473354e-10,        +2.946238629544e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.410399713440e-15,        +1.068969019337e-05,        +8.174879474119e-13,        +2.774683419104e-03,        +1.024493767109e-10,        +3.211213316806e-01,        +7.527500108442e-11,        +2.554952620931e-01,        +5.326151867133e-11,        +1.669449864135e-01,        +4.974176846290e-11,        +1.688314312496e-01,        +5.322068988137e-11,        +1.668170110581e-01,        +4.974205694283e-11,        +1.688324103962e-01,        +5.322075395329e-11,        +1.668172118876e-01,        +4.974168213679e-11,        +1.688311382452e-01,        +5.324778467959e-11,        +1.669019380529e-01,        +4.972666080469e-11,        +1.687801534677e-01
 2.43506500e+00,        +3.197729969641e-10,        +2.953604583180e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.419619971119e-15,        +1.069389849545e-05,        +8.197069929181e-13,        +2.775276682553e-03,        +1.025995039285e-10,        +3.208510565389e-01,        +7.541684103327e-11,        +2.553383125919e-01,        +5.340568560763e-11,        +1.670112427086e-01,        +4.987660167529e-11,        +1.688668888155e-01,        +5.336486089736e-11,        +1.668835749235e-01,        +4.987694156446e-11,        +1.688680395761e-01,        +5.336492521185e-11,        +1.668837760489e-01,        +4.987656576182e-11,        +1.688667672235e-01,        +5.339191530027e-11,        +1.669681799501e-01,        +4.986145448147e-11,        +1.688156050591e-01
 2.43507000e+00,        +3.205126267129e-10,        +2.961000336912e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.428877648369e-15,        +1.069810473158e-05,        +8.219350402064e-13,        +2.775869458575e-03,        +1.027502316950e-10,        +3.205809167296e-01,        +7.555924690288e-11,        +2.551814870163e-01,        +5.355043744048e-11,        +1.670774658387e-01,        +5.001198224124e-11,        +1.689023186448e-01,        +5.350961682010e-11,        +1.669501054261e-01,        +5.001237367532e-11,        +1.689036406105e-01,        +5.350968137822e-11,        +1.669503068475e-01,        +5.001199687206e-11,        +1.689023680565e-01,        +5.353663067147e-11,        +1.670343886933e-01,        +4.999679535343e-11,        +1.688510289248e-01
 2.43507500e+00,        +3.212552526796e-10,        +2.968426051716e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.438172947621e-15,        +1.070230889283e-05,        +8.241721379611e-13,        +2.776461746401e-03,        +1.029015632377e-10,        +3.203109128315e-01,        +7.570222173061e-11,        +2.550247855655e-01,        +5.369577733344e-11,        +1.671436556618e-01,        +5.014791312215e-11,        +1.689377206926e-01,        +5.365496081318e-11,        +1.670166024233e-01,        +5.014835623733e-11,        +1.689392134540e-01,        +5.365502561598e-11,        +1.670168041407e-01,        +5.014797842942e-11,        +1.689379406990e-01,        +5.368193395596e-11,        +1.671005641408e-01,        +5.013268638110e-11,        +1.688864250201e-01
 2.43508000e+00,        +3.220008910712e-10,        +2.975881889659e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.447506072680e-15,        +1.070651097024e-05,        +8.264183351962e-13,        +2.777053545263e-03,        +1.030535018057e-10,        +3.200410454236e-01,        +7.584576857431e-11,        +2.548682084389e-01,        +5.384170847148e-11,        +1.672098120361e-01,        +5.028439729947e-11,        +1.689730949142e-01,        +5.380089606163e-11,        +1.670830657724e-01,        +5.028489223247e-11,        +1.689747580615e-01,        +5.380096111016e-11,        +1.670832677859e-01,        +5.028451341586e-11,        +1.689734851057e-01,        +5.382782833793e-11,        +1.671667061506e-01,        +5.026913054505e-11,        +1.689217933001e-01
 2.43508500e+00,        +3.227495582034e-10,        +2.983368013896e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.456877228720e-15,        +1.071071095484e-05,        +8.286736812560e-13,        +2.777644854393e-03,        +1.032060506700e-10,        +3.197713150856e-01,        +7.598989051233e-11,        +2.547117558356e-01,        +5.398823406107e-11,        +1.672759348195e-01,        +5.042143777472e-11,        +1.690084412646e-01,        +5.394742577191e-11,        +1.671494953307e-01,        +5.042198466284e-11,        +1.690102743878e-01,        +5.394749106725e-11,        +1.671496976403e-01,        +5.042160483344e-11,        +1.690090012315e-01,        +5.397431702305e-11,        +1.672328145807e-01,        +5.040613084598e-11,        +1.689571337200e-01
 2.43509000e+00,        +3.235012705035e-10,        +2.990884588698e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.466286622318e-15,        +1.071490883768e-05,        +8.309382258216e-13,        +2.778235673023e-03,        +1.033592131237e-10,        +3.195017223975e-01,        +7.613459064396e-11,        +2.545554279549e-01,        +5.413535733053e-11,        +1.673420238699e-01,        +5.055903756995e-11,        +1.690437596991e-01,        +5.409455317241e-11,        +1.672158909553e-01,        +5.055963655101e-11,        +1.690457623877e-01,        +5.409461871563e-11,        +1.672160935610e-01,        +5.055925570473e-11,        +1.690444890311e-01,        +5.412140323883e-11,        +1.672988892890e-01,        +5.054369030504e-11,        +1.689924462349e-01
 2.43509500e+00,        +3.242560445096e-10,        +2.998431779443e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.475734461446e-15,        +1.071910460976e-05,        +8.332120189096e-13,        +2.778826000385e-03,        +1.035129924821e-10,        +3.192322679400e-01,        +7.627987208931e-11,        +2.543992249958e-01,        +5.428308153000e-11,        +1.674080790447e-01,        +5.069719972760e-11,        +1.690790501728e-01,        +5.424228151329e-11,        +1.672822525030e-01,        +5.069785093999e-11,        +1.690812220160e-01,        +5.424234730548e-11,        +1.672824554050e-01,        +5.069746907269e-11,        +1.690799484593e-01,        +5.426909023461e-11,        +1.673649301332e-01,        +5.068181196382e-11,        +1.690277308001e-01
