        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.43505000e+00,        -1.194643550962e+00,        +1.131946413083e+00,        -1.748405809114e+01,        +1.681853699574e+01,        -1.484130422860e-02,        +1.422772389785e-02,        -1.305530431930e+00,        +1.236757601004e+00,        -3.871989925906e+01,        +3.722237012177e+01,        -2.217960738578e-02,        +2.120522354815e-02,        -1.488236241758e+00,        +1.409788818423e+00,        -7.774511182105e+01,        +7.471852401866e+01,        -4.230615406886e-02,        +4.040104364467e-02,        +1.332824832570e+00,        -1.267779448884e+00,        -2.153093548241e+02,        +2.069047550315e+02,        -4.538561298251e-01,        +4.360751395837e-01
 2.43505500e+00,        -1.194670211833e+00,        +1.132029093008e+00,        -1.750911591356e+01,        +1.684381705511e+01,        -1.485731915603e-02,        +1.424407075523e-02,        -1.305544694352e+00,        +1.236833566504e+00,        -3.877306141255e+01,        +3.727608074973e+01,        -2.219807307964e-02,        +2.122430900759e-02,        -1.488265807723e+00,        +1.409888648744e+00,        -7.784991207387e+01,        +7.482447255474e+01,        -4.233717592348e-02,        +4.043333477944e-02,        +1.333119150566e+00,        -1.268124351872e+00,        -2.155971025177e+02,        +2.071957465637e+02,        -4.544558438335e-01,        +4.366818024904e-01
 2.43506000e+00,        -1.194696880522e+00,        +1.132111930423e+00,        -1.753423952761e+01,        +1.686916685792e+01,        -1.487337596866e-02,        +1.426046252041e-02,        -1.305558936820e+00,        +1.236909674422e+00,        -3.882636304923e+01,        +3.732993944623e+01,        -2.221658665747e-02,        +2.124344645875e-02,        -1.488295409068e+00,        +1.409988700237e+00,        -7.795498720895e+01,        +7.493071307300e+01,        -4.236827780986e-02,        +4.046571344448e-02,        +1.333413636727e+00,        -1.268469613850e+00,        -2.158856048496e+02,        +2.074875399236e+02,        -4.550571276351e-01,        +4.372901341344e-01
 2.43506500e+00,        -1.194723557051e+00,        +1.132194925970e+00,        -1.755942919207e+01,        +1.689458669245e+01,        -1.488947483125e-02,        +1.427689937902e-02,        -1.305573159243e+00,        +1.236985925335e+00,        -3.887980471773e+01,        +3.738394682332e+01,        -2.223514830755e-02,        +2.126263611645e-02,        -1.488325045919e+00,        +1.410088973804e+00,        -7.806033830746e+01,        +7.503724678028e+01,        -4.239946004264e-02,        +4.049818000143e-02,        +1.333708291653e+00,        -1.268815236238e+00,        -2.161748647880e+02,        +2.077801384254e+02,        -4.556599874046e-01,        +4.379001414132e-01
 2.43507000e+00,        -1.194750241442e+00,        +1.132278080294e+00,        -1.758468516706e+01,        +1.692007684855e+01,        -1.490561590940e-02,        +1.429338151769e-02,        -1.305587361533e+00,        +1.237062319824e+00,        -3.893338696951e+01,        +3.743810349632e+01,        -2.225375821915e-02,        +2.128187819673e-02,        -1.488354718404e+00,        +1.410189470352e+00,        -7.816596645617e+01,        +7.514407489001e+01,        -4.243072293806e-02,        +4.053073481388e-02,        +1.334003115948e+00,        -1.269161220462e+00,        -2.164648853163e+02,        +2.080735454015e+02,        -4.562644293480e-01,        +4.385118312618e-01
 2.43507500e+00,        -1.194776933717e+00,        +1.132361394043e+00,        -1.761000771408e+01,        +1.694563761767e+01,        -1.492179936962e-02,        +1.430990912413e-02,        -1.305601543599e+00,        +1.237138858473e+00,        -3.898711035895e+01,        +3.749241008403e+01,        -2.227241658254e-02,        +2.130117291682e-02,        -1.488384426652e+00,        +1.410290190792e+00,        -7.827187274759e+01,        +7.525119862236e+01,        -4.246206681404e-02,        +4.056337824745e-02,        +1.334298110218e+00,        -1.269507567955e+00,        -2.167556694340e+02,        +2.083677642025e+02,        -4.568704597045e-01,        +4.391252106535e-01
 2.43508000e+00,        -1.194803633896e+00,        +1.132444867869e+00,        -1.763539709601e+01,        +1.697126929290e+01,        -1.493802537925e-02,        +1.432648238704e-02,        -1.305615705351e+00,        +1.237215541869e+00,        -3.904097544335e+01,        +3.754686720863e+01,        -2.229112358901e-02,        +2.132052049514e-02,        -1.488414170790e+00,        +1.410391136042e+00,        -7.837805828002e+01,        +7.535861920427e+01,        -4.249349199020e-02,        +4.059611066976e-02,        +1.334593275071e+00,        -1.269854280159e+00,        -2.170472201562e+02,        +2.086627981979e+02,        -4.574780847464e-01,        +4.397402866007e-01
 2.43508500e+00,        -1.194830342003e+00,        +1.132528502427e+00,        -1.766085357709e+01,        +1.699697216891e+01,        -1.495429410656e-02,        +1.434310149619e-02,        -1.305629846697e+00,        +1.237292370602e+00,        -3.909498278293e+01,        +3.760147549574e+01,        -2.230987943082e-02,        +2.133992115131e-02,        -1.488443950947e+00,        +1.410492307021e+00,        -7.848452415743e+01,        +7.546633786938e+01,        -4.252499878779e-02,        +4.062893245049e-02,        +1.334888611120e+00,        -1.270201358525e+00,        -2.173395405136e+02,        +2.089586507755e+02,        -4.580873107782e-01,        +4.403570661538e-01
 2.43509000e+00,        -1.194857058058e+00,        +1.132612298376e+00,        -1.768637742297e+01,        +1.702274654206e+01,        -1.497060572066e-02,        +1.435976664240e-02,        -1.305643967546e+00,        +1.237369345267e+00,        -3.914913294087e+01,        +3.765623557449e+01,        -2.232868430127e-02,        +2.135937510619e-02,        -1.488473767254e+00,        +1.410593704657e+00,        -7.859127148973e+01,        +7.557435585829e+01,        -4.255658752979e-02,        +4.066184396134e-02,        +1.335184118980e+00,        -1.270548804509e+00,        -2.176326335533e+02,        +2.092553253420e+02,        -4.586981441383e-01,        +4.409755564031e-01
 2.43509500e+00,        -1.194883782084e+00,        +1.132696256379e+00,        -1.771196890070e+01,        +1.704859271028e+01,        -1.498696039158e-02,        +1.437647801753e-02,        -1.305658067804e+00,        +1.237446466458e+00,        -3.920342648332e+01,        +3.771114807744e+01,        -2.234753839467e-02,        +2.137888258185e-02,        -1.488503619841e+00,        +1.410695329882e+00,        -7.869830139260e+01,        +7.568267441836e+01,        -4.258825854086e-02,        +4.069484557609e-02,        +1.335479799269e+00,        -1.270896619578e+00,        -2.179265023381e+02,        +2.095528253230e+02,        -4.593105911982e-01,        +4.415957644775e-01
