        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43505000e+00,        -1.617329704202e-10,        -1.652206512852e-10,        +1.767645619028e-10,        +1.862645618213e-10,        -1.193348074804e-06,        -1.242049232903e-06,        -5.747604486767e-10,        -5.950910099338e-10,        +1.702371523153e-10,        +1.794271324284e-10,        -1.185696115100e-06,        -1.234092362354e-06,        -1.107132412973e-09,        -1.149285314966e-09,        +1.532027380150e-10,        +1.615551493600e-10,        -1.156257988808e-06,        -1.203467721068e-06,        +7.428550742086e-10,        +7.665927036900e-10,        +1.239385952785e-09,        +1.290478473652e-09,        -3.383416226272e-07,        -3.524293850441e-07
 2.43505500e+00,        -1.622443646880e-10,        -1.657365177303e-10,        +1.767978998260e-10,        +1.862897574029e-10,        -1.195005011870e-06,        -1.243686901444e-06,        -5.758443138577e-10,        -5.961726186000e-10,        +1.702633348433e-10,        +1.794453252499e-10,        -1.187341767994e-06,        -1.235718852870e-06,        -1.108942948095e-09,        -1.151084624748e-09,        +1.532179654977e-10,        +1.615629869093e-10,        -1.157861395923e-06,        -1.205052404268e-06,        +7.445098032661e-10,        +7.682520025167e-10,        +1.241057160441e-09,        +1.292128514730e-09,        -3.387851613442e-07,        -3.528667641216e-07
 2.43506000e+00,        -1.627571937368e-10,        -1.662537616577e-10,        +1.768313104865e-10,        +1.863150007411e-10,        -1.196666513653e-06,        -1.245328864029e-06,        -5.769311908599e-10,        -5.972570880876e-10,        +1.702895706147e-10,        +1.794635476887e-10,        -1.188991954502e-06,        -1.237349608111e-06,        -1.110758496432e-09,        -1.152888676744e-09,        +1.532332168043e-10,        +1.615708276193e-10,        -1.159469220238e-06,        -1.206641242550e-06,        +7.461691169402e-10,        +7.699156743416e-10,        +1.242732962386e-09,        +1.293782872582e-09,        -3.392299210814e-07,        -3.533052893037e-07
 2.43506500e+00,        -1.632714635065e-10,        -1.667723884868e-10,        +1.768647941834e-10,        +1.863402920218e-10,        -1.198332599018e-06,        -1.246975137546e-06,        -5.780210921417e-10,        -5.983444296515e-10,        +1.703158598421e-10,        +1.794817998548e-10,        -1.190646693363e-06,        -1.238984644851e-06,        -1.112579078707e-09,        -1.154697489625e-09,        +1.532484920313e-10,        +1.615786715034e-10,        -1.161081480012e-06,        -1.208234252258e-06,        +7.478330341882e-10,        +7.715837363809e-10,        +1.244413377609e-09,        +1.295441564185e-09,        -3.396759068852e-07,        -3.537449650978e-07
 2.43507000e+00,        -1.637871799663e-10,        -1.672924036588e-10,        +1.768983512172e-10,        +1.863656314316e-10,        -1.200003286936e-06,        -1.248625738973e-06,        -5.791140302139e-10,        -5.994346546055e-10,        +1.703422027539e-10,        +1.795000818602e-10,        -1.192306003418e-06,        -1.240623979949e-06,        -1.114404715757e-09,        -1.156511082126e-09,        +1.532637912795e-10,        +1.615865185748e-10,        -1.162698193600e-06,        -1.209831449819e-06,        +7.495015740721e-10,        +7.732562059227e-10,        +1.246098425200e-09,        +1.297104606605e-09,        -3.401231238295e-07,        -3.541857960349e-07
 2.43507500e+00,        -1.643043491016e-10,        -1.678138126657e-10,        +1.769319818893e-10,        +1.863910191593e-10,        -1.201678596482e-06,        -1.250280685376e-06,        -5.802100176728e-10,        -6.005277743200e-10,        +1.703685995603e-10,        +1.795183938286e-10,        -1.193969903611e-06,        -1.242267630357e-06,        -1.116235428527e-09,        -1.158329473091e-09,        +1.532791146449e-10,        +1.615943688433e-10,        -1.164319379461e-06,        -1.211432851746e-06,        +7.511747557574e-10,        +7.749331003555e-10,        +1.247788124357e-09,        +1.298772016995e-09,        -3.405715770167e-07,        -3.546277866698e-07
 2.43508000e+00,        -1.648229769546e-10,        -1.683366209976e-10,        +1.769656865040e-10,        +1.864164553931e-10,        -1.203358546838e-06,        -1.251939993912e-06,        -5.813090671709e-10,        -6.016238002331e-10,        +1.703950504930e-10,        +1.795367358721e-10,        -1.195638412995e-06,        -1.243915613113e-06,        -1.118071238098e-09,        -1.160152681483e-09,        +1.532944622217e-10,        +1.616022223205e-10,        -1.165945056157e-06,        -1.213038474642e-06,        +7.528525985109e-10,        +7.766144371630e-10,        +1.249482494383e-09,        +1.300443812601e-09,        -3.410212715770e-07,        -3.550709415812e-07
 2.43508500e+00,        -1.653430695827e-10,        -1.688608341998e-10,        +1.769994653663e-10,        +1.864419403235e-10,        -1.205043157289e-06,        -1.253603681825e-06,        -5.824111914403e-10,        -6.027227438294e-10,        +1.704215557676e-10,        +1.795551081109e-10,        -1.197311550722e-06,        -1.245567945346e-06,        -1.119912165647e-09,        -1.161980726347e-09,        +1.533098341133e-10,        +1.616100790116e-10,        -1.167575242351e-06,        -1.214648335193e-06,        +7.545351217135e-10,        +7.783002339178e-10,        +1.251181554687e-09,        +1.302120010759e-09,        -3.414722126692e-07,        -3.555152653719e-07
 2.43509000e+00,        -1.658646330896e-10,        -1.693864578401e-10,        +1.770333187833e-10,        +1.864674741416e-10,        -1.206732447229e-06,        -1.255271766455e-06,        -5.835164032783e-10,        -6.038246166694e-10,        +1.704481156106e-10,        +1.795735106569e-10,        -1.198989336055e-06,        -1.247224644274e-06,        -1.121758232467e-09,        -1.163813626842e-09,        +1.533252304213e-10,        +1.616179389339e-10,        -1.169209956810e-06,        -1.216262450176e-06,        +7.562223448510e-10,        +7.799905082758e-10,        +1.252885324787e-09,        +1.303800628896e-09,        -3.419244054807e-07,        -3.559607626690e-07
 2.43509500e+00,        -1.663876736091e-10,        -1.699134974942e-10,        +1.770672470639e-10,        +1.864930570385e-10,        -1.208426436160e-06,        -1.256944265229e-06,        -5.846247155545e-10,        -6.049294303611e-10,        +1.704747302477e-10,        +1.795919436351e-10,        -1.200671788363e-06,        -1.248885727207e-06,        -1.123609459988e-09,        -1.165651402187e-09,        +1.533406512413e-10,        +1.616258020976e-10,        -1.170849218405e-06,        -1.217880836455e-06,        +7.579142875189e-10,        +7.816852779969e-10,        +1.254593824308e-09,        +1.305485684530e-09,        -3.423778552274e-07,        -3.564074381241e-07
