        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40170000e+00,        +7.071067811865e+00,        +1.362129065607e+01,        +2.635669087719e+00
 2.40172500e+00,        +7.071067811865e+00,        +1.362194618732e+01,        +2.634076933083e+00
 2.40175000e+00,        +7.071067811865e+00,        +1.362260011135e+01,        +2.632487523522e+00
 2.40177500e+00,        +7.071067811865e+00,        +1.362325243493e+01,        +2.630900848958e+00
 2.40180000e+00,        +7.071067811865e+00,        +1.362390316481e+01,        +2.629316899362e+00
 2.40182500e+00,        +7.071067811865e+00,        +1.362455230766e+01,        +2.627735664753e+00
 2.40185000e+00,        +7.071067811865e+00,        +1.362519987017e+01,        +2.626157135192e+00
 2.40187500e+00,        +7.071067811865e+00,        +1.362584585895e+01,        +2.624581300787e+00
 2.40190000e+00,        +7.071067811865e+00,        +1.362649028059e+01,        +2.623008151691e+00
 2.40192500e+00,        +7.071067811865e+00,        +1.362713314165e+01,        +2.621437678102e+00
 2.40195000e+00,        +7.071067811865e+00,        +1.362777444865e+01,        +2.619869870263e+00
 2.40197500e+00,        +7.071067811865e+00,        +1.362841420807e+01,        +2.618304718461e+00
 2.40200000e+00,        +7.071067811865e+00,        +1.362905242635e+01,        +2.616742213026e+00
 2.40202500e+00,        +7.071067811865e+00,        +1.362968910992e+01,        +2.615182344334e+00
 2.40205000e+00,        +7.071067811865e+00,        +1.363032426514e+01,        +2.613625102803e+00
 2.40207500e+00,        +7.071067811865e+00,        +1.363095789837e+01,        +2.612070478895e+00
 2.40210000e+00,        +7.071067811865e+00,        +1.363159001591e+01,        +2.610518463114e+00
 2.40212500e+00,        +7.071067811865e+00,        +1.363222062403e+01,        +2.608969046009e+00
 2.40215000e+00,        +7.071067811865e+00,        +1.363284972898e+01,        +2.607422218169e+00
 2.40217500e+00,        +7.071067811865e+00,        +1.363347733697e+01,        +2.605877970228e+00
 2.40220000e+00,        +7.071067811865e+00,        +1.363410345418e+01,        +2.604336292860e+00
 2.40222500e+00,        +7.071067811865e+00,        +1.363472808673e+01,        +2.602797176783e+00
 2.40225000e+00,        +7.071067811865e+00,        +1.363535124075e+01,        +2.601260612754e+00
 2.40227500e+00,        +7.071067811865e+00,        +1.363597292231e+01,        +2.599726591573e+00
 2.40230000e+00,        +7.071067811865e+00,        +1.363659313745e+01,        +2.598195104081e+00
 2.40232500e+00,        +7.071067811865e+00,        +1.363721189219e+01,        +2.596666141160e+00
 2.40235000e+00,        +7.071067811865e+00,        +1.363782919250e+01,        +2.595139693732e+00
 2.40237500e+00,        +7.071067811865e+00,        +1.363844504433e+01,        +2.593615752761e+00
 2.40240000e+00,        +7.071067811865e+00,        +1.363905945360e+01,        +2.592094309249e+00
 2.40242500e+00,        +7.071067811865e+00,        +1.363967242619e+01,        +2.590575354241e+00
 2.40245000e+00,        +7.071067811865e+00,        +1.364028396796e+01,        +2.589058878818e+00
 2.40247500e+00,        +7.071067811865e+00,        +1.364089408473e+01,        +2.587544874104e+00
 2.40250000e+00,        +7.071067811865e+00,        +1.364150278229e+01,        +2.586033331261e+00
 2.40252500e+00,        +7.071067811865e+00,        +1.364211006641e+01,        +2.584524241489e+00
 2.40255000e+00,        +7.071067811865e+00,        +1.364271594280e+01,        +2.583017596028e+00
 2.40257500e+00,        +7.071067811865e+00,        +1.364332041718e+01,        +2.581513386158e+00
 2.40260000e+00,        +7.071067811865e+00,        +1.364392349522e+01,        +2.580011603194e+00
 2.40262500e+00,        +7.071067811865e+00,        +1.364452518255e+01,        +2.578512238493e+00
 2.40265000e+00,        +7.071067811865e+00,        +1.364512548479e+01,        +2.577015283448e+00
 2.40267500e+00,        +7.071067811865e+00,        +1.364572440752e+01,        +2.575520729489e+00
 2.40270000e+00,        +7.071067811865e+00,        +1.364632195629e+01,        +2.574028568086e+00
 2.40272500e+00,        +7.071067811865e+00,        +1.364691813662e+01,        +2.572538790745e+00
 2.40275000e+00,        +7.071067811865e+00,        +1.364751295402e+01,        +2.571051389008e+00
 2.40277500e+00,        +7.071067811865e+00,        +1.364810641395e+01,        +2.569566354457e+00
 2.40280000e+00,        +7.071067811865e+00,        +1.364869852184e+01,        +2.568083678707e+00
 2.40282500e+00,        +7.071067811865e+00,        +1.364928928310e+01,        +2.566603353413e+00
 2.40285000e+00,        +7.071067811865e+00,        +1.364987870312e+01,        +2.565125370265e+00
 2.40287500e+00,        +7.071067811865e+00,        +1.365046678725e+01,        +2.563649720989e+00
 2.40290000e+00,        +7.071067811865e+00,        +1.365105354082e+01,        +2.562176397346e+00
