        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43505000e+00,        -3.488810445360e-12,        +6.040466607472e-10,        +5.768052706360e-12,        -3.255618239861e-10,        -3.571710256607e-08,        +3.276055884415e-06,        -1.625766497215e-11,        +1.780369012222e-09,        +5.516500424150e-12,        -3.024469912926e-10,        -3.550485094722e-08,        +3.255577679070e-06,        -3.221531146814e-11,        +3.236733763962e-09,        +5.133890419555e-12,        -2.798831138022e-10,        -3.465002191168e-08,        +3.175137178619e-06,        -8.635722712084e-11,        +7.509564443414e-09,        +1.098856513276e-10,        -9.901984381609e-09,        -1.042551270014e-08,        +9.190649854220e-07
 2.43505500e+00,        -3.440043222716e-12,        +6.052151833705e-10,        +5.738017333921e-12,        -3.254140863145e-10,        -3.543670691635e-08,        +3.279072814501e-06,        -1.610820436738e-11,        +1.782625202361e-09,        +5.488439662349e-12,        -3.022777777474e-10,        -3.522619567799e-08,        +3.258573719580e-06,        -3.194101600559e-11,        +3.240305271682e-09,        +5.107893835980e-12,        -2.797183948488e-10,        -3.437822520396e-08,        +3.178054910714e-06,        -8.570951197909e-11,        +7.515627038308e-09,        +1.090364562403e-10,        -9.910754417785e-09,        -1.034637824701e-08,        +9.198320578128e-07
 2.43506000e+00,        -3.390967643661e-12,        +6.063859319939e-10,        +5.707956662935e-12,        -3.252660176627e-10,        -3.515524094205e-08,        +3.282095290837e-06,        -1.595805023484e-11,        +1.784885618586e-09,        +5.460361187031e-12,        -3.021081942547e-10,        -3.494647714161e-08,        +3.261575267957e-06,        -3.166555579207e-11,        +3.243883421696e-09,        +5.081882338650e-12,        -2.795533162140e-10,        -3.410539227304e-08,        +3.180978006749e-06,        -8.505949750786e-11,        +7.521700752796e-09,        +1.081840894996e-10,        -9.919540544893e-09,        -1.026695784210e-08,        +9.206005390206e-07
 2.43506500e+00,        -3.341582237920e-12,        +6.075589127117e-10,        +5.677870714555e-12,        -3.251176171067e-10,        -3.487270014078e-08,        +3.285123328579e-06,        -1.580719948246e-11,        +1.787150272482e-09,        +5.432265051236e-12,        -3.019382397672e-10,        -3.466569086588e-08,        +3.264582339250e-06,        -3.138892576001e-11,        +3.247468232137e-09,        +5.055855985624e-12,        -2.793878769151e-10,        -3.383151876154e-08,        +3.183906481381e-06,        -8.440717425281e-11,        +7.527785617217e-09,        +1.073285378582e-10,        -9.928342806885e-09,        -1.018725030252e-08,        +9.213704328914e-07
 2.43507000e+00,        -3.291885527767e-12,        +6.087341316675e-10,        +5.647759509994e-12,        -3.249688837261e-10,        -3.458907998831e-08,        +3.288156942936e-06,        -1.565564900348e-11,        +1.789419175659e-09,        +5.404151308067e-12,        -3.017679132648e-10,        -3.438383235691e-08,        +3.267594948565e-06,        -3.111112081832e-11,        +3.251059721309e-09,        +5.029814834907e-12,        -2.792220759230e-10,        -3.355660029090e-08,        +3.186840349320e-06,        -8.375253271462e-11,        +7.533881662022e-09,        +1.064697880050e-10,        -9.937161247867e-09,        -1.010725443970e-08,        +9.221417432846e-07
 2.43507500e+00,        -3.241876027273e-12,        +6.099115950147e-10,        +5.617623071294e-12,        -3.248198165898e-10,        -3.430437593744e-08,        +3.291196149174e-06,        -1.550339567418e-11,        +1.791692339772e-09,        +5.376020011839e-12,        -3.015972137092e-10,        -3.410089709797e-08,        +3.270613111061e-06,        -3.083213584765e-11,        +3.254657907424e-09,        +5.003758945800e-12,        -2.790559122612e-10,        -3.328063246035e-08,        +3.189779625330e-06,        -8.309556334564e-11,        +7.539988917768e-09,        +1.056078265614e-10,        -9.945995912108e-09,        -1.002696905907e-08,        +9.229144740740e-07
 2.43508000e+00,        -3.191552242985e-12,        +6.110913089075e-10,        +5.587461420646e-12,        -3.246704147635e-10,        -3.401858341869e-08,        +3.294240962614e-06,        -1.535043635571e-11,        +1.793969776519e-09,        +5.347871216898e-12,        -3.014261400597e-10,        -3.381688055022e-08,        +3.273636841953e-06,        -3.055196570530e-11,        +3.258262808936e-09,        +4.977688377530e-12,        -2.788893848949e-10,        -3.300361084758e-08,        +3.192724324227e-06,        -8.243625655258e-11,        +7.546107415126e-09,        +1.047426400837e-10,        -9.954846844038e-09,        -9.946392960260e-09,        +9.236886291474e-07
 2.43508500e+00,        -3.140912673377e-12,        +6.122732795607e-10,        +5.557274580801e-12,        -3.245206773151e-10,        -3.373169783986e-08,        +3.297291398632e-06,        -1.519676789280e-11,        +1.796251497653e-09,        +5.319704978505e-12,        -3.012546912665e-10,        -3.353177815227e-08,        +3.276666156510e-06,        -3.027060522150e-11,        +3.261874444241e-09,        +4.951603190407e-12,        -2.787224928220e-10,        -3.272553100827e-08,        +3.195674460881e-06,        -8.177460269465e-11,        +7.552237184878e-09,        +1.038742150614e-10,        -9.963714088241e-09,        -9.865524937004e-09,        +9.244642124060e-07
 2.43509000e+00,        -3.089955809381e-12,        +6.134575131886e-10,        +5.527062574862e-12,        -3.243706033020e-10,        -3.344371458596e-08,        +3.300347472660e-06,        -1.504238711424e-11,        +1.798537514937e-09,        +5.291521352373e-12,        -3.010828663013e-10,        -3.324558532004e-08,        +3.279701070058e-06,        -2.998804919991e-11,        +3.265492831873e-09,        +4.925503445188e-12,        -2.785552350138e-10,        -3.244638847606e-08,        +3.198630050217e-06,        -8.111059208387e-11,        +7.558378257912e-09,        +1.030025379171e-10,        -9.972597689472e-09,        -9.784363777073e-09,        +9.252412277661e-07
 2.43509500e+00,        -3.038680133564e-12,        +6.146440160374e-10,        +5.496825426481e-12,        -3.242201917861e-10,        -3.315462901908e-08,        +3.303409200184e-06,        -1.488729083253e-11,        +1.800827840215e-09,        +5.263320394842e-12,        -3.009106640924e-10,        -3.295829744675e-08,        +3.282741597976e-06,        -2.970429241926e-11,        +3.269117990371e-09,        +4.899389203208e-12,        -2.783876104576e-10,        -3.216617876241e-08,        +3.201591107212e-06,        -8.044421498489e-11,        +7.564530665237e-09,        +1.021275950066e-10,        -9.981497692638e-09,        -9.702908262288e-09,        +9.260196791573e-07
