        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43505000e+00,        +1.004299629878e-09,        +1.004844607828e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.224943502208e-14,        +1.219699246884e-05,        +2.941879956271e-12,        +2.927696415299e-03,        +2.249721727593e-10,        +2.240090168974e-01,        +2.155139183994e-10,        +2.144748717568e-01,        +1.915919585130e-10,        +1.907717107656e-01,        +1.789446166656e-10,        +1.780818797967e-01,        +1.915517484172e-10,        +1.907316728181e-01,        +1.790427326977e-10,        +1.781795227868e-01,        +1.915223533343e-10,        +1.907024035822e-01,        +1.790152817275e-10,        +1.781522041646e-01,        +1.915766208501e-10,        +1.907564387667e-01,        +1.789257595596e-10,        +1.780631136056e-01
 2.43505500e+00,        +1.006074074841e-09,        +1.006614889583e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.227192566349e-14,        +1.219783510019e-05,        +2.947298889718e-12,        +2.927930949779e-03,        +2.253174682096e-10,        +2.239571358055e-01,        +2.158341617166e-10,        +2.144158247113e-01,        +1.919430507628e-10,        +1.907842131736e-01,        +1.792731566376e-10,        +1.780950773655e-01,        +1.919031618240e-10,        +1.907445650604e-01,        +1.793716253873e-10,        +1.781928990357e-01,        +1.918737843755e-10,        +1.907153649754e-01,        +1.793441958164e-10,        +1.781656497161e-01,        +1.919276858650e-10,        +1.907689410398e-01,        +1.792542678712e-10,        +1.780763127252e-01
 2.43506000e+00,        +1.007853443770e-09,        +1.008390087915e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.229447867825e-14,        +1.219867705394e-05,        +2.952732828447e-12,        +2.928165264450e-03,        +2.256637244641e-10,        +2.239052968060e-01,        +2.161552977458e-10,        +2.143568251377e-01,        +1.922951169214e-10,        +1.907967057216e-01,        +1.796026088612e-10,        +1.781082648607e-01,        +1.922555494236e-10,        +1.907574465436e-01,        +1.797014305828e-10,        +1.782062643579e-01,        +1.922261897276e-10,        +1.907283156255e-01,        +1.796740225411e-10,        +1.781790843588e-01,        +1.922797247113e-10,        +1.907814334514e-01,        +1.795836883471e-10,        +1.780895017705e-01
 2.43506500e+00,        +1.009637754839e-09,        +1.010170220978e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.231709429658e-14,        +1.219951832977e-05,        +2.958181827791e-12,        +2.928399359196e-03,        +2.260109450724e-10,        +2.238534999203e-01,        +2.164773297863e-10,        +2.142978730621e-01,        +1.926481605836e-10,        +1.908091884047e-01,        +1.799329767055e-10,        +1.781214422766e-01,        +1.926089148107e-10,        +1.907703172623e-01,        +1.800321516528e-10,        +1.782196187476e-01,        +1.925795729858e-10,        +1.907412555273e-01,        +1.800047652708e-10,        +1.781925080869e-01,        +1.926327409837e-10,        +1.907939159965e-01,        +1.799140243557e-10,        +1.781026807358e-01
 2.43507000e+00,        +1.011427026307e-09,        +1.011955307010e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.233977274974e-14,        +1.220035892732e-05,        +2.963645943335e-12,        +2.928633233903e-03,        +2.263591335998e-10,        +2.238017451702e-01,        +2.168002611525e-10,        +2.142389685105e-01,        +1.930021853603e-10,        +1.908216612176e-01,        +1.802642635545e-10,        +1.781346096075e-01,        +1.929632615962e-10,        +1.907831772113e-01,        +1.803637919812e-10,        +1.782329621988e-01,        +1.929339377617e-10,        +1.907541846752e-01,        +1.803364273897e-10,        +1.782059208944e-01,        +1.929867382928e-10,        +1.908063886698e-01,        +1.802452792810e-10,        +1.781158496155e-01
 2.43507500e+00,        +1.013221276517e-09,        +1.013745364333e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.236251427006e-14,        +1.220119884627e-05,        +2.969125230921e-12,        +2.928866888455e-03,        +2.267082936285e-10,        +2.237500325771e-01,        +2.171240951744e-10,        +2.141801115088e-01,        +1.933571948795e-10,        +1.908341241552e-01,        +1.805964728083e-10,        +1.781477668478e-01,        +1.933185934082e-10,        +1.907960263850e-01,        +1.806963549676e-10,        +1.782462947058e-01,        +1.932892876838e-10,        +1.907671030639e-01,        +1.806690122984e-10,        +1.782193227756e-01,        +1.933417202662e-10,        +1.908188514663e-01,        +1.805774565226e-10,        +1.781290084037e-01
 2.43508000e+00,        +1.015020523896e-09,        +1.015540411355e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.238531909094e-14,        +1.220203808629e-05,        +2.974619746651e-12,        +2.929100322736e-03,        +2.270584287569e-10,        +2.236983621625e-01,        +2.174488351972e-10,        +2.141213020830e-01,        +1.937131927858e-10,        +1.908465772123e-01,        +1.809296078825e-10,        +1.781609139917e-01,        +1.936749138912e-10,        +1.908088647782e-01,        +1.810298440273e-10,        +1.782596162626e-01,        +1.936456263974e-10,        +1.907800106879e-01,        +1.810025234126e-10,        +1.782327137244e-01,        +1.936976905482e-10,        +1.908313043806e-01,        +1.809105594958e-10,        +1.781421570948e-01
 2.43508500e+00,        +1.016824786956e-09,        +1.017340466565e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.240818744687e-14,        +1.220287664703e-05,        +2.980129546882e-12,        +2.929333536632e-03,        +2.274095426002e-10,        +2.236467339481e-01,        +2.177744845813e-10,        +2.140625402591e-01,        +1.940701827404e-10,        +1.908590203837e-01,        +1.812636722083e-10,        +1.781740510336e-01,        +1.940322267064e-10,        +1.908216923854e-01,        +1.813642625912e-10,        +1.782729268635e-01,        +1.940029575640e-10,        +1.907929075419e-01,        +1.813369641639e-10,        +1.782460937352e-01,        +1.940546527999e-10,        +1.908437474078e-01,        +1.812445916314e-10,        +1.781552956832e-01
 2.43509000e+00,        +1.018634084296e-09,        +1.019145548542e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.243111957340e-14,        +1.220371452816e-05,        +2.985654688234e-12,        +2.929566530026e-03,        +2.277616387904e-10,        +2.235951479552e-01,        +2.181010467031e-10,        +2.140038260630e-01,        +1.944281684216e-10,        +1.908714536644e-01,        +1.815986692331e-10,        +1.781871779678e-01,        +1.943905355322e-10,        +1.908345092012e-01,        +1.816996141064e-10,        +1.782862265025e-01,        +1.943612848629e-10,        +1.908057936204e-01,        +1.816723380000e-10,        +1.782594628019e-01,        +1.944126106992e-10,        +1.908561805426e-01,        +1.815795563767e-10,        +1.781684241632e-01
 2.43509500e+00,        +1.020448434598e-09,        +1.020955675947e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.245411570718e-14,        +1.220455172935e-05,        +2.991195227585e-12,        +2.929799302804e-03,        +2.281147209759e-10,        +2.235436042055e-01,        +2.184285249542e-10,        +2.139451595207e-01,        +1.947871535248e-10,        +1.908838770491e-01,        +1.819346024199e-10,        +1.782002947885e-01,        +1.947498440638e-10,        +1.908473152203e-01,        +1.820359020354e-10,        +1.782995151739e-01,        +1.947206119896e-10,        +1.908186689182e-01,        +1.820086483841e-10,        +1.782728209187e-01,        +1.947715679410e-10,        +1.908686037798e-01,        +1.819154571941e-10,        +1.781815425290e-01
 2.43510000e+00,        +1.022267856633e-09,        +1.022770867531e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.247717608597e-14,        +1.220538825026e-05,        +2.996751222080e-12,        +2.930031854851e-03,        +2.284687928225e-10,        +2.234921027204e-01,        +2.187569227421e-10,        +2.138865406581e-01,        +1.951471417623e-10,        +1.908962905328e-01,        +1.822714752479e-10,        +1.782134014903e-01,        +1.951101560136e-10,        +1.908601104373e-01,        +1.823731298573e-10,        +1.783127928717e-01,        +1.950809426573e-10,        +1.908315334297e-01,        +1.823458987959e-10,        +1.782861680799e-01,        +1.951315282376e-10,        +1.908810171145e-01,        +1.822522975627e-10,        +1.781946507751e-01
 2.43510500e+00,        +1.024092369259e-09,        +1.024591142129e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.250030094861e-14,        +1.220622409056e-05,        +3.002322729127e-12,        +2.930264186051e-03,        +2.288238580126e-10,        +2.234406435213e-01,        +2.190862434902e-10,        +2.138279695010e-01,        +1.955081368636e-10,        +1.909086941103e-01,        +1.826092912125e-10,        +1.782264980673e-01,        +1.954714751111e-10,        +1.908728948468e-01,        +1.827113010669e-10,        +1.783260595902e-01,        +1.954422805959e-10,        +1.908443871497e-01,        +1.826840927307e-10,        +1.782995042794e-01,        +1.954924953182e-10,        +1.908934205414e-01,        +1.825900809773e-10,        +1.782077488957e-01
 2.43511000e+00,        +1.025921991420e-09,        +1.026416518665e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.252349053506e-14,        +1.220705924991e-05,        +3.007909806401e-12,        +2.930496296291e-03,        +2.291799202459e-10,        +2.233892266298e-01,        +2.194164906377e-10,        +2.137694460753e-01,        +1.958701425758e-10,        +1.909210877765e-01,        +1.829480538251e-10,        +1.782395845139e-01,        +1.958338051032e-10,        +1.908856684436e-01,        +1.830504191755e-10,        +1.783393153234e-01,        +1.958046295531e-10,        +1.908572300727e-01,        +1.830232337006e-10,        +1.783128295115e-01,        +1.958544729293e-10,        +1.909058140553e-01,        +1.829288109493e-10,        +1.782208368852e-01
 2.43511500e+00,        +1.027756742149e-09,        +1.028247016151e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.254674508638e-14,        +1.220789372799e-05,        +3.013512511842e-12,        +2.930728185454e-03,        +2.295369832392e-10,        +2.233378520672e-01,        +2.197476676396e-10,        +2.137109704069e-01,        +1.962331626630e-10,        +1.909334715262e-01,        +1.832877666137e-10,        +1.782526608244e-01,        +1.961971497542e-10,        +1.908984312221e-01,        +1.833904877104e-10,        +1.783525600657e-01,        +1.961679932937e-10,        +1.908700621934e-01,        +1.833633252336e-10,        +1.783261437704e-01,        +1.962174648350e-10,        +1.909181976512e-01,        +1.832684910061e-10,        +1.782339147379e-01
 2.43512000e+00,        +1.029596640567e-09,        +1.030082653685e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.257006484477e-14,        +1.220872752445e-05,        +3.019130903662e-12,        +2.930959853427e-03,        +2.298950507267e-10,        +2.232865198551e-01,        +2.200797779672e-10,        +2.136525425217e-01,        +1.965972009070e-10,        +1.909458453543e-01,        +1.836284331223e-10,        +1.782657269933e-01,        +1.965615128458e-10,        +1.909111831771e-01,        +1.837315102155e-10,        +1.783657938111e-01,        +1.965323755999e-10,        +1.908828835064e-01,        +1.837043708741e-10,        +1.783394470502e-01,        +1.965814748167e-10,        +1.909305713240e-01,        +1.836091246915e-10,        +1.782469824481e-01
 2.43512500e+00,        +1.031441705883e-09,        +1.031923450456e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.259345005354e-14,        +1.220956063896e-05,        +3.024765040340e-12,        +2.931191300094e-03,        +2.302541264597e-10,        +2.232352300148e-01,        +2.204128251079e-10,        +2.135941624454e-01,        +1.969622611071e-10,        +1.909582092557e-01,        +1.839700569117e-10,        +1.782787830148e-01,        +1.969268981772e-10,        +1.909239243031e-01,        +1.840734902512e-10,        +1.783790165538e-01,        +1.968977802716e-10,        +1.908956940063e-01,        +1.840463741832e-10,        +1.783527393450e-01,        +1.969465066733e-10,        +1.909429350684e-01,        +1.839507155659e-10,        +1.782600400103e-01
 2.43513000e+00,        +1.033291957398e-09,        +1.033769425743e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261690095713e-14,        +1.221039307119e-05,        +3.030414980631e-12,        +2.931422525341e-03,        +2.306142142072e-10,        +2.231839825677e-01,        +2.207468125653e-10,        +2.135358302038e-01,        +1.973283470803e-10,        +1.909705632252e-01,        +1.843126415592e-10,        +1.782918288832e-01,        +1.972933095654e-10,        +1.909366545949e-01,        +1.844164313943e-10,        +1.783922282881e-01,        +1.972642111265e-10,        +1.909084936877e-01,        +1.843893387384e-10,        +1.783660206490e-01,        +1.973125642217e-10,        +1.909552888794e-01,        +1.842932672062e-10,        +1.782730874187e-01
 2.43513500e+00,        +1.035147414500e-09,        +1.035620598912e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.264041780114e-14,        +1.221122482082e-05,        +3.036080783561e-12,        +2.931653529054e-03,        +2.309753177556e-10,        +2.231327775352e-01,        +2.210817438593e-10,        +2.134775458228e-01,        +1.976954626615e-10,        +1.909829072578e-01,        +1.846561906587e-10,        +1.783048645930e-01,        +1.976607508452e-10,        +1.909493740472e-01,        +1.847603372385e-10,        +1.784054290080e-01,        +1.976316719999e-10,        +1.909212825454e-01,        +1.847332681338e-10,        +1.783792909565e-01,        +1.976796512962e-10,        +1.909676327519e-01,        +1.846367832061e-10,        +1.782861246677e-01
 2.43514000e+00,        +1.037008096668e-09,        +1.037476989422e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.266400083229e-14,        +1.221205588749e-05,        +3.041762508431e-12,        +2.931884311118e-03,        +2.313374409092e-10,        +2.230816149387e-01,        +2.214176225262e-10,        +2.134193093281e-01,        +1.980636117033e-10,        +1.909952413483e-01,        +1.850007078209e-10,        +1.783178901385e-01,        +1.980292258692e-10,        +1.909620826544e-01,        +1.851052113938e-10,        +1.784186187078e-01,        +1.980001667449e-10,        +1.909340605740e-01,        +1.850781659805e-10,        +1.783925502615e-01,        +1.980477717493e-10,        +1.909799666807e-01,        +1.849812671758e-10,        +1.782991517517e-01
